,PLFD33~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,1.0749893,
3008.346,161.65284,
3005.435,172.89709,
3002.525,175.52992,
2999.614,197.10033,
2996.704,201.35077,
2993.793,211.35887,
2990.882,220.23571,
2987.972,230.56951,
2985.061,228.93536,
2982.151,251.19308,
2979.240,248.57462,
2976.329,251.37637,
2973.419,269.33283,
2970.508,253.75839,
2967.598,274.0993,
2964.687,270.78872,
2961.777,287.68492,
2958.866,292.94745,
2955.955,297.75997,
2953.045,295.84426,
2950.134,331.60463,
2947.224,331.31184,
2944.313,326.01816,
2941.403,340.44662,
2938.492,340.9448,
2935.581,340.42626,
2932.671,356.34604,
2929.760,355.20961,
2926.850,362.89342,
2923.939,367.78387,
2921.028,370.8544,
2918.118,364.10863,
2915.207,396.56807,
2912.297,392.65039,
2909.386,387.59581,
2906.476,386.10532,
2903.565,373.97907,
2900.654,389.68364,
2897.744,383.82616,
2894.833,386.84173,
2891.923,392.95201,
2889.012,381.24928,
2886.102,388.45743,
2883.191,367.64766,
2880.280,367.13217,
2877.370,344.49714,
2874.459,344.49932,
2871.549,375.63832,
2868.638,399.94458,
2865.727,392.39037,
2862.817,401.81083,
2859.906,405.68768,
2856.996,402.57066,
2854.085,399.66069,
2851.175,409.93523,
2848.264,403.35034,
2845.353,392.22888,
2842.443,404.05216,
2839.532,389.16226,
2836.622,391.16992,
2833.711,387.57319,
2830.801,377.63235,
2827.890,390.2701,
2824.979,394.97094,
2822.069,395.61363,
2819.158,392.34467,
2816.248,390.86632,
2813.337,402.85183,
2810.427,402.71316,
2807.516,384.63235,
2804.605,401.80769,
2801.695,396.92763,
2798.784,411.36831,
2795.874,395.89939,
2792.963,402.76777,
2790.052,396.62586,
2787.142,389.388,
2784.231,382.55977,
2781.321,398.18498,
2778.410,394.94479,
2775.500,390.43466,
2772.589,393.50956,
2769.678,392.16084,
2766.768,390.0017,
2763.857,405.78107,
2760.947,394.65022,
2758.036,420.65061,
2755.126,412.56945,
2752.215,426.17945,
2749.304,417.8804,
2746.394,414.80037,
2743.483,424.97501,
2740.573,412.97894,
