,PL1FD2~1,
Raman shift [1/cm],Intensity,
3014.167,4.875,
3011.256,-0.52508589,
3008.346,338.3152,
3005.435,394.95274,
3002.525,429.78272,
2999.614,430.02304,
2996.704,444.72551,
2993.793,441.83814,
2990.882,468.18035,
2987.972,475.0213,
2985.061,491.01784,
2982.151,519.78932,
2979.240,513.40731,
2976.329,546.67551,
2973.419,560.42879,
2970.508,573.97494,
2967.598,574.9742,
2964.687,599.26291,
2961.777,601.875,
2958.866,635.54068,
2955.955,645.22233,
2953.045,661.81014,
2950.134,688.21614,
2947.224,691.18816,
2944.313,700.97614,
2941.403,718.99452,
2938.492,730.64196,
2935.581,753.46641,
2932.671,751.31708,
2929.760,770.96348,
2926.850,795.9344,
2923.939,803.7582,
2921.028,789.79262,
2918.118,836.01227,
2915.207,820.93838,
2912.297,819.90039,
2909.386,847.0283,
2906.476,827.06882,
2903.565,834.45574,
2900.654,827.98118,
2897.744,817.91272,
2894.833,817.98846,
2891.923,822.7949,
2889.012,807.70159,
2886.102,812.9615,
2883.191,817.8599,
2880.280,804.31997,
2877.370,774.67154,
2874.459,768.97586,
2871.549,814.23035,
2868.638,864.743,
2865.727,835.59416,
2862.817,833.27342,
2859.906,854.90064,
2856.996,856.90217,
2854.085,857.03678,
2851.175,868.92318,
2848.264,854.53651,
2845.353,874.16329,
2842.443,839.87848,
2839.532,858.60621,
2836.622,842.20638,
2833.711,816.04609,
2830.801,828.75221,
2827.890,831.91343,
2824.979,834.49287,
2822.069,843.89774,
2819.158,845.11489,
2816.248,844.62211,
2813.337,858.2872,
2810.427,841.09539,
2807.516,865.33515,
2804.605,861.83173,
2801.695,862.92765,
2798.784,841.16662,
2795.874,856.15468,
2792.963,856.08915,
2790.052,842.87714,
2787.142,837.58554,
2784.231,831.77874,
2781.321,844.1893,
2778.410,843.06537,
2775.500,838.70431,
2772.589,838.2993,
2769.678,860.12413,
2766.768,865.4983,
2763.857,868.40294,
2760.947,885.39706,
2758.036,866.84939,
2755.126,886.11432,
2752.215,883.40682,
2749.304,889.98111,
2746.394,899.72176,
2743.483,910.02497,
2740.573,892.80853,
2737.662,887.53477,
2734.751,879.52554,
2731.841,898.2816,
2728.930,928.03616,
2726.020,910.09954,
2723.109,911.875,
2720.199,922.38434,
2717.288,927.3312,
2714.377,935.5832,
2711.467,935.00578,
2708.556,945.61984,
2705.646,943.25529,
2702.735,945.72295,
2699.825,948.13677,
2696.914,967.44731,
2694.003,955.74655,
2691.093,949.96406,
2688.182,947.69352,
2685.272,945.91056,
2682.361,967.33352,
2679.450,979.75155,
2676.540,996.96042,
2673.629,957.18888,
2670.719,965.23267,
2667.808,980.09683,
2664.898,950.62791,
2661.987,960.80816,
2659.076,992.28015,
2656.166,994.27763,
2653.255,995.53827,
2650.345,1003.3069,
2647.434,1014.7324,
2644.524,1022.3306,
2641.613,1030.8467,
2638.702,1005.3642,
2635.792,1033.1881,
2632.881,1024.8334,
2629.971,1018.385,
2627.060,1030.8731,
2624.149,1033.0125,
2621.239,1026.1413,
2618.328,1033.5532,
2615.418,1049.2068,
2612.507,1047.3928,
2609.597,1068.5796,
2606.686,1079.0577,
2603.775,1063.8393,
2600.865,1117.6294,
2597.954,1084.9708,
2595.044,1092.8219,
2592.133,1087.7538,
2589.223,1073.3087,
2586.312,1097.8297,
2583.401,1127.7108,
2580.491,1120.3558,
2577.580,1115.8667,
2574.670,1110.0448,
2571.759,1120.5368,
2568.848,1123.4661,
2565.938,1131.4464,
2563.027,1140.5341,
2560.117,1146.2395,
2557.206,1142.2588,
2554.296,1141.3304,
2551.385,1140.8831,
2548.474,1140.7267,
2545.564,1146.5584,
2542.653,1147.5059,
2539.743,1173.7395,
2536.832,1163.7311,
2533.922,1174.1746,
2531.011,1185.4506,
2528.100,1179.2026,
2525.190,1196.409,
2522.279,1198.0157,
2519.369,1201.1769,
2516.458,1177.9692,
2513.548,1197.7108,
2510.637,1168.6417,
2507.726,1207.1278,
2504.816,1193.8119,
2501.905,1206.9183,
2498.995,1223.0237,
2496.084,1212.2723,
2493.173,1242.2694,
2490.263,1212.1337,
2487.352,1252.0837,
2484.442,1252.6031,
2481.531,1236.6091,
2478.621,1243.3916,
2475.710,1255.8903,
2472.799,1258.8615,
2469.889,1257.5121,
2466.978,1256.4832,
2464.068,1284.6899,
2461.157,1278.9076,
2458.247,1259.4192,
2455.336,1271.4914,
2452.425,1290.8137,
2449.515,1268.2347,
2446.604,1318.7598,
2443.694,1316.0378,
2440.783,1305.5394,
2437.872,1336.2761,
2434.962,1336.6308,
2432.051,1330.7952,
2429.141,1342.0634,
2426.230,1356.506,
2423.320,1354.9029,
2420.409,1367.8817,
2417.498,1338.8918,
2414.588,1360.2171,
2411.677,1358.4846,
2408.767,1373.3573,
2405.856,1377.7869,
2402.946,1377.6069,
2400.035,1402.544,
2397.124,1415.2921,
2394.214,1390.009,
2391.303,1405.0627,
2388.393,1429.1145,
2385.482,1417.4478,
2382.571,1434.0652,
2379.661,1428.2238,
2376.750,1444.2937,
2373.840,1459.7187,
2370.929,1445.0591,
2368.019,1497.7075,
2365.108,1486.1054,
2362.197,1477.4146,
2359.287,1493.5981,
2356.376,1497.8838,
2353.466,1459.7824,
2350.555,1493.3553,
2347.645,1469.9837,
2344.734,1506.9166,
2341.823,1510.1072,
2338.913,1530.7899,
2336.002,1515.9539,
2333.092,1532.4495,
2330.181,1546.6653,
2327.270,1566.8299,
2324.360,1544.7995,
2321.449,1545.6301,
2318.539,1567.4927,
2315.628,1557.5313,
2312.718,1572.0732,
2309.807,1607.1236,
2306.896,1592.5917,
2303.986,1588.1413,
2301.075,1595.7899,
2298.165,1583.4998,
2295.254,1595.5519,
2292.344,1600.2899,
2289.433,1616.485,
2286.522,1623.4373,
2283.612,1622.4834,
2280.701,1618.0678,
2277.791,1614.0772,
2274.880,1643.517,
2271.969,1660.5746,
2269.059,1691.1366,
2266.148,1696.1455,
2263.238,1694.0758,
2260.327,1722.7024,
2257.417,1713.28,
2254.506,1722.5473,
2251.595,1718.4349,
2248.685,1739.6596,
2245.774,1719.5457,
2242.864,1750.8201,
2239.953,1774.0958,
2237.043,1765.2782,
2234.132,1773.5711,
2231.221,1793.6141,
2228.311,1788.0876,
2225.400,1780.9727,
2222.490,1830.5723,
2219.579,1881.1912,
2216.669,1888.3345,
2213.758,1913.1822,
2210.847,1908.9783,
2207.937,1920.2642,
2205.026,1946.9849,
2202.116,1989.0523,
2199.205,2030.9614,
2196.294,2052.189,
2193.384,2089.2421,
2190.473,2122.0346,
2187.563,2207.4164,
2184.652,2331.2252,
2181.742,2427.7647,
2178.831,2568.3812,
2175.920,2757.3869,
2173.010,2976.587,
2170.099,3239.385,
2167.189,3458.1425,
2164.278,3801.8087,
2161.368,4038.7245,
2158.457,4304.7471,
2155.546,4565.5512,
2152.636,4775.1193,
2149.725,4940.2239,
2146.815,5075.0042,
2143.904,5209.165,
2140.993,5180.6846,
2138.083,5151.1912,
2135.172,5103.5471,
2132.262,5012.7764,
2129.351,4845.5156,
2126.441,4677.6513,
2123.530,4517.7884,
2120.619,4210.6471,
2117.709,3923.6894,
2114.798,3662.3472,
2111.888,3396.3314,
2108.977,3139.6233,
2106.067,2927.0248,
2103.156,2755.9384,
2100.245,2607.8349,
2097.335,2530.7494,
2094.424,2427.2158,
2091.514,2379.9931,
2088.603,2305.1747,
2085.692,2248.9606,
2082.782,2243.6501,
2079.871,2232.91,
2076.961,2195.2644,
2074.050,2195.8871,
2071.140,2149.3124,
2068.229,2111.5078,
2065.318,2122.7645,
2062.408,2104.3289,
2059.497,2079.8869,
2056.587,2079.6193,
2053.676,2047.6602,
2050.766,2051.0282,
2047.855,1998.1883,
2044.944,2007.2789,
2042.034,1994.505,
2039.123,2000.4777,
2036.213,2025.1061,
2033.302,2035.9183,
2030.391,2043.6547,
2027.481,2044.8506,
2024.570,2025.647,
2021.660,2037.8698,
2018.749,2015.7868,
2015.839,2039.6821,
2012.928,2045.1049,
2010.017,2037.4342,
