,PL273A~1,
Raman shift [1/cm],Intensity,
3014.167,2.75,
3011.256,-1.4500429,
3008.346,402.61766,
3005.435,501.29064,
3002.525,513.33501,
2999.614,539.41365,
2996.704,558.37886,
2993.793,562.74078,
2990.882,570.87976,
2987.972,589.80045,
2985.061,601.5234,
2982.151,636.3349,
2979.240,646.36118,
2976.329,685.51775,
2973.419,691.47246,
2970.508,716.13334,
2967.598,718.98896,
2964.687,736.6447,
2961.777,761.62191,
2958.866,776.08729,
2955.955,803.38049,
2953.045,827.64932,
2950.134,855.49643,
2947.224,869.49019,
2944.313,907.78348,
2941.403,910.71396,
2938.492,925.32453,
2935.581,952.80884,
2932.671,941.43676,
2929.760,976.81923,
2926.850,982.48872,
2923.939,976.1051,
2921.028,1003.5383,
2918.118,1012.9112,
2915.207,1026.8703,
2912.297,1044.6865,
2909.386,1041.115,
2906.476,1050.1292,
2903.565,1060.3959,
2900.654,1056.3142,
2897.744,1049.6494,
2894.833,1053.2962,
2891.923,1038.9358,
2889.012,1029.9639,
2886.102,1007.5216,
2883.191,1032.7236,
2880.280,1006.7883,
2877.370,954.30248,
2874.459,972.68716,
2871.549,1016.2636,
2868.638,1043.7046,
2865.727,1063.073,
2862.817,1074.3636,
2859.906,1083.6873,
2856.996,1093.2749,
2854.085,1071.0252,
2851.175,1084.5843,
2848.264,1080.7597,
2845.353,1085.0167,
2842.443,1054.1458,
2839.532,1039.1232,
2836.622,1059.4466,
2833.711,1055.1205,
2830.801,1031.1676,
2827.890,1044.2273,
2824.979,1050.1579,
2822.069,1035.9547,
2819.158,1056.7904,
2816.248,1073.7037,
2813.337,1063.1829,
2810.427,1063.0516,
2807.516,1084.5844,
2804.605,1067.6418,
2801.695,1077.7369,
2798.784,1054.4462,
2795.874,1069.589,
2792.963,1077.7498,
2790.052,1052.7543,
2787.142,1063.9999,
2784.231,1054.5885,
2781.321,1054.0701,
2778.410,1071.2602,
2775.500,1048.6035,
2772.589,1075.5191,
2769.678,1083.4974,
2766.768,1078.517,
2763.857,1093.17,
2760.947,1080.2216,
2758.036,1101.1642,
2755.126,1097.6944,
2752.215,1114.4954,
2749.304,1110.75,
2746.394,1135.7642,
2743.483,1102.05,
2740.573,1094.8628,
2737.662,1127.1657,
2734.751,1127.8468,
2731.841,1108.9643,
2728.930,1130.1569,
2726.020,1133.3218,
2723.109,1123.5854,
2720.199,1156.6125,
2717.288,1153.2244,
2714.377,1158.1998,
2711.467,1172.095,
