,PL662E~1,
Raman shift [1/cm],Intensity,
3014.167,4.5,
3011.256,-2.0001074,
3008.346,119.47523,
3005.435,146.80742,
3002.525,156.59508,
2999.614,147.36103,
2996.704,154.8103,
2993.793,165.24309,
2990.882,159.76723,
2987.972,179.55549,
2985.061,178.52954,
2982.151,183.75548,
2979.240,194.60077,
2976.329,192.7541,
2973.419,216.99268,
2970.508,209.51662,
2967.598,210.73896,
2964.687,217.88791,
2961.777,222.31198,
2958.866,227.16419,
2955.955,225.94691,
2953.045,248.76622,
2950.134,241.25509,
2947.224,257.98397,
2944.313,262.81481,
2941.403,259.7979,
2938.492,274.21274,
2935.581,267.86566,
2932.671,281.70173,
2929.760,287.82692,
2926.850,281.70902,
2923.939,301.85981,
2921.028,290.94106,
2918.118,299.1398,
2915.207,301.6203,
2912.297,309.47884,
2909.386,313.10584,
2906.476,293.73317,
2903.565,308.75778,
2900.654,312.88827,
2897.744,302.13541,
2894.833,292.05636,
2891.923,300.66019,
2889.012,300.08381,
2886.102,295.47973,
2883.191,294.49906,
2880.280,293.28469,
2877.370,291.36047,
2874.459,287.55043,
2871.549,300.27624,
2868.638,321.27524,
2865.727,297.39996,
2862.817,313.77139,
2859.906,322.70228,
2856.996,317.99321,
2854.085,323.90127,
2851.175,325.76205,
2848.264,324.5735,
2845.353,349.46478,
2842.443,305.69443,
2839.532,329.12675,
2836.622,308.04492,
2833.711,306.55181,
2830.801,320.08971,
2827.890,311.1451,
2824.979,324.19189,
2822.069,332.35216,
2819.158,315.69946,
2816.248,324.4421,
2813.337,331.93293,
2810.427,325.11019,
2807.516,330.07547,
2804.605,336.04807,
2801.695,328.19737,
2798.784,327.64785,
2795.874,331.78496,
2792.963,331.85713,
2790.052,311.50429,
2787.142,326.78946,
2784.231,331.17701,
2781.321,322.43714,
2778.410,322.32995,
2775.500,342.64654,
2772.589,334.5,
2769.678,337.74913,
2766.768,341.5,
2763.857,333.9239,
2760.947,354.48109,
2758.036,348.11144,
2755.126,358.97863,
2752.215,351.96818,
2749.304,349.7554,
2746.394,353.13507,
2743.483,358.79999,
2740.573,359.72566,
2737.662,328.54141,
2734.751,341.42741,
2731.841,354.47437,
2728.930,365.96631,
2726.020,344.84201,
2723.109,339.08783,
2720.199,362.20628,
2717.288,361.30657,
2714.377,361.88754,
2711.467,359.41759,
2708.556,380.54253,
2705.646,360.37318,
2702.735,349.34795,
2699.825,370.83639,
2696.914,386.59547,
2694.003,381.85773,
2691.093,377.5,
2688.182,370.62667,
2685.272,377.89829,
2682.361,382.1059,
2679.450,387.87035,
2676.540,398.84963,
2673.629,374.13673,
2670.719,395.85028,
2667.808,379.56998,
2664.898,388.09727,
2661.987,397.76671,
2659.076,380.29743,
2656.166,385.08011,
2653.255,381.38776,
2650.345,397.04447,
2647.434,429.55687,
2644.524,413.70861,
2641.613,423.01477,
2638.702,403.94187,
2635.792,417.5638,
2632.881,408.07737,
2629.971,413.73493,
2627.060,413.33406,
2624.149,400.60938,
2621.239,412.03854,
2618.328,412.45761,
2615.418,407.18636,
2612.507,399.7411,
2609.597,435.01098,
2606.686,415.33132,
2603.775,421.54366,
2600.865,426.61943,
2597.954,429.45209,
2595.044,430.48229,
2592.133,429.60823,
2589.223,455.03055,
2586.312,435.42466,
2583.401,430.37595,
2580.491,449.7596,
2577.580,459.47194,
2574.670,442.77674,
2571.759,448.45462,
2568.848,432.74299,
2565.938,457.59523,
2563.027,461.42725,
2560.117,460.14485,
2557.206,474.58118,
2554.296,468.49313,
2551.385,452.20213,
2548.474,455.83308,
2545.564,463.08848,
2542.653,462.35235,
2539.743,475.41374,
2536.832,463.62149,
2533.922,471.37385,
2531.011,470.64939,
2528.100,483.10277,
2525.190,464.06025,
2522.279,489.37445,
2519.369,472.83924,
2516.458,484.16431,
2513.548,487.16356,
2510.637,496.90145,
2507.726,472.5,
2504.816,477.56314,
2501.905,479.06524,
2498.995,489.73888,
2496.084,490.43378,
2493.173,490.13179,
2490.263,496.29774,
2487.352,510.91573,
2484.442,500.34796,
2481.531,511.71272,
2478.621,513.19667,
2475.710,524.477,
2472.799,517.55386,
2469.889,513.25625,
2466.978,515.00522,
2464.068,515.37303,
2461.157,513.73002,
2458.247,513.48533,
2455.336,528.71136,
2452.425,534.5,
2449.515,529.97194,
2446.604,536.97468,
2443.694,540.96549,
2440.783,534.73536,
2437.872,524.2293,
2434.962,542.44931,
2432.051,533.64804,
2429.141,536.75282,
2426.230,533.95634,
2423.320,547.02863,
2420.409,544.8782,
2417.498,531.73875,
2414.588,533.94482,
2411.677,558.17728,
2408.767,555.82382,
2405.856,560.89769,
2402.946,541.39276,
2400.035,567.37091,
2397.124,570.80483,
2394.214,551.122,
2391.303,557.17954,
2388.393,563.97908,
2385.482,574.10344,
2382.571,569.58768,
2379.661,593.05827,
2376.750,586.28814,
2373.840,587.36251,
2370.929,602.32672,
2368.019,588.8128,
2365.108,595.3377,
2362.197,595.87537,
2359.287,609.07995,
2356.376,570.5722,
2353.466,604.5617,
2350.555,593.24017,
2347.645,601.6841,
2344.734,626.92863,
2341.823,603.01408,
2338.913,615.27613,
2336.002,615.34218,
2333.092,608.82171,
2330.181,622.04474,
2327.270,627.33498,
2324.360,624.78535,
2321.449,637.23809,
2318.539,637.09634,
2315.628,617.78696,
2312.718,618.98238,
2309.807,641.88518,
2306.896,633.75196,
2303.986,629.27917,
2301.075,638.5425,
2298.165,635.73053,
2295.254,650.11223,
2292.344,637.49579,
2289.433,652.82818,
