,PL92EE~1,
Raman shift [1/cm],Intensity,
3014.167,-1.25,
3011.256,0.54995705,
3008.346,39.610345,
3005.435,74.09629,
3002.525,76.335011,
2999.614,73.848691,
2996.704,75.927317,
2993.793,60.979264,
2990.882,85.78812,
2987.972,91.674326,
2985.061,81.183503,
2982.151,100.84077,
2979.240,85.980017,
2976.329,112.01502,
2973.419,100.82702,
2970.508,89.966703,
2967.598,116.32349,
2964.687,114.37772,
2961.777,112.43389,
2958.866,101.08284,
2955.955,120.72121,
2953.045,123.19966,
2950.134,134.69755,
2947.224,132.77847,
2944.313,132.85114,
2941.403,143.91697,
2938.492,133.70662,
2935.581,139.10455,
2932.671,124.67277,
2929.760,146.23463,
2926.850,148.95902,
2923.939,132.22661,
2921.028,149.14417,
2918.118,158.8495,
2915.207,154.75,
2912.297,164.70769,
2909.386,162.96168,
2906.476,163.71911,
2903.565,158.49222,
2900.654,169.0432,
2897.744,150.62428,
2894.833,154.358,
2891.923,144.55759,
2889.012,159.66907,
2886.102,146.91757,
2883.191,163.73112,
2880.280,141.33372,
2877.370,121.25583,
2874.459,129.9199,
2871.549,156.63173,
2868.638,148.56651,
2865.727,169.64233,
2862.817,166.12165,
2859.906,171.49644,
2856.996,159.26132,
2854.085,166.43279,
2851.175,173.48795,
2848.264,167.61267,
2845.353,151.8147,
2842.443,157.94443,
2839.532,148.77994,
2836.622,150.41862,
2833.711,157.64639,
2830.801,166.54118,
2827.890,154.27274,
2824.979,164.392,
2822.069,166.78412,
2819.158,169.75,
2816.248,167.50868,
2813.337,154.1317,
2810.427,167.01447,
2807.516,168.32547,
2804.605,155.65386,
2801.695,154.94733,
2798.784,155.49331,
2795.874,170.59431,
2792.963,169.24968,
2790.052,148.75279,
2787.142,163.06569,
2784.231,152.04037,
2781.321,141.68714,
2778.410,149.87943,
2775.500,166.57931,
2772.589,167.86544,
2769.678,170.60665,
2766.768,172.75,
2763.857,164.48603,
2760.947,161.77522,
2758.036,164.90286,
2755.126,169.51068,
2752.215,170.09088,
2749.304,177.34531,
2746.394,170.34875,
2743.483,179.35002,
2740.573,171.31414,
2737.662,163.44082,
2734.751,176.95878,
2731.841,167.61447,
2728.930,175.40258,
2726.020,177.97975,
2723.109,181.09025,
2720.199,181.12182,
2717.288,181.59306,
2714.377,183.4582,
2711.467,191.14341,
2708.556,183.88853,
2705.646,181.66551,
2702.735,188.74484,
2699.825,187.66274,
2696.914,184.46408,
2694.003,187.05245,
2691.093,178.57189,
2688.182,196.09593,
2685.272,187.47546,
2682.361,181.0262,
2679.450,181.71712,
2676.540,194.58741,
2673.629,190.73204,
2670.719,180.76478,
2667.808,192.63138,
2664.898,197.15273,
2661.987,188.04997,
2659.076,190.24138,
2656.166,191.75,
2653.255,195.11905,
2650.345,195.61388,
2647.434,208.03608,
2644.524,210.55331,
2641.613,203.72172,
2638.702,194.97093,
2635.792,198.18769,
2632.881,192.7084,
2629.971,196.72991,
2627.060,209.74938,
2624.149,213.37188,
2621.239,206.48962,
2618.328,209.58045,
2615.418,201.76818,
2612.507,220.4337,
2609.597,193.15718,
2606.686,215.55522,
2603.775,214.75,
2600.865,197.16633,
2597.954,200.99577,
2595.044,221.45505,
2592.133,215.19588,
2589.223,220.31632,
2586.312,225.57915,
2583.401,218.46531,
2580.491,223.81727,
2577.580,211.7599,
2574.670,224.66843,
2571.759,227.88614,
2568.848,220.68925,
2565.938,217.65477,
2563.027,220.40907,
2560.117,222.93691,
2557.206,227.07841,
2554.296,232.20538,
2551.385,225.188,
2548.474,227.86115,
2545.564,223.90828,
2542.653,225.60235,
2539.743,235.70071,
2536.832,229.17803,
2533.922,223.31769,
2531.011,249.95074,
2528.100,237.41205,
2525.190,235.68197,
2522.279,245.51551,
2519.369,243.16495,
2516.458,235.96317,
2513.548,237.88619,
2510.637,260.45886,
2507.726,241.68681,
2504.816,239.24943,
2501.905,243.86585,
2498.995,254.33197,
2496.084,248.36324,
2493.173,245.88146,
2490.263,237.16581,
2487.352,240.83347,
2484.442,240.75643,
2481.531,244.70204,
2478.621,251.21445,
2475.710,260.80367,
2472.799,268.98317,
2469.889,264.50899,
2466.978,257.19329,
2464.068,251.04627,
2461.157,264.86745,
2458.247,268.20582,
2455.336,266.68543,
2452.425,267.07547,
2449.515,270.48597,
2446.604,269.75695,
2443.694,266.30841,
2440.783,260.41441,
2437.872,269.49475,
2434.962,263.53802,
2432.051,260.87337,
2429.141,265.71458,
2426.230,252.92344,
2423.320,295.7074,
2420.409,276.42965,
2417.498,269.33147,
2414.588,288.46476,
2411.677,274.28787,
2408.767,287.99114,
2405.856,287.15714,
2402.946,290.11908,
2400.035,302.4378,
2397.124,265.33287,
2394.214,290.29159,
2391.303,292.24729,
2388.393,288.73605,
2385.482,280.19062,
2382.571,277.58547,
2379.661,287.91259,
2376.750,294.5949,
2373.840,285.75,
2370.929,279.81498,
2368.019,291.55727,
2365.108,297.86518,
2362.197,303.37463,
2359.287,285.38008,
2356.376,313.69365,
2353.466,317.40245,
2350.555,297.82479,
2347.645,296.44668,
2344.734,316.72239,
2341.823,304.03191,
2338.913,332.37535,
2336.002,321.57053,
2333.092,319.04904,
2330.181,314.52237,
2327.270,347.87982,
2324.360,316.54011,
2321.449,307.78061,
2318.539,316.9855,
2315.628,336.11931,
2312.718,320.31827,
2309.807,342.7253,
2306.896,323.96283,
2303.986,321.93193,
2301.075,329.72875,
2298.165,317.56717,
2295.254,307.92234,
2292.344,342.91188,
2289.433,328.42182,
2286.522,327.18306,
2283.612,345.45156,
2280.701,345.22984,
2277.791,350.70993,
2274.880,349.75,
2271.969,349.75,
2269.059,354.21867,
2266.148,364.31594,
2263.238,355.05503,
2260.327,351.16385,
2257.417,357.46167,
2254.506,352.87248,
2251.595,355.30993,
2248.685,361.06732,
2245.774,366.05758,
2242.864,337.30609,
2239.953,362.70857,
2237.043,366.51572,
2234.132,369.41488,
2231.221,374.77582,
2228.311,368.40078,
2225.400,378.58113,
2222.490,375.53508,
2219.579,386.04048,
2216.669,385.73569,
2213.758,399.8389,
2210.847,390.43516,
2207.937,394.42426,
2205.026,383.97128,
2202.116,412.63428,
2199.205,424.04977,
2196.294,424.81601,
2193.384,435.96002,
2190.473,420.30047,
2187.563,429.85634,
2184.652,454.15979,
2181.742,461.54469,
2178.831,461.69948,
2175.920,488.32742,
2173.010,504.62585,
2170.099,524.34822,
2167.189,539.72847,
2164.278,538.65754,
2161.368,560.89151,
2158.457,600.18793,
2155.546,625.27982,
2152.636,648.77655,
2149.725,645.76343,
2146.815,669.84904,
2143.904,705.25557,
2140.993,717.12039,
2138.083,716.49162,
2135.172,737.14504,
2132.262,725.96655,
2129.351,706.46376,
2126.441,695.91502,
2123.530,654.60409,
2120.619,639.96108,
2117.709,614.77456,
2114.798,570.31148,
2111.888,561.23752,
2108.977,532.14071,
2106.067,496.03218,
2103.156,485.35082,
2100.245,478.73181,
2097.335,450.23167,
2094.424,452.3139,
2091.514,448.82259,
2088.603,456.92048,
2085.692,446.01776,
2082.782,447.17964,
2079.871,442.89236,
2076.961,426.71867,
2074.050,431.62273,
2071.140,444.88824,
2068.229,422.02865,
2065.318,420.10851,
2062.408,437.61383,
2059.497,420.29758,
2056.587,419.06369,
2053.676,405.33458,
2050.766,416.44133,
2047.855,416.43673,
2044.944,408.9423,
2042.034,429.75,
2039.123,424.30892,
2036.213,412.86555,
2033.302,399.79366,
2030.391,400.0548,
2027.481,419.14012,
2024.570,430.49268,
2021.660,418.57781,
2018.749,447.99019,
2015.839,426.32874,
2012.928,415.34732,
2010.017,424.25705,
2007.107,417.44908,
2004.196,435.96432,
2001.286,430.8525,
1998.375,405.04921,
1995.465,405.61607,
1992.554,420.89695,
1989.643,415.99195,
1986.733,397.14474,
1983.822,375.09786,
1980.912,407.82873,
1978.001,388.69063,
1975.090,394.73474,
1972.180,395.44017,
1969.269,386.35344,
1966.359,386.34463,
1963.448,397.97722,
1960.538,391.20037,
1957.627,384.29179,
1954.716,399.29037,
1951.806,350.88616,
1948.895,392.6427,
1945.985,391.39706,
1943.074,364.99351,
1940.164,366.1249,
1937.253,353.44574,
1934.342,366.91256,
1931.432,375.93612,
1928.521,349.26813,
1925.611,322.17225,
1922.700,350.5732,
1919.790,345.96981,
1916.879,378.16927,
1913.968,360.77459,
1911.058,346.46773,
1908.147,366.89741,
1905.237,348.10298,
1902.326,367.15742,
1899.415,354.98294,
1896.505,379.8887,
1893.594,374.67369,
1890.684,357.1094,
1887.773,364.28457,
1884.863,371.95501,
1881.952,361.70766,
1879.041,355.50649,
1876.131,376.10947,
1873.220,335.42238,
1870.310,349.17149,
1867.399,351.73401,
1864.489,338.98366,
1861.578,344.75,
1858.667,346.95058,
1855.757,358.15573,
1852.846,355.51922,
1849.936,361.61087,
1847.025,371.62345,
1844.114,402.0935,
1841.204,380.98427,
1838.293,366.26081,
1835.383,384.88898,
1832.472,416.42478,
1829.562,392.44869,
1826.651,380.22022,
1823.740,408.22897,
1820.830,379.16698,
1817.919,406.0257,
1815.009,382.21311,
1812.098,374.05709,
1809.188,394.38561,
1806.277,402.59508,
1803.366,426.08455,
1800.456,389.93752,
1797.545,443.09051,
1794.635,426.36299,
1791.724,423.91505,
1788.813,417.54074,
1785.903,393.90888,
1782.992,410.21349,
1780.082,403.62854,
1777.171,388.41488,
1774.261,388.32013,
1771.350,401.72875,
1768.439,412.83624,
1765.529,413.29349,
