,PLBFCC~1,
Raman shift [1/cm],Intensity,
3014.167,2.5,
3011.256,-1.8000644,
3008.346,153.43654,
3005.435,166.30919,
3002.525,183.01007,
2999.614,201.2714,
2996.704,193.35876,
2993.793,201.60542,
2990.882,217.06488,
2987.972,230.40919,
2985.061,211.6133,
2982.151,224.59077,
2979.240,242.44962,
2976.329,250.51092,
2973.419,254.60757,
2970.508,261.96665,
2967.598,266.07349,
2964.687,279.41033,
2961.777,266.09813,
2958.866,293.16865,
2955.955,281.39382,
2953.045,291.13311,
2950.134,310.11812,
2947.224,300.55335,
2944.313,333.35399,
2941.403,329.5,
2938.492,341.79811,
2935.581,350.31717,
2932.671,339.46139,
2929.760,355.58848,
2926.850,364.44774,
2923.939,370.5,
2921.028,367.41762,
2918.118,378.7796,
2915.207,371.96831,
2912.297,375.47461,
2909.386,391.5,
2906.476,385.85675,
2903.565,386.51704,
2900.654,385.56975,
2897.744,383.58801,
2894.833,387.20109,
2891.923,399.52891,
2889.012,367.49422,
2886.102,388.91621,
2883.191,374.5151,
2880.280,365.53828,
2877.370,358.57559,
2874.459,362.78317,
2871.549,389.76319,
2868.638,416.3206,
2865.727,402.99618,
2862.817,399.24331,
2859.906,410.13248,
2856.996,397.01132,
2854.085,405.06304,
2851.175,404.69273,
2848.264,398.51934,
2845.353,396.41373,
2842.443,392.5,
2839.532,383.18662,
2836.622,385.34831,
2833.711,380.29277,
2830.801,389.98897,
2827.890,392.7902,
2824.979,380.36404,
2822.069,393.62509,
2819.158,396.89891,
2816.248,391.22395,
2813.337,387.18048,
2810.427,386.76447,
2807.516,388.07547,
2804.605,383.36058,
2801.695,398.46053,
2798.784,401.5,
2795.874,400.35488,
2792.963,392.85691,
2790.052,385.50043,
2787.142,389.59204,
2784.231,393.1444,
2781.321,404.93426,
2778.410,394.8401,
2775.500,389.43655,
2772.589,399.42203,
2769.678,388.60578,
2766.768,403.42817,
2763.857,409.86801,
2760.947,404.48739,
2758.036,401.65286,
2755.126,422.73932,
2752.215,428.0092,
2749.304,430.26619,
2746.394,399.77015,
2743.483,413.29996,
2740.573,425.82303,
2737.662,417.37279,
2734.751,407.61649,
2731.841,411.17583,
2728.930,426.88573,
2726.020,418.06655,
2723.109,429.15975,
2720.199,439.48133,
2717.288,431.76278,
2714.377,421.4377,
2711.467,448.20548,
2708.556,445.43558,
2705.646,443.68304,
2702.735,445.51032,
2699.825,448.16361,
2696.914,434.83317,
2694.003,439.0691,
2691.093,445.78521,
2688.182,446.24667,
2685.272,454.89829,
2682.361,447.67685,
2679.450,434.45471,
2676.540,446.27644,
2673.629,448.1098,
2670.719,467.07671,
2667.808,461.59727,
2664.898,465.24027,
2661.987,452.59977,
2659.076,434.77156,
2656.166,463.96754,
2653.255,476.90137,
2650.345,468.41107,
2647.434,485.61375,
2644.524,467.04437,
2641.613,472.92866,
2638.702,484.34219,
2635.792,481.72033,
2632.881,477.00583,
2629.971,491.22489,
2627.060,486.5,
2624.149,478.69064,
2621.239,488.28706,
2618.328,507.20329,
2615.418,495.1909,
2612.507,493.18771,
2609.597,508.49002,
2606.686,489.08434,
2603.775,491.98016,
2600.865,508.55466,
2597.954,497.78748,
2595.044,509.44686,
2592.133,523.33441,
2589.223,526.28316,
2586.312,515.57534,
2583.401,527.35765,
2580.491,519.14424,
2577.580,527.4802,
2574.670,514.94653,
2571.759,527.26283,
2568.848,536.85358,
2565.938,535.26199,
2563.027,523.5,
2560.117,536.21031,
2557.206,539.88376,
2554.296,530.32838,
2551.385,530.81401,
2548.474,533.90744,
2545.564,531.59497,
2542.653,533.59395,
2539.743,556.9199,
2536.832,554.43831,
2533.922,539.83115,
2531.011,557.75023,
2528.100,559.56275,
2525.190,565.12828,
2522.279,569.32755,
2519.369,546.40561,
2516.458,562.95467,
2513.548,564.79105,
2510.637,577.37703,
2507.726,564.25834,
2504.816,554.12684,
2501.905,557.38415,
2498.995,555.96253,
2496.084,550.87284,
2493.173,565.13179,
2490.263,578.47741,
2487.352,570.83387,
2484.442,581.63275,
2481.531,595.2925,
2478.621,588.98337,
2475.710,579.50767,
2472.799,585.43268,
2469.889,589.35039,
2466.978,588.32464,
2464.068,582.92325,
2461.157,610.4576,
2458.247,594.35295,
2455.336,604.73289,
2452.425,600.5849,
2449.515,609.46259,
2446.604,624.20506,
