,PLCD80~1,
Raman shift [1/cm],Intensity,
3014.167,-0.375,
3011.256,-1.2250752,
3008.346,302.00292,
3005.435,353.51193,
3002.525,370.17254,
2999.614,371.76397,
2996.704,372.49201,
2993.793,396.34966,
2990.882,415.06012,
2987.972,417.68049,
2985.061,433.50185,
2982.151,449.3124,
2979.240,463.84077,
2976.329,472.38183,
2973.419,493.84015,
2970.508,509.17497,
2967.598,512.1507,
2964.687,531.69905,
2961.777,545.24897,
2958.866,545.28177,
2955.955,555.58961,
2953.045,588.35878,
2950.134,589.19934,
2947.224,630.65347,
2944.313,639.26531,
2941.403,659.05383,
2938.492,662.37027,
2935.581,669.58207,
2932.671,692.22587,
2929.760,712.66349,
2926.850,723.78177,
2923.939,705.625,
2921.028,709.47798,
2918.118,738.46379,
2915.207,730.39084,
2912.297,739.59115,
2909.386,759.84397,
2906.476,721.67281,
2903.565,747.38427,
2900.654,743.52993,
2897.744,738.49928,
2894.833,731.92391,
2891.923,743.9231,
2889.012,728.2435,
2886.102,739.35609,
2883.191,732.625,
2880.280,709.95514,
2877.370,690.99131,
2874.459,685.14711,
2871.549,720.86208,
2868.638,735.625,
2865.727,752.96731,
2862.817,759.45387,
2859.906,779.10648,
2856.996,786.64311,
2854.085,758.85815,
2851.175,769.29364,
2848.264,773.8455,
2845.353,777.5603,
2842.443,757.45494,
2839.532,759.56513,
2836.622,760.71484,
2833.711,745.63284,
2830.801,763.60295,
2827.890,753.28932,
2824.979,735.84704,
2822.069,765.65912,
2819.158,766.72473,
2816.248,767.36053,
2813.337,775.60427,
2810.427,764.75723,
2807.516,769.20047,
2804.605,766.74278,
2801.695,773.12504,
2798.784,753.508,
2795.874,758.19492,
2792.963,766.6966,
2790.052,754.62843,
2787.142,768.65123,
2784.231,763.17313,
2781.321,748.18498,
2778.410,746.60469,
2775.500,749.02983,
2772.589,773.16323,
2769.678,768.69668,
2766.768,782.23473,
2763.857,797.30901,
2760.947,798.64391,
2758.036,786.3765,
2755.126,795.67414,
2752.215,804.38879,
2749.304,790.32827,
2746.394,809.33272,
2743.483,792.37499,
2740.573,802.60955,
2737.662,790.65606,
2734.751,799.90187,
2731.841,817.38325,
2728.930,819.43873,
2726.020,800.74248,
2723.109,815.37742,
2720.199,807.72177,
2717.288,832.41333,
2714.377,830.17516,
2711.467,833.8217,
2708.556,842.96521,
2705.646,845.55456,
2702.735,856.60437,
2699.825,843.96139,
2696.914,858.10137,
2694.003,840.16646,
2691.093,843.48181,
2688.182,838.44352,
2685.272,861.94363,
2682.361,860.50164,
2679.450,857.57971,
2676.540,880.34046,
2673.629,868.28418,
2670.719,877.40596,
2667.808,861.59771,
2664.898,862.00146,
2661.987,888.62533,
2659.076,874.56683,
2656.166,894.43026,
2653.255,886.84439,
2650.345,876.59233,
2647.434,962.50954,
2644.524,923.25811,
2641.613,922.39621,
2638.702,893.03531,
2635.792,917.09161,
2632.881,929.00603,
2629.971,923.00753,
2627.060,901.45906,
2624.149,913.99997,
2621.239,933.37055,
2618.328,936.77726,
2615.418,915.96591,
2612.507,913.8661,
2609.597,958.21782,
2606.686,955.26154,
2603.775,942.90277,
2600.865,957.79572,
2597.954,964.86457,
2595.044,975.57186,
2592.133,979.67588,
2589.223,991.56502,
2586.312,991.2129,
2583.401,999.64687,
2580.491,990.80288,
2577.580,1002.6035,
2574.670,997.92712,
2571.759,1002.5591,
2568.848,1012.4981,
2565.938,997.91069,
2563.027,1004.65,
2560.117,1002.7278,
2557.206,1016.6102,
2554.296,1022.8195,
2551.385,1013.2031,
2548.474,1041.1808,
2545.564,1036.9099,
2542.653,1034.3498,
2539.743,1057.2421,
2536.832,1058.197,
2533.922,1054.7985,
2531.011,1069.7497,
2528.100,1080.0919,
2525.190,1059.0701,
2522.279,1078.8595,
2519.369,1081.5119,
2516.458,1076.0691,
2513.548,1061.0616,
2510.637,1074.0717,
2507.726,1073.744,
2504.816,1087.1244,
2501.905,1073.886,
2498.995,1042.0735,
2496.084,1080.9316,
2493.173,1091.5727,
2490.263,1093.2431,
2487.352,1092.0006,
2484.442,1108.0297,
2481.531,1128.7314,
2478.621,1119.8761,
2475.710,1126.5253,
2472.799,1117.8178,
2469.889,1132.5641,
2466.978,1135.3466,
2464.068,1124.1329,
2461.157,1143.5826,
2458.247,1141.1252,
2455.336,1135.5643,
2452.425,1140.4552,
2449.515,1162.7851,
2446.604,1158.4383,
2443.694,1171.7179,
2440.783,1186.6284,
2437.872,1195.151,
2434.962,1184.9891,
2432.051,1189.6743,
2429.141,1196.1661,
2426.230,1198.6902,
2423.320,1210.8247,
2420.409,1223.7596,
2417.498,1214.257,
2414.588,1207.4425,
2411.677,1216.6568,
2408.767,1200.9961,
2405.856,1242.413,
2402.946,1245.726,
2400.035,1234.4325,
2397.124,1233.9726,
2394.214,1248.5178,
2391.303,1263.0559,
2388.393,1280.5692,
2385.482,1259.7706,
2382.571,1275.625,
2379.661,1273.3925,
2376.750,1299.1445,
2373.840,1284.5439,
2370.929,1292.4301,
2368.019,1311.8177,
2365.108,1314.9967,
2362.197,1338.3347,
2359.287,1317.2969,
2356.376,1335.5775,
2353.466,1304.7448,
2350.555,1328.7851,
2347.645,1330.0727,
2344.734,1345.7495,
2341.823,1320.1391,
2338.913,1355.5593,
2336.002,1353.2207,
2333.092,1355.3722,
2330.181,1383.8039,
2327.270,1353.9352,
2324.360,1391.6085,
2321.449,1384.1182,
2318.539,1389.4965,
2315.628,1383.625,
2312.718,1389.8078,
2309.807,1439.2529,
2306.896,1387.1837,
2303.986,1405.2743,
2301.075,1405.1782,
2298.165,1397.4517,
2295.254,1405.388,
2292.344,1430.2515,
2289.433,1444.9223,
2286.522,1440.2455,
2283.612,1444.625,
2280.701,1436.8358,
2277.791,1457.9475,
2274.880,1485.1311,
2271.969,1477.1353,
2269.059,1491.1836,
2266.148,1520.807,
2263.238,1527.1269,
2260.327,1522.7976,
2257.417,1537.4389,
2254.506,1541.3116,
2251.595,1565.1849,
2248.685,1569.4692,
2245.774,1542.3947,
2242.864,1557.6524,
2239.953,1550.9076,
2237.043,1561.2082,
