,PLDDA2~1,
Raman shift [1/cm],Intensity,
3014.167,0.75,
3011.256,-0.10007516,
3008.346,68.480361,
3005.435,99.78887,
3002.525,106.50503,
2999.614,118.94738,
2996.704,118.33453,
2993.793,103.85542,
2990.882,117.62024,
2987.972,127.73991,
2985.061,121.3165,
2982.151,130.72144,
2979.240,128.51233,
2976.329,153.25273,
2973.419,161.21213,
2970.508,150.31659,
2967.598,159.46687,
2964.687,162.76563,
2961.777,168.86984,
2958.866,154.40825,
2955.955,182.44467,
2953.045,167.85068,
2950.134,178.81415,
2947.224,188.15215,
2944.313,174.94088,
2941.403,208.95301,
2938.492,182.5901,
2935.581,190.24445,
2932.671,189.11485,
2929.760,207.86922,
2926.850,209.38421,
2923.939,211.59113,
2921.028,217.76775,
2918.118,232.44647,
2915.207,214.93368,
2912.297,234.69922,
2909.386,227.35584,
2906.476,220.88203,
2903.565,229.84629,
2900.654,238.36173,
2897.744,229.66199,
2894.833,223.98709,
2891.923,235.4808,
2889.012,232.33959,
2886.102,203.29325,
2883.191,231.7179,
2880.280,223.49641,
2877.370,204.20356,
2874.459,195.21548,
2871.549,214.67115,
2868.638,222.65928,
2865.727,245.87696,
2862.817,236.57887,
2859.906,242.83832,
2856.996,232.26585,
2854.085,237.55254,
2851.175,248.12954,
2848.264,246.5295,
2845.353,222.39701,
2842.443,242.56602,
2839.532,222.54108,
2836.622,229.39062,
2833.711,235.55061,
2830.801,228.14559,
2827.890,230.27274,
2824.979,244.24397,
2822.069,230.86372,
2819.158,239.60984,
2816.248,234.76158,
2813.337,234.88414,
2810.427,238.97039,
2807.516,237.11687,
2804.605,236.40626,
2801.695,237.69735,
2798.784,228.89785,
2795.874,230.87927,
2792.963,239.89277,
2790.052,217.75429,
2787.142,232.52635,
2784.231,224.39598,
2781.321,212.13293,
2778.410,236.06979,
2775.500,227.73035,
2772.589,238.63456,
2769.678,238.21416,
2766.768,243.61991,
2763.857,252.01204,
2760.947,252.81304,
2758.036,248.34864,
2755.126,250.27137,
2752.215,250.89993,
2749.304,270.17443,
2746.394,236.6189,
2743.483,250.35002,
2740.573,248.52434,
2737.662,243.2071,
2734.751,248.40054,
2731.841,249.31777,
2728.930,246.75,
2726.020,251.75521,
2723.109,250.4305,
2720.199,260.45628,
2717.288,256.2938,
2714.377,264.58738,
2711.467,248.91374,
2708.556,262.96263,
2705.646,258.4542,
2702.735,269.39947,
2699.825,269.37916,
2696.914,262.4636,
2694.003,273.97927,
2691.093,267.8571,
2688.182,275.15074,
2685.272,279.96195,
2682.361,260.75546,
2679.450,270.84057,
2676.540,259.19713,
2673.629,278.75898,
2670.719,273.46534,
2667.808,283.21501,
2664.898,279.07491,
2661.987,270.8501,
2659.076,289.58835,
2656.166,277.20028,
2653.255,268.93198,
2650.345,273.04583,
2647.434,289.57852,
2644.524,285.43344,
2641.613,272.83548,
2638.702,283.51328,
2635.792,294.21959,
2632.881,281.97629,
2629.971,274.26005,
2627.060,298.58593,
2624.149,283.72187,
2621.239,293.00445,
2618.328,307.52077,
2615.418,279.08636,
2612.507,294.50488,
2609.597,295.66816,
2606.686,295.99698,
2603.775,291.63095,
2600.865,302.39508,
2597.954,308.31877,
2595.044,299.75,
2592.133,304.0303,
2589.223,296.94262,
2586.312,313.26256,
2583.401,319.34125,
2580.491,322.29808,
2577.580,321.72689,
2574.670,311.07085,
2571.759,319.75,
2568.848,312.34112,
2565.938,305.74986,
2563.027,324.01819,
2560.117,313.21727,
2557.206,319.50277,
2554.296,314.004,
2551.385,305.56805,
2548.474,320.89833,
2545.564,335.40179,
2542.653,328.20302,
2539.743,323.70071,
2536.832,320.19859,
2533.922,339.62385,
2531.011,330.92507,
2528.100,326.61759,
2525.190,337.39918,
2522.279,329.32792,
2519.369,322.25934,
2516.458,326.8619,
2513.548,331.7954,
2510.637,341.62703,
2507.726,333.50463,
2504.816,327.62599,
2501.905,327.25732,
2498.995,331.58607,
2496.084,342.60365,
2493.173,340.51325,
2490.263,336.36807,
2487.352,330.20907,
2484.442,344.73714,
2481.531,360.5425,
2478.621,354.23337,
2475.710,356.88802,
2472.799,367.35098,
2469.889,358.32343,
2466.978,352.544,
2464.068,361.03048,
2461.157,357.86745,
2458.247,371.01476,
2455.336,362.90067,
2452.425,345.05188,
2449.515,374.08057,
2446.604,383.34683,
2443.694,374.98274,
2440.783,375.51126,
2437.872,377.3699,
2434.962,385.86983,
2432.051,369.60196,
2429.141,367.92069,
2426.230,370.35885,
2423.320,391.23604,
2420.409,378.88459,
2417.498,385.53652,
2414.588,394.47241,
2411.677,387.82172,
2408.767,391.01476,
2405.856,387.24528,
2402.946,371.9046,
2400.035,402.91435,
2397.124,398.29012,
2394.214,386.75,
2391.303,390.50135,
2388.393,397.48257,
2385.482,389.19062,
2382.571,400.07906,
2379.661,396.16871,
2376.750,387.32881,
2373.840,408.92803,
2370.929,422.66336,
2368.019,402.47354,
2365.108,393.88874,
2362.197,411.90347,
2359.287,414.75836,
2356.376,417.74296,
2353.466,416.91606,
2350.555,419.82479,
2347.645,420.22283,
2344.734,425.96198,
2341.823,406.08166,
2338.913,425.94704,
2336.002,433.70461,
2333.092,421.18679,
2330.181,439.61184,
2327.270,441.02503,
2324.360,425.64854,
2321.449,444.61053,
