,PLEB66~1,
Raman shift [1/cm],Intensity,
3014.167,-2.375,
3011.256,-1.375,
3008.346,299.80099,
3005.435,367.27871,
3002.525,375.34256,
2999.614,396.72369,
2996.704,403.57242,
2993.793,411.11118,
2990.882,431.79288,
2987.972,441.69058,
2985.061,462.60531,
2982.151,485.8351,
2979.240,496.52423,
2976.329,516.40367,
2973.419,540.08713,
2970.508,529.80826,
2967.598,550.81978,
2964.687,567.46128,
2961.777,581.36881,
2958.866,593.61906,
2955.955,619.07852,
2953.045,633.0098,
2950.134,660.60463,
2947.224,653.96663,
2944.313,675.9619,
2941.403,731.20939,
2938.492,701.16699,
2935.581,722.83965,
2932.671,725.38898,
2929.760,741.88269,
2926.850,747.1547,
2923.939,771.86331,
2921.028,771.46023,
2918.118,781.9046,
2915.207,790.3973,
2912.297,808.58269,
2909.386,804.23084,
2906.476,799.36939,
2903.565,798.99611,
2900.654,795.40154,
2897.744,797.65014,
2894.833,800.86209,
2891.923,776.67619,
2889.012,788.41113,
2886.102,789.10745,
2883.191,799.60423,
2880.280,784.13217,
2877.370,756.78785,
2874.459,763.26658,
2871.549,789.20412,
2868.638,821.58168,
2865.727,816.85963,
2862.817,811.08222,
2859.906,820.51104,
2856.996,827.58877,
2854.085,826.82246,
2851.175,827.48045,
2848.264,828.2575,
2845.353,843.19366,
2842.443,824.0243,
2839.532,801.34156,
2836.622,792.77669,
2833.711,785.21055,
2830.801,821.68898,
2827.890,809.625,
2824.979,807.05702,
2822.069,814.53402,
2819.158,816.50641,
2816.248,806.47632,
2813.337,827.2128,
2810.427,821.94044,
2807.516,823.66797,
2804.605,819.76442,
2801.695,822.20398,
2798.784,816.88169,
2795.874,810.32947,
2792.963,822.83936,
2790.052,808.62843,
2787.142,810.75662,
2784.231,812.49612,
2781.321,780.32223,
2778.410,804.38008,
2775.500,797.26397,
2772.589,827.54854,
2769.678,827.66258,
2766.768,817.19005,
2763.857,827.72904,
2760.947,834.73217,
2758.036,832.14081,
2755.126,846.37928,
2752.215,866.625,
2749.304,850.92358,
2746.394,860.9536,
2743.483,863.02503,
2740.573,863.8352,
2737.662,865.17826,
2734.751,865.85798,
2731.841,870.30083,
2728.930,874.4427,
2726.020,893.18634,
2723.109,900.28475,
2720.199,888.66235,
2717.288,894.31112,
2714.377,888.46238,
2711.467,917.87115,
2708.556,902.4549,
2705.646,900.31515,
2702.735,904.14305,
2699.825,913.79951,
2696.914,935.57822,
2694.003,906.26727,
2691.093,911.96435,
2688.182,914.3887,
2685.272,912.35046,
2682.361,907.08352,
2679.450,948.52202,
2676.540,939.97463,
2673.629,912.2752,
2670.719,914.48636,
2667.808,932.55502,
2664.898,938.80691,
2661.987,935.32503,
2659.076,956.70042,
2656.166,945.3826,
2653.255,953.1012,
2650.345,966.05694,
2647.434,1002.2243,
2644.524,981.25811,
2641.613,980.39621,
2638.702,992.3725,
2635.792,1005.3468,
2632.881,979.89289,
2629.971,962.92021,
2627.060,989.29,
2624.149,986.08752,
2621.239,972.63686,
2618.328,991.11635,
2615.418,987.25683,
2612.507,1017.5182,
2609.597,1011.1859,
2606.686,1037.3137,
2603.775,1036.1091,
2600.865,1027.4543,
2597.954,1050.0438,
2595.044,1024.2415,
2592.133,1046.6315,
2589.223,1042.926,
2586.312,1081.7707,
2583.401,1075.3805,
2580.491,1072.625,
2577.580,1087.554,
2574.670,1054.8643,
2571.759,1070.6147,
2568.848,1049.2769,
2565.938,1064.7678,
2563.027,1082.5772,
2560.117,1085.0923,
2557.206,1101.3224,
2554.296,1086.5129,
2551.385,1087.3029,
2548.474,1092.1068,
2545.564,1096.6883,
2542.653,1116.8767,
2539.743,1127.7482,
2536.832,1097.9913,
2533.922,1134.6408,
2531.011,1130.4004,
2528.100,1140.6146,
2525.190,1133.1643,
2522.279,1158.2801,
2519.369,1116.0586,
2516.458,1123.6215,
2513.548,1151.1791,
2510.637,1153.502,
2507.726,1146.6287,
2504.816,1133.3747,
2501.905,1143.7988,
2498.995,1155.2222,
2496.084,1164.0118,
2493.173,1173.1253,
2490.263,1185.6137,
2487.352,1168.5014,
2484.442,1184.6379,
2481.531,1190.4227,
2478.621,1201.5539,
2475.710,1183.8704,
2472.799,1211.1856,
2469.889,1206.3508,
2466.978,1226.4496,
2464.068,1235.4134,
2461.157,1230.6201,
2458.247,1213.8898,
2455.336,1233.4743,
2452.425,1212.0967,
2449.515,1279.4732,
2446.604,1247.913,
2443.694,1260.5321,
2440.783,1257.7669,
2437.872,1257.9167,
2434.962,1265.3623,
2432.051,1278.7672,
2429.141,1282.9487,
2426.230,1260.8636,
2423.320,1305.6823,
2420.409,1294.5738,
2417.498,1312.7458,
2414.588,1314.4578,
2411.677,1303.5215,
2408.767,1331.4193,
2405.856,1333.7131,
2402.946,1333.2086,
2400.035,1338.5241,
2397.124,1317.6464,
2394.214,1342.3838,
2391.303,1354.73,
2388.393,1346.6389,
2385.482,1361.8759,
2382.571,1360.093,
2379.661,1358.1136,
2376.750,1361.9869,
2373.840,1384.1937,
2370.929,1396.495,
2368.019,1388.2032,
2365.108,1387.0674,
2362.197,1398.3484,
2359.287,1388.0701,
2356.376,1439.5246,
2353.466,1425.625,
2350.555,1435.8954,
2347.645,1420.8383,
2344.734,1421.6896,
2341.823,1445.3265,
2338.913,1439.1384,
2336.002,1445.4239,
2333.092,1458.7287,
2330.181,1453.1697,
2327.270,1495.3148,
2324.360,1476.1462,
2321.449,1466.625,
2318.539,1473.7749,
2315.628,1486.902,
2312.718,1459.5941,
2309.807,1505.3575,
2306.896,1522.9724,
2303.986,1498.9954,
2301.075,1529.4336,
2298.165,1515.0384,
2295.254,1494.0559,
2292.344,1522.3594,
2289.433,1531.9609,
2286.522,1523.8974,
2283.612,1503.8941,
2280.701,1545.3603,
2277.791,1571.104,
2274.880,1570.3948,
2271.969,1602.0201,
2269.059,1593.1209,
2266.148,1608.65,
2263.238,1627.818,
2260.327,1617.4527,
2257.417,1627.6761,
2254.506,1626.2432,
2251.595,1636.0468,
2248.685,1642.3615,
2245.774,1653.438,
2242.864,1646.5327,
2239.953,1655.0734,
2237.043,1648.1971,
2234.132,1674.8405,
2231.221,1706.2323,
2228.311,1690.2694,
2225.400,1703.7657,
2222.490,1715.8662,
2219.579,1742.1545,
2216.669,1746.0558,
2213.758,1798.4577,
2210.847,1804.1162,
2207.937,1851.467,
2205.026,1851.1807,
2202.116,1849.7227,
2199.205,1865.9368,
2196.294,1909.2869,
2193.384,1950.098,
2190.473,2012.5358,
2187.563,2049.8618,
2184.652,2113.0837,
2181.742,2220.3327,
2178.831,2315.4812,
2175.920,2419.2443,
2173.010,2565.583,
2170.099,2708.6131,
2167.189,2947.4645,
2164.278,3087.8361,
2161.368,3286.3323,
2158.457,3506.0306,
2155.546,3710.6502,
2152.636,3879.8162,
2149.725,4027.645,
2146.815,4139.5217,
2143.904,4243.2458,
2140.993,4288.0378,
2138.083,4271.084,
2135.172,4269.1628,
2132.262,4218.3099,
2129.351,4135.4971,
2126.441,4009.8383,
2123.530,3790.8965,
2120.619,3617.7085,
2117.709,3418.5936,
2114.798,3161.0319,
2111.888,2948.0297,
2108.977,2777.3269,
2106.067,2633.7272,
2103.156,2510.002,
2100.245,2371.5811,
2097.335,2292.8344,
2094.424,2213.0673,
2091.514,2142.5307,
2088.603,2114.118,
2085.692,2082.6587,
2082.782,2061.4001,
2079.871,2057.2318,
2076.961,2030.3686,
2074.050,2015.8311,
2071.140,1982.395,
2068.229,1988.9037,
2065.318,1961.3392,
2062.408,1955.7089,
2059.497,1967.3928,
2056.587,1934.637,
2053.676,1931.3413,
2050.766,1927.0869,
2047.855,1922.1978,
2044.944,1907.492,
2042.034,1905.203,
2039.123,1905.3859,
2036.213,1919.4895,
2033.302,1916.9295,
2030.391,1930.8787,
2027.481,1924.7715,
2024.570,1930.4247,
2021.660,1921.3346,
2018.749,1932.0049,
2015.839,1939.2037,
2012.928,1935.3482,
2010.017,1960.0159,
2007.107,1924.6007,
2004.196,1935.5417,
2001.286,1935.1021,
1998.375,1915.2746,
1995.465,1926.5705,
1992.554,1908.7134,
1989.643,1909.4867,
1986.733,1916.3575,
1983.822,1909.6501,
1980.912,1899.6747,
1978.001,1902.8625,
1975.090,1888.6479,
1972.180,1851.6277,
1969.269,1872.0074,
1966.359,1900.8951,
1963.448,1881.7452,
1960.538,1876.625,
1957.627,1912.2907,
1954.716,1852.521,
1951.806,1884.7676,
1948.895,1902.1615,
1945.985,1870.6038,
1943.074,1873.636,
1940.164,1893.7597,
1937.253,1870.5082,
1934.342,1857.3175,
1931.432,1866.3474,
1928.521,1794.9324,
1925.611,1792.6182,
1922.700,1814.9137,
1919.790,1784.0358,
1916.879,1860.487,
1913.968,1845.6508,
1911.058,1845.0214,
1908.147,1846.3739,
1905.237,1827.3604,
1902.326,1852.868,
1899.415,1821.3604,
1896.505,1826.7216,
