,PLF1F4~1,
Raman shift [1/cm],Intensity,
3014.167,-0.375,
3011.256,-1.4750215,
3008.346,370.02651,
3005.435,449.66387,
3002.525,471.43764,
2999.614,470.00164,
2996.704,506.24561,
2993.793,500.00576,
2990.882,516.52565,
2987.972,530.70572,
2985.061,546.18165,
2982.151,593.18134,
2979.240,598.47385,
2976.329,608.38183,
2973.419,634.02474,
2970.508,656.95827,
2967.598,658.77199,
2964.687,678.75951,
2961.777,717.30064,
2958.866,702.93408,
2955.955,741.69579,
2953.045,764.45946,
2950.134,783.54048,
2947.224,816.16591,
2944.313,828.78241,
2941.403,844.2208,
2938.492,852.60331,
2935.581,884.88258,
2932.671,875.2302,
2929.760,908.57501,
2926.850,895.67011,
2923.939,920.38199,
2921.028,933.70738,
2918.118,951.46379,
2915.207,962.22652,
2912.297,968.65885,
2909.386,976.60311,
2906.476,958.75703,
2903.565,963.20574,
2900.654,963.46018,
2897.744,972.32327,
2894.833,949.03736,
2891.923,947.1923,
2889.012,945.07587,
2886.102,939.42233,
2883.191,953.5929,
2880.280,927.27093,
2877.370,904.00297,
2874.459,871.14091,
2871.549,933.8754,
2868.638,964.35283,
2865.727,964.47112,
2862.817,968.88169,
2859.906,1012.0039,
2856.996,987.14538,
2854.085,1005.5116,
2851.175,1005.0798,
2848.264,1018.2672,
2845.353,1003.5387,
2842.443,994.83336,
2839.532,991.50557,
2836.622,971.29362,
2833.711,977.46958,
2830.801,966.53162,
2827.890,970.01833,
2824.979,973.03289,
2822.069,985.37481,
2819.158,972.7463,
2816.248,976.41842,
2813.337,1008.1299,
2810.427,986.71316,
2807.516,989.67531,
2804.605,989.07693,
2801.695,990.13814,
2798.784,983.625,
2795.874,998.47988,
2792.963,998.69638,
2790.052,991.62629,
2787.142,967.74327,
2784.231,960.14052,
2781.321,962.37932,
2778.410,980.67956,
2775.500,992.92259,
2772.589,1024.3911,
2769.678,980.33829,
2766.768,1007.3512,
2763.857,1001.467,
2760.947,1003.6439,
2758.036,1023.5678,
2755.126,1021.9071,
2752.215,1025.2431,
2749.304,1046.6663,
2746.394,1039.2964,
2743.483,1032.275,
2740.573,1041.6095,
2737.662,1029.1886,
2734.751,1036.858,
2731.841,1036.8411,
2728.930,1048.8073,
2726.020,1039.5179,
2723.109,1063.0164,
2720.199,1077.2905,
2717.288,1071.5921,
2714.377,1066.0748,
2711.467,1080.5261,
2708.556,1108.7951,
2705.646,1097.4137,
2702.735,1083.4884,
2699.825,1109.2013,
2696.914,1095.9104,
2694.003,1093.5518,
2691.093,1107.0714,
2688.182,1106.8613,
2685.272,1103.5539,
2682.361,1096.5715,
2679.450,1114.1312,
2676.540,1127.2592,
2673.629,1112.6115,
2670.719,1130.1869,
2667.808,1141.3818,
2664.898,1145.4694,
2661.987,1148.9253,
2659.076,1156.2608,
2656.166,1132.837,
2653.255,1148.1488,
2650.345,1182.2348,
2647.434,1145.8831,
2644.524,1181.7833,
2641.613,1188.4251,
2638.702,1187.6723,
2635.792,1188.4685,
2632.881,1192.3571,
2629.971,1177.0477,
2627.060,1194.7909,
2624.149,1189.1406,
2621.239,1209.4417,
2618.328,1200.0065,
2615.418,1214.2659,
2612.507,1216.3167,
2609.597,1197.0022,
2606.686,1224.9363,
2603.775,1239.1052,
2600.865,1239.625,
2597.954,1251.9125,
2595.044,1258.6161,
2592.133,1253.8988,
2589.223,1311.144,
2586.312,1275.6299,
2583.401,1310.5228,
2580.491,1292.7501,
2577.580,1292.62,
2574.670,1294.0528,
2571.759,1279.7509,
2568.848,1295.6694,
2565.938,1273.0058,
2563.027,1301.1136,
2560.117,1309.9895,
2557.206,1307.8169,
2554.296,1296.8035,
2551.385,1327.939,
2548.474,1324.699,
2545.564,1325.53,
2542.653,1346.8565,
2539.743,1342.1928,
2536.832,1332.8493,
2533.922,1354.9877,
2531.011,1376.2501,
2528.100,1377.4229,
2525.190,1368.1852,
2522.279,1400.265,
2519.369,1375.6437,
2516.458,1389.8523,
2513.548,1376.2071,
2510.637,1395.9487,
2507.726,1387.8109,
2504.816,1394.8753,
2501.905,1400.6829,
2498.995,1390.7444,
2496.084,1398.1442,
2493.173,1420.5727,
2490.263,1419.0521,
2487.352,1420.7502,
2484.442,1430.1753,
2481.531,1452.4175,
2478.621,1445.3406,
2475.710,1458.5867,
2472.799,1448.1991,
2469.889,1447.6223,
2466.978,1459.5735,
2464.068,1470.0748,
2461.157,1473.1274,
2458.247,1487.8898,
2455.336,1492.306,
2452.425,1476.4693,
2449.515,1494.6915,
2446.604,1521.2079,
2443.694,1512.1825,
2440.783,1485.8604,
2437.872,1549.6769,
2434.962,1523.3116,
2432.051,1520.6003,
2429.141,1547.2482,
2426.230,1561.3642,
2423.320,1579.5398,
2420.409,1565.9454,
2417.498,1592.7879,
2414.588,1585.2753,
2411.677,1586.2664,
2408.767,1584.2136,
2405.856,1613.1916,
2402.946,1598.0352,
2400.035,1618.1931,
2397.124,1606.5341,
2394.214,1618.0566,
2391.303,1624.0227,
2388.393,1623.6808,
2385.482,1617.7131,
2382.571,1644.6122,
2379.661,1654.8342,
2376.750,1667.6767,
2373.840,1657.2907,
2370.929,1706.051,
2368.019,1703.2759,
2365.108,1703.159,
2362.197,1716.4031,
2359.287,1706.8517,
2356.376,1726.5845,
2353.466,1729.9145,
2350.555,1711.7602,
2347.645,1722.5853,
2344.734,1714.3807,
2341.823,1763.7461,
2338.913,1774.8563,
2336.002,1746.6823,
2333.092,1759.8552,
2330.181,1767.2413,
2327.270,1814.2598,
2324.360,1795.9788,
2321.449,1768.6726,
2318.539,1798.8605,
2315.628,1801.9531,
2312.718,1825.1228,
2309.807,1809.2645,
2306.896,1827.0898,
2303.986,1816.6705,
2301.075,1824.3271,
2298.165,1816.2498,
2295.254,1838.0864,
2292.344,1831.1975,
2289.433,1859.6559,
2286.522,1872.7589,
2283.612,1876.9349,
2280.701,1895.6653,
2277.791,1899.2243,
2274.880,1895.4029,
2271.969,1917.3987,
2269.059,1945.437,
2266.148,1987.0524,
2263.238,1983.8296,
2260.327,1947.246,
2257.417,1982.3878,
2254.506,1978.7931,
