,PL070F~1,
Raman shift [1/cm],Intensity,
3014.167,-1.875,
3011.256,1.0249785,
3008.346,146.86928,
3005.435,173.12854,
3002.525,179.02992,
2999.614,173.3536,
2996.704,191.48789,
2993.793,180.62961,
2990.882,199.15542,
2987.972,224.99888,
2985.061,206.3319,
2982.151,211.48298,
2979.240,219.4054,
2976.329,248.64957,
2973.419,245.57121,
2970.508,244.35833,
2967.598,256.74629,
2964.687,268.16984,
2961.777,269.84298,
2958.866,279.13242,
2955.955,278.99003,
2953.045,289.125,
2950.134,292.15708,
2947.224,289.14988,
2944.313,314.23753,
2941.403,326.45894,
2938.492,330.27405,
2935.581,326.78636,
2932.671,332.84604,
2929.760,325.82883,
2926.850,326.49793,
2923.939,333.08764,
2921.028,352.63705,
2918.118,344.3051,
2915.207,362.78345,
2912.297,346.24771,
2909.386,357.10311,
2906.476,349.73736,
2903.565,357.28648,
2900.654,355.34846,
2897.744,348.22558,
2894.833,361.48573,
2891.923,346.41979,
2889.012,353.66835,
2886.102,351.74932,
2883.191,344.13444,
2880.280,340.98624,
2877.370,322.78202,
2874.459,307.93649,
2871.549,347.57252,
2868.638,371.44458,
2865.727,374.125,
2862.817,378.49665,
2859.906,379.46688,
2856.996,387.10236,
2854.085,389.48424,
2851.175,387.35999,
2848.264,375.62016,
2845.353,376.77993,
2842.443,365.51734,
2839.532,371.34889,
2836.622,374.125,
2833.711,372.02139,
2830.801,371.02426,
2827.890,367.4799,
2824.979,374.97697,
2822.069,400.02265,
2819.158,385.04413,
2816.248,378.11342,
2813.337,383.78476,
2810.427,387.81645,
2807.516,386.70781,
2804.605,387.16827,
2801.695,395.69079,
2798.784,371.12092,
2795.874,397.28597,
2792.963,393.62532,
2790.052,382.12908,
2787.142,379.63812,
2784.231,379.38276,
2781.321,379.8107,
2778.410,385.08437,
2775.500,379.21259,
2772.589,389.00956,
2769.678,397.40823,
2766.768,401.63179,
2763.857,396.86296,
2760.947,403.10609,
2758.036,411.13781,
2755.126,390.15493,
2752.215,424.89303,
2749.304,412.3804,
2746.394,404.30037,
2743.483,414.47501,
2740.573,418.44803,
2737.662,422.67826,
2734.751,420.56676,
2731.841,429.04442,
2728.930,410.92157,
2726.020,424.35475,
2723.109,420.37258,
2720.199,431.06558,
2717.288,431.59945,
2714.377,441.79976,
2711.467,441.28874,
2708.556,445.9549,
2705.646,440.43485,
2702.735,450.46005,
2699.825,454.08137,
2696.914,449.64863,
2694.003,440.82255,
2691.093,449.74956,
2688.182,451.10796,
2685.272,450.60295,
2682.361,447.45469,
2679.450,451.8204,
2676.540,451.08435,
2673.629,450.12051,
2670.719,456.62131,
2667.808,454.36818,
2664.898,457.90418,
2661.987,464.09174,
2659.076,472.36207,
2656.166,476.07734,
2653.255,468.27975,
2650.345,468.9417,
2647.434,490.5817,
2644.524,480.30249,
2641.613,477.78182,
2638.702,462.28281,
2635.792,470.75112,
2632.881,474.82717,
2629.971,474.52763,
2627.060,505.29156,
2624.149,495.10002,
2621.239,482.87648,
2618.328,484.14229,
2615.418,505.79773,
2612.507,496.91949,
2609.597,486.76771,
2606.686,503.18928,
2603.775,517.88293,
2600.865,511.125,
2597.954,514.4604,
2595.044,525.08957,
2592.133,525.17588,
2589.223,532.60712,
2586.312,540.61244,
2583.401,532.28921,
2580.491,525.85096,
2577.580,533.12665,
2574.670,537.99932,
2571.759,542.61987,
2568.848,543.88746,
2565.938,539.07745,
2563.027,530.95453,
2560.117,538.57361,
2557.206,547.45341,
2554.296,554.0655,
2551.385,552.44708,
2548.474,543.42091,
2545.564,549.65017,
2542.653,568.03105,
2539.743,553.59419,
2536.832,568.20725,
2533.922,563.26692,
2531.011,570.75012,
2528.100,563.39328,
2525.190,574.35533,
2522.279,563.90565,
2519.369,548.18106,
2516.458,575.79639,
2513.548,565.75249,
2510.637,569.43241,
2507.726,571.31458,
2504.816,567.93785,
2501.905,578.24085,
2498.995,575.03601,
2496.084,598.99256,
2493.173,590.65149,
2490.263,590.33855,
2487.352,587.79273,
2484.442,598.85307,
2481.531,602.34294,
2478.621,604.37615,
2475.710,612.17101,
2472.799,613.68559,
2469.889,609.33554,
2466.978,609.74365,
2464.068,602.2943,
2461.157,616.08748,
2458.247,628.65451,
2455.336,640.78449,
2452.425,613.48818,
2449.515,633.03975,
2446.604,619.53513,
2443.694,627.35774,
2440.783,640.03153,
2437.872,634.08854,
2434.962,639.16647,
2432.051,663.43995,
2429.141,660.44867,
2426.230,642.10287,
2423.320,669.19693,
2420.409,662.11832,
2417.498,674.95364,
2414.588,671.39495,
2411.677,676.58713,
2408.767,663.38976,
2405.856,661.49646,
2402.946,663.33948,
2400.035,687.80342,
2397.124,693.6758,
2394.214,689.4762,
2391.303,685.98137,
2388.393,693.82967,
2385.482,680.87405,
2382.571,697.60579,
2379.661,708.47378,
2376.750,712.96737,
2373.840,695.6532,
2370.929,726.73513,
2368.019,706.29246,
2365.108,727.77683,
2362.197,715.15237,
2359.287,716.7133,
2356.376,709.14085,
2353.466,726.70032,
2350.555,731.54494,
2347.645,733.26937,
2344.734,731.39688,
2341.823,730.125,
2338.913,741.19068,
2336.002,745.38338,
2333.092,750.8835,
2330.181,771.96895,
2327.270,774.29002,
2324.360,760.10851,
2321.449,749.71004,
2318.539,771.97825,
2315.628,774.8736,
2312.718,741.74393,
2309.807,794.69042,
2306.896,778.90435,
2303.986,784.90417,
2301.075,791.69942,
2298.165,785.75935,
2295.254,780.16809,
2292.344,766.27847,
2289.433,781.10954,
2286.522,786.366,
2283.612,801.33547,
2280.701,800.66312,
2277.791,824.96283,
2274.880,797.339,
2271.969,807.02212,
2269.059,816.65633,
2266.148,824.79779,
2263.238,821.92809,
2260.327,816.47014,
2257.417,848.36222,
2254.506,848.31588,
2251.595,843.12866,
2248.685,852.64611,
2245.774,866.13583,
2242.864,830.99533,
2239.953,834.58697,
2237.043,855.07321,
2234.132,843.80818,
2231.221,851.31114,
2228.311,859.99484,
2225.400,868.57533,
2222.490,888.76679,
2219.579,908.09929,
2216.669,908.61308,
2213.758,905.90669,
2210.847,934.56073,
2207.937,921.02079,
2205.026,913.7903,
