,PL1D8D~1,
Raman shift [1/cm],Intensity,
3014.167,3.125,
3011.256,-0.67495705,
3008.346,109.5041,
3005.435,135.93065,
3002.525,134.84256,
2999.614,112.39388,
2996.704,129.17758,
2993.793,138.88652,
2990.882,143.68218,
2987.972,151.125,
2985.061,154.22845,
2982.151,173.09644,
2979.240,159.55655,
2976.329,177.39002,
2973.419,177.9404,
2970.508,185.75829,
2967.598,185.26837,
2964.687,194.81114,
2961.777,186.72313,
2958.866,219.13539,
2955.955,208.16039,
2953.045,220.55675,
2950.134,215.79557,
2947.224,224.5805,
2944.313,232.48469,
2941.403,229.20848,
2938.492,250.57216,
2935.581,247.15202,
2932.671,253.24517,
2929.760,240.75959,
2926.850,249.02763,
2923.939,255.92406,
2921.028,256.81321,
2918.118,262.82651,
2915.207,278.06807,
2912.297,272.15885,
2909.386,267.70165,
2906.476,270.21768,
2903.565,275.02871,
2900.654,272.63055,
2897.744,269.11243,
2894.833,271.01154,
2891.923,271.0705,
2889.012,262.29263,
2886.102,262.74932,
2883.191,257.13255,
2880.280,244.51734,
2877.370,220.0088,
2874.459,212.70375,
2871.549,255.62527,
2868.638,262.57862,
2865.727,280.78269,
2862.817,290.32553,
2859.906,276.15064,
2856.996,293.58198,
2854.085,289.04094,
2851.175,289.8359,
2848.264,279.831,
2845.353,289.03873,
2842.443,289.91664,
2839.532,285.48328,
2836.622,288.73177,
2833.711,283.71055,
2830.801,286.91618,
2827.890,277.14422,
2824.979,286.45888,
2822.069,298.09088,
2819.158,294.36489,
2816.248,289.38947,
2813.337,308.85672,
2810.427,297.33849,
2807.516,293.18266,
2804.605,296.53365,
2801.695,300.38816,
2798.784,294.71638,
2795.874,296.7002,
2792.963,302.76809,
2790.052,284.13015,
2787.142,291.25662,
2784.231,292.28649,
2781.321,284.19362,
2778.410,296.39024,
2775.500,286.52983,
2772.589,306.66323,
2769.678,301.73252,
2766.768,311.48812,
2763.857,315.86296,
2760.947,314.55881,
2758.036,312.59639,
2755.126,296.11219,
2752.215,316.29756,
2749.304,318.95412,
2746.394,316.76007,
2743.483,319.675,
2740.573,323.67369,
2737.662,322.33802,
2734.751,317.24149,
2731.841,314.55723,
2728.930,319.90043,
2726.020,326.35475,
2723.109,323.25917,
2720.199,331.43739,
2717.288,335.70528,
2714.377,327.86664,
2711.467,340.46896,
2708.556,341.09342,
2705.646,324.89964,
2702.735,338.30284,
2699.825,341.78861,
2696.914,343.03001,
2694.003,348.58354,
2691.093,341.25015,
2688.182,337.48796,
2685.272,342.93012,
2682.361,335.43068,
2679.450,341.58592,
2676.540,360.55593,
2673.629,342.41643,
2670.719,357.27102,
2667.808,353.22227,
2664.898,351.50146,
2661.987,360.55832,
2659.076,362.74353,
2656.166,373.6402,
2653.255,363.08759,
2650.345,369.6132,
2647.434,368.29648,
2644.524,372.82765,
2641.613,364.09609,
2638.702,365.01453,
2635.792,373.00037,
2632.881,380.51768,
2629.971,362.82283,
2627.060,387.7925,
2624.149,389.85311,
2621.239,391.10721,
2618.328,388.37932,
2615.418,389.81136,
2612.507,383.6072,
2609.597,386.03318,
2606.686,388.51456,
2603.775,389.64484,
2600.865,401.35712,
2597.954,404.31666,
2595.044,405.15157,
2592.133,393.62176,
2589.223,387.45026,
2586.312,416.22051,
2583.401,407.51188,
2580.491,414.125,
2577.580,397.19762,
2574.670,433.92983,
2571.759,420.07962,
2568.848,408.48404,
2565.938,427.36315,
2563.027,419.02728,
2560.117,412.04088,
2557.206,423.58994,
2554.296,434.08839,
2551.385,411.95112,
2548.474,438.38448,
2545.564,427.63149,
2542.653,424.82969,
2539.743,434.65581,
2536.832,446.47267,
2533.922,434.34577,
2531.011,444.27533,
2528.100,431.45949,
2525.190,439.40246,
2522.279,456.0312,
2519.369,452.01192,
2516.458,435.45007,
2513.548,427.74316,
2510.637,466.51017,
2507.726,454.62685,
2504.816,431.68531,
2501.905,458.70427,
2498.995,444.24444,
2496.084,442.75216,
2493.173,443.96739,
2490.263,446.33855,
2487.352,474.83287,
2484.442,468.69459,
2481.531,485.39612,
2478.621,469.94954,
2475.710,500.03299,
2472.799,486.15193,
2469.889,482.54883,
2466.978,486.56829,
2464.068,469.88684,
2461.157,478.86233,
2458.247,494.75721,
2455.336,493.95281,
2452.425,498.55896,
