,PL1E3C~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,-1,
3008.346,40.355508,
3005.435,56.151941,
3002.525,57.302573,
2999.614,34.941591,
2996.704,50.592785,
2993.793,48.885368,
2990.882,56.251827,
2987.972,60.904146,
2985.061,48.206905,
2982.151,69.210095,
2979.240,49.330782,
2976.329,63,
2973.419,63.077022,
2970.508,70.09994,
2967.598,77,
2964.687,75.567256,
2961.777,85.777898,
2958.866,77.346201,
2955.955,72.141577,
2953.045,91.532431,
2950.134,77.723016,
2947.224,81.48397,
2944.313,81.820511,
2941.403,88.072077,
2938.492,80.745272,
2935.581,87.95707,
2932.671,102.03861,
2929.760,88.049989,
2926.850,72.522557,
2923.939,88.359812,
2921.028,97.476556,
2918.118,91.838789,
2915.207,96.715372,
2912.297,98.038082,
2909.386,102.37227,
2906.476,99.867966,
2903.565,106.37111,
2900.654,105.22346,
2897.744,84.138294,
2894.833,94.587637,
2891.923,89.945498,
2889.012,95.543352,
2886.102,94.832427,
2883.191,81.016048,
2880.280,86.722483,
2877.370,65.226781,
2874.459,49.163697,
2871.549,75.736814,
2868.638,87.364937,
2865.727,104.60386,
2862.817,105.82887,
2859.906,84.848994,
2856.996,109.48868,
2854.085,118.16178,
2851.175,106.26205,
2848.264,106.35783,
2845.353,108.82746,
2842.443,108.98607,
2839.532,105.47771,
2836.622,114.33138,
2833.711,110.78494,
2830.801,107.00735,
2827.890,104.3549,
2824.979,102.22204,
2822.069,114.93177,
2819.158,112.42049,
2816.248,107.54053,
2813.337,103.13414,
2810.427,112.95592,
2807.516,105.58281,
2804.605,112.97836,
2801.695,114.09212,
2798.784,98.552385,
2795.874,112.27968,
2792.963,113.49989,
2790.052,111.99979,
2787.142,109,
2784.231,111.12888,
2781.321,112.62284,
2778.410,109.07487,
2775.500,109.70241,
2772.589,113.69266,
2769.678,118.07168,
2766.768,121.86991,
2763.857,108.4239,
2760.947,123.94957,
2758.036,112.61144,
2755.126,109.2265,
2752.215,125.64073,
2749.304,111.2554,
2746.394,117.3286,
2743.483,119.40003,
2740.573,121.09738,
2737.662,119.23372,
2734.751,120.85932,
2731.841,121.35165,
2728.930,107.36856,
2726.020,119,
2723.109,126.09267,
2720.199,112.37182,
2717.288,116.64963,
2714.377,113.87082,
