,PL375C~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,-0.82498926,
3008.346,84.932148,
3005.435,112.1621,
3002.525,112.75755,
2999.614,120.05098,
2996.704,120.53634,
2993.793,121.40495,
2990.882,120.09053,
2987.972,131.60482,
2985.061,129.3984,
2982.151,144.8351,
2979.240,147.57462,
2976.329,157.89002,
2973.419,157.8096,
2970.508,156.77501,
2967.598,162.91536,
2964.687,187.19226,
2961.777,163.88119,
2958.866,176.62945,
2955.955,190.35506,
2953.045,206.95608,
2950.134,192.44425,
2947.224,195.0805,
2944.313,206.1307,
2941.403,216.26825,
2938.492,222.91226,
2935.581,204.60909,
2932.671,211.82673,
2929.760,212.07114,
2926.850,218.84116,
2923.939,229.90538,
2921.028,235.56036,
2918.118,238.88571,
2915.207,252.86561,
2912.297,248.66731,
2909.386,233.81478,
2906.476,245.74857,
2903.565,253.41537,
2900.654,258.13055,
2897.744,238.82616,
2894.833,248.02718,
2891.923,242.6795,
2889.012,238.70593,
2886.102,235.75204,
2883.191,219.6335,
2880.280,217.95514,
2877.370,202.91571,
2874.459,183.26038,
2871.549,225.4673,
2868.638,255.76313,
2865.727,249.54425,
2862.817,252.36831,
2859.906,249.96688,
2856.996,262.08198,
2854.085,270.74475,
2851.175,262.625,
2848.264,258.772,
2845.353,260.60343,
2842.443,263.21873,
2839.532,259.31162,
2836.622,267.71484,
2833.711,266.30632,
2830.801,247.14338,
2827.890,261.47637,
2824.979,250.19298,
2822.069,279.52265,
2819.158,263.78402,
2816.248,258.60184,
2813.337,268.64573,
2810.427,279.49277,
2807.516,285.99187,
2804.605,271.82933,
2801.695,271.49342,
2798.784,270.625,
2795.874,266.61972,
2792.963,267.12489,
2790.052,262.62543,
2787.142,271.78285,
2784.231,272.30201,
2781.321,255.37932,
2778.410,262.89024,
2775.500,256.09328,
2772.589,273.625,
2769.678,275.01748,
2766.768,269.32014,
2763.857,265.31094,
2760.947,279.625,
2758.036,270.30647,
2755.126,277.13996,
2752.215,299.56135,
2749.304,291.64659,
2746.394,280.16529,
2743.483,287.97501,
2740.573,282.18914,
2737.662,305.83802,
