,PL5D80~1,
Raman shift [1/cm],Intensity,
3014.167,4.625,
3011.256,-2.9250107,
3008.346,100.11474,
3005.435,136.97129,
3002.525,140.00252,
2999.614,130.09126,
2996.704,139.44768,
2993.793,145.76728,
2990.882,146.18218,
2987.972,161.59978,
2985.061,159.2851,
2982.151,167.90904,
2979.240,157.97002,
2976.329,189.88456,
2973.419,179.85607,
2970.508,174.4083,
2967.598,179.7242,
2964.687,204.49049,
2961.777,200.37706,
2958.866,226.97269,
2955.955,209.90155,
2953.045,227.13952,
2950.134,215.26349,
2947.224,228.99509,
2944.313,231.73753,
2941.403,237.00638,
2938.492,246.48679,
2935.581,239.46919,
2932.671,241.4276,
2929.760,246.07114,
2926.850,245.25921,
2923.939,261.30726,
2921.028,265.18394,
2918.118,278.7245,
2915.207,279.92253,
2912.297,279.64193,
2909.386,275.41332,
2906.476,267.40029,
2903.565,280.64204,
2900.654,275.41265,
2897.744,251.87644,
2894.833,272.03736,
2891.923,259.65059,
2889.012,274.13367,
2886.102,253.47769,
2883.191,273.61084,
2880.280,252.32355,
2877.370,227.05524,
2874.459,216.07807,
2871.549,259.01978,
2868.638,269.26211,
2865.727,272.91347,
2862.817,276.18248,
2859.906,283.85292,
2856.996,297.07292,
2854.085,305.10399,
2851.175,301.12204,
2848.264,293.331,
2845.353,297.23679,
2842.443,286.81247,
2839.532,286.75939,
2836.622,286.32161,
2833.711,282.52139,
2830.801,286.02059,
2827.890,290.81206,
2824.979,290.55099,
2822.069,307.52265,
2819.158,303.18565,
2816.248,291.20027,
2813.337,293.75914,
2810.427,306.92665,
2807.516,305.73297,
2804.605,294.64664,
2801.695,303.15133,
2798.784,304.77285,
2795.874,291.63557,
2792.963,297.05394,
2790.052,297.62672,
2787.142,307.87488,
2784.231,292.07687,
2781.321,312.74496,
2778.410,297.13516,
2775.500,295.15672,
2772.589,299.93386,
2769.678,312.98338,
2766.768,309.2483,
2763.857,314.10092,
2760.947,323.06511,
2758.036,316.16642,
2755.126,297.56945,
2752.215,319.68865,
2749.304,327.60341,
2746.394,317.68346,
2743.483,315.02503,
2740.573,318.49672,
2737.662,312.18861,
2734.751,318.74149,
2731.841,324.08471,
2728.930,320.29871,
2726.020,335.97222,
2723.109,322.68725,
2720.199,335.90004,
2717.288,329.625,
2714.377,336.59156,
2711.467,328.78874,
2708.556,330.32732,
2705.646,331.23065,
2702.735,335.31058,
2699.825,346.7777,
2696.914,355.81593,
2694.003,347.49655,
2691.093,341.71406,
2688.182,342.49833,
2685.272,351.46568,
2682.361,345.28985,
2679.450,342.8719,
2676.540,359.17787,
2673.629,336.62949,
2670.719,351.32557,
2667.808,356.81954,
2664.898,351.14445,
2661.987,363.39188,
2659.076,364.64225,
2656.166,368.15746,
2653.255,359.55527,
2650.345,358.60141,
2647.434,377.22517,
2644.524,378.60579,
2641.613,370.625,
2638.702,371.60922,
2635.792,370.43657,
2632.881,372.42866,
