,PL88AE~1,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,-1.625,
3008.346,84.682148,
3005.435,104.41387,
3002.525,107.16751,
2999.614,103.51397,
2996.704,117.18943,
2993.793,116.48963,
2990.882,125.50476,
2987.972,126.375,
2985.061,125.93165,
2982.151,136.82375,
2979.240,134.80655,
2976.329,151.88865,
2973.419,140.00581,
2970.508,143.92497,
2967.598,140.28303,
2964.687,159.80774,
2961.777,162.28099,
2958.866,159.71378,
2955.955,169.82852,
2953.045,181.70608,
2950.134,170.22632,
2947.224,178.51734,
2944.313,180.67842,
2941.403,186.93476,
2938.492,191.28017,
2935.581,182.38611,
2932.671,195.61968,
2929.760,205.47498,
2926.850,182.00207,
2923.939,215.05726,
2921.028,212.76917,
2918.118,194.21884,
2915.207,221.84331,
2912.297,212.40462,
2909.386,212.39689,
2906.476,218.15029,
2903.565,215.68092,
2900.654,227.43364,
2897.744,198.6013,
2894.833,213.90082,
2891.923,197.40059,
2889.012,202.2883,
2886.102,216.99932,
2883.191,182.40993,
2880.280,200.66686,
2877.370,188.66571,
2874.459,168.12985,
2871.549,205.08571,
2868.638,195.37296,
2865.727,215.61726,
2862.817,226.08891,
2859.906,234.40064,
2856.996,245.36141,
2854.085,245.73424,
2851.175,237.42318,
2848.264,237.16417,
2845.353,210.61224,
2842.443,226.16664,
2839.532,232.59889,
2836.622,239.43685,
2833.711,241.69368,
2830.801,227.58382,
2827.890,227.74912,
2824.979,230.43695,
2822.069,241.26128,
2819.158,240.11625,
2816.248,241.67421,
2813.337,228.64328,
2810.427,241.11743,
2807.516,247.15906,
2804.605,241.57933,
2801.695,238.98026,
2798.784,240.07931,
2795.874,228.65468,
2792.963,238.87511,
2790.052,234.3765,
2787.142,239.82231,
2784.231,237.63276,
2781.321,227.75216,
2778.410,239.59961,
2775.500,236.88707,
2772.589,247.83677,
2769.678,249.98252,
2766.768,252.43326,
2763.857,237.95689,
2760.947,252.81511,
2758.036,251.84639,
2755.126,241.6015,
2752.215,261.73851,
2749.304,242.77969,
2746.394,263.0464,
2743.483,255.475,
2740.573,270.56975,
2737.662,273.3543,
2734.751,257.14202,
2731.841,272.32189,
2728.930,249.49785,
2726.020,269.50289,
2723.109,269.07625,
2720.199,267.2188,
2717.288,266.98814,
2714.377,282.0832,
2711.467,279.96511,
2708.556,287.58763,
2705.646,288.14964,
2702.735,270.8879,
2699.825,286.30956,
2696.914,276.42226,
2694.003,287.34736,
2691.093,276.8034,
2688.182,277.72093,
2685.272,282.3309,
2682.361,285.88701,
2679.450,278.6219,
2676.540,278.43597,
2673.629,282.03867,
2670.719,284.01733,
2667.808,278.66681,
2664.898,292.29718,
2661.987,291.4751,
2659.076,284.90087,
2656.166,303.35774,
2653.255,294.18793,
2650.345,302.51112,
2647.434,291.14665,
2644.524,297.83063,
2641.613,299.48939,
2638.702,303.34344,
2635.792,303.375,
2632.881,300.48814,
2629.971,312.33482,
2627.060,304.70875,
2624.149,310.10311,
2621.239,327.88982,
2618.328,306.24784,
2615.418,305.69773,
2612.507,312.8572,
2609.597,306.20135,
2606.686,319.03764,
2603.775,318.01786,
2600.865,312.84936,
2597.954,329.56666,
2595.044,331.39271,
2592.133,320.03735,
2589.223,341.23081,
2586.312,347.56602,
2583.401,322.06844,
2580.491,332.6346,
2577.580,323.41131,
2574.670,344.82153,
