,PL9E2D~1,
Raman shift [1/cm],Intensity,
3014.167,2.375,
3011.256,-1.9749678,
3008.346,48.518902,
3005.435,63.912101,
3002.525,55.789989,
2999.614,54.464627,
2996.704,60.286342,
2993.793,56.012672,
2990.882,55.41312,
2987.972,68.309415,
2985.061,60.251854,
2982.151,60.210289,
2979.240,58.540391,
2976.329,82.656397,
2973.419,71.851764,
2970.508,83.308307,
2967.598,80.852912,
2964.687,83.211278,
2961.777,81.716945,
2958.866,86.388363,
2955.955,86.587366,
2953.045,97.842569,
2950.134,101.94934,
2947.224,101.20419,
2944.313,95.82443,
2941.403,97.244069,
2938.492,99.662264,
2935.581,108.82652,
2932.671,100.77413,
2929.760,92.632687,
2926.850,94.113721,
2923.939,115.2582,
2921.028,114.39275,
2918.118,103.79692,
2915.207,121.14084,
2912.297,106.4427,
2909.386,108.35311,
2906.476,103.40589,
2903.565,117.47129,
2900.654,121.0929,
2897.744,102.53844,
2894.833,114.13791,
2891.923,101.8333,
2889.012,110.91835,
2886.102,102.95879,
2883.191,86.38916,
2880.280,94.097483,
2877.370,69.462256,
2874.459,59.488267,
2871.549,80.690929,
2868.638,106.55849,
2865.727,118.42884,
2862.817,130.3897,
2859.906,108.93339,
2856.996,132.42934,
2854.085,128.29728,
2851.175,120.85091,
2848.264,120.65933,
2845.353,125.35343,
2842.443,120.38196,
2839.532,122.13615,
2836.622,137.61654,
2833.711,126.01235,
2830.801,134.6625,
2827.890,117.91696,
2824.979,122.58498,
2822.069,128.375,
2819.158,127.99495,
2816.248,116.16842,
2813.337,128.39573,
2810.427,138.76481,
2807.516,134.64125,
2804.605,137.6226,
2801.695,141.84867,
2798.784,117.07523,
2795.874,128.7998,
2792.963,138.80372,
2790.052,125.37865,
2787.142,128.53285,
2784.231,126.92313,
2781.321,126.43786,
2778.410,130.69479,
2775.500,135.375,
2772.589,130.60589,
2769.678,130.05419,
2766.768,124.12839,
2763.857,117.42895,
2760.947,127.3687,
2758.036,143.31778,
2755.126,137.12928,
2752.215,141.42026,
2749.304,148.31023,
2746.394,146.43346,
2743.483,146.52502,
2740.573,153.13389,
2737.662,145.26849,
2734.751,138.32661,
2731.841,133.05083,
2728.930,136.10815,
2726.020,132.49769,
2723.109,141.375,
2720.199,140.96244,
2717.288,148.74361,
2714.377,136.92516,
2711.467,154.98159,
2708.556,151.28995,
2705.646,135.85384,
2702.735,141.22811,
2699.825,159.39681,
2696.914,150.27953,
2694.003,161.11809,
2691.093,150.44601,
2688.182,145.48463,
2685.272,150.25124,
2682.361,156.82806,
2679.450,154.91408,
2676.540,151.47662,
2673.629,158.69786,
2670.719,160.16335,
2667.808,161.22909,
2664.898,156.59582,
2661.987,154.94168,
2659.076,158.86638,
2656.166,167.77763,
2653.255,166.63181,
2650.345,164.75068,
2647.434,151.63222,
2644.524,159.00811,
2641.613,161.57487,
2638.702,145.59593,
2635.792,159.81269,
2632.881,165.30345,
2629.971,177.35491,
2627.060,181.87531,
2624.149,181.2125,
2621.239,181.12055,
2618.328,172.39229,
2615.418,184.7568,
2612.507,175.78602,
2609.597,170.66043,
2606.686,182.98544,
2603.775,178.9742,
2600.865,178.66852,
2597.954,164.3812,
2595.044,186.35729,
2592.133,189.15206,
2589.223,179.4592,
2586.312,179.40011,
2583.401,176.74359,
2580.491,178.99035,
2577.580,167.40306,
2574.670,186.03542,
2571.759,192.02654,
2568.848,177.73404,
2565.938,193.23222,
2563.027,182.74091,
2560.117,182.73948,
2557.206,190.51153,
2554.296,195.77088,
2551.385,184.50706,
2548.474,190.96756,
2545.564,189.40666,
2542.653,196.98574,
2539.743,193.85652,
2536.832,197.64042,
2533.922,195.46962,
2531.011,199.45016,
2528.100,199.70603,
2525.190,195.67869,
2522.279,205.71843,
2519.369,196.29929,
2516.458,200.37146,
2513.548,193.13868,
2510.637,185.86686,
2507.726,193.68727,
2504.816,196.06271,
2501.905,205.49085,
2498.995,190.15135,
2496.084,204.21473,
2493.173,210.5856,
2490.263,202.8021,
2487.352,223.1246,
2484.442,215.95102,
2481.531,209.21546,
2478.621,204.07167,
2475.710,218.40567,
2472.799,219.41539,
2469.889,223.94843,
2466.978,218.169,
2464.068,201.75592,
2461.157,228.79751,
2458.247,215.28664,
2455.336,210.26738,
2452.425,209.13443,
2449.515,215.62032,
2446.604,217.72753,
2443.694,227.09624,
2440.783,235.80405,
2437.872,219.95844,
2434.962,230.90957,
2432.051,227.15294,
2429.141,227.12218,
2426.230,229.91866,
2423.320,233.53212,
2420.409,229.83663,
2417.498,231.34973,
2414.588,239.00997,
2411.677,233.62601,
2408.767,245.1811,
2405.856,259.84405,
2402.946,238.46973,
2400.035,240.0628,
2397.124,247.13971,
2394.214,238.3482,
2391.303,238.76728,
2388.393,245.58665,
2385.482,221.60873,
2382.571,234.8814,
2379.661,240.5609,
2376.750,249.74449,
2373.840,240.8844,
2370.929,240.36417,
2368.019,267.375,
2365.108,264.2127,
2362.197,260.56953,
2359.287,259.77834,
2356.376,243.40318,
2353.466,260.78426,
2350.555,257.58497,
2347.645,265.84783,
2344.734,262.91876,
2341.823,271.19258,
2338.913,269.7108,
2336.002,259.22905,
2333.092,267.44388,
2330.181,269.11158,
2327.270,273.09997,
2324.360,255.31603,
2321.449,263.31378,
2318.539,264.82148,
2315.628,265.86221,
2312.718,280.62391,
2309.807,288.82849,
2306.896,282.88674,
2303.986,283.45938,
2301.075,275.2899,
2298.165,283.75019,
2295.254,295.18111,
2292.344,270.69455,
2289.433,259.39818,
2286.522,277.18294,
2283.612,300.10588,
2280.701,277.67999,
2277.791,307.85403,
2274.880,292.37906,
2271.969,278.66718,
2269.059,290.01535,
2266.148,308.21139,
2263.238,289.6839,
2260.327,301.5473,
2257.417,294.645,
2254.506,307.16132,
2251.595,306.51681,
2248.685,308.11154,
2245.774,306.57283,
2242.864,291.98598,
2239.953,283.41643,
2237.043,290.90891,
2234.132,307.91271,
2231.221,299.375,
2228.311,317.64173,
2225.400,283.72598,
2222.490,331.48903,
2219.579,333.63977,
2216.669,339.32254,
2213.758,324.93575,
2210.847,314.59918,
2207.937,341.27562,
2205.026,335.48608,
2202.116,333.49072,
2199.205,334.03689,
2196.294,351.99498,
2193.384,331.50746,
2190.473,347.97242,
2187.563,332.40883,
2184.652,341.63418,
2181.742,360.28482,
2178.831,371.29717,
2175.920,377.28393,
2173.010,380.02466,
2170.099,380.10814,
2167.189,400.38935,
2164.278,406.04334,
2161.368,432.80292,
2158.457,458.23656,
2155.546,477.17789,
2152.636,482.16223,
2149.725,513.33471,
2146.815,505.84216,
2143.904,523.37129,
2140.993,524.38546,
2138.083,558.83396,
2135.172,543.52614,
2132.262,547.28081,
2129.351,536.96452,
2126.441,537.32648,
2123.530,514.29643,
2120.619,501.73304,
2117.709,466.63869,
2114.798,460.77108,
2111.888,449.86252,
2108.977,427.12333,
2106.067,418.16689,
2103.156,424.65401,
2100.245,386.36622,
2097.335,374.66295,
2094.424,382.99777,
2091.514,361.02289,
2088.603,366.05243,
2085.692,357.05533,
2082.782,363.27052,
2079.871,369.01794,
2076.961,375.92295,
2074.050,357.92652,
2071.140,381.93873,
2068.229,353.27343,
2065.318,370.2025,
2062.408,363.07925,
2059.497,370.4167,
2056.587,365.93344,
2053.676,360.82485,
2050.766,354.91386,
2047.855,374.63454,
2044.944,351.76922,
2042.034,363.34604,
2039.123,356.15614,
2036.213,365.16388,
2033.302,367.26623,
2030.391,345.61299,
2027.481,356.66745,
2024.570,350.20397,
2021.660,347.375,
2018.749,347.33701,
2015.839,348.39272,
2012.928,358.61661,
2010.017,351.97218,
2007.107,354.86285,
2004.196,359.5655,
2001.286,347.43511,
1998.375,343.42126,
1995.465,334.78929,
1992.554,346.27487,
1989.643,361.89111,
1986.733,339.46535,
1983.822,327.32478,
1980.912,343.17632,
1978.001,312.23956,
1975.090,311.75058,
1972.180,318.47873,
1969.269,316.50719,
1966.359,335.5374,
1963.448,338.06985,
1960.538,336.99802,
1957.627,352.53291,
1954.716,333.00699,
1951.806,343.375,
1948.895,336.99858,
1945.985,299.50245,
1943.074,321.13149,
1940.164,325.69254,
1937.253,340.07074,
1934.342,321.26378,
1931.432,316.45702,
1928.521,311.33527,
1925.611,299.60883,
1922.700,311.62085,
1919.790,311.92995,
1916.879,298.35149,
1913.968,299.37254,
1911.058,305.52514,
1908.147,281.36772,
1905.237,293.97794,
1902.326,289.21056,
1899.415,282.67134,
1896.505,293.64014,
1893.594,287.92982,
1890.684,269.375,
1887.773,275.15072,
1884.863,310.62785,
1881.952,320.00508,
1879.041,292.9238,
1876.131,328.53707,
1873.220,306.99434,
1870.310,311.65749,
1867.399,272.03074,
1864.489,328.90768,
1861.578,311.02384,
1858.667,257.44381,
1855.757,305.96927,
1852.846,309.86219,
1849.936,295.72436,
1847.025,289.90053,
1844.114,320.25034,
1841.204,334.86451,
1838.293,321.3883,
