,PLA569~1,
Raman shift [1/cm],Intensity,
3014.167,1.625,
3011.256,-0.47502147,
3008.346,110.307,
3005.435,131.50839,
3002.525,145.43764,
2999.614,128.2393,
2996.704,137.98789,
2993.793,146.39574,
2990.882,143.05241,
2987.972,164.60482,
2985.061,158.40825,
2982.151,160.02837,
2979.240,165.57462,
2976.329,175.13865,
2973.419,178.625,
2970.508,181.09165,
2967.598,198.43384,
2964.687,199.40081,
2961.777,201.90702,
2958.866,206.29216,
2955.955,214.73118,
2953.045,219.35878,
2950.134,225.05066,
2947.224,221.4506,
2944.313,246.47899,
2941.403,234.80338,
2938.492,245.07216,
2935.581,234.60909,
2932.671,256.14431,
2929.760,241.39806,
2926.850,243.94568,
2923.939,267.94745,
2921.028,279.6605,
2918.118,268.32651,
2915.207,283.56807,
2912.297,270.68847,
2909.386,268.41332,
2906.476,262.81882,
2903.565,276.36722,
2900.654,278.35401,
2897.744,267.70043,
2894.833,270.73846,
2891.923,250.40699,
2889.012,286.75217,
2886.102,262.10745,
2883.191,276.60046,
2880.280,269.03169,
2877.370,237.71226,
2874.459,244.55596,
2871.549,276.67774,
2868.638,286.48892,
2865.727,282.99422,
2862.817,302.38301,
2859.906,292.53668,
2856.996,300.62047,
2854.085,303.38551,
2851.175,299.3359,
2848.264,275.20334,
2845.353,311.66813,
2842.443,309.23266,
2839.532,287.87882,
2836.622,292.19792,
2833.711,285.46174,
2830.801,291.625,
2827.890,278.9152,
2824.979,272.90899,
2822.069,303.52265,
2819.158,297.28538,
2816.248,294.90105,
2813.337,309.15062,
2810.427,302.40461,
2807.516,296.68266,
2804.605,287.18512,
2801.695,304.17761,
2798.784,294.625,
2795.874,292.0498,
2792.963,299.48223,
2790.052,297.62586,
2787.142,295.625,
2784.231,292.07687,
2781.321,270.5679,
2778.410,287.52982,
2775.500,286.26397,
2772.589,298.93234,
2769.678,293.16084,
2766.768,313.72794,
2763.857,305.83695,
2760.947,315.10924,
2758.036,302.45933,
2755.126,296.56304,
2752.215,326.1158,
2749.304,313.39119,
2746.394,309.83669,
2743.483,316.12498,
2740.573,319.73783,
2737.662,325.18861,
2734.751,322.80958,
2731.841,315.73306,
2728.930,318.84957,
2726.020,327.41088,
2723.109,318.55309,
2720.199,322.07491,
2717.288,333.53741,
2714.377,350.0414,
2711.467,325.39533,
2708.556,327.41237,
2705.646,331.9208,
2702.735,331.808,
2699.825,346.15772,
2696.914,338.95817,
2694.003,344.36809,
2691.093,335.48181,
2688.182,335.78945,
2685.272,341.74022,
2682.361,347.92522,
2679.450,347.53443,
2676.540,341.64532,
2673.629,342.95684,
2670.719,353.25994,
2667.808,347.20863,
2664.898,365.50827,
2661.987,352.09158,
2659.076,362.59051,
2656.166,358.56009,
2653.255,363.25085,
2650.345,373.625,
2647.434,363.96796,
2644.524,362.99189,
2641.613,358.36793,
2638.702,372.41985,
2635.792,371.15541,
2632.881,373.5834,
2629.971,379.34989,
2627.060,380.29187,
2624.149,383.67812,
2621.239,394.88538,
2618.328,382.04887,
2615.418,389.96591,
2612.507,382.28114,
2609.597,377.80863,
2606.686,380.5467,
2603.775,391.18452,
2600.865,403.38614,
2597.954,395.15205,
2595.044,403.64271,
2592.133,395.95617,
2589.223,395.40816,
2586.312,407.72051,
2583.401,392.72719,
2580.491,399.61055,
2577.580,405.62005,
2574.670,409.54343,
2571.759,413.86217,
2568.848,396.03933,
2565.938,408.24393,
2563.027,417.77049,
2560.117,406.98948,
2557.206,417.47371,
2554.296,426.879,
2551.385,420.19507,
2548.474,420.88411,
2545.564,426.3401,
2542.653,427.10821,
2539.743,441.71126,
2536.832,430.8493,
2533.922,421.75115,
2531.011,429.35002,
2528.100,435.55533,
2525.190,437.67213,
2522.279,446.5781,
2519.369,445.625,
2516.458,441.17741,
2513.548,440.86132,
2510.637,444.625,
2507.726,441.81458,
2504.816,439.56299,
2501.905,441.81341,
2498.995,436.50556,
2496.084,431.55878,
2493.173,440.09917,
2490.263,458.20919,
2487.352,453.1258,
2484.442,461.20745,
2481.531,462.63022,
2478.621,463.94725,
2475.710,490.50998,
2472.799,476.3649,
2469.889,477.1707,
2466.978,467.68693,
2464.068,459.83662,
2461.157,484.625,
2458.247,478.65434,
2455.336,483.15535,
2452.425,488.73349,
2449.515,479.0491,
2446.604,468.02817,
2443.694,484.53208,
2440.783,503.62838,
2437.872,486.80732,
2434.962,496.3531,
2432.051,508.16201,
2429.141,503.06622,
2426.230,503.49462,
2423.320,509.68226,
2420.409,503.8686,
2417.498,502.02668,
2414.588,508.1649,
2411.677,510.80429,
2408.767,517.90157,
2405.856,526.03214,
