,PLBC96~1,
Raman shift [1/cm],Intensity,
3014.167,2.5,
3011.256,0.39997853,
3008.346,101.29264,
3005.435,114.38693,
3002.525,114.40492,
2999.614,109.49094,
2996.704,124.13711,
2993.793,122.76613,
2990.882,120.103,
2987.972,140.5,
2985.061,136.0665,
2982.151,138.42606,
2979.240,136.04656,
2976.329,164.26775,
2973.419,175.06971,
2970.508,163.51662,
2967.598,166.5,
2964.687,170.32065,
2961.777,168.15806,
2958.866,175.17162,
2955.955,166.9823,
2953.045,182.96757,
2950.134,184.04226,
2947.224,193.24019,
2944.313,205.01709,
2941.403,182.41652,
2938.492,199.53254,
2935.581,197.59697,
2932.671,228.81757,
2929.760,210.08461,
2926.850,220.61165,
2923.939,219.90188,
2921.028,231.22371,
2918.118,218.48111,
2915.207,239.86091,
2912.297,224.60155,
2909.386,229.90876,
2906.476,229.46911,
2903.565,249.98445,
2900.654,230.71235,
2897.744,241.46228,
2894.833,235.20109,
2891.923,228.8782,
2889.012,235.25144,
2886.102,229.29189,
2883.191,221.50661,
2880.280,210.29904,
2877.370,200.77905,
2874.459,185.95307,
2871.549,225.5,
2868.638,232.18247,
2865.727,243.94235,
2862.817,247.90105,
2859.906,240.00711,
2856.996,260.49547,
2854.085,264.14076,
2851.175,258.59637,
2848.264,254.22534,
2845.353,233.82351,
2842.443,245.70487,
2839.532,245.38057,
2836.622,251.528,
2833.711,240.5,
2830.801,243.19779,
2827.890,245.06118,
2824.979,248.77193,
2822.069,254.54549,
2819.158,260.02022,
2816.248,259.51158,
2813.337,241.33535,
2810.427,267.32369,
2807.516,254.66563,
2804.605,255.72596,
2801.695,259.93421,
2798.784,253.01746,
2795.874,262.52114,
2792.963,256.64319,
2790.052,246.50386,
2787.142,262.39461,
2784.231,255.17701,
2781.321,246.1286,
2778.410,255.91497,
2775.500,258.79759,
2772.589,262.23013,
2769.678,254.35665,
2766.768,263.80486,
2763.857,255.7659,
2760.947,277.99685,
2758.036,261.40436,
2755.126,269.49359,
2752.215,269.48161,
2749.304,273.69063,
2746.394,266.19353,
2743.483,264.25003,
2740.573,265.48455,
2737.662,281.05326,
2734.751,273.91756,
2731.841,290.9066,
2728.930,263.39828,
2726.020,276.51042,
2723.109,268.5415,
2720.199,281.28438,
2717.288,280.5,
2714.377,295.30394,
2711.467,287.2044,
2708.556,299.55347,
2705.646,281.89435,
2702.735,285.18558,
2699.825,302.52181,
2696.914,293.40453,
2694.003,287.83983,
2691.093,305.14261,
2688.182,303.84593,
2685.272,297.81863,
2682.361,298.74127,
2679.450,296.62345,
2676.540,311.84963,
2673.629,289.12776,
2670.719,300.07671,
2667.808,304.11092,
2664.898,301.72082,
2661.987,310.83355,
2659.076,322.99138,
2656.166,322.5304,
2653.255,304.79422,
2650.345,312.06806,
2647.434,315.29966,
2644.524,308.67749,
2641.613,321.92866,
2638.702,316.61047,
2635.792,323.4681,
2632.881,326.19052,
2629.971,333.22489,
2627.060,338.00031,
2624.149,329.06876,
2621.239,340.28706,
2618.328,310.47491,
2615.418,336.81364,
2612.507,336.81229,
2609.597,346.93912,
2606.686,327.00604,
2603.775,339.57936,
2600.865,332.91295,
2597.954,342.41037,
2595.044,361.49114,
2592.133,350.04763,
2589.223,338.82526,
2586.312,346.76636,
2583.401,340.68251,
2580.491,346.59616,
2577.580,365.46864,
2574.670,351.75801,
2571.759,362.19692,
2568.848,353.73754,
2565.938,375.78598,
2563.027,347.45223,
2560.117,349.33175,
2557.206,367.90959,
2554.296,360.26888,
2551.385,363.51614,
2548.474,382.20372,
2545.564,378.62662,
2542.653,379.79531,
2539.743,366.51232,
2536.832,371.54112,
2533.922,366.72077,
2531.011,379.95005,
2528.100,381.69862,
2525.190,378.96598,
2522.279,381.21861,
2519.369,378.82055,
2516.458,388.16785,
2513.548,391.11816,
2510.637,395.43852,
2507.726,393.25093,
2504.816,382.06144,
2501.905,384.42744,
2498.995,389.27635,
2496.084,396.90067,
2493.173,392.02649,
2490.263,402.88193,
2487.352,396.126,
2484.442,405.94327,
2481.531,401.87227,
2478.621,407.73222,
2475.710,411.57668,
2472.799,421.00673,
2469.889,417.07617,
2466.978,415.94329,
2464.068,400.21952,
2461.157,411.62232,
2458.247,428.70573,
2455.336,417.43543,
2452.425,407.12734,
2449.515,423.27338,
2446.604,418.73038,
