,PLC4B4~1,
Raman shift [1/cm],Intensity,
3014.167,3.75,
3011.256,-2.1499785,
3008.346,156.77784,
3005.435,198.09629,
3002.525,197.95749,
2999.614,180.78122,
2996.704,207.02423,
2993.793,201.5023,
2990.882,206.52859,
2987.972,231.71469,
2985.061,224.75,
2982.151,232.67606,
2979.240,229.76424,
2976.329,267.54505,
2973.419,260.9346,
2970.508,272.23328,
2967.598,270.89699,
2964.687,292.79484,
2961.777,270.91218,
2958.866,296.43201,
2955.955,288.65043,
2953.045,294.25338,
2950.134,307.22811,
2947.224,319.49019,
2944.313,333.51424,
2941.403,338.00045,
2938.492,343.77169,
2935.581,346.00278,
2932.671,354.59121,
2929.760,355.93845,
2926.850,352.69774,
2923.939,353.26868,
2921.028,360.83238,
2918.118,374.1102,
2915.207,390.46537,
2912.297,371.87271,
2909.386,392.13687,
2906.476,388.36236,
2903.565,390.33074,
2900.654,401.59629,
2897.744,383.83801,
2894.833,387.03873,
2891.923,376.0737,
2889.012,374.03902,
2886.102,377.91757,
2883.191,375.74906,
2880.280,377.23324,
2877.370,368.09298,
2874.459,343.56149,
2871.549,372.44739,
2868.638,405.25307,
2865.727,403.19998,
2862.817,405.19252,
2859.906,395.14315,
2856.996,418.72736,
2854.085,418.46848,
2851.175,410.8675,
2848.264,395.044,
2845.353,401.83627,
2842.443,408.14582,
2839.532,402.43662,
2836.622,395.23307,
2833.711,390.95723,
2830.801,401.94412,
2827.890,393.3951,
2824.979,396.81195,
2822.069,411.5453,
2819.158,401.35109,
2816.248,418.23263,
2813.337,414.88414,
2810.427,423.27204,
2807.516,414.33281,
2804.605,414.22357,
2801.695,434.53949,
2798.784,408.26338,
2795.874,404.18008,
2792.963,406.60723,
2790.052,408.75,
2787.142,405.03946,
2784.231,394.52486,
2781.321,395.31574,
2778.410,408.72969,
2775.500,418.04759,
2772.589,422.98089,
2769.678,414.07428,
2766.768,415.54808,
2763.857,426.48989,
2760.947,442.19011,
2758.036,425.97289,
2755.126,425.69445,
2752.215,447.28182,
2749.304,418.96406,
2746.394,443.96169,
2743.483,437.05003,
2740.573,428.08848,
2737.662,425.73965,
2734.751,440.52152,
2731.841,447.93864,
2728.930,443.52543,
2726.020,441.63773,
2723.109,440.75,
2720.199,443.61248,
2717.288,463.60768,
2714.377,459.46278,
2711.467,470.15989,
2708.556,468.27126,
2705.646,471.28522,
2702.735,476.24742,
2699.825,469.83726,
2696.914,477.08365,
2694.003,486.69472,
2691.093,473.6429,
2688.182,485.44185,
2685.272,465.50249,
2682.361,479.44432,
2679.450,489.56885,
2676.540,498.03866,
2673.629,471.38225,
2670.719,485.46534,
2667.808,499.97183,
2664.898,472.86673,
2661.987,490.25017,
2659.076,493.25862,
2656.166,496.15263,
2653.255,484.41837,
2650.345,486.80626,
2647.434,492.43591,
2644.524,510.17451,
2641.613,512.34962,
2638.702,498.86047,
2635.792,512.90653,
2632.881,513.63686,
2629.971,514.87751,
2627.060,527.415,
2624.149,533.40001,
2621.239,516.4837,
2618.328,515.55536,
2615.418,530.43181,
2612.507,524.37055,
2609.597,540.18912,
2606.686,537.30824,
2603.775,541.82936,
2600.865,543.57254,
2597.954,504.61865,
2595.044,548.02724,
2592.133,542.40587,
2589.223,547.69002,
2586.312,559.89574,
2583.401,549.0164,
2580.491,555.26919,
2577.580,555.77476,
2574.670,569.08958,
2571.759,561.44692,
2568.848,547.22508,
2565.938,571.17861,
2563.027,566.84772,
2560.117,564.93691,
2557.206,577.21494,
2554.296,579.75,
2551.385,571.86592,
2548.474,580.75038,
2545.564,586.81331,
2542.653,581.1292,
2539.743,576.73768,
2536.832,596.62851,
2533.922,596.62385,
2531.011,590.67484,
2528.100,601.08103,
2525.190,596.26312,
2522.279,603.60931,
2519.369,601.95747,
2516.458,606.41785,
2513.548,602.08644,
2510.637,610.68852,
2507.726,610.68681,
2504.816,618.93828,
2501.905,616.44573,
2498.995,615.01815,
2496.084,585.91027,
2493.173,601.64537,
2490.263,627.3229,
2487.352,636.83347,
2484.442,638.75,
2481.531,642.43613,
2478.621,635.76892,
2475.710,668.68099,
2472.799,658.02356,
2469.889,651.2957,
2466.978,648.30671,
2464.068,628.59649,
2461.157,657.75,
