,PLD278~1,
Raman shift [1/cm],Intensity,
3014.167,1.25,
3011.256,-2.3000107,
3008.346,77.364886,
3005.435,102.3242,
3002.525,106.68512,
2999.614,100.8643,
2996.704,100.39124,
2993.793,108.50691,
2990.882,110.59347,
2987.972,124.16928,
2985.061,110.46675,
2982.151,130.86346,
2979.240,124.25,
2976.329,135.52048,
2973.419,128.0654,
2970.508,134.64996,
2967.598,140.39337,
2964.687,148.02581,
2961.777,149.62603,
2958.866,151.5962,
2955.955,157.01546,
2953.045,173.14932,
2950.134,167.64358,
2947.224,175.30694,
2944.313,167.81196,
2941.403,169.28604,
2938.492,189.83537,
2935.581,180.05126,
2932.671,185.28861,
2929.760,176.64615,
2926.850,175.25,
2923.939,186.96962,
2921.028,190.56179,
2918.118,186.9704,
2915.207,203.78814,
2912.297,186.36425,
2909.386,199.23541,
2906.476,196.47471,
2903.565,207.29815,
2900.654,210.02654,
2897.744,186.60202,
2894.833,205.59037,
2891.923,194.8718,
2889.012,192.33093,
2886.102,199.04189,
2883.191,190.25755,
2880.280,179.08731,
2877.370,164.17441,
2874.459,151.06149,
2871.549,171.46044,
2868.638,204.43554,
2865.727,204.33075,
2862.817,215.35026,
2859.906,202.98503,
2856.996,218.27717,
2854.085,213.13025,
2851.175,213.77409,
2848.264,220.38733,
2845.353,218.88336,
2842.443,207.84025,
2839.532,214.69777,
2836.622,221.64323,
2833.711,210.36145,
2830.801,211.34338,
2827.890,213.06294,
2824.979,221.02796,
2822.069,236.09079,
2819.158,219.96967,
2816.248,225.21526,
2813.337,219.17804,
2810.427,228.03651,
2807.516,210.30766,
2804.605,218.97117,
2801.695,238.98684,
2798.784,222.43277,
2795.874,221.25528,
2792.963,224.60734,
2790.052,223.25129,
2787.142,227.22377,
2784.231,221.34784,
2781.321,220.37572,
2778.410,225.56979,
2775.500,226.42069,
2772.589,230.13456,
2769.678,232.03497,
2766.768,233.6267,
2763.857,230.72592,
2760.947,239.69011,
2758.036,231.94428,
2755.126,233.86325,
2752.215,243.39993,
2749.304,236.5054,
2746.394,233.36691,
2743.483,241.8,
2740.573,252.89606,
2737.662,249.80326,
2734.751,243.2258,
2731.841,243.70971,
2728.930,239.69914,
2726.020,252.92882,
2723.109,240.08542,
2720.199,245.38752,
2717.288,239.53102,
2714.377,253.79558,
2711.467,259.26648,
2708.556,255.25,
2705.646,258.63029,
2702.735,258.92526,
2699.825,256.48996,
2696.914,263.86957,
2694.003,258.09391,
2691.093,257.39319,
2688.182,267.0137,
2685.272,267.01102,
2682.361,264.25,
2679.450,250.80149,
2676.540,273.10773,
2673.629,270.56388,
2670.719,276.03835,
2667.808,265.68772,
2664.898,274.91245,
2661.987,273.91678,
2659.076,272.14009,
2656.166,294.61811,
2653.255,273.68878,
2650.345,292.38612,
2647.434,284.62096,
2644.524,274.97186,
2641.613,282.44987,
2638.702,286.15531,
2635.792,285.37463,
2632.881,279.01206,
2629.971,293.18972,
2627.060,299.24938,
2624.149,299.65626,
2621.239,296.50445,
2618.328,289.01297,
2615.418,310.56364,
2612.507,302.49512,
2609.597,312.23004,
2606.686,309.72994,
2603.775,314.80555,
2600.865,292.60492,
2597.954,303.16037,
2595.044,318.27657,
2592.133,314.08441,
2589.223,298.30998,
2586.312,316.71233,
2583.401,308.35219,
2580.491,307.97596,
2577.580,304.28466,
2574.670,328.57085,
2571.759,328.44179,
2568.848,317.95717,
2565.938,332.86922,
2563.027,316.47042,
2560.117,320.89485,
2557.206,329.90682,
2554.296,339.61613,
2551.385,322.94406,
2548.474,329.54628,
2545.564,333.12338,
2542.653,344.70302,
2539.743,334.76848,
2536.832,336.27056,
2533.922,338.20269,
2531.011,337.44981,
2528.100,337.91897,
2525.190,332.45943,
2522.279,363.59343,
2519.369,349.04253,
2516.458,338.46672,
2513.548,341.95895,
2510.637,336.86483,
2507.726,347.18681,
2504.816,342.49915,
2501.905,355.10488,
2498.995,343.66803,
2496.084,348.71689,
2493.173,351.88179,
2490.263,340.49743,
2487.352,362.20827,
2484.442,363.81316,
2481.531,369.19682,
2478.621,360.57225,
2475.710,361.36502,
2472.799,376.00337,
2469.889,377.67383,
2466.978,370.86865,
2464.068,356.71557,
2461.157,391.90253,
2458.247,378.14697,
2455.336,380.43984,
2452.425,393.49057,
2449.515,400.28741,
2446.604,383.07721,
2443.694,378.41283,
2440.783,386.53716,
2437.872,403.21354,
2434.962,404.35138,
2432.051,402.93505,
2429.141,403.79107,
2426.230,405.38038,
2423.320,400.62151,
2420.409,400.65378,
2417.498,399.07022,
2414.588,409.78225,
2411.677,400.57272,
2408.767,409.50295,
2405.856,414.94045,
2402.946,422.30362,
2400.035,418.75469,
2397.124,427.90241,
2394.214,418.2232,
2391.303,425.07317,
2388.393,412.8267,
2385.482,399.60249,
2382.571,422.05985,
2379.661,434.59878,
2376.750,437.35593,
2373.840,428.19066,
2370.929,432.18502,
2368.019,430.4064,
2365.108,443.94634,
2362.197,451.27737,
2359.287,432.08175,
2356.376,450.21126,
2353.466,458.64383,
2350.555,454.7198,
2347.645,452.17052,
2344.734,460.97812,
2341.823,454.38267,
2338.913,470.79025,
2336.002,437.73324,
2333.092,444.19246,
2330.181,470.63868,
2327.270,467.85506,
2324.360,455.19103,
2321.449,463.18878,
2318.539,467.25,
2315.628,470.03977,
2312.718,481.84912,
2309.807,483.52325,
2306.896,491.2813,
2303.986,487.58752,
2301.075,469.71808,
2298.165,499.18322,
2295.254,492.5516,
2292.344,470.45743,
2289.433,487.96046,
2286.522,502.84372,
2283.612,497.96938,
2280.701,493.38453,
2277.791,518.04775,
2274.880,490.31998,
2271.969,508.17593,
2269.059,526.33991,
2266.148,538.57053,
2263.238,501.96818,
2260.327,518.59461,
2257.417,506.45055,
2254.506,536.01352,
2251.595,519.83189,
2248.685,526.71725,
2245.774,533.15108,
2242.864,515.22255,
2239.953,531.07066,
2237.043,539.19821,
2234.132,526.83189,
2231.221,522.77717,
2228.311,527.98969,
2225.400,535.44702,
2222.490,546.89179,
2219.579,562.46334,
2216.669,557.23092,
2213.758,560.59771,
2210.847,559.44396,
2207.937,574.59851,
2205.026,572.47157,
2202.116,583.69481,
2199.205,576.79918,
2196.294,598.86998,
2193.384,581.93497,
2190.473,582.6878,
2187.563,603.30317,
2184.652,612.59327,
2181.742,604.72746,
2178.831,618.36288,
2175.920,651.06786,
2173.010,667.42517,
2170.099,652.65178,
2167.189,684.47962,
2164.278,722.11935,
2161.368,755.67864,
2158.457,766.53518,
2155.546,811.2789,
2152.636,838.12765,
2149.725,845.24328,
2146.815,876.21556,
2143.904,918.35037,
2140.993,917.85319,
2138.083,924.19219,
2135.172,945.72901,
2132.262,955.76056,
2129.351,932.30846,
2126.441,924.1335,
2123.530,895.98062,
2120.619,868.39695,
2117.709,837.13044,
2114.798,809.48068,
2111.888,780.85072,
2108.977,765.25,
2106.067,762.97487,
2103.156,739.37429,
2100.245,710.23181,
2097.335,679.20288,
2094.424,669.03699,
2091.514,682.10482,
2088.603,684.89513,
2085.692,672.15346,
2082.782,668.14552,
2079.871,676.35735,
2076.961,667.89578,
2074.050,657.71667,
2071.140,649.01997,
2068.229,660.97135,
2065.318,660.59499,
2062.408,635.44668,
2059.497,643.2917,
2056.587,648.02922,
2053.676,606.68563,
2050.766,640.70889,
2047.855,613.36068,
2044.944,651.78205,
2042.034,646.95509,
2039.123,629.09175,
2036.213,640.50109,
2033.302,652.27145,
2030.391,644.42014,
2027.481,637.20116,
2024.570,661.16371,
2021.660,639.84649,
2018.749,636.12378,
2015.839,653.13845,
2012.928,626.68625,
2010.017,647.92535,
2007.107,656.87993,
2004.196,658.47615,
2001.286,636.97793,
1998.375,638.6004,
1995.465,628.87768,
1992.554,648.03804,
1989.643,660.90436,
1986.733,637.71491,
1983.822,627.96787,
1980.912,628.07193,
1978.001,632.68228,
1975.090,622.07747,
1972.180,628.14492,
1969.269,631.53156,
1966.359,639.70971,
1963.448,644.40588,
1960.538,621.15075,
1957.627,639.43268,
1954.716,602.4278,
1951.806,625.29968,
1948.895,620.63875,
1945.985,587.96896,
1943.074,606.04342,
1940.164,600.23088,
1937.253,617.85851,
1934.342,638.83128,
1931.432,622.84937,
1928.521,608.79577,
1925.611,597.55534,
1922.700,623.11602,
1919.790,611.44098,
1916.879,608.25,
1913.968,604.25492,
1911.058,591.6554,
1908.147,585.50841,
1905.237,599.45588,
1902.326,593.08556,
1899.415,603.27686,
1896.505,616.79789,
1893.594,588.15248,
1890.684,588.34159,
1887.773,579.71543,
1884.863,606.4869,
1881.952,613.97256,
1879.041,601.41563,
1876.131,628.38201,
1873.220,603.86934,
1870.310,601.1065,
1867.399,567.79378,
1864.489,627.65332,
1861.578,591.51898,
1858.667,618.84883,
1855.757,596.43854,
1852.846,613.01922,
1849.936,626.97072,
1847.025,626.54685,
1844.114,622.69944,
1841.204,639.76049,
1838.293,649.24335,
1835.383,637.40152,
1832.472,645.59957,
1829.562,642.36354,
1826.651,660.96865,
1823.740,664.78638,
1820.830,643.50181,
1817.919,611.37558,
1815.009,654.91157,
1812.098,687.48621,
1809.188,650.85474,
1806.277,662.91802,
1803.366,656.63263,
1800.456,676.66701,
1797.545,633.54071,
1794.635,647.79802,
1791.724,660.06551,
1788.813,671.45283,
1785.903,676.49809,
1782.992,661.29917,
1780.082,655.96136,
1777.171,653.24518,
1774.261,637.80505,
1771.350,652.93525,
1768.439,667.54763,
1765.529,675.25188,
