,PLE7B4~1,
Raman shift [1/cm],Intensity,
3014.167,3.125,
3011.256,-1.6250537,
3008.346,130.58572,
3005.435,138.66564,
3002.525,156.25755,
2999.614,142.92762,
2996.704,159.8951,
2993.793,163.51498,
2990.882,150.99524,
2987.972,174.10987,
2985.061,171.125,
2982.151,176.40904,
2979.240,182.7077,
2976.329,195.14138,
2973.419,198.17147,
2970.508,193.14162,
2967.598,223.88604,
2964.687,213.8716,
2961.777,219.9029,
2958.866,220.13688,
2955.955,217.78427,
2953.045,241.04223,
2950.134,240.88009,
2947.224,247.46663,
2944.313,251.03526,
2941.403,268.93522,
2938.492,270.99764,
2935.581,265.44773,
2932.671,274.72587,
2929.760,272.70961,
2926.850,272.81147,
2923.939,281.72782,
2921.028,287.53692,
2918.118,301.80258,
2915.207,302.72652,
2912.297,275.30271,
2909.386,309.50457,
2906.476,303.54354,
2903.565,303.86722,
2900.654,304.63055,
2897.744,294.22558,
2894.833,302.94973,
2891.923,288.71789,
2889.012,302.41402,
2886.102,369.11413,
2883.191,684.86256,
2880.280,292.39293,
2877.370,260.13666,
2874.459,247.1188,
2871.549,278.66469,
2868.638,315.03632,
2865.727,313.01733,
2862.817,310.22526,
2859.906,317.31587,
2856.996,330.67708,
2854.085,327.92754,
2851.175,320.81477,
2848.264,324.18883,
2845.353,325.82306,
2842.443,320.90968,
2839.532,320.93105,
2836.622,316.21484,
2833.711,314.28042,
2830.801,313.52794,
2827.890,312.125,
2824.979,320.47094,
2822.069,337.99991,
2819.158,327.125,
2816.248,317.41263,
2813.337,337.67134,
2810.427,332.21316,
2807.516,331.80844,
2804.605,339.59857,
2801.695,348.59867,
2798.784,324.75131,
2795.874,332.84532,
2792.963,332.91085,
2790.052,333.12564,
2787.142,332.57231,
2784.231,329.67313,
2781.321,322.4393,
2778.410,326.29505,
2775.500,331.25189,
2772.589,337.89411,
2769.678,344.01575,
2766.768,338.51527,
2763.857,334.12886,
2760.947,361.09348,
2758.036,355.27786,
2755.126,333.10578,
2752.215,376.14763,
2749.304,361.27429,
2746.394,361.08868,
2743.483,366.07503,
2740.573,366.44803,
2737.662,355.125,
2734.751,367.40637,
2731.841,352.15063,
2728.930,356.59528,
2726.020,375.13542,
2723.109,367.1665,
2720.199,377.38137,
2717.288,371.54472,
2714.377,373.28762,
2711.467,376.51841,
2708.556,368.74226,
2705.646,382.09689,
2702.735,381.64305,
2699.825,388.85405,
2696.914,381.36319,
2694.003,397.25345,
2691.093,395.89275,
2688.182,382.43315,
2685.272,395.0809,
2682.361,399.42522,
2679.450,395.49535,
2676.540,397.88111,
2673.629,387.45235,
2670.719,398.47528,
2667.808,396.46545,
2664.898,394.56664,
2661.987,402.02523,
2659.076,403.2694,
2656.166,408.07734,
2653.255,411.34949,
2650.345,403.55694,
2647.434,421.52483,
2644.524,411.65016,
2641.613,423.95404,
2638.702,423.26703,
2635.792,415.68731,
2632.881,419.43448,
2629.971,424.61495,
2627.060,427.79063,
2624.149,436.125,
2621.239,442.13686,
2618.328,427.63365,
2615.418,441.11591,
2612.507,433.95508,
2609.597,438.0232,
2606.686,437.0467,
2603.775,449.60516,
2600.865,439.42189,
2597.954,447.41248,
2595.044,458.74148,
2592.133,456.67263,
2589.223,440.99236,
2586.312,466.82858,
2583.401,454.5922,
2580.491,463.13945,
2577.580,463.13985,
2574.670,471.57153,
2571.759,464.61987,
2568.848,465.06425,
2565.938,449.26778,
2563.027,468.90676,
2560.117,473.95675,
2557.206,483.494,
2554.296,479.69937,
2551.385,485.99294,
2548.474,488.68076,
2545.564,469.88473,
2542.653,482.97735,
2539.743,491.59419,
2536.832,500.92126,
2533.922,486.17231,
2531.011,486.92519,
2528.100,488.05533,
2525.190,495.70615,
2522.279,492.0781,
2519.369,489.91753,
2516.458,499.91183,
2513.548,505.27052,
2510.637,497.37093,
2507.726,503.93542,
2504.816,510.125,
2501.905,501.19756,
2498.995,498.96107,
2496.084,507.52567,
2493.173,506.52003,
2490.263,502.15888,
2487.352,528.20847,
2484.442,524.42909,
2481.531,528.02908,
2478.621,534.9117,
2475.710,525.27836,
2472.799,543.6452,
2469.889,540.5793,
2466.978,534.18693,
2464.068,534.9557,
2461.157,548.62256,
2458.247,533.43377,
2455.336,537.67687,
2452.425,543.125,
