,PLE8F6~1,
Raman shift [1/cm],Intensity,
3014.167,4.5,
3011.256,-0.39997853,
3008.346,37.15841,
3005.435,51.924029,
3002.525,43.81991,
2999.614,35.351963,
2996.704,36.322683,
2993.793,56.64228,
2990.882,47.454177,
2987.972,60.424326,
2985.061,45.94335,
2982.151,54.426057,
2979.240,44.830782,
2976.329,55.49454,
2973.419,51.869191,
2970.508,60.89996,
2967.598,65.5,
2964.687,68.365489,
2961.777,49.756189,
2958.866,61.182009,
2955.955,54.159275,
2953.045,77.848985,
2950.134,67.467924,
2947.224,62.21172,
2944.313,77.511395,
2941.403,83.881385,
2938.492,71.936318,
2935.581,73.387121,
2932.671,78.341213,
2929.760,75.946141,
2926.850,68.5,
2923.939,79.822448,
2921.028,83.829536,
2918.118,79.400505,
2915.207,89.386149,
2912.297,88.521157,
2909.386,70.697081,
2906.476,79.980323,
2903.565,97.5,
2900.654,97.5,
2897.744,75.663439,
2894.833,91.386544,
2891.923,75.227491,
2889.012,86.586704,
2886.102,74.895947,
2883.191,85.489616,
2880.280,60.222483,
2877.370,46.575594,
2874.459,45.795578,
2871.549,50.421151,
2868.638,71.774214,
2865.727,81.103857,
2862.817,85.243308,
2859.906,79.323356,
2856.996,92.504529,
2854.085,96.781522,
2851.175,82.810229,
2848.264,90.995165,
2845.353,91.5,
2842.443,91.5,
2839.532,92.276115,
2836.622,84.230466,
2833.711,91.61145,
2830.801,84.5,
2827.890,87.667842,
2824.979,90.932018,
2822.069,90.579605,
2819.158,96.739891,
2816.248,98.488421,
2813.337,106.25244,
2810.427,101.75757,
2807.516,96.557658,
2804.605,94.930292,
2801.695,101.63158,
2798.784,96.943538,
2795.874,95.069919,
2792.963,94.571383,
2790.052,84.50193,
2787.142,94.144731,
2784.231,86.403736,
2781.321,82.882926,
2778.410,101.42513,
2775.500,84.714488,
2772.589,109.84481,
2769.678,88.107515,
2766.768,93.804864,
2763.857,101.13199,
2760.947,102.48739,
2758.036,93.722889,
2755.126,82.057702,
2752.215,109.9908,
2749.304,95.521591,
2746.394,107.40522,
2743.483,102.40005,
2740.573,105.80758,
2737.662,101.61686,
2734.751,101.59229,
2731.841,109.2033,
2728.930,98.643991,
2726.020,103.93866,
2723.109,92.407334,
2720.199,104.81239,
2717.288,113.97445,
2714.377,116.33738,
2711.467,110.23737,
2708.556,120.28737,
2705.646,110.42956,
2702.735,111.34795,
2699.825,119.14179,
2696.914,105.21408,
2694.003,110.5,
2691.093,106.9284,
2688.182,101.7363,
2685.272,107.37624,
2682.361,112.77074,
2679.450,116.11724,
2676.540,99.703241,
2673.629,112.15469,
2670.719,118.78466,
2667.808,116.64591,
2664.898,115.643,
2661.987,113.16678,
2659.076,109.6444,
2656.166,124.54766,
2653.255,110.68707,
2650.345,111.77223,
2647.434,118.75722,
2644.524,121.88609,
2641.613,122.5,
2638.702,117.57891,
2635.792,112.81306,
2632.881,116.00583,
2629.971,129.3524,
2627.060,123.16563,
2624.149,129.20313,
2621.239,122.74259,
2618.328,114.51729,
2615.418,135.84091,
2612.507,129.39724,
2609.597,121.14271,
2606.686,121.05824,
2603.775,130.38095,
2600.865,128.91295,
2597.954,122.36245,
2595.044,141.15191,
2592.133,131.65911,
2589.223,130.63264,
2586.312,133.5,
2583.401,137.09125,
2580.491,126.98081,
2577.580,145.49835,
2574.670,142.83958,
2571.759,137.94949,
2568.848,120.21262,
2565.938,145.6906,
2563.027,130.32953,
2560.117,134.13552,
2557.206,144.44465,
2554.296,139.52975,
2551.385,142.30998,
2548.474,148.64833,
2545.564,143.7849,
2542.653,144.5,
2539.743,138.0801,
2536.832,145.09253,
2533.922,139.54731,
2531.011,143.32493,
2528.100,149.23172,
2525.190,132.73566,
2522.279,158.89033,
2519.369,145.89626,
2516.458,146.16785,
2513.548,155.5908,
2510.637,155.1311,
2507.726,147.00185,
2504.816,144.87542,
2501.905,137.76098,
2498.995,141.5,
2496.084,138.12716,
2493.173,143.76358,
2490.263,150.51129,
2487.352,154.5,
2484.442,153.93041,
2481.531,161.97863,
2478.621,154.37672,
2475.710,163.523,
2472.799,161.32069,
2469.889,158.58867,
2466.978,168.17014,
2464.068,147.34649,
2461.157,154.61745,
2458.247,163.92648,
2455.336,167.13797,
2452.425,148.88677,
2449.515,155.88669,
2446.604,153.96772,
2443.694,164.31416,
2440.783,172.54842,
2437.872,163.53646,
2434.962,164.76267,
2432.051,169.88897,
2429.141,166.67069,
2426.230,165.36962,
2423.320,174.34288,
2420.409,170.85261,
2417.498,176.07305,
2414.588,180.04754,
2411.677,169.17728,
2408.767,164.54724,
2405.856,178.37618,
2402.946,179.81546,
2400.035,175.90375,
2397.124,184.81552,
2394.214,172.4732,
2391.303,175.57182,
2388.393,177.24651,
2385.482,170.80843,
2382.571,182.66453,
2379.661,183.12791,
2376.750,185.97288,
2373.840,171.24383,
2370.929,188.26175,
2368.019,183.11453,
2365.108,187.42932,
2362.197,190.52737,
2359.287,172.92841,
2356.376,185.47182,
2353.466,188.1216,
2350.555,192.37535,
2347.645,193.29075,
2344.734,204.77655,
2341.823,183.94775,
2338.913,205.88206,
2336.002,188.94972,
2333.092,195.93679,
2330.181,203.04474,
2327.270,188.4901,
2324.360,183.78535,
2321.449,199.46939,
2318.539,194.35014,
2315.628,197.26419,
2312.718,190.01762,
2309.807,210.27036,
2306.896,194.00391,
2303.986,201.59096,
2301.075,201.47875,
2298.165,217.25039,
2295.254,211.73697,
2292.344,189.39208,
2289.433,204.87455,
