,PL0AF2~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6,
3011.256,1.6999356,
3008.346,144.35008,
3005.435,163.80919,
3002.525,163.07494,
2999.614,185.66365,
2996.704,186.2299,
2993.793,197.88537,
2990.882,197.90835,
2987.972,212.02018,
2985.061,205.35959,
2982.151,215.77817,
2979.240,221.07887,
2976.329,233.72952,
2973.419,247.15404,
2970.508,254.41658,
2967.598,236.38594,
2964.687,256.83628,
2961.777,267.11984,
2958.866,261.66271,
2955.955,261.68806,
2953.045,264.65101,
2950.134,282.91548,
2947.224,295.51244,
2944.313,295.92165,
2941.403,297.5958,
2938.492,292.90517,
2935.581,311.47853,
2932.671,305.8026,
2929.760,302.4269,
2926.850,311.69361,
2923.939,311.87849,
2921.028,336.2649,
2918.118,332.01889,
2915.207,326.53169,
2912.297,345.92807,
2909.386,322.80292,
2906.476,338.51122,
2903.565,338.74222,
2900.654,332.16482,
2897.744,367.71084,
2894.833,340.05164,
2891.923,318.40379,
2889.012,322.95376,
2886.102,341.02027,
2883.191,381.96318,
2880.280,363,
2877.370,356.72095,
2874.459,311.1637,
2871.549,315.67075,
2868.638,341.868,
2865.727,372.23463,
2862.817,359.17113,
2859.906,370,
2856.996,372.48868,
2854.085,381.16178,
2851.175,387.09637,
2848.264,379.51451,
2845.353,375.23724,
2842.443,380.80905,
2839.532,366.79108,
2836.622,368.75846,
2833.711,371.42229,
2830.801,374.49632,
2827.890,373.58039,
2824.979,364.77796,
2822.069,382.18195,
2819.158,390.39891,
2816.248,388.45947,
2813.337,394.43293,
2810.427,390.47796,
2807.516,402.78406,
2804.605,398.73076,
2801.695,392.2237,
2798.784,386.81315,
2795.874,410.59106,
2792.963,408.07181,
2790.052,393.00515,
2787.142,395.71054,
2784.231,386.3556,
2781.321,393.24568,
2778.410,389.05456,
2775.500,398.23414,
2772.589,395.76911,
2769.678,409.31733,
2766.768,429.43495,
2763.857,398.68787,
2760.947,427.49054,
2758.036,414.14006,
2755.126,413.09188,
2752.215,423.06365,
2749.304,425.7446,
2746.394,437.24802,
2743.483,442.94993,
2740.573,433.8207,
2737.662,435.5429,
2734.751,421.9758,
2731.841,431.37913,
2728.930,437.44914,
2726.020,444.56134,
2723.109,444.56708,
2720.199,448.23429,
2717.288,458.91241,
2714.377,444.9377,
2711.467,452.04945,
2708.556,453.03158,
2705.646,468.38029,
2702.735,463.66495,
2699.825,471.78186,
2696.914,455.28497,
2694.003,490.51382,
2691.093,477.92782,
2688.182,471.74667,
2685.272,484.53059,
2682.361,465.85262,
2679.450,470.38276,
2676.540,465.16259,
2673.629,467.02694,
2670.719,472.34289,
2667.808,501.02729,
2664.898,481.70136,
2661.987,498.4004,
2659.076,502.65303,
2656.166,493.29006,
2653.255,491.92517,
2650.345,508.89655,
2647.434,497.91426,
2644.524,499.31656,
2641.613,518.77184,
2638.702,505.3314,
2635.792,521.81455,
2632.881,514.66057,
2629.971,524.48995,
2627.060,520.16843,
2624.149,514.26874,
2621.239,520.24259,
2618.328,527.04239,
2615.418,531.98182,
2612.507,522.62457,
2609.597,549.23553,
2606.686,551.49396,
2603.775,535.55952,
2600.865,542.40958,
2597.954,530.81454,
2595.044,551.29495,
2592.133,559.38853,
2589.223,557.21684,
2586.312,577.51256,
2583.401,568.77733,
2580.491,565.16343,
2577.580,566,
2574.670,567.38369,
2571.759,564.39384,
2568.848,589.45872,
2565.938,588.52384,
2563.027,575.21824,
2560.117,582.87855,
2557.206,596.90406,
2554.296,576.20137,
2551.385,578.49596,
2548.474,588.07435,
2545.564,598.84172,
2542.653,597.15772,
2539.743,592.1109,
2536.832,589.79626,
2533.922,596.14192,
2531.011,606.37488,
2528.100,617.99654,
2525.190,620.25656,
2522.279,627.32829,
2519.369,630.67945,
2516.458,616.32861,
2513.548,602.9092,
2510.637,624.24593,
2507.726,627.68773,
2504.816,623.62458,
2501.905,628.30427,
2498.995,621.9555,
2496.084,636.08013,
2493.173,640.63179,
2490.263,630.04517,
2487.352,637.7512,
2484.442,655.2848,
2481.531,658.63295,
2478.621,670.98108,
2475.710,682.95399,
2472.799,675.02693,
2469.889,664.15235,
2466.978,669.103,
2464.068,677.78838,
2461.157,680.49756,
2458.247,672.98533,
2455.336,691.50882,
2452.425,687.41036,
2449.515,705.01871,
2446.604,692.35949,
2443.694,685.4885,
2440.783,702.57433,
2437.872,717.23424,
2434.962,703.56681,
2432.051,718.58636,
2429.141,710.01771,
2426.230,694.91268,
2423.320,723.21439,
2420.409,726.56396,
2417.498,727.63201,
2414.588,737.16723,
2411.677,745.49798,
2408.767,730.98819,
2405.856,721.90241,
2402.946,721.16086,
2400.035,711.41314,
2397.124,752.56149,
2394.214,752.45841,
2391.303,748.89499,
2388.393,733.09762,
2385.482,719.30843,
2382.571,749.65813,
2379.661,750.02331,
2376.750,766.41612,
2373.840,768.66569,
2370.929,809.51266,
2368.019,791.34913,
2365.108,792.25654,
2362.197,789.7781,
2359.287,785.81504,
2356.376,792.98415,
2353.466,794.3784,
2350.555,801.97507,
2347.645,803.22384,
2344.734,817.76041,
2341.823,798.398,
2338.913,808.95374,
2336.002,820.22486,
2333.092,828.50567,
2330.181,828.98211,
2327.270,815.71507,
2324.360,833.19341,
2321.449,830.26191,
2318.539,835.5107,
2315.628,858.31815,
2312.718,854.75109,
2309.807,847.57121,
2306.896,871.77152,
2303.986,869.12328,
2301.075,847.59577,
2298.165,858.96184,
2295.254,872.78457,
2292.344,865.15767,
2289.433,863.64864,
2286.522,874.91505,
2283.612,881.02932,
2280.701,879.59641,
2277.791,893.28239,
2274.880,921.00406,
2271.969,901.48971,
2269.059,895.82017,
2266.148,910.02504,
2263.238,921.09652,
2260.327,928.75872,
2257.417,938.76278,
2254.506,948.92312,
2251.595,955.86551,
2248.685,957.83843,
2245.774,963.70325,
2242.864,934.2494,
2239.953,917.8757,
2237.043,948,
2234.132,954.05711,
2231.221,983.16033,
2228.311,970.38405,
2225.400,968.16887,
2222.490,968.0585,
2219.579,959.77901,
2216.669,990.51669,
2213.758,987,
2210.847,989.41813,
2207.937,1036.0455,
2205.026,1018.1105,
2202.116,1036.5732,
2199.205,1050.8993,
2196.294,1048.14,
2193.384,1055.6045,
2190.473,1034.8286,
2187.563,1086.9565,
2184.652,1075.1384,
2181.742,1071.7061,
2178.831,1089.249,
2175.920,1101.561,
2173.010,1140.1264,
2170.099,1185.129,
2167.189,1206.3157,
2164.278,1257.19,
2161.368,1310.1415,
2158.457,1352.8269,
2155.546,1400.4683,
2152.636,1474.9573,
2149.725,1512.9799,
2146.815,1566.2648,
2143.904,1613.4126,
2140.993,1644,
2138.083,1658.5896,
2135.172,1680.0336,
2132.262,1698.5317,
2129.351,1737.676,
2126.441,1686.8056,
2123.530,1658.6296,
2120.619,1617.3306,
2117.709,1550.0793,
2114.798,1493.0228,
2111.888,1422.0767,
2108.977,1353.5761,
2106.067,1322.866,
2103.156,1278.5276,
2100.245,1263.973,
2097.335,1218.3508,
2094.424,1195.1704,
2091.514,1175.8494,
2088.603,1153.0323,
2085.692,1153.2304,
2082.782,1158.1727,
2079.871,1174.2509,
2076.961,1134.0352,
2074.050,1181.7576,
2071.140,1172.6555,
2068.229,1152.9935,
2065.318,1154.4932,
2062.408,1147.9395,
2059.497,1148.3929,
2056.587,1161.6044,
2053.676,1158.2006,
2050.766,1140.3087,
2047.855,1170.5728,
2044.944,1159.5913,
2042.034,1174.7051,
2039.123,1166.0236,
2036.213,1187.2911,
2033.302,1156.9567,
2030.391,1151.7965,
2027.481,1170.6218,
2024.570,1165.0431,
2021.660,1185.5809,
2018.749,1176.6838,
2015.839,1194.9416,
2012.928,1200.0805,
2010.017,1200.8958,
2007.107,1207.7439,
2004.196,1206,
2001.286,1238.6289,
1998.375,1199.4596,
1995.465,1165.9205,
1992.554,1191.1704,
1989.643,1204.6544,
1986.733,1183.6789,
1983.822,1179.1285,
1980.912,1194.1987,
1978.001,1204.7551,
1975.090,1179.7512,
1972.180,1202.8617,
1969.269,1194.5459,
1966.359,1203.1624,
1963.448,1205.6948,
1960.538,1221.6647,
1957.627,1254.5325,
1954.716,1212.3502,
1951.806,1231.3477,
1948.895,1231.3685,
1945.985,1188.6552,
1943.074,1199.8413,
1940.164,1205.5578,
1937.253,1214.5826,
1934.342,1194.8032,
1931.432,1172,
1928.521,1223.9516,
1925.611,1192.1759,
1922.700,1180.0801,
1919.790,1214.0054,
1916.879,1203.1857,
1913.968,1275.909,
1911.058,1207.5375,
1908.147,1205.2511,
1905.237,1234.1912,
1902.326,1231.88,
1899.415,1206.0951,
1896.505,1202.223,
1893.594,1225.4482,
1890.684,1232.3203,
1887.773,1232.7757,
1884.863,1240.8269,
1881.952,1221.3777,
1879.041,1213.513,
1876.131,1236.8026,
1873.220,1217.5928,
1870.310,1250.2017,
1867.399,1234.3039,
1864.489,1260.8706,
1861.578,1230.4782,
1858.667,1214.3622,
1855.757,1261.2064,
1852.846,1256.7641,
1849.936,1261.0701,
1847.025,1265.4063,
1844.114,1300.8636,
1841.204,1309.7832,
1838.293,1287.0233,
1835.383,1293.2205,
1832.472,1300.5113,
1829.562,1307.4148,
1826.651,1310.2136,
1823.740,1313.8238,
1820.830,1320.63,
1817.919,1330.1438,
1815.009,1318.3003,
1812.098,1324.0787,
1809.188,1344.6976,
1806.277,1338.1771,
1803.366,1346.1331,
1800.456,1354,
1797.545,1354.7376,
1794.635,1359.033,
1791.724,1342.7961,
1788.813,1369.4095,
1785.903,1396.6551,
1782.992,1373.7093,
1780.082,1348.2682,
1777.171,1381.9979,
1774.261,1364.1448,
1771.350,1374.7025,
1768.439,1419.128,
1765.529,1419.2722,
1762.618,1420.3481,
1759.708,1433.174,
1756.797,1446.3788,
1753.887,1460.0262,
1750.976,1444.5929,
1748.065,1454.8064,
1745.155,1443.5357,
1742.244,1460.4447,
1739.334,1509.1812,
1736.423,1484.4337,
1733.512,1487.6464,
1730.602,1509.9603,
1727.691,1530.3532,
1724.781,1489.3786,
1721.870,1501.9478,
1718.960,1545.0004,
1716.049,1544.6103,
1713.138,1581.4748,
1710.228,1571.4644,
1707.317,1576.0766,
1704.407,1547.3529,
1701.496,1612.3661,
1698.586,1565.4089,
1695.675,1616.2068,
1692.764,1604.8525,
1689.854,1628.874,
1686.943,1612.6071,
1684.033,1621.7516,
1681.122,1630.8471,
1678.211,1688.448,
1675.301,1711.9291,
1672.390,1739.9611,
1669.480,1727.2086,
1666.569,1753.5713,
1663.659,1798.4736,
1660.748,1827.3856,
1657.837,1847.4811,
1654.927,1869.6326,
1652.016,1896.0729,
1649.106,1899.9792,
1646.195,1939.8871,
1643.285,1976.4557,
1640.374,1996.8989,
1637.463,2039.5765,
1634.553,2071.9015,
1631.642,2132.4886,
1628.732,2177.5214,
1625.821,2265.0563,
1622.911,2350.5154,
1620.000,2475.4126,
1617.089,2623.0348,
1614.179,2785.375,
1611.268,2893.022,
1608.358,3027.5852,
1605.447,3092.4576,
1602.536,3258.1484,
1599.626,3261.7206,
1596.715,3271.8912,
1593.805,3167.4688,
1590.894,3103.9211,
1587.984,3165.4213,
1585.073,3131.7575,
1582.162,3080.5859,
1579.252,3013.0823,
1576.341,2962.35,
1573.431,2949.0841,
1570.520,2922.0112,
1567.610,2885.6858,
1564.699,2878.1751,
1561.788,2846.6059,
1558.878,2807.055,
1555.967,2800.2853,
1553.057,2747.5006,
1550.146,2691.4182,
1547.235,2671.2774,
1544.325,2644.8132,
1541.414,2616.1989,
1538.504,2601.3482,
1535.593,2553.6384,
1532.683,2511.297,
1529.772,2494.1628,
1526.861,2466.793,
1523.951,2447.1094,
1521.040,2414.602,
1518.130,2411.5579,
1515.219,2410.5203,
1512.309,2390.3288,
1509.398,2366.5779,
1506.487,2376.1811,
1503.577,2372.5914,
1500.666,2348.1192,
1497.756,2359.0596,
1494.845,2381.6787,
1491.934,2326.0094,
1489.024,2328.8969,
1486.113,2310.4557,
1483.203,2277.026,
1480.292,2289.1217,
1477.382,2256.4371,
1474.471,2239.5588,
1471.560,2260.2213,
1468.650,2253.2847,
1465.739,2227.4258,
1462.829,2217,
1459.918,2207.6077,
1457.008,2214.7233,
1454.097,2209.1272,
1451.186,2161.0484,
1448.276,2117.1447,
1445.365,2130.2907,
1442.455,2185.0802,
1439.544,2156.7447,
1436.633,2120.6038,
1433.723,2197.1307,
1430.812,2183.1134,
1427.902,2172.5863,
1424.991,2197.2281,
1422.081,2186.9903,
1419.170,2141.0689,
1416.259,2106.4579,
1413.349,2085.6504,
1410.438,2140.4813,
1407.528,2179.5186,
1404.617,2145.3139,
1401.707,2114.9401,
1398.796,2122.4965,
1395.885,2128.6929,
1392.975,2147.376,
1390.064,2213.839,
1387.154,2249.0359,
1384.243,2189.0712,
1381.332,2254.3039,
1378.422,2312.7585,
1375.511,2308.0746,
1372.601,2362.3727,
1369.690,2372.1433,
1366.780,2358.7434,
1363.869,2402.221,
1360.958,2497.2453,
1358.048,2518.014,
1355.137,2550.7345,
1352.227,2638.6669,
1349.316,2695.9441,
1346.406,2714.327,
1343.495,2743.0139,
1340.584,2736.3568,
1337.674,2769.4689,
1334.763,2841.3761,
1331.853,2877.5381,
1328.942,2911.9102,
1326.032,2891.5314,
1323.121,2927.494,
1320.210,2988.6145,
1317.300,3049.1846,
1314.389,3097.0977,
1311.479,3163.4366,
1308.568,3225.2327,
1305.657,3268.0864,
1302.747,3381.3993,
1299.836,3458.7912,
1296.926,3494.7519,
1294.015,3532.4442,
1291.105,3563.0579,
1288.194,3628.5032,
1285.283,3731.3524,
1282.373,3758.4063,
1279.462,3796.8227,
1276.552,3877.0632,
1273.641,3937.7309,
1270.731,3972.2881,
1267.820,4019.1303,
1264.909,4016.7148,
1261.999,4051,
1259.088,4051,
1256.178,3930.2396,
1253.267,3880.0794,
1250.356,3805.3064,
1247.446,3733.5158,
1244.535,3656.9332,
1241.625,3600.7334,
1238.714,3549.2116,
1235.804,3442.8351,
1232.893,3378.8844,
1229.982,3334.1908,
1227.072,3280.7774,
1224.161,3224.8888,
1221.251,3198.6208,
1218.340,3161.2572,
1215.430,3108.7657,
1212.519,3078.6417,
1209.608,3054.6743,
1206.698,3028.5535,
1203.787,3062.2764,
1200.877,3019.7363,
1197.966,3096.1648,
1195.055,3154.6079,
1192.145,3252.6585,
1189.234,3330.0106,
1186.324,3368.0012,
1183.413,3389.0406,
1180.503,3385.4627,
1177.592,3345.6565,
1174.681,3327.7466,
1171.771,3325.5879,
1168.860,3307.7261,
1165.950,3202.7949,
1163.039,3212.9201,
1160.129,3184.9406,
1157.218,3141.0587,
1154.307,3137.5018,
1151.397,3161.9529,
1148.486,3176,
1145.576,3174.3039,
1142.665,3135.2357,
1139.754,3135.2545,
1136.844,3121.9939,
1133.933,3106.0294,
1131.023,3140.5444,
1128.112,3166.6458,
1125.202,3130.4831,
1122.291,3140.2723,
1119.380,3197.7402,
1116.470,3171.2643,
1113.559,3219.8077,
1110.649,3219.2837,
1107.738,3211.5358,
1104.828,3224.0669,
1101.917,3238.633,
1099.006,3234.402,
1096.096,3238.3661,
1093.185,3195.344,
1090.275,3184.7166,
1087.364,3213.8755,
1084.453,3200.4393,
1081.543,3186.888,
1078.632,3217.684,
1075.722,3264.5045,
1072.811,3274.2267,
1069.901,3319.6363,
1066.990,3314.9167,
1064.079,3383.0929,
1061.169,3409.9247,
1058.258,3391.025,
1055.348,3371.4121,
1052.437,3374.2637,
1049.527,3396.6042,
1046.616,3412.2431,
1043.705,3400.897,
1040.795,3391.892,
1037.884,3413.7811,
1034.974,3430.924,
1032.063,3417.3308,
1029.153,3415.2197,
1026.242,3442.0334,
1023.331,3458.8323,
1020.421,3495.4609,
1017.510,3536.8932,
1014.600,3585.9134,
1011.689,3608.3211,
1008.778,3578.2365,
1005.868,3632.556,
1002.957,3694.5015,
1000.047,3856.1521,
997.136,3935.9057,
994.226,3938.1694,
991.315,3914.6064,
988.404,3887.0296,
985.494,3818.8492,
982.583,3767.4558,
979.673,3773.9013,
976.762,3774.8903,
973.852,3790.5644,
970.941,3789.104,
968.030,3746.9829,
965.120,3842.8496,
962.209,3807.0429,
959.299,3778.336,
956.388,3802.5979,
953.477,3840.9198,
950.567,3862.967,
947.656,3874.4376,
944.746,3854.8978,
941.835,3916.3556,
938.925,3896.7814,
