,PL0BF4~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.375,
3011.256,-0.075150313,
3008.346,81.345689,
3005.435,91.89355,
3002.525,88.625,
2999.614,99.674346,
2996.704,102.07654,
2993.793,89.48272,
2990.882,96.976175,
2987.972,103.625,
2985.061,99.634847,
2982.151,105.19308,
2979.240,117.84077,
2976.329,125.63046,
2973.419,125.05529,
2970.508,127.97509,
2967.598,134.38604,
2964.687,125.80435,
2961.777,130.68492,
2958.866,133.28771,
2955.955,137.86615,
2953.045,130.47737,
2950.134,150.05066,
2947.224,143.30825,
2944.313,160.78241,
2941.403,154.49407,
2938.492,150.65754,
2935.581,162.80783,
2932.671,148.98985,
2929.760,154.91343,
2926.850,145.25921,
2923.939,152.66236,
2921.028,166.24858,
2918.118,169.0847,
2915.207,165.44777,
2912.297,177.56999,
2909.386,162.19435,
2906.476,177.03508,
2903.565,168.73834,
2900.654,171.41265,
2897.744,168.56214,
2894.833,158.67664,
2891.923,155.6795,
2889.012,164.04119,
2886.102,169.85337,
2883.191,143.65238,
2880.280,113.89293,
2877.370,80.0669,
2874.459,52.335627,
2871.549,65.388452,
2868.638,153.3136,
2865.727,172.47112,
2862.817,160.85229,
2859.906,179.85292,
2856.996,179.13632,
2854.085,173.98424,
2851.175,180.70024,
2848.264,178.79134,
2845.353,188.4309,
2842.443,186.01386,
2839.532,193.29666,
2836.622,184.16992,
2833.711,182.67681,
2830.801,191.71838,
2827.890,194.2701,
2824.979,194.47697,
2822.069,187.63637,
2819.158,185.20451,
2816.248,195.31421,
2813.337,214.12989,
2810.427,196.05888,
2807.516,197.625,
2804.605,212.03365,
2801.695,206.26972,
2798.784,205.25538,
2795.874,197.61972,
2792.963,204.55362,
2790.052,200.62607,
2787.142,203.82242,
2784.231,198.9806,
2781.321,202.92777,
2778.410,182.60469,
2775.500,201.87879,
2772.589,195.28019,
2769.678,221.19494,
2766.768,204.0871,
2763.857,200.78493,
2760.947,215.10924,
2758.036,217.70783,
2755.126,201.37928,
2752.215,215.2431,
2749.304,216.60341,
2746.394,217.9536,
2743.483,221.12502,
2740.573,211.30197,
2737.662,209.40163,
2734.751,209.18324,
2731.841,223.00413,
2728.930,229.95129,
2726.020,225.40046,
2723.109,200.57384,
2720.199,215.29053,
2717.288,225.90602,
2714.377,233.20402,
2711.467,226.64148,
2708.556,232.00774,
2705.646,238.93485,
2702.735,245.77705,
2699.825,235.53774,
2696.914,230.71999,
2694.003,266.92745,
2691.093,239.69601,
2688.182,233.97093,
2685.272,230.30637,
2682.361,233.71889,
2679.450,230.46868,
2676.540,248.29981,
2673.629,241.25276,
2670.719,240.63978,
2667.808,250.60365,
2664.898,251.768,
2661.987,252.69184,
2659.076,243.04096,
2656.166,242.39986,
2653.255,253.99405,
2650.345,251.35277,
2647.434,265.96796,
2644.524,270.39719,
2641.613,259.96755,
2638.702,246.75125,
2635.792,250.03078,
2632.881,258.82134,
2629.971,260.88002,
2627.060,253.45594,
2624.149,265.27501,
2621.239,259.63093,
2618.328,252.98139,
2615.418,283.95682,
2612.507,268.49067,
2609.597,270.43139,
2606.686,271.01456,
2603.775,276.46627,
2600.865,274.50894,
2597.954,260.39163,
2595.044,277.93767,
2592.133,285.07088,
2589.223,288.40816,
2586.312,275.77568,
2583.401,291.7089,
2580.491,287.69227,
2577.580,279.6415,
2574.670,287.68784,
2571.759,285.37757,
2568.848,288.44821,
2565.938,291.91069,
2563.027,292.06365,
2560.117,288.26052,
2557.206,303.994,
2554.296,284.371,
2551.385,291.93094,
2548.474,299.40307,
2545.564,299.81493,
2542.653,306.69883,
2539.743,295.22974,
2536.832,295.68669,
2533.922,293.87731,
2531.011,310.99988,
2528.100,310.36018,
2525.190,316.90246,
2522.279,309.09398,
2519.369,311.98389,
2516.458,303.85234,
2513.548,300.72512,
2510.637,317.80945,
2507.726,312.19375,
2504.816,299.81328,
2501.905,320.04512,
2498.995,318.84865,
2496.084,308.46473,
2493.173,323.12533,
2490.263,330.82726,
2487.352,326.20927,
2484.442,336.77704,
2481.531,331.20477,
2478.621,357.19381,
2475.710,337.51765,
2472.799,325.84471,
2469.889,333.59453,
2466.978,347.61457,
2464.068,357.41338,
2461.157,346.12256,
2458.247,337.75738,
2455.336,340.625,
2452.425,345.08255,
2449.515,372.4358,
2446.604,351.38766,
2443.694,347.64801,
2440.783,358.81869,
2437.872,370.55207,
2434.962,369.15034,
2432.051,371.11266,
2429.141,375.18378,
2426.230,359.79844,
2423.320,376.2109,
2420.409,370.89419,
2417.498,375.22332,
2414.588,386.25233,
2411.677,381.80026,
2408.767,362.40748,
2405.856,364.05837,
2402.946,376.47665,
2400.035,359.55221,
2397.124,387.97259,
2394.214,395.381,
2391.303,378.44275,
2388.393,373.35757,
2385.482,371.75719,
2382.571,375.4989,
2379.661,371.15968,
2376.750,387.15212,
2373.840,401.88117,
2370.929,407.61417,
2368.019,390.44332,
2365.108,405.09097,
2362.197,406.18121,
2359.287,400.65007,
2356.376,417.58978,
2353.466,393.77564,
2350.555,406.22999,
2347.645,415.09783,
2344.734,421.625,
2341.823,429.49233,
2338.913,425.69068,
2336.002,431.36662,
2333.092,420.79762,
2330.181,417.66079,
2327.270,419.625,
2324.360,443.97884,
2321.449,409.24065,
2318.539,422.83909,
2315.628,438.90198,
2312.718,443.39152,
2309.807,424.03488,
2306.896,433.15239,
2303.986,440.57952,
2301.075,429.22077,
2298.165,428.61546,
2295.254,447.23723,
2292.344,459.62921,
2289.433,450.67909,
2286.522,463.08483,
2283.612,444.3737,
2280.701,439.22141,
2277.791,440.54859,
2274.880,487.90898,
2271.969,480.63323,
2269.059,468.88659,
2266.148,481.19094,
2263.238,471.03041,
2260.327,475.38372,
2257.417,488.70889,
2254.506,494.17484,
2251.595,487.625,
2248.685,494.99036,
2245.774,499.42717,
2242.864,496.43049,
2239.953,494.99049,
2237.043,491.05287,
2234.132,474.87177,
2231.221,496.07473,
2228.311,489.09796,
