,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.5,
3011.256,0.74994632,
3008.346,48.45164,
3005.435,43.15371,
3002.525,40.122483,
2999.614,50.311682,
2996.704,51.270101,
2993.793,44.862328,
2990.882,49.416058,
2987.972,63.505045,
2985.061,53.859592,
2982.151,58.11346,
2979.240,54.881165,
2976.329,71.00819,
2973.419,75.777538,
2970.508,51.116663,
2967.598,64.882329,
2964.687,70.589674,
2961.777,83.901866,
2958.866,62.165677,
2955.955,65.776546,
2953.045,63.553721,
2950.134,85.042262,
2947.224,65.097845,
2944.313,80.556267,
2941.403,77.976277,
2938.492,63.383481,
2935.581,76.908586,
2932.671,75.864851,
2929.760,84.99613,
2926.850,75.290977,
2923.939,80.65887,
2921.028,82.958808,
2918.118,94.239293,
2915.207,84.379696,
2912.297,81.5,
2909.386,83.67519,
2906.476,95.266825,
2903.565,77.145932,
2900.654,80.40493,
2897.744,97.487428,
2894.833,89.077457,
2891.923,80.121801,
2889.012,95.291907,
2886.102,100.54053,
2883.191,114.49056,
2880.280,85.361242,
2877.370,69.511662,
2874.459,95.09736,
2871.549,80.157965,
2868.638,68.271148,
2865.727,91.311572,
2862.817,82.600263,
2859.906,96.095437,
2856.996,103.02491,
2854.085,89.577717,
2851.175,104.21683,
2848.264,99.519341,
2845.353,104.28433,
2842.443,94.5,
2839.532,93.723885,
2836.622,99.376304,
2833.711,86.974097,
2830.801,96.391915,
2827.890,89.312941,
2824.979,99.203947,
2822.069,104.47726,
2819.158,97.939348,
2816.248,98.718157,
2813.337,99.706101,
2810.427,91.588156,
2807.516,106.33437,
2804.605,92.112982,
2801.695,99.026325,
2798.784,100.64785,
2795.874,107.08049,
2792.963,104.28585,
2790.052,98.50193,
2787.142,95.565808,
2784.231,98.919253,
2781.321,114.42561,
2778.410,93.044399,
2775.500,108.03172,
2772.589,94.347088,
2769.678,106.64335,
2766.768,102.8767,
2763.857,90.029869,
2760.947,109.94011,
2758.036,103.88856,
2755.126,101.73291,
2752.215,114.96818,
2749.304,104.90469,
2746.394,104.61691,
2743.483,102.60004,
2740.573,101.59738,
2737.662,97.286979,
2734.751,101.82527,
2731.841,109.41942,
2728.930,119.58058,
2726.020,110.61227,
2723.109,100.861,
2720.199,112.79372,
2717.288,111.51824,
