,PL28E6~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.625,
3011.256,1.3248819,
3008.346,138.63379,
3005.435,151.33259,
3002.525,148.22511,
2999.614,169.94902,
2996.704,169.46366,
2993.793,170.11809,
2990.882,171.98571,
2987.972,183.375,
2985.061,176.72475,
2982.151,185.98846,
2979.240,206.55463,
2976.329,221.86681,
2973.419,209.77474,
2970.508,222.84165,
2967.598,222.80151,
2964.687,221.40421,
2961.777,248.68286,
2958.866,237.7019,
2955.955,238.78651,
2953.045,250.00811,
2950.134,268.3867,
2947.224,261.05825,
2944.313,270.44266,
2941.403,280.31615,
2938.492,271.84385,
2935.581,283.33207,
2932.671,286.57673,
2929.760,289.49422,
2926.850,291.95695,
2923.939,295.77218,
2921.028,305.375,
2918.118,317.25662,
2915.207,320.95716,
2912.297,326.32422,
2909.386,317.14873,
2906.476,335.39743,
2903.565,318.02093,
2900.654,314.55092,
2897.744,317.46301,
2894.833,316.95246,
2891.923,304.7532,
2889.012,330.79119,
2886.102,336.60337,
2883.191,353.36178,
2880.280,381.15969,
2877.370,430.25276,
2874.459,443.24932,
2871.549,393.47942,
2868.638,364.28632,
2865.727,349.36737,
2862.817,342.59023,
2859.906,350.0844,
2856.996,357.40217,
2854.085,346.97373,
2851.175,342.87796,
2848.264,346.816,
2845.353,355.28873,
2842.443,345.78475,
2839.532,342.03169,
2836.622,343.46484,
2833.711,337.8491,
2830.801,334.67721,
2827.890,336.64598,
2824.979,336.733,
2822.069,331.69342,
2819.158,353.67419,
2816.248,355.58158,
2813.337,354.71524,
2810.427,352.11743,
2807.516,348.90016,
2804.605,361.23558,
2801.695,358.23023,
2798.784,355.70969,
2795.874,339.36443,
2792.963,360.9467,
2790.052,351.37843,
2787.142,344.17758,
2784.231,347.60014,
2781.321,348.43786,
2778.410,348.54505,
2775.500,357.3312,
2772.589,340.10665,
2769.678,364.51488,
2766.768,366.01188,
2763.857,348.16884,
2760.947,374.31196,
2758.036,380.47064,
2755.126,358.46688,
2752.215,370.03412,
2749.304,378.48111,
2746.394,369.2439,
2743.483,380.77503,
2740.573,381.5852,
2737.662,377.92826,
2734.751,377.49149,
2731.841,383.72665,
2728.930,399.06588,
2726.020,376.49248,
2723.109,384.92133,
2720.199,383.17805,
2717.288,391.19982,
2714.377,398.0832,
2711.467,411.42445,
2708.556,398.33247,
2705.646,400.75529,
2702.735,407.01931,
2699.825,393.68958,
2696.914,392.66044,
2694.003,425.962,
2691.093,417.71435,
2688.182,425.48463,
2685.272,419.90559,
2682.361,403.59225,
2679.450,419.54374,
2676.540,400.00505,
2673.629,426.39296,
2670.719,413.23636,
2667.808,435.11047,
2664.898,429.71255,
2661.987,431.84158,
2659.076,440.59482,
2656.166,430.48757,
2653.255,428.78146,
2650.345,425.8868,
2647.434,439.40387,
2644.524,448.44454,
2641.613,452.23232,
2638.702,435.69062,
2635.792,449.12574,
2632.881,445.10711,
2629.971,446.375,
2627.060,440.04063,
2624.149,444.24063,
2621.239,442.38093,
2618.328,445.60423,
2615.418,470.72045,
2612.507,468.47776,
2609.597,457.66043,
2606.686,453.98544,
2603.775,461.97818,
2600.865,458.61386,
2597.954,469.18954,
2595.044,485.04462,
2592.133,483.15206,
2589.223,489.50764,
2586.312,505.07858,
2583.401,477.57937,
2580.491,488.44227,
2577.580,495.38985,
2574.670,502.43784,
2571.759,486.91525,
2568.848,487.4303,
2565.938,495.85116,
2563.027,498.54547,
2560.117,496.64603,
2557.206,519.97647,
2554.296,503.49399,
2551.385,513.7389,
2548.474,516.15307,
2545.564,507.84983,
2542.653,519.53272,
2539.743,517.44894,
2536.832,520.43669,
2533.922,520.42231,
2531.011,516.50058,
2528.100,507.97085,
2525.190,527.44303,
2522.279,523.17227,
2519.369,528.20587,
2516.458,513.49398,
2513.548,519.94776,
2510.637,534.43648,
2507.726,529.4419,
2504.816,525.37613,
2501.905,525.07073,
2498.995,530.3305,
2496.084,545.98824,
2493.173,554.55944,
2490.263,561.17274,
2487.352,533.29313,
2484.442,555.51418,
2481.531,562.06113,
2478.621,578.42718,
2475.710,568.40567,
2472.799,573.36154,
2469.889,577.34453,
2466.978,573.3235,
2464.068,580.95175,
2461.157,579.1825,
2458.247,574.11024,
2455.336,585.52179,
