,PL3AE4~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.125,
3011.256,1.9249034,
3008.346,64.413099,
3005.435,67.719521,
3002.525,74.932606,
2999.614,75.776309,
2996.704,75.742012,
2993.793,76.25576,
2990.882,67.920823,
2987.972,84.839685,
2985.061,74.328197,
2982.151,81.323749,
2979.240,86.205782,
2976.329,103.63183,
2973.419,94.090147,
2970.508,103.25834,
2967.598,100.35291,
2964.687,106.53193,
2961.777,110.12294,
2958.866,94.545131,
2955.955,89.875,
2953.045,87.259799,
2950.134,106.97123,
2947.224,102.41591,
2944.313,112.78526,
2941.403,104.61314,
2938.492,117.88585,
2935.581,113.71919,
2932.671,120.03812,
2929.760,123.04421,
2926.850,123.24793,
2923.939,112.79086,
2921.028,120.71023,
2918.118,125.49591,
2915.207,128.16608,
2912.297,128.85807,
2909.386,121.64143,
2906.476,132.06036,
2903.565,128.77871,
2900.654,131.88611,
2897.744,129.91272,
2894.833,122.97828,
2891.923,103.1987,
2889.012,120.21026,
2886.102,115.08311,
2883.191,130.86084,
2880.280,58.080726,
2877.370,-4.7353692,
2874.459,-23.892261,
2871.549,27.704514,
2868.638,96.287343,
2865.727,108.21731,
2862.817,108.875,
2859.906,131.69836,
2856.996,142.88859,
2854.085,131.95272,
2851.175,141.92318,
2848.264,142.9485,
2845.353,145.59463,
2842.443,134.07291,
2839.532,128.88997,
2836.622,127.24023,
2833.711,135.92681,
2830.801,143.16985,
2827.890,134.33304,
2824.979,138.65296,
2822.069,141.94323,
2819.158,145.59467,
2816.248,135.89816,
2813.337,147.30793,
2810.427,140.96316,
2807.516,142.24187,
2804.605,155.44471,
2801.695,144.78288,
2798.784,154.76615,
2795.874,142.57947,
2792.963,158.30372,
2790.052,150.87736,
2787.142,146.78296,
2784.231,142.52098,
2781.321,149.61779,
2778.410,132.5349,
2775.500,141.00189,
2772.589,140.76108,
2769.678,161.48252,
2766.768,148.51188,
2763.857,136.19292,
2760.947,152.36554,
2758.036,172.90061,
2755.126,154.34722,
2752.215,154.23851,
2749.304,157.95952,
2746.394,154.2036,
2743.483,157.37502,
2740.573,150.21348,
2737.662,153.19453,
2734.751,148.34095,
2731.841,159.01053,
2728.930,164.34528,
2726.020,169.53819,
2723.109,152.68967,
2720.199,165.46244,
2717.288,166.71806,
2714.377,158.13336,
2711.467,167.30137,
2708.556,160.875,
2705.646,171.86094,
2702.735,171.37758,
2699.825,174.85319,
2696.914,171.01772,
2694.003,182.36118,
2691.093,164.58862,
2688.182,166.7313,
2685.272,174.5649,
2682.361,159.69815,
2679.450,173.6281,
2676.540,180.83435,
2673.629,178.875,
2670.719,169.24006,
2667.808,184.80502,
2664.898,171.32928,
2661.987,187.44168,
2659.076,179.14656,
2656.166,160.68437,
2653.255,186.76785,
2650.345,166.46665,
2647.434,173.90387,
2644.524,177.92533,
2641.613,181.96111,
2638.702,193.79609,
2635.792,182.78227,
2632.881,186.9998,
2629.971,191.51256,
2627.060,184.04032,
2624.149,184.76876,
2621.239,178.88686,
2618.328,186.70545,
2615.418,182.54318,
2612.507,180.01335,
2609.597,196.13049,
2606.686,193.66814,
2603.775,172.99802,
2600.865,190.52008,
2597.954,199.73126,
2595.044,196.21424,
2592.133,197.32088,
2589.223,187.28446,
2586.312,199.29205,
2583.401,210.03921,
2580.491,196.34136,
2577.580,194.87005,
2574.670,199.62364,
2571.759,207.76371,
2568.848,193.75896,
2565.938,216.63699,
2563.027,199.02049,
2560.117,199.04325,
2557.206,220.244,
2554.296,199.02374,
2551.385,220.37096,
2548.474,214.46756,
2545.564,203.22321,
2542.653,214.41191,
2539.743,197.07216,
2536.832,195.97781,
2533.922,201.06423,
2531.011,213.69993,
2528.100,219.07362,
2525.190,223.45615,
2522.279,217.71916,
2519.369,225.51708,
2516.458,207.76664,
2513.548,201.97512,
2510.637,215.92021,
2507.726,223.75602,
2504.816,216.56384,
2501.905,220.81707,
2498.995,225.15837,
2496.084,216.94122,
2493.173,226.63825,
2490.263,206.53824,
2487.352,235.08367,
2484.442,237.59663,
2481.531,232.92818,
2478.621,241.55275,
2475.710,228.82133,
2472.799,227.30095,
2469.889,238.05781,
2466.978,249.91607,
2464.068,254.95965,
2461.157,230.64498,
2458.247,233.875,
2455.336,239.15094,
2452.425,240.98349,
2449.515,245.64838,
2446.604,235.46487,
2443.694,237.52633,
2440.783,256.25901,
2437.872,243.83854,
2434.962,248.91647,
2432.051,257.09706,
2429.141,253.56904,
2426.230,249.33134,
2423.320,264.98953,
2420.409,258.27878,
2417.498,271.6531,
2414.588,258.0728,
2411.677,253.22955,
2408.767,239.92224,
2405.856,242.4941,
2402.946,251.04211,
2400.035,253.58157,
2397.124,273.63971,
2394.214,259.00901,
2391.303,249.41091,
2388.393,267.04481,
2385.482,232.7256,
2382.571,243.3686,
2379.661,255.17716,
2376.750,272.03263,
2373.840,259.54069,
2370.929,269.72338,
2368.019,249.64593,
2365.108,257.61846,
2362.197,264.875,
2359.287,283.23656,
2356.376,282.88381,
2353.466,268.90585,
2350.555,268.77528,
2347.645,282.65116,
2344.734,284.66302,
2341.823,297.65942,
2338.913,296.92126,
2336.002,287.13338,
2333.092,277.99008,
2330.181,296.77263,
2327.270,281.25013,
2324.360,300.26181,
2321.449,285.02805,
2318.539,281.00345,
2315.628,294.54686,
2312.718,293.4587,
2309.807,270.71946,
2306.896,295.37109,
2303.986,284.73855,
2301.075,275.34308,
2298.165,298.42348,
2295.254,299.96117,
2292.344,314.71733,
2289.433,307.49272,
2286.522,297.95533,
2283.612,298.11479,
2280.701,298.60594,
2277.791,294.43792,
2274.880,329.09305,
2271.969,313.07253,
2269.059,310.57801,
2266.148,329.73643,
2263.238,328.57771,
2260.327,325.56448,
2257.417,314.51722,
2254.506,330.61572,
2251.595,322.875,
2248.685,348.65375,
2245.774,346.16092,
2242.864,331.05957,
2239.953,310.79213,
2237.043,324.25108,
2234.132,321.03341,
2231.221,351.03533,
2228.311,332.17014,
2225.400,346.07202,
2222.490,344.14843,
2219.579,324.33782,
2216.669,353.406,
2213.758,350.78873,
2210.847,348.03873,
2207.937,346.875,
2205.026,368.65314,
2202.116,358.875,
2199.205,353.92535,
2196.294,353.61898,
2193.384,359.5855,
2190.473,353.01115,
2187.563,363.90883,
2184.652,371.02561,
2181.742,369.80656,
2178.831,373.66881,
2175.920,385.45788,
2173.010,396.02579,
2170.099,410.27381,
2167.189,419.08309,
2164.278,449.34234,
2161.368,466.15971,
2158.457,492.38215,
2155.546,514.45003,
2152.636,546.7792,
2149.725,586.66692,
2146.815,541.64355,
2143.904,598.47352,
2140.993,597.66862,
2138.083,615.99349,
2135.172,617.99256,
2132.262,624.52905,
2129.351,650.46818,
2126.441,612.4671,
2123.530,598.70664,
2120.619,582.63652,
2117.709,566.70069,
2114.798,529.89023,
2111.888,493.01315,
2108.977,478.875,
2106.067,465.98258,
2103.156,441.63879,
2100.245,431.86998,
2097.335,422.67081,
2094.424,414.8324,
2091.514,405.71898,
2088.603,383.875,
2085.692,400.42509,
2082.782,405.51359,
2079.871,407.80382,
2076.961,418.22922,
2074.050,430.63258,
2071.140,419.92145,
2068.229,392.68489,
2065.318,401.72675,
