,PL3C42~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.5,
3011.256,1.5499034,
3008.346,119.77813,
3005.435,121.61661,
3002.525,143.35011,
2999.614,149.8857,
2996.704,143.54433,
2993.793,143.60542,
2990.882,161.88929,
2987.972,168.50504,
2985.061,159.74629,
2982.151,173.03952,
2979.240,171.71577,
2976.329,178.00273,
2973.419,185.94621,
2970.508,188.43331,
2967.598,194.31245,
2964.687,212.41033,
2961.777,209.06405,
2958.866,211.50594,
2955.955,202.74115,
2953.045,210.84899,
2950.134,220.47963,
2947.224,217.3256,
2944.313,243.25285,
2941.403,237.89279,
2938.492,231.26696,
2935.581,251.97853,
2932.671,243.82191,
2929.760,241.73844,
2926.850,248.5594,
2923.939,243.29906,
2921.028,263.45311,
2918.118,256.0403,
2915.207,258.5,
2912.297,266.46615,
2909.386,261.46352,
2906.476,264.23593,
2903.565,257.54815,
2900.654,269.45246,
2897.744,249.44971,
2894.833,241.78873,
2891.923,251.90711,
2889.012,264.37861,
2886.102,259.74864,
2883.191,246.51699,
2880.280,247.14593,
2877.370,194.05248,
2874.459,209.96548,
2871.549,218.10522,
2868.638,253.68554,
2865.727,268.18461,
2862.817,251.28477,
2859.906,284.5,
2856.996,275.04302,
2854.085,276.06304,
2851.175,285.85841,
2848.264,286.07834,
2845.353,296.09023,
2842.443,271.90975,
2839.532,265.82834,
2836.622,281.5,
2833.711,285.70723,
2830.801,276.91029,
2827.890,281.66784,
2824.979,284.93202,
2822.069,271.84116,
2819.158,295.41913,
2816.248,281.01737,
2813.337,310.23172,
2810.427,290.58816,
2807.516,292.70859,
2804.605,285.68269,
2801.695,292.11844,
2798.784,309.68685,
2795.874,293.50528,
2792.963,298.14309,
2790.052,288.50322,
2787.142,284.27635,
2784.231,283.95187,
2781.321,293.05421,
2778.410,282.70429,
2775.500,287.77794,
2772.589,280.19266,
2769.678,291.06994,
2766.768,299.93495,
2763.857,301.65993,
2760.947,302.90228,
2758.036,310.37275,
2755.126,300.53633,
2752.215,314.01343,
2749.304,314.32912,
2746.394,310.55846,
2743.483,311.75001,
2740.573,323.69475,
2737.662,317.18047,
2734.751,316.45161,
2731.841,312.95971,
2728.930,325.39828,
2726.020,334.06134,
2723.109,318.99517,
2720.199,312.10611,
2717.288,330.32482,
2714.377,314.56688,
2711.467,335.53296,
2708.556,323.85116,
2705.646,334.02116,
2702.735,338.81958,
2699.825,330.39093,
2696.914,333.07136,
2694.003,368.54554,
2691.093,337.78521,
2688.182,335.95556,
2685.272,339.1899,
2682.361,326.68777,
2679.450,349.20782,
2676.540,329.98778,
2673.629,347.85878,
2670.719,324.93807,
2667.808,353.70048,
2664.898,335.91537,
2661.987,347.93332,
2659.076,363.2112,
2656.166,335.45234,
2653.255,351.71939,
2650.345,345.38748,
2647.434,372.04244,
2644.524,358.81656,
2641.613,376.90038,
2638.702,367.7525,
2635.792,365.4681,
2632.881,373.96423,
2629.971,365.15765,
2627.060,366.66532,
2624.149,371.06876,
2621.239,363.5,
2618.328,354.64445,
2615.418,385.47728,
2612.507,378.12457,
2609.597,387.48004,
2606.686,373.64258,
2603.775,373.37698,
2600.865,386.43523,
2597.954,389.88331,
2595.044,396.83924,
