,PL418C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.25,
3011.256,1.7999034,
3008.346,65.187132,
3005.435,52.44258,
3002.525,56.920022,
2999.614,63.324018,
2996.704,71.015975,
2993.793,49.979264,
2990.882,62.360705,
2987.972,82.674326,
2985.061,68.19335,
2982.151,72.272692,
2979.240,71.447704,
2976.329,83.75,
2973.419,86.981067,
2970.508,80.29997,
2967.598,78.371285,
2964.687,83.108696,
2961.777,85.621905,
2958.866,93.758908,
2955.955,79.473454,
2953.045,89.401015,
2950.134,97.356415,
2947.224,88.547127,
2944.313,105.4131,
2941.403,101.44069,
2938.492,98.495272,
2935.581,100.77702,
2932.671,105.07191,
2929.760,97.642281,
2926.850,104.54812,
2923.939,100.62379,
2921.028,110.19106,
2918.118,109.76889,
2915.207,107.81338,
2912.297,104.78385,
2909.386,110.35584,
2906.476,115.97471,
2903.565,101.12111,
2900.654,105.47901,
2897.744,100.77514,
2894.833,92.028549,
2891.923,88.102605,
2889.012,96.41474,
2886.102,111.20675,
2883.191,88.776432,
2880.280,44.156691,
2877.370,-7.5696568,
2874.459,-62.086303,
2871.549,-16.276106,
2868.638,80.758177,
2865.727,100.30002,
2862.817,83.735301,
2859.906,108.80128,
2856.996,110.31567,
2854.085,109.83406,
2851.175,117.30115,
2848.264,119.05367,
2845.353,118.8147,
2842.443,118.55557,
2839.532,112.19777,
2836.622,118.32292,
2833.711,111.06084,
2830.801,119.44779,
2827.890,123.93706,
2824.979,121.75,
2822.069,126.77274,
2819.158,125.32951,
2816.248,130.95658,
2813.337,133.29634,
2810.427,122.10262,
2807.516,121.32547,
2804.605,129.29807,
2801.695,122.01316,
2798.784,129.30646,
2795.874,125.04024,
2792.963,125.25011,
2790.052,123.75086,
2787.142,134.46054,
2784.231,121.55747,
2781.321,143.54989,
2778.410,112.82487,
2775.500,134.89654,
2772.589,129.25076,
2769.678,137.50087,
2766.768,139.43156,
2763.857,113.12187,
2760.947,136.21533,
2758.036,132.44428,
2755.126,126.74359,
2752.215,137.3681,
2749.304,129.1331,
2746.394,134.65522,
2743.483,132.40004,
2740.573,132.73455,
2737.662,125.87721,
2734.751,139.54122,
2731.841,142.64194,
2728.930,142.70773,
2726.020,140.42882,
2723.109,131.13175,
2720.199,131.96562,
2717.288,136.01278,
2714.377,144.84574,
2711.467,148.01263,
2708.556,147.34537,
2705.646,146.38377,
2702.735,156.567,
2699.825,142.21728,
2696.914,145.36909,
2694.003,166.10773,
2691.093,152.37456,
2688.182,143.80482,
2685.272,147.91786,
2682.361,137.39083,
2679.450,155.16563,
2676.540,152.34352,
2673.629,134.40918,
2670.719,138.39233,
2667.808,153.97183,
2664.898,154.93191,
2661.987,146.91661,
2659.076,156.09697,
2656.166,157.63743,
2653.255,161.75,
2650.345,153.90971,
2647.434,154.26443,
2644.524,162.83874,
2641.613,171.17866,
2638.702,170.78156,
2635.792,151.43694,
2632.881,155.17263,
2629.971,159.11244,
2627.060,154.24844,
2624.149,159.40001,
2621.239,160.51927,
2618.328,156.0891,
2615.418,166.07273,
2612.507,169.5089,
2609.597,176.01547,
2606.686,168.15358,
2603.775,143.47223,
2600.865,161.45311,
2597.954,166.89374,
2595.044,170.74114,
2592.133,172.13853,
2589.223,190.47317,
2586.312,175.77511,
2583.401,176.26093,
2580.491,178.0096,
2577.580,168.75165,
2574.670,174.73127,
2571.759,178.39127,
2568.848,181.45171,
2565.938,182.46431,
2563.027,176.82275,
2560.117,187.00237,
2557.206,193.94188,
2554.296,177.496,
2551.385,182.86592,
2548.474,177.67602,
2545.564,172.97159,
2542.653,186.58222,
2539.743,173.24384,
2536.832,181.30141,
2533.922,178.06538,
2531.011,193.90033,
2528.100,184.2831,
2525.190,187.91229,
2522.279,189.75,
2519.369,182.80702,
2516.458,177.31303,
2513.548,193.03172,
2510.637,188.62703,
2507.726,185.81319,
2504.816,189.93828,
2501.905,197.99634,
2498.995,192.04859,
2496.084,195.83013,
2493.173,203.69768,
2490.263,200.58162,
2487.352,200.54293,
2484.442,220.17398,
2481.531,210.05865,
2478.621,210.03441,
2475.710,194.91869,
2472.799,213.05049,
2469.889,204.17383,
2466.978,218.29628,
2464.068,236.15745,
2461.157,209.56238,
2458.247,217.80869,
2455.336,209.6639,
2452.425,204.8349,
2449.515,224.03274,
2446.604,206.81455,
2443.694,212.2854,
2440.783,219.51126,
2437.872,221.45828,
2434.962,215.06336,
2432.051,223.62663,
2429.141,233.73229,
2426.230,220.79306,
2423.320,245.17877,
2420.409,232.96802,
2417.498,232.13484,
2414.588,234.11503,
2411.677,224.49899,
2408.767,221.29134,
2405.856,229.40477,
2402.946,221.95822,
2400.035,202.66783,
2397.124,231.4131,
2394.214,227.4524,
2391.303,234.93225,
2388.393,235.53835,
2385.482,204.07185,
2382.571,214.26921,
2379.661,214.56381,
2376.750,243.37798,
2373.840,248.47503,
2370.929,252.68502,
2368.019,234.29186,
2365.108,242.33115,
2362.197,250.12537,
2359.287,244.17005,
2356.376,240.75176,
2353.466,264.25181,
2350.555,242.88518,
2347.645,255.48642,
2344.734,248.50574,
2341.823,262.46809,
2338.913,270.30967,
2336.002,250.12081,
2333.092,254.12925,
2330.181,274.85737,
2327.270,243.89521,
2324.360,266.82546,
2321.449,262.76357,
2318.539,252.51761,
2315.628,268.93465,
2312.718,252.20153,
2309.807,262.99855,
2306.896,258.545,
2303.986,266.17848,
2301.075,253.13298,
2298.165,261.52901,
2295.254,284.2976,
2292.344,271.80396,
2289.433,268.09364,
2286.522,274.34372,
2283.612,279.82016,
2280.701,269.4989,
2277.791,257.71367,
2274.880,302.82404,
2271.969,294.20267,
2269.059,297.89442,
2266.148,292.53631,
2263.238,289.64961,
2260.327,304.3705,
2257.417,285.98722,
2254.506,285.13176,
2251.595,297.59355,
2248.685,323.48072,
2245.774,313.43158,
2242.864,296.94451,
2239.953,299.06725,
2237.043,290.12608,
2234.132,283.05388,
2231.221,301.38315,
2228.311,308.61984,
2225.400,318.52484,
2222.490,310.19298,
2219.579,306.72429,
2216.669,306.74046,
2213.758,315.27288,
2210.847,301.82307,
2207.937,327.48775,
2205.026,339.1949,
2202.116,325.43896,
2199.205,324.6373,
2196.294,332.68399,
2193.384,330.77649,
2190.473,319.3122,
2187.563,335.80317,
2184.652,345.84633,
2181.742,343.70491,
2178.831,352.06907,
2175.920,354.91576,
2173.010,348.49943,
2170.099,402.07691,
2167.189,388.85046,
2164.278,403.92387,
2161.368,417.60631,
2158.457,433.47912,
2155.546,449.12792,
2152.636,481.56378,
2149.725,498.07214,
2146.815,492.01695,
2143.904,515.95445,
2140.993,527.4484,
2138.083,530.11474,
2135.172,527.77519,
2132.262,542.27465,
2129.351,560.30177,
2126.441,522.1091,
2123.530,532.67143,
