,PL49BE~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.875,
3011.256,0.17490337,
3008.346,114.807,
3005.435,142.77871,
3002.525,142.91751,
2999.614,156.84705,
2996.704,153.34665,
2993.793,159.8773,
2990.882,162.64406,
2987.972,169.06951,
2985.061,148.81464,
2982.151,176.75529,
2979.240,177.85884,
2976.329,192.4064,
2973.419,194.64824,
2970.508,188.74166,
2967.598,206.93384,
2964.687,200.25951,
2961.777,207.09091,
2958.866,203.12797,
2955.955,197.6073,
2953.045,216.5098,
2950.134,223.48651,
2947.224,226.38122,
2944.313,237.37215,
2941.403,245.33942,
2938.492,240.72122,
2935.581,248.60353,
2932.671,245.52846,
2929.760,247.62113,
2926.850,236.96823,
2923.939,242.16236,
2921.028,258.83096,
2918.118,247.88823,
2915.207,261.76409,
2912.297,257.10807,
2909.386,255.69435,
2906.476,259.24857,
2903.565,268.41686,
2900.654,257.19475,
2897.744,263.15014,
2894.833,251.10464,
2891.923,235.9904,
2889.012,253.33309,
2886.102,272.2466,
2883.191,235.17126,
2880.280,180.60824,
2877.370,75.712468,
2874.459,114.42058,
2871.549,150.73075,
2868.638,243.17649,
2865.727,255.44039,
2862.817,237.36699,
2859.906,265.45547,
2856.996,283.19746,
2854.085,263.60399,
2851.175,281.67615,
2848.264,282.14434,
2845.353,282.10343,
2842.443,271.54171,
2839.532,273.42341,
2836.622,281.42839,
2833.711,282.07319,
2830.801,282.92353,
2827.890,285.39598,
2824.979,287.40899,
2822.069,284.35244,
2819.158,298.80424,
2816.248,292.36632,
2813.337,284.9189,
2810.427,294.47073,
2807.516,298.96672,
2804.605,312.125,
2801.695,309.86184,
2798.784,305.34677,
2795.874,289.53394,
2792.963,296.5533,
2790.052,292.12457,
2787.142,303.28285,
2784.231,291.02874,
2781.321,297.8107,
2778.410,301.0095,
2775.500,300.63707,
2772.589,292.27943,
2769.678,307.1591,
2766.768,308.44344,
2763.857,294.54697,
2760.947,312.18804,
2758.036,310.26506,
2755.126,294.02031,
2752.215,310.6158,
2749.304,309.23111,
2746.394,318.54838,
2743.483,309.67504,
2740.573,318.86844,
2737.662,310.91198,
2734.751,315.45027,
2731.841,330.17995,
2728.930,325.65472,
2726.020,325.46701,
2723.109,326.8055,
2720.199,312.29987,
2717.288,330.5812,
2714.377,328.38336,
2711.467,337.20741,
2708.556,330.67784,
2705.646,331.29398,
2702.735,351.76931,
2699.825,340.39595,
2696.914,335.74362,
2694.003,366.48273,
2691.093,354.98181,
2688.182,350.70722,
2685.272,346.85046,
2682.361,338.82478,
2679.450,349.83282,
2676.540,351.125,
2673.629,351.125,
2670.719,351.125,
2667.808,365.39547,
2664.898,363.89154,
2661.987,364.82537,
2659.076,356.43105,
2656.166,353.125,
2653.255,355.05017,
2650.345,361.82917,
2647.434,361.26847,
2644.524,383.73891,
2641.613,382.43927,
2638.702,367.36172,
2635.792,377.46698,
2632.881,383.0418,
2629.971,384.10491,
2627.060,377.95781,
2624.149,377.99063,
2621.239,385.14872,
2618.328,379.63365,
2615.418,394.44319,
2612.507,385.61122,
2609.597,398.82959,
2606.686,391.0989,
2603.775,389.36309,
2600.865,386.18303,
2597.954,382.65205,
2595.044,398.4111,
2592.133,412.18236,
2589.223,409.6671,
2586.312,413.83352,
2583.401,419.88047,
2580.491,405.50965,
2577.580,425.09199,
2574.670,410.10627,
2571.759,413.76627,
2568.848,406.125,
2565.938,422.26792,
2563.027,418.14997,
2560.117,415.59227,
2557.206,439.05489,
2554.296,418.23713,
2551.385,424.01715,
2548.474,432.56924,
2545.564,432.96672,
2542.653,446.28272,
2539.743,437.77903,
2536.832,434.94183,
2533.922,416.23538,
2531.011,429.72444,
2528.100,450.32362,
2525.190,453.91557,
2522.279,442.2188,
2519.369,442.31379,
2516.458,442.57259,
2513.548,432.37065,
2510.637,436.73983,
2507.726,445.50046,
2504.816,458.75184,
2501.905,449.02378,
2498.995,435.90135,
2496.084,450.27135,
2493.173,455.125,
2490.263,456.72048,
2487.352,466.29193,
2484.442,474.39693,
2481.531,483.01864,
2478.621,488.03498,
2475.710,471.26302,
2472.799,488.3851,
2469.889,486.60977,
2466.978,492.89814,
2464.068,501.82873,
2461.157,489.9749,
2458.247,493.75721,
2455.336,502.84519,
2452.425,484.92214,
2449.515,494.47428,
2446.604,505.1826,
2443.694,519.91615,
2440.783,530.74437,
2437.872,517.5051,
2434.962,507.16647,
2432.051,524.125,
2429.141,512.02515,
2426.230,492.16806,
2423.320,524.69623,
2420.409,525.18284,
2417.498,522.89468,
2414.588,519.49767,
2411.677,529.16086,
2408.767,528.10138,
2405.856,512.27505,
2402.946,534.66745,
2400.035,534.84095,
2397.124,556.66512,
2394.214,541.2322,
2391.303,530.98137,
2388.393,517.9273,
2385.482,481.6231,
2382.571,506.59298,
2379.661,522.84586,
2376.750,528.54619,
2373.840,544.5968,
2370.929,568.90841,
2368.019,568.16134,
2365.108,557.80039,
2362.197,552.30584,
2359.287,563.90662,
2356.376,551.15142,
2353.466,568.15585,
2350.555,553.80477,
2347.645,563.66272,
2344.734,572.39688,
