,PL570B~1,
Wavenumbers [1/cm],Intensity,
3014.167,-7.875,
3011.256,1.3749463,
3008.346,57.167935,
3005.435,49.73984,
3002.525,59.012584,
2999.614,59.263973,
2996.704,72.939431,
2993.793,59.134216,
2990.882,54.949412,
2987.972,79.06446,
2985.061,62.248146,
2982.151,59.647692,
2979.240,69.772321,
2976.329,82.62227,
2973.419,71.386618,
2970.508,80.458267,
2967.598,78.698494,
2964.687,88.692256,
2961.777,96.184921,
2958.866,81.463777,
2955.955,73.366151,
2953.045,92.657431,
2950.134,95.221229,
2947.224,85.09294,
2944.313,106.88924,
2941.403,103.55383,
2938.492,92.710373,
2935.581,100.53359,
2932.671,100.68725,
2929.760,96.62113,
2926.850,89.75921,
2923.939,103.60161,
2921.028,113.58381,
2918.118,102.7648,
2915.207,107.59976,
2912.297,121.08692,
2909.386,97.088515,
2906.476,114.37215,
2903.565,97.447966,
2900.654,97.242281,
2897.744,107.26329,
2894.833,97.094462,
2891.923,82.532107,
2889.012,94.95737,
2886.102,98.729053,
2883.191,92.131608,
2880.280,37.837899,
2877.370,-53.107401,
2874.459,-69.290049,
2871.549,-18.308672,
2868.638,59.038365,
2865.727,84.990409,
2862.817,76.582218,
2859.906,102.65775,
2856.996,112.70425,
2854.085,113.61033,
2851.175,115.22137,
2848.264,117.91417,
2845.353,117.08187,
2842.443,113.52779,
2839.532,126.64729,
2836.622,112.51823,
2833.711,113.33223,
2830.801,121.62132,
2827.890,121.49912,
2824.979,131.2489,
2822.069,112.23872,
2819.158,117.56435,
2816.248,113.86053,
2813.337,131.99086,
2810.427,122.16908,
2807.516,133.75078,
2804.605,123.69471,
2801.695,123.21712,
2798.784,127.125,
2795.874,124.40996,
2792.963,127.05362,
2790.052,115.12779,
2787.142,126.96715,
2784.231,136.38276,
2781.321,138.49063,
2778.410,113.71003,
2775.500,113.89086,
2772.589,107.66475,
2769.678,131.76662,
2766.768,122.51527,
2763.857,129.91498,
2760.947,128.08717,
2758.036,128.90211,
2755.126,134.11859,
2752.215,144.7431,
2749.304,134.76349,
2746.394,124.03022,
2743.483,121.77504,
2740.573,128.31975,
2737.662,134.34837,
2734.751,137.35798,
2731.841,143.58471,
2728.930,145.34957,
2726.020,144.4566,
2723.109,137.8055,
2720.199,143.84996,
2717.288,146.31843,
2714.377,143.125,
2711.467,148.58433,
2708.556,139.85889,
2705.646,153.57573,
2702.735,145.77963,
2699.825,145.86323,
2696.914,141.12452,
2694.003,163.45509,
2691.093,148.99985,
2688.182,148.94352,
2685.272,144.97422,
2682.361,138.25382,
2679.450,151.96868,
2676.540,153.79981,
2673.629,145.75725,
2670.719,143.78211,
2667.808,143.63864,
2664.898,155.68336,
2661.987,157.85829,
2659.076,170.96335,
2656.166,133.15952,
2653.255,154.3869,
2650.345,149.47709,
2647.434,157.89665,
2644.524,160.33361,
2641.613,166.89684,
2638.702,159.36172,
2635.792,149.00037,
2632.881,158.2498,
2629.971,164.50753,
2627.060,153.78876,
2624.149,163.80314,
2621.239,145.87055,
2618.328,148.31184,
2615.418,174.12954,
2612.507,170.26335,
2609.597,173.66592,
2606.686,164.39808,
2603.775,161.2877,
2600.865,168.59598,
2597.954,162.26874,
2595.044,167.43767,
2592.133,173.34794,
2589.223,169.6671,
2586.312,170.90887,
2583.401,185.14687,
2580.491,177.7548,
2577.580,179.12995,
2574.670,180.18784,
2571.759,169.06935,
2568.848,177.29634,
2565.938,187.98222,
2563.027,174.92956,
2560.117,181.29325,
2557.206,192.54935,
2554.296,177.32637,
2551.385,180.93498,
2548.474,192.19935,
2545.564,184.56818,
2542.653,188.19883,
2539.743,175.24823,
2536.832,165.88014,
2533.922,178.28269,
2531.011,188.67495,
2528.100,187.45949,
2525.190,192.24016,
2522.279,189.26569,
2519.369,186.08763,
2516.458,185.46777,
2513.548,182.37065,
2510.637,188.5391,
2507.726,199.82014,
2504.816,173.18701,
2501.905,184.73354,
2498.995,196.05006,
2496.084,183.72433,
2493.173,192.46705,
2490.263,188.73178,
2487.352,193.58407,
2484.442,206.68816,
2481.531,207.8591,
2478.621,212.3383,
2475.710,174.26302,
2472.799,196.81105,
2469.889,214.51836,
2466.978,220.28993,
2464.068,209.6329,
2461.157,206.70249,
