,PL599A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.875,
3011.256,-2.2750859,
3008.346,83.037951,
3005.435,85.51016,
3002.525,103.18261,
2999.614,98.026309,
2996.704,111.62087,
2993.793,92.84044,
2990.882,108.95712,
2987.972,105.25112,
2985.061,114.16439,
2982.151,114.38048,
2979.240,118.45578,
2976.329,124.61135,
2973.419,129.49419,
2970.508,134.20832,
2967.598,117.84187,
2964.687,134.99049,
2961.777,148.09091,
2958.866,137.13242,
2955.955,133.95464,
2953.045,141.77601,
2950.134,145.48651,
2947.224,140.52356,
2944.313,155.02386,
2941.403,158.73221,
2938.492,151.84858,
2935.581,144.85631,
2932.671,155.32673,
2929.760,153.43268,
2926.850,155.49793,
2923.939,163.68105,
2921.028,166.33666,
2918.118,175.04439,
2915.207,168.94777,
2912.297,188.04037,
2909.386,164.51916,
2906.476,183.89183,
2903.565,177.33463,
2900.654,185.46574,
2897.744,164.27587,
2894.833,165.81591,
2891.923,143.8269,
2889.012,156.66835,
2886.102,163.20607,
2883.191,154.14105,
2880.280,117.29245,
2877.370,-2.9212263,
2874.459,-79.717508,
2871.549,6.1255315,
2868.638,145.08986,
2865.727,160.07116,
2862.817,151.02474,
2859.906,163.11359,
2856.996,190.14311,
2854.085,196.68804,
2851.175,197.91114,
2848.264,191.13467,
2845.353,191.03873,
2842.443,183.93057,
2839.532,194.64729,
2836.622,193.2487,
2833.711,196.71055,
2830.801,185.52794,
2827.890,184.02186,
2824.979,208.38487,
2822.069,207.23872,
2819.158,209.52391,
2816.248,200.86053,
2813.337,207.46524,
2810.427,211.55888,
2807.516,208.91641,
2804.605,204.96395,
2801.695,208.16447,
2798.784,207.90323,
2795.874,211.27012,
2792.963,220.05383,
2790.052,207.12908,
2787.142,211.61188,
2784.231,209.73836,
2781.321,218.24496,
2778.410,204.29505,
2775.500,204.65672,
2772.589,196.01108,
2769.678,227.40823,
2766.768,226.76188,
2763.857,234.54504,
2760.947,226.62815,
2758.036,211.8765,
2755.126,216.92842,
2752.215,235.78412,
2749.304,228.52969,
2746.394,211.72375,
2743.483,225.675,
2740.573,212.81742,
2737.662,223.23151,
2734.751,237.43057,
2731.841,227.04257,
2728.930,239.32843,
2726.020,235.90567,
2723.109,236.35183,
2720.199,243.47814,
2717.288,241.125,
2714.377,239.38336,
2711.467,246.30522,
2708.556,256.33763,
2705.646,250.13906,
2702.735,246.44974,
2699.825,240.08137,
2696.914,242.125,
2694.003,265.73964,
2691.093,254.64246,
2688.182,244.8887,
2685.272,252.69115,
2682.361,244.0071,
2679.450,252.58592,
2676.540,253.06403,
2673.629,246.80663,
2670.719,251.0446,
2667.808,259.97909,
2664.898,275.67072,
2661.987,277.12533,
2659.076,270.04958,
2656.166,250.72237,
2653.255,269.67603,
2650.345,267.22845,
2647.434,273.52569,
2644.524,281.36473,
2641.613,266.83965,
2638.702,259.34593,
2635.792,264.75112,
2632.881,263.63083,
2629.971,286.57477,
2627.060,269.79125,
2624.149,275.88125,
2621.239,283.63389,
2618.328,280.37932,
2615.418,289.11137,
2612.507,285.19618,
2609.597,295.47231,
2606.686,279.81374,
2603.775,268.04564,
2600.865,274.71205,
2597.954,281.61034,
2595.044,311.45538,
2592.133,294.39234,
2589.223,303.63133,
2586.312,296.7129,
2583.401,304.69796,
2580.491,304.74035,
2577.580,310.1118,
2574.670,309.59691,
2571.759,303.25087,
2568.848,298.58917,
2565.938,314.02991,
2563.027,296.68635,
2560.117,297.31191,
2557.206,317.72647,
2554.296,312.23713,
2551.385,310.13307,
2548.474,319.125,
2545.564,310.4099,
2542.653,329.88339,
2539.743,317.14965,
2536.832,309.83902,
2533.922,316.31423,
2531.011,326.20016,
2528.100,324.32362,
2525.190,332.65902,
2522.279,332.1719,
2519.369,330.71005,
2516.458,331.79639,
2513.548,329.0342,
2510.637,334.63314,
2507.726,327.43727,
2504.816,334.31328,
2501.905,338.31341,
2498.995,336.88612,
2496.084,333.43162,
2493.173,349.59917,
2490.263,353.34984,
2487.352,345.95967,
2484.442,359.71388,
2481.531,350.86431,
2478.621,365.87385,
2475.710,349.20168,
2472.799,360.6048,
2469.889,371.42695,
2466.978,379.56829,
2464.068,369.59057,
2461.157,360.47247,
2458.247,371.24271,
2455.336,376.14652,
2452.425,370.66745,
2449.515,381.59694,
2446.604,385.77942,
2443.694,381.10199,
2440.783,401.50901,
2437.872,396.76035,
2434.962,389.22638,
2432.051,383.90874,
2429.141,390.63065,
2426.230,375.68959,
2423.320,409.82542,
2420.409,389.09942,
2417.498,394.89468,
2414.588,387.41024,
2411.677,414.15683,
2408.767,394.95472,
2405.856,405.27505,
2402.946,400.9704,
2400.035,384.34564,
2397.124,415.56351,
2394.214,406.9078,
2391.303,396.51728,
2388.393,395.125,
2385.482,390.34531,
2382.571,381.82155,
2379.661,380.54342,
2376.750,419.54112,
2373.840,418.6532,
2370.929,427.97338,
2368.019,410.52152,
2365.108,428.77683,
2362.197,431.68121,
2359.287,439.72166,
2356.376,434.13557,
2353.466,434.5034,
2350.555,435.77984,
2347.645,430.3091,
