,PL5A48~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.625,
3011.256,2.0749356,
3008.346,73.701492,
3005.435,84.72129,
3002.525,75.072427,
2999.614,96.424346,
2996.704,92.693557,
2993.793,87.241936,
2990.882,90.550588,
2987.972,116.23879,
2985.061,89.81835,
2982.151,97.420384,
2979.240,102.75616,
2976.329,113.62363,
2973.419,107.03636,
2970.508,119.30831,
2967.598,117.80512,
2964.687,126.85258,
2961.777,121.03306,
2958.866,130.71378,
2955.955,125.65155,
2953.045,126.00811,
2950.134,139.53538,
2947.224,134.97285,
2944.313,147.28526,
2941.403,132.16058,
2938.492,147.24764,
2935.581,140.99343,
2932.671,141.29777,
2929.760,147.89037,
2926.850,140.42726,
2923.939,156.69274,
2921.028,160.52202,
2918.118,161.11429,
2915.207,164.20422,
2912.297,152.45116,
2909.386,153.99543,
2906.476,170.43679,
2903.565,157.53648,
2900.654,157.43364,
2897.744,153.70188,
2894.833,168.24119,
2891.923,152.375,
2889.012,167.21315,
2886.102,160.4358,
2883.191,156.38444,
2880.280,104.87259,
2877.370,52.032019,
2874.459,70.482063,
2871.549,88.151239,
2868.638,136.83475,
2865.727,145.74422,
2862.817,154.20387,
2859.906,175.83084,
2856.996,170.41576,
2854.085,157.85399,
2851.175,170.35387,
2848.264,172.816,
2845.353,181.375,
2842.443,182.97221,
2839.532,181.49443,
2836.622,180.85807,
2833.711,166.59006,
2830.801,183.85662,
2827.890,189.03932,
2824.979,179.30099,
2822.069,192.52284,
2819.158,198.15397,
2816.248,177.40974,
2813.337,198.48841,
2810.427,190.7717,
2807.516,201.57625,
2804.605,187.64424,
2801.695,194.71709,
2798.784,198.70969,
2795.874,184.21403,
2792.963,200.08926,
2790.052,186.37779,
2787.142,192.86188,
2784.231,193.11724,
2781.321,207.80349,
2778.410,188.93971,
2775.500,199.97017,
2772.589,181.45297,
2769.678,205.26575,
2766.768,195.70701,
2763.857,191.32298,
2760.947,198.38761,
2758.036,206.30497,
2755.126,195.65065,
2752.215,212.27033,
2749.304,213.84261,
2746.394,209.58669,
2743.483,204.32503,
2740.573,210.90824,
2737.662,216.57767,
2734.751,204.49149,
2731.841,213.40248,
2728.930,217.92586,
2726.020,213.59433,
2723.109,222.014,
2720.199,223.80624,
2717.288,230.26916,
2714.377,214.34614,
2711.467,230.22774,
2708.556,227.279,
2705.646,224.54398,
2702.735,230.85179,
2699.825,226.47144,
2696.914,230.80316,
2694.003,241.65955,
2691.093,235.64217,
2688.182,234.17648,
2685.272,230.62251,
2682.361,228.89793,
2679.450,245.34212,
2676.540,226.375,
2673.629,228.03418,
2670.719,233.30199,
2667.808,242.93728,
2664.898,245.661,
2661.987,240.14188,
2659.076,243.13793,
2656.166,239.90746,
2653.255,243.81888,
2650.345,239.10277,
2647.434,261.46074,
2644.524,254.26705,
2641.613,254.40391,
2638.702,243.64328,
2635.792,257.31418,
2632.881,258.23191,
2629.971,264.88505,
2627.060,239.70625,
2624.149,255.91563,
2621.239,263.6413,
2618.328,250.64662,
2615.418,275.39318,
2612.507,255.58453,
2609.597,267.44686,
2606.686,267.4794,
2603.775,257.13691,
2600.865,260.31697,
2597.954,254.7104,
2595.044,265.00919,
2592.133,269.31764,
2589.223,276.2908,
2586.312,270.15887,
2583.401,286.6414,
2580.491,280.55288,
2577.580,280.3948,
2574.670,289.60763,
2571.759,268.06165,
2568.848,285.1873,
2565.938,278.94639,
2563.027,284.00909,
2560.117,278.92639,
2557.206,282.70341,
2554.296,292.03175,
2551.385,296.50706,
2548.474,297.33782,
2545.564,312.77354,
2542.653,295.36494,
2539.743,287.35035,
2536.832,285.5993,
2533.922,310.40654,
2531.011,311.55007,
2528.100,306.70949,
2525.190,313.07131,
2522.279,310.375,
2519.369,305.24324,
2516.458,291.1512,
2513.548,291.80224,
2510.637,316.32979,
2507.726,300.68727,
2504.816,301.375,
2501.905,319.22988,
2498.995,323.61388,
2496.084,324.6154,
2493.173,314.50646,
2490.263,323.34112,
2487.352,342.91593,
2484.442,332.94459,
2481.531,332.26864,
2478.621,336.5172,
2475.710,306.52836,
2472.799,329.33461,
2469.889,343.70742,
2466.978,343.60186,
2464.068,357.65548,
2461.157,340.68494,
2458.247,351.22795,
2455.336,356.33195,
2452.425,342.32781,
