,PL5D93~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.75,
3011.256,1.8499141,
3008.346,145.60008,
3005.435,160.09452,
3002.525,172.85515,
2999.614,178.91365,
2996.704,196.51598,
2993.793,185.01152,
2990.882,184.15835,
2987.972,199.26513,
2985.061,198.25985,
2982.151,208.22144,
2979.240,218.26424,
2976.329,224.48771,
2973.419,221.32702,
2970.508,225.88329,
2967.598,226.01104,
2964.687,231.27921,
2961.777,247.68595,
2958.866,249.25445,
2955.955,240.97345,
2953.045,260.80034,
2950.134,279.0168,
2947.224,284.50622,
2944.313,282.46367,
2941.403,290.97673,
2938.492,294.4099,
2935.581,284.64267,
2932.671,301.88948,
2929.760,300.31923,
2926.850,287.98158,
2923.939,290.17056,
2921.028,305.97371,
2918.118,306.13162,
2915.207,316.89554,
2912.297,301.30924,
2909.386,306.06022,
2906.476,327.17975,
2903.565,334.02631,
2900.654,314.5432,
2897.744,304.61459,
2894.833,317.58019,
2891.923,287.9519,
2889.012,302.88006,
2886.102,294.70675,
2883.191,259.2887,
2880.280,233.95331,
2877.370,75.12818,
2874.459,9.0490762,
2871.549,127.05341,
2868.638,262.12209,
2865.727,293.69235,
2862.817,282.35026,
2859.906,332.9594,
2856.996,338.28623,
2854.085,340.81304,
2851.175,322.70478,
2848.264,334.60783,
2845.353,342.9912,
2842.443,321.66671,
2839.532,326.65287,
2836.622,352.85092,
2833.711,331.40542,
2830.801,335.14926,
2827.890,342.06294,
2824.979,355.80592,
2822.069,345.31823,
2819.158,348.96967,
2816.248,344.50289,
2813.337,361.77562,
2810.427,344.03651,
2807.516,344.82547,
2804.605,363.47596,
2801.695,371.64474,
2798.784,364.06315,
2795.874,352.80935,
2792.963,371.96447,
2790.052,365.25236,
2787.142,342.82892,
2784.231,357.99066,
2781.321,361.55854,
2778.410,351.66497,
2775.500,354.54759,
2772.589,335.32797,
2769.678,361.46155,
2766.768,371.6267,
2763.857,370.88199,
2760.947,372.74054,
2758.036,371.25,
2755.126,369.48291,
2752.215,380.05905,
2749.304,377.25,
2746.394,374.09676,
2743.483,376.15,
2740.573,361.05525,
2737.662,395.00592,
2734.751,375.78405,
2731.841,379.38553,
2728.930,387.35172,
2726.020,383.69387,
2723.109,385.90975,
2720.199,391.19058,
2717.288,392.26824,
2714.377,373.31688,
2711.467,404.90604,
2708.556,407.93042,
2705.646,414.79927,
2702.735,403.25,
2699.825,402.76091,
2696.914,403.05955,
2694.003,434.12155,
2691.093,417.62427,
2688.182,407.41445,
2685.272,408.53307,
2682.361,405.76747,
2679.450,416.37345,
2676.540,419.18903,
2673.629,417.57735,
2670.719,419.60767,
2667.808,424.95819,
2664.898,435.91245,
2661.987,428.68332,
2659.076,429.99569,
2656.166,429.02486,
2653.255,445.43198,
2650.345,431.51316,
2647.434,448.27887,
2644.524,449.59768,
2641.613,426.70694,
2638.702,449.82391,
2635.792,435.56306,
2632.881,441.64268,
2629.971,437.03516,
2627.060,438.08094,
2624.149,455.87188,
2621.239,451.99555,
2618.328,450.9282,
2615.418,466.58182,
2612.507,442.42796,
2609.597,485.37375,
2606.686,467.08132,
2603.775,456.96825,
2600.865,467.30466,
2597.954,476.82497,
2595.044,481.64238,
2592.133,476.8106,
2589.223,488.49106,
2586.312,497.81279,
2583.401,490.49811,
2580.491,488.02879,
2577.580,483.25165,
2574.670,484.52674,
2571.759,490.20462,
2568.848,499.18925,
2565.938,487.86893,
2563.027,502.15228,
2560.117,493.25933,
2557.206,512.75553,
2554.296,493.504,
2551.385,485.50605,
2548.474,503.50948,
2545.564,513.09172,
2542.653,504.8708,
2539.743,512.22535,
2536.832,507.45374,
2533.922,522.29731,
2531.011,525.52498,
2528.100,521.45208,
2525.190,528.31803,
2522.279,519.57829,
2519.369,521.72197,
2516.458,521.25708,
2513.548,522.77736,
2510.637,543.54476,
2507.726,509.11991,
2504.816,529.31314,
2501.905,538.11951,
2498.995,526.62354,
2496.084,545.18378,
2493.173,549.30298,
2490.263,561.44097,
2487.352,543.95947,
2484.442,559.9652,
2481.531,558.19682,
2478.621,560.3211,
2475.710,569.12732,
2472.799,562.86873,
2469.889,589.34141,
2466.978,565.32236,
2464.068,572.5728,
2461.157,571.71004,
2458.247,569.08828,
2455.336,584.80187,
2452.425,574.20281,
2449.515,557.31654,
2446.604,582.77532,
2443.694,590.99425,
2440.783,603.58559,
2437.872,586.9793,
2434.962,600.47121,
2432.051,593.02794,
2429.141,617.19687,
2426.230,567.16147,
2423.320,619.47905,
2420.409,603.41018,
2417.498,610.25,
2414.588,622.5123,
2411.677,625.96313,
2408.767,617.23819,
2405.856,613.78095,
2402.946,617.35724,
2400.035,610.25938,
2397.124,616.25,
2394.214,617.5476,
2391.303,623.46545,
2388.393,640.43375,
2385.482,607.96841,
2382.571,585.73079,
2379.661,606.64511,
2376.750,638.51103,
2373.840,636.62191,
2370.929,653.04424,
2368.019,641.80292,
2365.108,658.18194,
2362.197,649.61168,
2359.287,641.67841,
2356.376,675.18484,
2353.466,667.91787,
2350.555,653.80513,
2347.645,673.45925,
2344.734,676.94584,
2341.823,699.83542,
2338.913,702.47387,
2336.002,687.20461,
2333.092,684.82454,
2330.181,702.05816,
2327.270,689.18509,
2324.360,704.50238,
2321.449,688.07992,
2318.539,703.80663,
2315.628,718.78837,
2312.718,739.86455,
2309.807,696.13807,
2306.896,709.50978,
2303.986,716.73055,
2301.075,714.46279,
2298.165,706.25954,
2295.254,720.90531,
2292.344,723.83094,
2289.433,719.27318,
2286.522,737.57133,
2283.612,737.51912,
2280.701,732.25,
2277.791,759.53052,
2274.880,769.45994,
2271.969,771.19238,
2269.059,752.45708,
2266.148,761.19324,
2263.238,769.74807,
2260.327,755.31897,
2257.417,760.52,
2254.506,783.55488,
2251.595,790.39913,
2248.685,791.87882,
2245.774,780.73375,
2242.864,780.70386,
2239.953,790.20857,
2237.043,794.79501,
2234.132,791.20582,
2231.221,822.25272,
2228.311,807.15467,
2225.400,836.16556,
2222.490,834.36403,
2219.579,837.88238,
2216.669,826.79054,
2213.758,821.51144,
2210.847,823.25,
2207.937,825.16856,
2205.026,879.58382,
2202.116,865.20117,
2199.205,874.21165,
2196.294,893.49799,
2193.384,886.01349,
2190.473,874.52817,
2187.563,903.192,
2184.652,894.56346,
2181.742,919.45531,
2178.831,943.04381,
2175.920,967.07332,
2173.010,977.70011,
2170.099,1020.7118,
2167.189,1042.5083,
2164.278,1086.1736,
2161.368,1154.533,
2158.457,1209.4027,
2155.546,1258.1414,
2152.636,1325.8191,
2149.725,1386.5184,
2146.815,1404.9497,
2143.904,1438.6738,
2140.993,1499.2764,
2138.083,1527.1222,
2135.172,1560.729,
2132.262,1564.5018,
2129.351,1540.3292,
2126.441,1506.6286,
2123.530,1498.8796,
2120.619,1459.5072,
2117.709,1390.8812,
2114.798,1300.546,
2111.888,1248.1136,
2108.977,1191.4619,
2106.067,1151.257,
2103.156,1086.1809,
2100.245,1064.2287,
2097.335,1028.2029,
2094.424,1008.2237,
2091.514,983.66928,
2088.603,965.87674,
2085.692,956.74818,
2082.782,975.57516,
2079.871,1001.6794,
2076.961,987.47698,
2074.050,988.79545,
2071.140,960.08909,
2068.229,961.97135,
2065.318,963.12599,
2062.408,972.94741,
2059.497,980.62498,
2056.587,965.86638,
2053.676,962.43338,
2050.766,946.55867,
2047.855,957.07913,
2044.944,949.91988,
2042.034,939.59102,
2039.123,946.15236,
2036.213,967.03888,
2033.302,962.61959,
2030.391,967.6905,
2027.481,973.48169,
2024.570,986.04969,
2021.660,975.07781,
2018.749,972.08579,
2015.839,989.61811,
2012.928,969.00839,
2010.017,989.61266,
2007.107,1011.9939,
2004.196,997.45234,
2001.286,999.75174,
1998.375,990.46161,
1995.465,975.95714,
1992.554,993.53219,
1989.643,988.52651,
1986.733,990.6614,
1983.822,980.25,
1980.912,984.57708,
1978.001,985.45407,
1975.090,966.80574,
1972.180,991.49068,
1969.269,995.28734,
1966.359,983.1688,
1963.448,981.90258,
1960.538,1005.1608,
1957.627,998.65866,
1954.716,998.22127,
1951.806,1004.4552,
1948.895,982.87358,
1945.985,945.78595,
1943.074,975.45658,
1940.164,980.91334,
1937.253,969.95872,
1934.342,972.28422,
1931.432,962.39511,
1928.521,960.04275,
1925.611,970.01617,
1922.700,961.16989,
1919.790,987.53291,
1916.879,963.41223,
1913.968,982.22418,
1911.058,965.90166,
1908.147,992.96974,
1905.237,1007.1249,
1902.326,965.19519,
1899.415,957.32926,
1896.505,951.94885,
1893.594,976.05799,
1890.684,976.62922,
1887.773,992.9043,
1884.863,1018.25,
1881.952,986.86281,
1879.041,975.51947,
1876.131,999.86698,
1873.220,982.58619,
1870.310,993.17374,
1867.399,1010.9781,
1864.489,1001.7952,
1861.578,1013.9424,
1858.667,999.63624,
1855.757,995.82995,
1852.846,1020.7628,
1849.936,1017.9717,
1847.025,1016.829,
1844.114,1049.8006,
1841.204,1031.8374,
1838.293,1029.2433,
1835.383,1052.3775,
1832.472,1042.7491,
1829.562,1034.832,
1826.651,1057.3444,
1823.740,1044.1388,
1820.830,1062.4865,
1817.919,1042.5612,
1815.009,1061.0808,
1812.098,1054.4784,
1809.188,1073.8856,
1806.277,1052.759,
1803.366,1101.8175,
1800.456,1077.9537,
1797.545,1108.2641,
1794.635,1113.0899,
1791.724,1085.6771,
1788.813,1120.8469,
1785.903,1104.9186,
1782.992,1074.3245,
1780.082,1038.5134,
1777.171,1017.2495,
1774.261,1009.7749,
1771.350,1042.5953,
1768.439,1128.9552,
1765.529,1151.4305,
1762.618,1134.5537,
1759.708,1138.0219,
1756.797,1162.0833,
1753.887,1160.9672,
1750.976,1151.6603,
1748.065,1183.2008,
1745.155,1170.676,
1742.244,1176.7491,
1739.334,1170.7629,
1736.423,1204.6425,
1733.512,1206.9695,
1730.602,1249.8711,
1727.691,1243.9878,
1724.781,1254.5547,
1721.870,1235.9118,
1718.960,1226.9611,
1716.049,1274.9105,
1713.138,1257.7451,
1710.228,1229.752,
1707.317,1294.362,
1704.407,1299.6564,
1701.496,1311.1001,
1698.586,1302.0862,
1695.675,1331.1927,
1692.764,1302.0082,
1689.854,1385.3957,
1686.943,1351.5653,
1684.033,1397.0579,
1681.122,1413.9781,
1678.211,1366.7068,
1675.301,1416.0958,
1672.390,1469.3906,
1669.480,1516.25,
1666.569,1515.9199,
1663.659,1490.7563,
