,PL6CF5~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.5,
3011.256,1.0999141,
3008.346,144.85008,
3005.435,157.57774,
3002.525,163.87752,
2999.614,177.5,
2996.704,183.63299,
2993.793,170.72926,
2990.882,185.37024,
2987.972,191.45964,
2985.061,180.39655,
2982.151,189.7101,
2979.240,212.04656,
2976.329,226.74317,
2973.419,216.05379,
2970.508,220.96665,
2967.598,224.26466,
2964.687,235.67935,
2961.777,265.02171,
2958.866,237.16716,
2955.955,237.25885,
2953.045,253.78412,
2950.134,258.28717,
2947.224,270.24019,
2944.313,291.0057,
2941.403,295.92883,
2938.492,272.84149,
2935.581,283.00555,
2932.671,285.54294,
2929.760,294.61922,
2926.850,292.34323,
2923.939,298.53736,
2921.028,315.20596,
2918.118,309.20151,
2915.207,314.43662,
2912.297,340.36883,
2909.386,313.66789,
2906.476,329.52243,
2903.565,321.82297,
2900.654,333.85184,
2897.744,304.82688,
2894.833,320.19091,
2891.923,312.7981,
2889.012,328.87572,
2886.102,336.16485,
2883.191,382.46224,
2880.280,369.60048,
2877.370,425.37776,
2874.459,451.93366,
2871.549,371.38119,
2868.638,372.3206,
2865.727,342.41925,
2862.817,332.85695,
2859.906,333.03275,
2856.996,360.5,
2854.085,349.0567,
2851.175,350.9066,
2848.264,343.16151,
2845.353,349.45687,
2842.443,346.30209,
2839.532,334.41051,
2836.622,335.16862,
2833.711,341.87048,
2830.801,326.91029,
2827.890,322.02274,
2824.979,344.98191,
2822.069,355.55686,
2819.158,349.85848,
2816.248,348.93631,
2813.337,354.86097,
2810.427,358.80855,
2807.516,364.9675,
2804.605,348.40386,
2801.695,364.67105,
2798.784,349.53492,
2795.874,359.36016,
2792.963,354.57138,
2790.052,337.50343,
2787.142,348.07892,
2784.231,349.75776,
2781.321,366.92849,
2778.410,343.08503,
2775.500,360.88068,
2772.589,335.96329,
2769.678,370.39075,
2766.768,369.76018,
2763.857,365.97399,
2760.947,367.4937,
2758.036,376.66567,
2755.126,363.39531,
2752.215,377.86351,
2749.304,379.83992,
2746.394,375.88706,
2743.483,374.75006,
2740.573,376.80758,
2737.662,380.93639,
2734.751,376.05824,
2731.841,378.28388,
2728.930,384.80515,
2726.020,384.39815,
2723.109,379.97442,
2720.199,385.77504,
2717.288,390.91972,
2714.377,396.1459,
2711.467,410.94285,
2708.556,404.14884,
2705.646,395.66898,
2702.735,401.32216,
2699.825,405.17279,
2696.914,418.07136,
2694.003,407.72927,
2691.093,401.16065,
2688.182,418.59259,
2685.272,414.38478,
2682.361,409.3821,
2679.450,421.5,
2676.540,414.27644,
2673.629,409.8049,
2670.719,419.28835,
2667.808,425.11092,
2664.898,422.46109,
2661.987,430.83355,
2659.076,441.24569,
2656.166,428.09737,
2653.255,441.75681,
2650.345,433.60345,
2647.434,428.78608,
2644.524,436.70861,
2641.613,441.21465,
2638.702,443.56312,
2635.792,439.28265,
2632.881,434.85108,
2629.971,443.86244,
2627.060,435.49938,
2624.149,445.55312,
2621.239,446.99111,
2618.328,451.66955,
2615.418,457.82273,
2612.507,458.77669,
2609.597,458.31637,
2606.686,446.25302,
2603.775,457.82143,
2600.865,461.73549,
2597.954,459.93742,
2595.044,488.5,
