,PL6F19~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5,
3011.256,2.9498819,
3008.346,110.59071,
3005.435,124.77032,
3002.525,126.03747,
2999.614,146.28701,
2996.704,154.90309,
2993.793,138.61924,
2990.882,140.74047,
2987.972,148.00504,
2985.061,146.78325,
2982.151,158.09077,
2979.240,168.59694,
2976.329,185,
2973.419,176.13812,
2970.508,190.61666,
2967.598,181.43012,
2964.687,190.47758,
2961.777,196.43595,
2958.866,193.33284,
2955.955,189.44691,
2953.045,209.63311,
2950.134,211.03208,
2947.224,222.17081,
2944.313,225.75285,
2941.403,223,
2938.492,218.01085,
2935.581,221.59141,
2932.671,215.76398,
2929.760,233.32692,
2926.850,224.36579,
2923.939,242.35981,
2921.028,245.31179,
2918.118,265.11838,
2915.207,249.64554,
2912.297,251.98307,
2909.386,253.9927,
2906.476,273.573,
2903.565,260.75927,
2900.654,251.39938,
2897.744,278.88685,
2894.833,253.91782,
2891.923,256.13791,
2889.012,266.54335,
2886.102,266.43648,
2883.191,300.97074,
2880.280,318.66986,
2877.370,331.35464,
2874.459,365.37082,
2871.549,293.3154,
2868.638,291.91132,
2865.727,301.1808,
2862.817,269.59895,
2859.906,288.84899,
2856.996,309.50679,
2854.085,282.47264,
2851.175,282.66864,
2848.264,279.51451,
2845.353,296.82746,
2842.443,281.01393,
2839.532,281.41783,
2836.622,274.75846,
2833.711,281.10361,
2830.801,284.79853,
2827.890,272.45804,
2824.979,274.20998,
2822.069,274.36391,
2819.158,303.71967,
2816.248,293.27605,
2813.337,314.4122,
2810.427,292.91874,
2807.516,303.20125,
2804.605,317.73076,
2801.695,308.39474,
2798.784,319.33469,
2795.874,292.99472,
2792.963,303.78585,
2790.052,286.0045,
2787.142,299.90796,
2784.231,296.3556,
2781.321,301.06286,
2778.410,303.24492,
2775.500,313.42448,
2772.589,292.07797,
2769.678,319.13988,
2766.768,328.75339,
2763.857,324.21002,
2760.947,326.03783,
2758.036,333.69428,
2755.126,333.19017,
2752.215,326.02263,
2749.304,338.19063,
2746.394,313.29228,
2743.483,323.10004,
2740.573,321.2102,
2737.662,337.09616,
