,PL7B96~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6.75,
3011.256,0.14997853,
3008.346,86.658115,
3005.435,91.405479,
3002.525,91.324944,
2999.614,102.06168,
2996.704,96.205671,
2993.793,89.983872,
2990.882,102.25,
2987.972,113.25,
2985.061,104.82634,
2982.151,118.90884,
2979.240,109.99809,
2976.329,124.00683,
2973.419,128.21945,
2970.508,131.58327,
2967.598,138.63233,
2964.687,141.95177,
2961.777,143.59194,
2958.866,137.58729,
2955.955,141.35618,
2953.045,122.50507,
2950.134,161.67566,
2947.224,150.81938,
2944.313,158.11538,
2941.403,165.8458,
2938.492,170.23915,
2935.581,156.79848,
2932.671,157.45173,
2929.760,161.43845,
2926.850,157.25,
2923.939,164.3668,
2921.028,179.87358,
2918.118,167.3495,
2915.207,169.72476,
2912.297,180.22461,
2909.386,164.65146,
2906.476,178.14886,
2903.565,172.63816,
2900.654,168.70802,
2897.744,174.42601,
2894.833,170.93073,
2891.923,151.9263,
2889.012,159.50433,
2886.102,163.3716,
2883.191,158.26605,
2880.280,102.494,
2877.370,6.8141429,
2874.459,-41.290726,
2871.549,19.329381,
2868.638,115.9386,
2865.727,154.27692,
2862.817,165.72192,
2859.906,174.36396,
2856.996,176.24547,
2854.085,169.32772,
2851.175,182.01501,
2848.264,194.397,
2845.353,195.25,
2842.443,186.86462,
2839.532,173.47389,
2836.622,197.36784,
2833.711,179.14639,
2830.801,187.14191,
2827.890,192.08216,
2824.979,195.87993,
2822.069,187.39784,
2819.158,192.64891,
2816.248,183.98553,
2813.337,196.70366,
2810.427,193.08058,
2807.516,191.14203,
2804.605,202.81971,
2801.695,195.55263,
2798.784,202.58469,
2795.874,202.68008,
2792.963,204.46436,
2790.052,186.25429,
2787.142,193.98677,
2784.231,194.05589,
2781.321,196.68426,
2778.410,196.1345,
2775.500,204.18655,
2772.589,190.59633,
2769.678,206.24652,
2766.768,210.69853,
2763.857,194.67197,
2760.947,202.75315,
2758.036,205.79142,
2755.126,189.34188,
2752.215,205.69555,
2749.304,217.48381,
2746.394,214.73184,
2743.483,211.45004,
2740.573,216.67041,
2737.662,200.48372,
2734.751,200.99283,
2731.841,218.44048,
2728.930,215.33058,
2726.020,213.59201,
2723.109,224.68292,
2720.199,217.34677,
2717.288,229.53102,
2714.377,215.92934,
2711.467,220.65989,
2708.556,229.71779,
2705.646,230.10913,
2702.735,230.91495,
2699.825,232.67365,
2696.914,234.63091,
2694.003,245.45163,
2691.093,230.12485,
2688.182,233.88704,
2685.272,228.85171,
2682.361,226.61463,
2679.450,230.25,
2676.540,238.88417,
2673.629,221.58184,
2670.719,219.03835,
2667.808,234.37456,
2664.898,233.87354,
2661.987,227.08339,
2659.076,237.97844,
2656.166,230.25,
2653.255,225.91837,
2650.345,233.01044,
2647.434,248.64983,
2644.524,238.77516,
2641.613,238.05013,
2638.702,239.26578,
2635.792,234.99777,
2632.881,251.09526,
2629.971,245.88756,
2627.060,231.74657,
2624.149,257.87188,
2621.239,249.48666,
2618.328,241.67387,
2615.418,251.58182,
2612.507,242.32118,
2609.597,258.95459,
2606.686,247.3022,
2603.775,236.36905,
2600.865,244.71761,
2597.954,255.86669,
2595.044,253.86648,
2592.133,253.63205,
2589.223,277.45529,
2586.312,262.66705,
2583.401,272.96531,
2580.491,262.34616,
2577.580,282.21369,
2574.670,263.29411,
2571.759,267.39641,
2568.848,264.25,
2565.938,267.58338,
2563.027,264.54316,
2560.117,253.09108,
2557.206,273.08394,
2554.296,267.81751,
2551.385,259.57208,
2548.474,273.76859,
2545.564,278.15503,
2542.653,280.25,
2539.743,274.32394,
2536.832,265.22944,
2533.922,279.23423,
2531.011,282.9246,
2528.100,289.91897,
2525.190,290.78402,
2522.279,278.42245,
2519.369,291.6846,
2516.458,276.14518,
2513.548,275.1592,
2510.637,285.55741,
2507.726,288.37639,
2504.816,291.00085,
2501.905,294.62683,
2498.995,286.89169,
2496.084,283.39635,
2493.173,285.48675,
2490.263,296.01386,
2487.352,284.08467,
2484.442,310.36989,
2481.531,321.93091,
2478.621,318.55333,
2475.710,301.33435,
2472.799,312.49663,
2469.889,309.37188,
2466.978,309.57986,
2464.068,317.95373,
2461.157,316.86501,
2458.247,312.26467,
2455.336,320.12086,
2452.425,302.17922,
2449.515,338.53274,
2446.604,322.01962,
2443.694,314.25,
2440.783,320.72748,
2437.872,340.11959,
2434.962,319.44354,
2432.051,335.9844,
2429.141,326.96176,
2426.230,316.9671,
2423.320,341.13547,
2420.409,348.98081,
2417.498,345.25,
2414.588,345.25,
2411.677,347.3894,
2408.767,326.77953,
2405.856,334.25,
2402.946,334.93454,
2400.035,324.46126,
2397.124,330.37299,
2394.214,337.9524,
2391.303,340.60908,
2388.393,344.50349,
2385.482,340.42625,
2382.571,310.23719,
2379.661,328.27302,
2376.750,339.25253,
2373.840,335.17186,
2370.929,364.93594,
2368.019,349.8282,
2365.108,348.69241,
2362.197,344.44453,
2359.287,353.23329,
2356.376,357.24648,
2353.466,367.69011,
2350.555,355.66994,
2347.645,369.82746,
2344.734,377.3099,
2341.823,369.36608,
2338.913,374.11864,
2336.002,373.52025,
2333.092,376.85941,
2330.181,374.04026,
2327.270,364.91006,
2324.360,375.69578,
2321.449,363.45069,
2318.539,384.50691,
2315.628,394.15767,
2312.718,377.35131,
2309.807,383.13807,
2306.896,391.47065,
2303.986,377.20452,
2301.075,402.86692,
2298.165,389.32633,
2295.254,408.6468,
2292.344,392.25,
2289.433,390.57045,
2286.522,396.491,
2283.612,399.03953,
2280.701,399.71188,
2277.791,385.05337,
2274.880,426.11004,
2271.969,413.60802,
2269.059,417.42168,
2266.148,421.14316,
2263.238,417.45077,
2260.327,408.28462,
2257.417,419.64056,
2254.506,426.21873,
2251.595,431.69374,
2248.685,433.98072,
2245.774,432.94242,
2242.864,434.53679,
2239.953,425.16033,
2237.043,431.75678,
2234.132,436.14871,
2231.221,434.5394,
2228.311,442.0786,
2225.400,454.25,
2222.490,448.86552,
2219.579,435.50712,
2216.669,447.28816,
2213.758,447.07746,
2210.847,459.31044,
2207.937,463.16856,
2205.026,449.58294,
2202.116,466.80519,
2199.205,475.3507,
2196.294,473.61396,
2193.384,493.19702,
2190.473,481.80634,
2187.563,484.24033,
2184.652,485.56346,
2181.742,509.27335,
2178.831,522.12938,
2175.920,528.4959,
2173.010,532.25,
2170.099,577.31152,
2167.189,574.45091,
2164.278,607.67915,
2161.368,644.10656,
2158.457,667.2643,
2155.546,707.47601,
2152.636,740.48933,
2149.725,778.70635,
2146.815,782.35011,
2143.904,836.64777,
2140.993,839.39805,
2138.083,862.6026,
2135.172,851.78779,
2132.262,845.37236,
2129.351,868.41566,
2126.441,862.99753,
2123.530,818.32857,
2120.619,816.58064,
2117.709,752.75725,
2114.798,703.71898,
2111.888,658.00045,
2108.977,635.53476,
2106.067,601.70678,
2103.156,595.88951,
2100.245,565.24247,
