,PL87FC~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.75,
3011.256,1.1998819,
3008.346,131.31653,
3005.435,164.98145,
3002.525,165.07998,
2999.614,173.15131,
2996.704,176.52423,
2993.793,178.35542,
2990.882,188.73094,
2987.972,203.24496,
2985.061,191.60959,
2982.151,192.34077,
2979.240,217.25,
2976.329,219.5041,
2973.419,223.03485,
2970.508,227.43326,
2967.598,229.01466,
2964.687,235.65353,
2961.777,251.61778,
2958.866,244.91271,
2955.955,237.34957,
2953.045,252.20304,
2950.134,280.31415,
2947.224,260.93325,
2944.313,279.7557,
2941.403,278.59535,
2938.492,278.43159,
2935.581,278.64267,
2932.671,284.93243,
2929.760,289.76537,
2926.850,293.67519,
2923.939,286.04435,
2921.028,302.93821,
2918.118,294.85202,
2915.207,314.19307,
2912.297,310.27539,
2909.386,325.2427,
2906.476,312.57586,
2903.565,311.08852,
2900.654,319.14382,
2897.744,289.60202,
2894.833,299.10601,
2891.923,286.22441,
2889.012,314.83381,
2886.102,301.16893,
2883.191,315.22923,
2880.280,239.39352,
2877.370,160.14546,
2874.459,136.46413,
2871.549,214.80301,
2868.638,258.29741,
2865.727,299.80765,
2862.817,327.90774,
2859.906,322.36396,
2856.996,329.72056,
2854.085,344.17228,
2851.175,326.5391,
2848.264,335.25967,
2845.353,330.57351,
2842.443,334.4688,
2839.532,340.75733,
2836.622,320.64323,
2833.711,329.87168,
2830.801,347.54485,
2827.890,337.14686,
2824.979,355.73191,
2822.069,359.19314,
2819.158,344.74864,
2816.248,344.93921,
2813.337,354.56952,
2810.427,351.63981,
2807.516,364.35062,
2804.605,358.45433,
2801.695,357.55263,
2798.784,361.80646,
2795.874,364.68537,
2792.963,358.25,
2790.052,349.25193,
2787.142,361.25,
2784.231,353.44411,
2781.321,353.18714,
2778.410,352.66497,
2775.500,354.01586,
2772.589,351.13608,
2769.678,375.10665,
2766.768,372.38009,
2763.857,357.56985,
2760.947,385.21217,
2758.036,370.77861,
2755.126,372.15171,
2752.215,380.78182,
2749.304,384.7392,
2746.394,370.5786,
2743.483,375.40002,
2740.573,363.37828,
2737.662,369.81361,
2734.751,373.57527,
2731.841,386.52107,
2728.930,379.55515,
2726.020,380.81655,
2723.109,391.02317,
2720.199,405.25,
2717.288,399.26824,
2714.377,399.47492,
2711.467,418.13571,
2708.556,417.058,
2705.646,410.74289,
2702.735,425.7371,
2699.825,411.78272,
2696.914,414.29773,
2694.003,424.14918,
2691.093,417.30296,
2688.182,411.17815,
2685.272,418.81615,
2682.361,410.92031,
2679.450,423.54218,
2676.540,419.06708,
2673.629,413.23653,
2670.719,424.38864,
2667.808,429.15273,
2664.898,431.54864,
2661.987,438.65007,
2659.076,439.50431,
2656.166,420.33217,
2653.255,440.21259,
2650.345,445.17015,
2647.434,450.50722,
2644.524,448.61689,
2641.613,437.82134,
2638.702,456.9186,
2635.792,433.56306,
2632.881,439.64268,
2629.971,447.25,
2627.060,453.58313,
2624.149,459.84374,
2621.239,453.97777,
2618.328,447.64878,
2615.418,475.26818,
2612.507,459.18284,
2609.597,478.77096,
2606.686,474.25,
2603.775,472.32936,
2600.865,471.01451,
2597.954,466.5854,
2595.044,480.51838,
2592.133,483.02058,
2589.223,501.10581,
2586.312,491.64193,
2583.401,490.68062,
2580.491,489.76919,
2577.580,516.22524,
2574.670,501.52674,
2571.759,493.9923,
2568.848,498.77492,
2565.938,499.34523,
2563.027,502.44544,
2560.117,493.53969,
2557.206,524.22047,
2554.296,498.45137,
2551.385,507.75404,
2548.474,517.87974,
2545.564,515.40828,
2542.653,520.71309,
2539.743,514.34858,
2536.832,519.84253,
2533.922,497.59692,
2531.011,523.9246,
2528.100,527.72036,
2525.190,529.73688,
2522.279,531.64033,
2519.369,526.79671,
2516.458,539.24646,
2513.548,528.77736,
2510.637,545.57369,
2507.726,535.87454,
2504.816,531.06172,
2501.905,534.36585,
2498.995,555.11534,
2496.084,541.54271,
2493.173,553.4606,
2490.263,559.23871,
2487.352,560.70747,
2484.442,549.10439,
2481.531,563.36158,
2478.621,577.3211,
2475.710,554.37268,
2472.799,573.20961,
2469.889,582.73477,
2466.978,574.59029,
2464.068,602.85328,
2461.157,575.94981,
2458.247,598.86754,
2455.336,591.52594,
2452.425,598.70755,
2449.515,621.93813,
2446.604,590.84683,
2443.694,586.55266,
2440.783,598.91779,
2437.872,593.34395,
2434.962,624.87672,
2432.051,609.32982,
2429.141,605.17916,
2426.230,597.35825,
2423.320,613.50698,
