,PL9178~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.25,
3011.256,0.6998819,
3008.346,84.965853,
3005.435,100.2129,
3002.525,103.57998,
2999.614,112.03701,
2996.704,113.15722,
2993.793,112.25461,
2990.882,105.36071,
2987.972,121.73991,
2985.061,119.30665,
2982.151,117.86933,
2979.240,122.4477,
2976.329,130.24181,
2973.419,138.71945,
2970.508,134.68331,
2967.598,138.98896,
2964.687,144.70516,
2961.777,151.18595,
2958.866,149.41568,
2955.955,145.43806,
2953.045,145.33615,
2950.134,166.96283,
2947.224,168.06316,
2944.313,172.45798,
2941.403,156.92838,
2938.492,157.20801,
2935.581,167.93283,
2932.671,163.83589,
2929.760,176.10766,
2926.850,159.80226,
2923.939,172.03038,
2921.028,175.37358,
2918.118,190.48929,
2915.207,189.45892,
2912.297,199.72038,
2909.386,179.92519,
2906.476,196.3539,
2903.565,187.34779,
2900.654,186.0432,
2897.744,191.86315,
2894.833,183.01837,
2891.923,152.8846,
2889.012,171.50144,
2886.102,171.58243,
2883.191,180.74434,
2880.280,127.81697,
2877.370,61.709393,
2874.459,20.026964,
2871.549,76.855487,
2868.638,138.48192,
2865.727,185.48845,
2862.817,185.64974,
2859.906,211.72436,
2856.996,193.79529,
2854.085,195.1933,
2851.175,200.23183,
2848.264,216.26451,
2845.353,214.40493,
2842.443,201.94443,
2839.532,195.10828,
2836.622,186.48047,
2833.711,198.06868,
2830.801,212.7353,
2827.890,207.58216,
2824.979,207.52796,
2822.069,200.88647,
2819.158,209.70957,
2816.248,204.00289,
2813.337,219.72927,
2810.427,210.79408,
2807.516,208.90828,
2804.605,224.70673,
2801.695,219.57895,
2798.784,207.85885,
2795.874,222.88984,
2792.963,220.60702,
2790.052,219.74957,
2787.142,219.75,
2784.231,210.52486,
2781.321,224.4357,
2778.410,220.99492,
2775.500,225.81345,
2772.589,214.5581,
2769.678,223.53497,
2766.768,229.99661,
2763.857,213.8579,
2760.947,228.20272,
2758.036,221.59714,
2755.126,222.74359,
2752.215,229.11351,
2749.304,230.21761,
2746.394,235.96169,
2743.483,237.3,
2740.573,224.44242,
2737.662,229.39941,
2734.751,224.44893,
2731.841,235.10165,
2728.930,244.72886,
2726.020,242.75521,
2723.109,236.99758,
2720.199,245.10314,
2717.288,244.38139,
2714.377,240.52508,
2711.467,258.65219,
2708.556,251.47295,
2705.646,256.76406,
2702.735,262.73452,
2699.825,247.26091,
2696.914,249.17864,
2694.003,269.85082,
2691.093,250.35652,
2688.182,254.37,
2685.272,250.67034,
2682.361,249.75,
2679.450,244.79529,
2676.540,252.87194,
2673.629,260.07735,
2670.719,247.97642,
2667.808,264.48547,
2664.898,269.19164,
2661.987,264.18332,
2659.076,263.75,
2656.166,255.86257,
2653.255,257.04422,
2650.345,260.39791,
2647.434,274.86461,
2644.524,278.64205,
2641.613,277.40745,
2638.702,283.73422,
2635.792,272.8138,
2632.881,263.32737,
2629.971,268.98493,
2627.060,281.41625,
2624.149,276.94064,
2621.239,282.02816,
2618.328,274.34342,
2615.418,289.07727,
2612.507,282.44173,
2609.597,277.65818,
2606.686,279.28214,
2603.775,282.54761,
2600.865,282.39508,
2597.954,290.50423,
2595.044,275.00067,
2592.133,287.63529,
2589.223,293.55738,
2586.312,303.60426,
2583.401,301.91421,
2580.491,298.3798,
2577.580,310.72359,
2574.670,292.25936,
2571.759,286.30051,
2568.848,300.74455,
2565.938,320.7026,
2563.027,290.65228,
