,PL92DE~1,
Wavenumbers [1/cm],Intensity,
3014.167,-7.25,
3011.256,3.5499571,
3008.346,122.62426,
3005.435,152.09275,
3002.525,142.88255,
2999.614,148.51234,
2996.704,157.2902,
2993.793,158.58929,
2990.882,173.88747,
2987.972,169.77018,
2985.061,163.55294,
2982.151,184.21557,
2979.240,190.28231,
2976.329,200.25819,
2973.419,198.78055,
2970.508,214.5333,
2967.598,210.70221,
2964.687,209.27242,
2961.777,211.46798,
2958.866,208.74703,
2955.955,207.43806,
2953.045,236.11689,
2950.134,247.45264,
2947.224,228.91722,
2944.313,255.26709,
2941.403,248.30976,
2938.492,253.9099,
2935.581,254.70707,
2932.671,247.11485,
2929.760,256.78075,
2926.850,260.8094,
2923.939,266.75,
2921.028,265.20881,
2918.118,274.75,
2915.207,274.16139,
2912.297,288.68653,
2909.386,284.54562,
2906.476,286.78089,
2903.565,282.39593,
2900.654,268.52654,
2897.744,272.98887,
2894.833,270.71946,
2891.923,259.40071,
2889.012,273.6633,
2886.102,279.31352,
2883.191,273.75189,
2880.280,245.372,
2877.370,225.39536,
2874.459,224.5801,
2871.549,224.46071,
2868.638,282.52728,
2865.727,290.69616,
2862.817,269.26338,
2859.906,281.0292,
2856.996,293.27491,
2854.085,295.67228,
2851.175,290.20478,
2848.264,281.55851,
2845.353,293.64216,
2842.443,296.73607,
2839.532,305.64554,
2836.622,300.05339,
2833.711,293.86145,
2830.801,293.94412,
2827.890,285.98255,
2824.979,305.31798,
2822.069,304.75,
2819.158,302.08962,
2816.248,307.46237,
2813.337,315.9561,
2810.427,311.18388,
2807.516,306.01625,
2804.605,307.04088,
2801.695,315.82893,
2798.784,311.60215,
2795.874,333.33049,
2792.963,317.03553,
2790.052,298.753,
2787.142,305.81581,
2784.231,316.26552,
2781.321,314.55566,
2778.410,296.33503,
2775.500,321.02344,
2772.589,297.25076,
2769.678,317.56907,
2766.768,306.64706,
2763.857,323.27601,
2760.947,327.29098,
2758.036,333.75,
2755.126,314.26496,
2752.215,328.70898,
2749.304,338.19602,
2746.394,324.50198,
2743.483,323.20005,
2740.573,328.83192,
2737.662,329.42012,
2734.751,328.95878,
2731.841,347.26466,
2728.930,339.178,
2726.020,332.63773,
2723.109,336.18292,
2720.199,345.27801,
2717.288,348.69889,
2714.377,326.42934,
2711.467,355.5533,
2708.556,352.14368,
2705.646,360.73594,
2702.735,355.59795,
2699.825,367.30454,
2696.914,342.0827,
2694.003,380.90609,
2691.093,375.35652,
2688.182,361.80482,
2685.272,368.8382,
2682.361,350.29694,
2679.450,374.15322,
2676.540,343.19713,
2673.629,366.74102,
2670.719,361.75739,
2667.808,362.45819,
2664.898,373.33463,
2661.987,365.8501,
2659.076,378.47844,
2656.166,379.33011,
2653.255,368.41837,
2650.345,371.59029,
2647.434,397.06409,
2644.524,385.11689,
2641.613,389.40745,
2638.702,398.68688,
2635.792,380.46884,
2632.881,387.8332,
2629.971,396.36747,
2627.060,376.91594,
2624.149,379.53438,
2621.239,387.77372,
2618.328,401.87716,
2615.418,408.73182,
2612.507,401.85677,
2609.597,412.73004,
2606.686,399.7239,
2603.775,404.71032,
2600.865,407.27902,
2597.954,398.22914,
2595.044,415.34877,
2592.133,413.01734,
2589.223,407.99106,
2586.312,422.11682,
2583.401,426.05656,
2580.491,418.39424,
2577.580,435.7401,
2574.670,434.45453,
2571.759,431.88614,
2568.848,424.68925,
2565.938,418.2737,
2563.027,427.62731,
2560.117,428.91825,
2557.206,441.98247,
2554.296,438.77975,
2551.385,440.24596,
2548.474,439.26859,
2545.564,440.75,
2542.653,448.04531,
2539.743,428.83626,
2536.832,439.11823,
2533.922,446.90769,
2531.011,456.47502,
2528.100,458.41551,
2525.190,456.79713,
2522.279,455.78176,
2519.369,472.82571,
2516.458,455.96672,
2513.548,453.7954,
2510.637,461.18038,
2507.726,461.50463,
2504.816,450.56285,
2501.905,457.61951,
2498.995,465.06382,
2496.084,477.77783,
2493.173,464.72384,
2490.263,472.73871,
2487.352,473.8768,
2484.442,495.19327,
2481.531,477.43091,
2478.621,493.24771,
2475.710,463.83435,
2472.799,478.20288,
2469.889,496.02148,
2466.978,511.68807,
2464.068,509.96162,
2461.157,495.7924,
2458.247,508.05877,
2455.336,499.77152,
2452.425,505.88208,
2449.515,506.38201,
2446.604,505.16013,
2443.694,510.65708,
2440.783,506.27252,
2437.872,538.34889,
2434.962,525.91129,
2432.051,519.77467,
2429.141,523.02053,
2426.230,522.88038,
2423.320,518.67807,
2420.409,537.85901,
2417.498,535.94663,
2414.588,526.94016,
2411.677,539.92526,
2408.767,519.26772,
2405.856,528.9095,
2402.946,521.05921,
2400.035,519.24531,
2397.124,570.50402,
2394.214,547.88401,
2391.303,537.75,
2388.393,536.25697,
2385.482,519.49905,
2382.571,524.91453,
2379.661,523.88957,
2376.750,546.79664,
2373.840,569.67186,
2370.929,567.78249,
2368.019,549.56832,
2365.108,568.95942,
2362.197,568.94453,
2359.287,568.95167,
2356.376,571.74472,
2353.466,582.71915,
2350.555,582.05969,
2347.645,582.95925,
2344.734,581.71772,
2341.823,585.63392,
2338.913,601.90819,
2336.002,598.02025,
2333.092,596.85375,
2330.181,607.13868,
2327.270,620.41997,
2324.360,605.09432,
2321.449,609.22618,
2318.539,600.77141,
2315.628,613.60652,
2312.718,615.21696,
2309.807,591.2776,
2306.896,625.49804,
2303.986,615.61355,
2301.075,601.89894,
2298.165,617.50993,
2295.254,628.5992,
2292.344,615.95743,
2289.433,627.07818,
2286.522,627.29017,
2283.612,615.63901,
2280.701,629.65579,
2277.791,647.27097,
2274.880,662.95994,
2271.969,669.33436,
2269.059,671.92168,
2266.148,671.26586,
2263.238,665.95077,
2260.327,668.75,
2257.417,666.37778,
2254.506,663.60472,
2251.595,682.73902,
2248.685,693.95961,
2245.774,689.3435,
2242.864,680.46321,
2239.953,689.38451,
2237.043,687.86714,
2234.132,692.75,
2231.221,716.19973,
2228.311,698.78483,
2225.400,729.29967,
2222.490,710.22224,
2219.579,706.03283,
2216.669,725.26192,
2213.758,719.48856,
2210.847,692.76263,
2207.937,712.65062,
2205.026,757.97186,
2202.116,768.27442,
2199.205,764.80035,
2196.294,742.01405,
2193.384,756.03854,
2190.473,753.0223,
2187.563,813.60983,
2184.652,788.5153,
2181.742,809.45451,
2178.831,810.94845,
2175.920,843.47679,
2173.010,839.37302,
2170.099,898.20885,
2167.189,922.91504,
2164.278,953.82036,
2161.368,1010.7488,
2158.457,1047.1879,
2155.546,1093.5818,
2152.636,1121.9308,
2149.725,1189.4949,
2146.815,1216.2828,
2143.904,1272.0511,
2140.993,1279.406,
2138.083,1309.7043,
2135.172,1323.8508,
2132.262,1323.6417,
2129.351,1344.3432,
2126.441,1326.6626,
2123.530,1310.9306,
2120.619,1232.1448,
2117.709,1179.6751,
2114.798,1132.046,
2111.888,1077.5637,
2108.977,1026.591,
2106.067,997.58244,
2103.156,954.91709,
2100.245,928.74184,
2097.335,911.8966,
2094.424,876.56952,
2091.514,852.67741,
2088.603,846.47813,
2085.692,841.15893,
2082.782,844.28411,
2079.871,826.03472,
2076.961,842.32929,
2074.050,872.70152,
2071.140,863.38285,
2068.229,823.55989,
2065.318,838.34301,
2062.408,847.71974,
2059.497,825.10115,
2056.587,830.02873,
2053.676,827.31737,
2050.766,817.36585,
2047.855,838.72475,
2044.944,807.20832,
2042.034,829.513,
2039.123,832.49074,
2036.213,831.78997,
2033.302,828.27164,
2030.391,837.6143,
2027.481,830.82325,
2024.570,825.2215,
2021.660,823.80913,
2018.749,840.47182,
2015.839,856.59777,
2012.928,842.0604,
2010.017,831.95846,
2007.107,827.47339,
2004.196,842.72619,
2001.286,860.48141,
1998.375,841.43601,
1995.465,839.54911,
1992.554,840.12061,
1989.643,863.88591,
1986.733,863.82368,
1983.822,831.72489,
1980.912,842.83904,
1978.001,839.75,
1975.090,833.77289,
1972.180,827.16356,
1969.269,835.41094,
1966.359,831.31746,
1963.448,847.93495,
1960.538,854.93849,
1957.627,873.47447,
1954.716,818.44488,
1951.806,846.84292,
1948.895,859.07807,
1945.985,810.57517,
1943.074,852.18912,
1940.164,841.14402,
1937.253,839.24532,
1934.342,850.16872,
1931.432,816.50394,
1928.521,831.21978,
1925.611,804.78292,
1922.700,850.27347,
1919.790,846.94098,
1916.879,800.95848,
1913.968,835.70328,
1911.058,833.41066,
1908.147,845.8055,
1905.237,864.36028,
1902.326,854.53075,
1899.415,834.22072,
1896.505,833.97912,
1893.594,875.28664,
1890.684,861.76981,
1887.773,841.99115,
1884.863,871.07346,
1881.952,847.48036,
1879.041,834.77596,
1876.131,857.73823,
1873.220,814.80733,
1870.310,855.09072,
1867.399,866.62205,
1864.489,851.86683,
1861.578,854.0962,
1858.667,849.51047,
1855.757,863.13783,
1852.846,879.01153,
1849.936,876.37864,
1847.025,872.38988,
1844.114,900.72646,
1841.204,892.04371,
1838.293,882.26081,
1835.383,898.70298,
1832.472,883.35348,
1829.562,875.72006,
1826.651,893.63911,
1823.740,901.38985,
1820.830,916.63989,
1817.919,915.04936,
1815.009,931.73091,
1812.098,919.49017,
1809.188,917.75,
1806.277,892.32543,
1803.366,919.26572,
1800.456,948.76077,
1797.545,932.30316,
1794.635,936.58898,
1791.724,929.90532,
1788.813,945.5626,
1785.903,980.5291,
1782.992,950.92283,
1780.082,915.58282,
1777.171,933.75,
1774.261,941.05015,
1771.350,966.41401,
1768.439,986.60118,
1765.529,990.02316,
1762.618,997.09813,
1759.708,998.68475,
1756.797,996.82576,
1753.887,1003.3914,
1750.976,987.11192,
1748.065,1021.9051,
1745.155,1020.8147,
1742.244,1009.3714,
1739.334,1016.1735,
1736.423,1021.2827,
1733.512,1032.937,
1730.602,1050.9623,
1727.691,1052.6794,
1724.781,1070.6278,
1721.870,1073.3357,
1718.960,1056.3054,
1716.049,1101.4105,
1713.138,1084.2451,
1710.228,1065.8252,
1707.317,1105.3249,
1704.407,1093.6805,
1701.496,1134.5927,
1698.586,1130.4341,
1695.675,1142.8499,
1692.764,1149.4303,
1689.854,1127.7461,
1686.943,1152.8394,
1684.033,1186.9056,
1681.122,1185.784,
1678.211,1170.8928,
1675.301,1201.6544,
1672.390,1276.6453,
1669.480,1242.0949,
1666.569,1284.5342,
1663.659,1267.9297,
1660.748,1279.5406,
1657.837,1319.75,
1654.927,1320.1952,
1652.016,1339.8921,
1649.106,1387.2433,
1646.195,1446.0787,
1643.285,1419.2969,
1640.374,1443.2517,
1637.463,1467.6147,
1634.553,1514.9864,
1631.642,1531.6621,
1628.732,1615.1055,
1625.821,1674.8239,
1622.911,1787.1132,
1620.000,1848.9689,
1617.089,1985.0037,
1614.179,2120.8865,
1611.268,2165.1885,
1608.358,2274.459,
1605.447,2399.4938,
1602.536,2451.4806,
1599.626,2419.7926,
1596.715,2432.1792,
1593.805,2414.969,
1590.894,2396.8979,
1587.984,2386.0891,
1585.073,2383.0484,
1582.162,2340.1708,
1579.252,2302.2912,
1576.341,2240.4766,
1573.431,2193.0735,
1570.520,2166.9337,
1567.610,2153.5538,
1564.699,2172.5009,
1561.788,2150.4686,
1558.878,2112.4878,
1555.967,2096.786,
1553.057,2069.233,
1550.146,2002.5138,
1547.235,2001.0373,
1544.325,1970.1555,
1541.414,1921.1091,
1538.504,1917.3466,
1535.593,1881.7968,
1532.683,1858.6664,
1529.772,1835.7632,
1526.861,1783.3826,
1523.951,1781.6865,
1521.040,1746.5937,
1518.130,1714.8659,
1515.219,1709.9909,
1512.309,1693.8717,
1509.398,1729.2311,
1506.487,1703.9231,
1503.577,1708.4597,
1500.666,1677.9738,
1497.756,1678.7584,
1494.845,1666.3898,
1491.934,1657.7783,
1489.024,1666.4408,
1486.113,1682.5127,
1483.203,1644.6706,
1480.292,1614.2947,
1477.382,1564.4881,
1474.471,1579.8409,
1471.560,1572.511,
1468.650,1555.1343,
1465.739,1567.6837,
1462.829,1577.1532,
1459.918,1573.9875,
1457.008,1554.4882,
1454.097,1539.5986,
1451.186,1525.9473,
1448.276,1515.926,
1445.365,1529.3558,
1442.455,1536.1622,
1439.544,1581.1677,
1436.633,1530.0509,
1433.723,1528.1209,
1430.812,1541.5919,
1427.902,1589.051,
1424.991,1559.6703,
1422.081,1515.6286,
1419.170,1482.3719,
1416.259,1501.2418,
1413.349,1470.4984,
1410.438,1503.5359,
1407.528,1516.3126,
1404.617,1483.3936,
1401.707,1475.9985,
1398.796,1491.9982,
1395.885,1512.4588,
1392.975,1535.8125,
1390.064,1546.5793,
1387.154,1550.6928,
1384.243,1498.8887,
1381.332,1521.1846,
1378.422,1543.9381,
1375.511,1605.7657,
1372.601,1611.3579,
1369.690,1646.8961,
1366.780,1632.1571,
1363.869,1716.8332,
1360.958,1758.0124,
1358.048,1803.2818,
1355.137,1837.0068,
1352.227,1878.809,
1349.316,1916.1399,
1346.406,1928.7405,
1343.495,1975.757,
1340.584,1976.7138,
1337.674,2007.3564,
1334.763,1998.1847,
1331.853,2062.1636,
1328.942,2096.7707,
1326.032,2068.9408,
1323.121,2121.7681,
1320.210,2157.4003,
1317.300,2171.8328,
1314.389,2190.1114,
1311.479,2275.7106,
1308.568,2380.8849,
1305.657,2434.7459,
1302.747,2525.3894,
1299.836,2547.2439,
1296.926,2600.75,
1294.015,2600.75,
1291.105,2626.2857,
1288.194,2696.0457,
1285.283,2747.1181,
1282.373,2804.4139,
1279.462,2847.8673,
1276.552,2903.1675,
1273.641,2969.1099,
1270.731,3013.6873,
1267.820,3046.8274,
1264.909,3048.4637,
1261.999,3002.7167,
1259.088,3001.8046,
1256.178,2928.9512,
1253.267,2862.2791,
1250.356,2825.4324,
1247.446,2795.2146,
1244.535,2714.8439,
1241.625,2586.3872,
1238.714,2504.4681,
1235.804,2503.4346,
1232.893,2427.505,
1229.982,2403.0635,
1227.072,2353.2713,
1224.161,2256.4541,
1221.251,2257.3627,
1218.340,2250.1459,
1215.430,2196.505,
1212.519,2150.1476,
1209.608,2131.245,
1206.698,2116.7713,
1203.787,2120.0616,
1200.877,2123.7002,
1197.966,2155.1708,
1195.055,2221.5969,
1192.145,2271.0685,
1189.234,2352.522,
1186.324,2390.2955,
1183.413,2395.1662,
1180.503,2390.2951,
1177.592,2368.1237,
1174.681,2350.0788,
1171.771,2262.173,
1168.860,2237.1665,
1165.950,2259.745,
1163.039,2269.242,
1160.129,2246.5659,
1157.218,2227.8271,
1154.307,2220.9267,
1151.397,2210.4039,
1148.486,2204.9489,
1145.576,2211.4416,
1142.665,2204.3383,
1139.754,2170.3912,
1136.844,2184.4594,
1133.933,2200.7881,
1131.023,2200.5569,
1128.112,2192.9645,
1125.202,2199.4118,
1122.291,2230.502,
1119.380,2236.1657,
1116.470,2278.5271,
1113.559,2292.2557,
1110.649,2282.9628,
1107.738,2263.3545,
1104.828,2245.5085,
1101.917,2225.8028,
1099.006,2201.3273,
1096.096,2207.9975,
1093.185,2195.7054,
1090.275,2197.1778,
1087.364,2224.5088,
1084.453,2223.8133,
1081.543,2229.526,
1078.632,2250.0634,
1075.722,2250.5619,
1072.811,2251.9218,
1069.901,2282.486,
1066.990,2314.6583,
1064.079,2338.7628,
1061.169,2334.5994,
1058.258,2336.1841,
1055.348,2414.0692,
1052.437,2589.6602,
1049.527,2708.4241,
1046.616,2363.4989,
1043.705,2358.6637,
1040.795,2352.7874,
1037.884,2345.773,
1034.974,2358.9227,
1032.063,2367.735,
1029.153,2335.6461,
1026.242,2334.7812,
1023.331,2403.9122,
1020.421,2437.9659,
1017.510,2465.2391,
1014.600,2486.094,
1011.689,2493.3246,
1008.778,2503.6781,
1005.868,2584.8427,
1002.957,2595.1669,
1000.047,2672.462,
997.136,2743.0375,
994.226,2767.3962,
991.315,2759.2277,
988.404,2740.3476,
985.494,2660.5582,
982.583,2651.9926,
979.673,2651.4816,
976.762,2641.7693,
973.852,2658.1765,
970.941,2681.526,
968.030,2663.143,
965.120,2642.8252,
962.209,2660.7286,
959.299,2707.6614,
956.388,2720.7103,
953.477,2715.1059,
950.567,2716.1485,
947.656,2721.8506,
944.746,2692.1162,
941.835,2740.9584,
938.925,2728.4021,
936.014,2707.151,
933.103,2692.3943,
930.193,2681.7488,
927.282,2685.0167,
924.372,2671.487,
921.461,2607.8924,
918.551,2562.5127,
915.640,2520.2534,
912.729,2483.6031,
909.819,2480.0853,
906.908,2497.7762,
903.998,2486.8195,
901.087,2500.9357,
898.176,2516.4763,
895.266,2529.4154,
892.355,2548.7759,
889.445,2575.6325,
886.534,2605.8054,
883.624,2637.3176,
880.713,2650.7707,
877.802,2617.7056,
874.892,2553.1985,
871.981,2550.2568,
869.071,2529.3715,
866.160,2560.9379,
863.250,2570.9838,
860.339,2597.9677,
857.428,2648.0976,
854.518,2613.8002,
851.607,2546.4026,
848.697,2536.1256,
845.786,2533.6362,
842.875,2560.1121,
839.965,2615.6481,
837.054,2620.1221,
834.144,2653.2722,
831.233,2637.085,
828.323,2640.0926,
825.412,2669.8823,
822.501,2689.6859,
819.591,2622.7475,
816.680,2610.3333,
813.770,2587.0754,
810.859,2562.5665,
807.949,2540.3085,
805.038,2519.1571,
802.127,2505.987,
799.217,2489.0968,
796.306,2455.939,
793.396,2442.9257,
790.485,2446.0633,
787.574,2410.7775,
784.664,2437.8412,
781.753,2427.9884,
778.843,2452.6053,
775.932,2491.3055,
773.022,2511.3579,
770.111,2560.4125,
767.200,2490.664,
764.290,2478.1518,
761.379,2492.8396,
758.469,2503.75,
755.558,2502.3642,
752.648,2455.9318,
749.737,2429.7775,
746.826,2435.6691,
743.916,2449.9578,
741.005,2441.7412,
738.095,2432.8106,
735.184,2385.2711,
732.274,2320.9969,
729.363,2292.5268,
726.452,2331.6369,
723.542,2408.5292,
720.631,2421.1599,
717.721,2424.3228,
714.810,2439.2158,
711.899,2456.1658,
708.989,2427.9234,
706.078,2446.9813,
703.168,2442.0345,
700.257,2422.5477,
697.347,2402.6632,
694.436,2398.5754,
691.525,2392.145,
688.615,2359.3044,
685.704,2387.3729,
682.794,2450.1542,
679.883,2453.8489,
676.973,2433.8146,
674.062,2418.2645,
671.151,2432.7898,
668.241,2453.3173,
665.330,2431.8802,
662.420,2413.5094,
659.509,2455.465,
656.598,2476.9898,
653.688,2474.2006,
650.777,2485.831,
647.867,2488.22,
644.956,2419.4052,
642.046,2384.2128,
639.135,2402.5055,
636.224,2431.8415,
633.314,2450.1021,
630.403,2471.8951,
627.493,2484.1341,
624.582,2486.3391,
621.672,2493.4671,
618.761,2446.6338,
615.850,2446.6267,
612.940,2466.6053,
610.029,2481.487,
607.119,2479.9077,
604.208,2508.8605,
601.297,2490.3404,
598.387,2484.1137,
595.476,2543.0416,
592.566,2524.939,
589.655,2486.116,
586.745,2456.3348,
583.834,2456.5838,
580.923,2505.8021,
578.013,2514.4342,
575.102,2494.3801,
572.192,2511.692,
569.281,2574.156,
566.371,2581.9822,
563.460,2535.4836,
560.549,2518.1864,
557.639,2521.0186,
554.728,2525.0019,
551.818,2576.5028,
548.907,2554.8417,
545.996,2547.3576,
543.086,2568.0789,
540.175,2564.9644,
537.265,2547.3673,
534.354,2557.3058,
531.444,2572.0781,
528.533,2566.6464,
525.622,2551.1274,
522.712,2572.0201,
519.801,2596.5332,
516.891,2622.6444,
513.980,2681.4909,
511.070,2684.637,
508.159,2703.3302,
505.248,2718.2406,
502.338,2700.6703,
499.427,2766.276,
496.517,2836.9217,
493.606,2866.6458,
