,PLA0DA~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.25,
3011.256,-0.85012884,
3008.346,44.40841,
3005.435,58.67226,
3002.525,68.222595,
2999.614,62.651309,
2996.704,66.705671,
2993.793,62.103112,
2990.882,64.627938,
2987.972,75.744955,
2985.061,67.213044,
2982.151,78.005479,
2979.240,77.397321,
2976.329,93.25273,
2973.419,86.011618,
2970.508,91.99995,
2967.598,79.514659,
2964.687,92.362093,
2961.777,90.655992,
2958.866,89.751485,
2955.955,92.303092,
2953.045,96.098985,
2950.134,102.09114,
2947.224,99.977751,
2944.313,103.70513,
2941.403,113.52418,
2938.492,106.63348,
2935.581,108.8899,
2932.671,92.956063,
2929.760,111.45383,
2926.850,100.75,
2923.939,119.62849,
2921.028,120.12642,
2918.118,116.5699,
2915.207,119.28169,
2912.297,112.78808,
2909.386,119.32665,
2906.476,137.16008,
2903.565,114.39593,
2900.654,109.70246,
2897.744,132.64942,
2894.833,121.86346,
2891.923,124.2372,
2889.012,130.07948,
2886.102,147.58243,
2883.191,161.73962,
2880.280,153.54427,
2877.370,193.59881,
2874.459,193.45442,
2871.549,162.80221,
2868.638,125.29434,
2865.727,130.61541,
2862.817,114.92113,
2859.906,142.92664,
2856.996,128.75,
2854.085,130.51051,
2851.175,134.1566,
2848.264,130.90667,
2845.353,133.40493,
2842.443,117.75,
2839.532,124.73503,
2836.622,130.90169,
2833.711,129.64639,
2830.801,128.64926,
2827.890,124.6853,
2824.979,124.02193,
2822.069,149.68177,
2819.158,136.90902,
2816.248,128.73842,
2813.337,144.38903,
2810.427,129.44835,
2807.516,133.16719,
2804.605,134.63222,
2801.695,136.17102,
2798.784,127.60215,
2795.874,143.59959,
2792.963,137.24968,
2790.052,116.75279,
2787.142,133.03946,
2784.231,133.16925,
2781.321,142.61852,
2778.410,131.55963,
2775.500,143.57931,
2772.589,129.86544,
2769.678,138.17659,
2766.768,136.19853,
2763.857,125.48989,
2760.947,138.1712,
2758.036,140.9985,
2755.126,126.4124,
2752.215,130.83628,
2749.304,142.19602,
2746.394,141.65522,
2743.483,136.65005,
2740.573,131.18586,
2737.662,139.42012,
2734.751,142.86649,
2731.841,143.75,
2728.930,146.178,
2726.020,152.98495,
2723.109,137.03909,
2720.199,146.18124,
2717.288,145.57482,
2714.377,155.94148,
2711.467,145.37307,
2708.556,154.34537,
2705.646,156.76406,
2702.735,155.73968,
2699.825,150.64093,
2696.914,141.98771,
2694.003,168.67682,
2691.093,167.01717,
2688.182,154.09593,
2685.272,156.39581,
2682.361,146.66157,
2679.450,155.04218,
2676.540,156.91259,
2673.629,165.74551,
2670.719,151.04943,
2667.808,170.29093,
2664.898,161.893,
2661.987,158.28342,
2659.076,158.25862,
2656.166,147.92749,
2653.255,156.45068,
2650.345,162.39791,
2647.434,165.83574,
2644.524,165.20563,
2641.613,173.03598,
2638.702,168.89203,
2635.792,159.21959,
2632.881,167.18428,
2629.971,170.77009,
2627.060,162.08313,
2624.149,168.80312,
2621.239,171.74407,
2618.328,156.89445,
2615.418,182.75,
2612.507,175.30339,
2609.597,174.38273,
2606.686,169.7761,
2603.775,166.71032,
2600.865,163.16295,
2597.954,173.84583,
2595.044,182.02724,
2592.133,183.74352,
2589.223,179.42474,
2586.312,187.72489,
2583.401,184.09672,
2580.491,190.83172,
2577.580,186.7434,
2574.670,182.47326,
2571.759,174.59333,
2568.848,179.45171,
2565.938,179.03569,
2563.027,183.57953,
2560.117,190.56309,
2557.206,190.94188,
2554.296,176.21224,
2551.385,199.94002,
2548.474,190.7868,
2545.564,187.68669,
2542.653,203.04531,
2539.743,189.76232,
2536.832,187.23972,
2533.922,201.48192,
2531.011,188.04972,
2528.100,198.34931,
2525.190,202.91229,
2522.279,187.07829,
2519.369,194.05187,
2516.458,203.64518,
2513.548,196.99565,
2510.637,205.25814,
2507.726,200.24815,
2504.816,194.49859,
2501.905,188.18476,
2498.995,196.7055,
2496.084,205.31094,
2493.173,197.93444,
2490.263,192.58162,
2487.352,210.9988,
2484.442,198.59153,
2481.531,204.9575,
2478.621,218.94438,
2475.710,204.90336,
2472.799,221.79039,
