,PLA276~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6.25,
3011.256,0.79990337,
3008.346,56.994869,
3005.435,51.75,
3002.525,46.202461,
2999.614,60.462991,
2996.704,68.201544,
2993.793,59.483872,
2990.882,66.666058,
2987.972,78.69955,
2985.061,63.873146,
2982.151,72.721441,
2979.240,70.296556,
2976.329,97.015016,
2973.419,78.796471,
2970.508,80.549921,
2967.598,76.323494,
2964.687,93.003396,
2961.777,95.126032,
2958.866,94.084323,
2955.955,90.473454,
2953.045,80.951353,
2950.134,104.69755,
2947.224,84.774877,
2944.313,106.71652,
2941.403,102.91697,
2938.492,108.62264,
2935.581,101.66414,
2932.671,111.50965,
2929.760,104.40384,
2926.850,105.43647,
2923.939,114.42755,
2921.028,121.9794,
2918.118,111.55101,
2915.207,116.21831,
2912.297,113.75,
2909.386,116.35584,
2906.476,121.97471,
2903.565,110.63666,
2900.654,126.31419,
2897.744,134.66199,
2894.833,112.90491,
2891.923,99.048103,
2889.012,129.50144,
2886.102,131.99864,
2883.191,133.75283,
2880.280,125.27152,
2877.370,106.81393,
2874.459,106.86327,
2871.549,93.552345,
2868.638,123.48192,
2865.727,126.2269,
2862.817,124.36365,
2859.906,117.94087,
2856.996,142.25226,
2854.085,125.02518,
2851.175,129.89455,
2848.264,143.88733,
2845.353,128.18134,
2842.443,138.16671,
2839.532,121.42166,
2836.622,122.68815,
2833.711,125.69036,
2830.801,131.95147,
2827.890,124.91784,
2824.979,132.03399,
2822.069,117.19351,
2819.158,145.10848,
2816.248,132.97974,
2813.337,145.93537,
2810.427,131.27204,
2807.516,128.22484,
2804.605,141.05047,
2801.695,135.19739,
2798.784,145.67608,
2795.874,135.47032,
2792.963,134.89298,
2790.052,128.75193,
2787.142,143.46054,
2784.231,135.52486,
2781.321,145.49279,
2778.410,130.06979,
2775.500,133.98414,
2772.589,130.71253,
2769.678,148.53497,
2766.768,138.76357,
2763.857,139.38199,
2760.947,141.7437,
2758.036,144.98569,
2755.126,147.0812,
2752.215,141.04986,
2749.304,149.94063,
2746.394,150.36294,
2743.483,138.85,
2740.573,137.08848,
2737.662,154.84616,
2734.751,143.63351,
2731.841,142.75,
2728.930,162.178,
2726.020,152.30093,
2723.109,136.33783,
2720.199,141.76867,
2717.288,157.10037,
2714.377,157.26672,
2711.467,149.93022,
2708.556,165.17526,
2705.646,161.22884,
2702.735,166.90721,
2699.825,167.53186,
2696.914,159.13043,
2694.003,177.20854,
2691.093,161.39261,
2688.182,161.62333,
2685.272,159.14829,
2682.361,165.72052,
2679.450,165.91874,
2676.540,147.01421,
2673.629,161.40918,
2670.719,157.04205,
2667.808,191.75594,
2664.898,161.56809,
2661.987,167.88336,
2659.076,170.49569,
2656.166,150.78452,
2653.255,175.38095,
2650.345,170.96597,
2647.434,166.43591,
2644.524,167.95861,
2641.613,171.09318,
2638.702,172.81312,
2635.792,164.72108,
2632.881,161.18428,
2629.971,172.62249,
2627.060,163.91656,
2624.149,161.99375,
2621.239,174.53113,
2618.328,175.38581,
2615.418,189.08636,
2612.507,174.71843,
2609.597,193.08733,
2606.686,171.75,
2603.775,175.59127,
2600.865,177.45648,
2597.954,169.22914,
2595.044,178.75,
2592.133,172.63529,
2589.223,189.25633,
2586.312,202.89574,
2583.401,196.05656,
2580.491,195.65384,
2577.580,204.72194,
2574.670,189.68716,
2571.759,194.19949,
2568.848,195.39642,
2565.938,206.36907,
2563.027,200.55456,
2560.117,194.20794,
2557.206,195.46218,
2554.296,194.29462,
2551.385,199.55998,
2548.474,194.63885,
2545.564,203.43344,
2542.653,204.60235,
2539.743,194.45332,
2536.832,192.85281,
2533.922,209.60808,
2531.011,201.29995,
2528.100,207.01482,
2525.190,209.95943,
2522.279,199.50037,
2519.369,206.29768,
2516.458,194.53328,
2513.548,202.36816,
2510.637,213.3811,
2507.726,203.06597,
2504.816,203.43884,
2501.905,206.0689,
2498.995,204.80972,
2496.084,209.42946,
2493.173,220.51325,
2490.263,215.57033,
2487.352,204.41773,
2484.442,224.02193,
2481.531,226.85114,
2478.621,242.01548,
2475.710,204.84968,
2472.799,215.53029,
2469.889,217.47578,
2466.978,233.96643,
2464.068,245.36908,
2461.157,214.48246,
2458.247,214.92639,
2455.336,222.2373,
2452.425,219.16036,
2449.515,234.1741,
2446.604,225.26837,
2443.694,243.91283,
2440.783,245.55968,
2437.872,233.64061,
2434.962,232.58871,
2432.051,237.26234,
2429.141,233.90298,
2426.230,226.20634,
2423.320,253.27863,
2420.409,254.15378,
2417.498,253.76685,
2414.588,246.48005,
2411.677,249.17627,
2408.767,239.06201,
2405.856,241.14769,
2402.946,238.75625,
2400.035,231.26407,
2397.124,258.1992,
2394.214,252.66681,
2391.303,236.96545,
2388.393,236.01743,
2385.482,234.75,
2382.571,262.82685,
2379.661,247.63345,
2376.750,268.11949,
2373.840,251.41569,
2370.929,261.59838,
2368.019,253.09913,
2365.108,259.54058,
2362.197,252.98558,
2359.287,238.96838,
2356.376,252.72182,
2353.466,263.76543,
2350.555,255.40484,
2347.645,257.63078,
2344.734,265.32604,
2341.823,266.73342,
2338.913,275.0858,
2336.002,274.61592,
2333.092,284.04904,
2330.181,276.50447,
2327.270,273.91502,
2324.360,283.00238,
2321.449,271.42687,
2318.539,279.94268,
2315.628,288.05256,
2312.718,289.51652,
2309.807,274.66278,
2306.896,293.94717,
2303.986,270.70452,
2301.075,267.98404,
2298.165,265.55763,
2295.254,290.18988,
2292.344,284.54257,
2289.433,278.46046,
2286.522,292.83033,
2283.612,288.15943,
2280.701,298.59751,
2277.791,277.8721,
2274.880,304.964,
2271.969,305.36317,
2269.059,304.75,
2266.148,304.02045,
2263.238,307.34845,
2260.327,294.23282,
2257.417,297.90334,
2254.506,302.50505,
2251.595,322.75,
2248.685,321.27693,
2245.774,316.24458,
2242.864,322.86973,
2239.953,298.93615,
2237.043,302.73644,
2234.132,307.71876,
2231.221,322.88179,
2228.311,320.27062,
2225.400,322.00331,
2222.490,326.85089,
2219.579,312.14333,
2216.669,318.74046,
2213.758,328.57746,
2210.847,315.82307,
2207.937,321.34282,
2205.026,344.41588,
2202.116,362.3413,
2199.205,342.43823,
2196.294,329.99799,
2193.384,353.77553,
2190.473,356.74413,
2187.563,359.74517,
2184.652,358.44878,
2181.742,360.59139,
2178.831,375.46598,
2175.920,381.58424,
2173.010,382.92517,
2170.099,416.67958,
2167.189,412.89351,
2164.278,435.68467,
2161.368,456.74952,
2158.457,466.32637,
2155.546,478.08271,
2152.636,519.8031,
2149.725,531.25336,
2146.815,556.84904,
2143.904,564.15148,
2140.993,568.68121,
2138.083,572.47948,
2135.172,564.32977,
2132.262,592.9287,
2129.351,591.58434,
2126.441,584.6335,
2123.530,575.52552,
2120.619,550.79608,
2117.709,516.84944,
2114.798,502.53455,
2111.888,467.6386,
2108.977,445.65729,
2106.067,433.85758,
2103.156,441.18786,
2100.245,415.74812,
2097.335,410.94372,
2094.424,398.2287,
2091.514,392.24187,
2088.603,379.6993,
2085.692,378.97678,
2082.782,388.35234,
2079.871,384.5353,
2076.961,354.68734,
2074.050,376.18636,
2071.140,382.01458,
2068.229,377.00258,
2065.318,392.56399,
2062.408,378.73487,
2059.497,370.13094,
2056.587,348.85489,
2053.676,365.61527,
2050.766,368.90396,
2047.855,366.52217,
2044.944,361.27724,
2042.034,373.48405,
2039.123,376.07323,
2036.213,390.94548,
2033.302,362.68489,
