,PLAA54~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6.625,
3011.256,4.0749356,
3008.346,124.24926,
3005.435,118.68596,
3002.525,132.78999,
2999.614,157.48275,
2996.704,148.32242,
2993.793,150.24194,
2990.882,150.72618,
2987.972,171.34473,
2985.061,155.62129,
2982.151,169.79519,
2979.240,172.64116,
2976.329,178.38046,
2973.419,173.92879,
2970.508,192.40825,
2967.598,199.08825,
2964.687,194.33016,
2961.777,213.49484,
2958.866,208.36906,
2955.955,207.26882,
2953.045,209.22737,
2950.134,237.89689,
2947.224,224.02978,
2944.313,242.77956,
2941.403,233.16058,
2938.492,238.6948,
2935.581,236.76767,
2932.671,254.93292,
2929.760,240.09807,
2926.850,237.32274,
2923.939,236.93105,
2921.028,250.375,
2918.118,254.63571,
2915.207,255.07747,
2912.297,267.3073,
2909.386,264.55019,
2906.476,272.11093,
2903.565,258.02093,
2900.654,259.44475,
2897.744,250.42529,
2894.833,242.82882,
2891.923,224.7532,
2889.012,232.99928,
2886.102,236.58311,
2883.191,226.38538,
2880.280,160.91086,
2877.370,7.7067421,
2874.459,-3.2976069,
2871.549,96.243939,
2868.638,213.33782,
2865.727,240.82498,
2862.817,245.00335,
2859.906,256.31232,
2856.996,273.36594,
2854.085,272.73424,
2851.175,268.94728,
2848.264,283.0075,
2845.353,277.5044,
2842.443,284.57291,
2839.532,298.01672,
2836.622,280.46484,
2833.711,282.21174,
2830.801,291.97206,
2827.890,276.93618,
2824.979,285.1409,
2822.069,274.64793,
2819.158,300.27527,
2816.248,286.93869,
2813.337,305.01403,
2810.427,294.375,
2807.516,307.8425,
2804.605,302.21395,
2801.695,303.1513,
2798.784,298.375,
2795.874,311.81037,
2792.963,307.30362,
2790.052,302.37629,
2787.142,293.08554,
2784.231,296.50388,
2781.321,306.18642,
2778.410,306.27982,
2775.500,311.90672,
2772.589,289.06918,
2769.678,320.15997,
2766.768,310.38857,
2763.857,301.85285,
2760.947,325.80881,
2758.036,320.45783,
2755.126,311.31945,
2752.215,321.73851,
2749.304,320.22571,
2746.394,317.79838,
2743.483,312.77503,
2740.573,312.69803,
2737.662,328.02441,
2734.751,322.51568,
2731.841,331.83471,
2728.930,339.10815,
2726.020,335.49769,
2723.109,324.87017,
2720.199,319.90301,
2717.288,327.13047,
2714.377,333.30812,
2711.467,345.60467,
2708.556,342.02384,
2705.646,346.22007,
2702.735,342.87242,
2699.825,343.30956,
2696.914,344.75591,
2694.003,371.62217,
2691.093,340.2679,
2688.182,345.95722,
2685.272,354.78183,
2682.361,344.2571,
2679.450,365.57661,
2676.540,335.61889,
2673.629,350.02969,
2670.719,354.73267,
2667.808,351.52091,
2664.898,358.44018,
2661.987,365.90875,
2659.076,378.01078,
2656.166,353.50483,
2653.255,369.63181,
2650.345,358.34233,
2647.434,375.60335,
2644.524,373.55249,
2641.613,383.375,
2638.702,370.58015,
2635.792,382.4707,
2632.881,366.22026,
2629.971,374.09989,
2627.060,374.04125,
2624.149,382.88749,
2621.239,396.13834,
2618.328,370.81617,
2615.418,398.39772,
2612.507,390.8572,
2609.597,397.8241,
2606.686,391.25852,
2603.775,380.29564,
2600.865,373.20091,
2597.954,394.28537,
2595.044,414.68767,
2592.133,408.36852,
2589.223,420.09817,
2586.312,405.40011,
2583.401,418.45532,
2580.491,416.75965,
2577.580,419.3816,
2574.670,423.92847,
2571.759,416.01627,
2568.848,422.36955,
2565.938,420.70852,
2563.027,411.10899,
2560.117,428.20675,
2557.206,448.59271,
2554.296,429.17363,
2551.385,420.30897,
2548.474,433.96794,
2545.564,437.50162,
2542.653,444.43876,
2539.743,429.89348,
2536.832,435.17126,
2533.922,460.32769,
2531.011,450.50058,
2528.100,447.83498,
2525.190,459.79385,
2522.279,455.56259,
2519.369,449.71521,
2516.458,450.72485,
2513.548,441.86629,
2510.637,463.82166,
2507.726,451.94005,
2504.816,450.00071,
2501.905,452.75183,
2498.995,458.76259,
2496.084,444.41339,
2493.173,476.00679,
2490.263,477.38629,
2487.352,468.1262,
2484.442,489.36214,
2481.531,489.89637,
2478.621,485.98165,
2475.710,465.44401,
2472.799,473.88173,
2469.889,476.73789,
2466.978,482.09664,
2464.068,518.76666,
2461.157,483.06993,
2458.247,497.36033,
2455.336,505.99144,
2452.425,506.59198,
2449.515,508.12968,
2446.604,509.54779,
2443.694,511.30509,
2440.783,529.4268,
2437.872,506.375,
2434.962,502.43491,
2432.051,502.10359,
2429.141,522.62782,
2426.230,515.15729,
2423.320,531.48953,
2420.409,524.40058,
2417.498,523.99016,
2414.588,538.35971,
2411.677,533.72955,
2408.767,519.91634,
2405.856,527.09168,
2402.946,538.43487,
2400.035,531.88907,
2397.124,559.12902,
2394.214,539.753,
2391.303,531.55183,
2388.393,530.36105,
2385.482,514.16811,
2382.571,505.55234,
2379.661,520.72349,
2376.750,551.63856,
2373.840,554.29686,
2370.929,571.20172,
2368.019,574.29127,
2365.108,557.42212,
2362.197,559.73668,
2359.287,557.39171,
2356.376,565.35739,
2353.466,575.78426,
2350.555,571.39993,
2347.645,571.33526,
2344.734,608.83591,
2341.823,583.95541,
2338.913,594.06603,
2336.002,596.72416,
2333.092,603.60516,
2330.181,595.14737,
2327.270,580.31009,
2324.360,609.9717,
2321.449,603.17431,
2318.539,588.24655,
2315.628,608.8778,
2312.718,626.55782,
2309.807,602.4244,
2306.896,629.11522,
2303.986,611.88787,
2301.075,606.09836,
2298.165,602.99981,
2295.254,617.98723,
2292.344,618.63639,
2289.433,627.72636,
2286.522,638.53566,
2283.612,654.03573,
2280.701,640.20015,
2277.791,663.0162,
2274.880,677.30502,
2271.969,669.50669,
2269.059,661.69925,
2266.148,682.99102,
2263.238,651.79202,
2260.327,680.16808,
2257.417,677.61222,
2254.506,690.5118,
2251.595,692.96055,
2248.685,680.63846,
2245.774,707.4075,
