,PLB8BC~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.75,
3011.256,1.9499356,
3008.346,51.999705,
3005.435,64.709361,
3002.525,56.627517,
2999.614,74.447382,
2996.704,68.382988,
2993.793,58.878456,
2990.882,63.593472,
2987.972,89.139011,
2985.061,61.929796,
2982.151,65.818076,
2979.240,75.998086,
2976.329,83.24454,
2973.419,81.726764,
2970.508,89.483327,
2967.598,85.775703,
2964.687,87.653533,
2961.777,86.403929,
2958.866,92.918646,
2955.955,82.661514,
2953.045,91.534123,
2950.134,102.10132,
2947.224,83.44569,
2944.313,116.60969,
2941.403,99.428377,
2938.492,95.857063,
2935.581,95.346967,
2932.671,102.09121,
2929.760,98.092292,
2926.850,96.831954,
2923.939,106.76868,
2921.028,111.25,
2918.118,113.51071,
2915.207,115.71831,
2912.297,105.28385,
2909.386,100.06022,
2906.476,113.92414,
2903.565,111.26704,
2900.654,104.81419,
2897.744,119.30029,
2894.833,105.51837,
2891.923,63.221093,
2889.012,96.579481,
2886.102,91.128397,
2883.191,77.251888,
2880.280,16.484417,
2877.370,-116.46491,
2874.459,-122.51726,
2871.549,-58.472964,
2868.638,50.210771,
2865.727,88.565388,
2862.817,85.064173,
2859.906,99.378189,
2856.996,125.81114,
2854.085,121.93279,
2851.175,109.37342,
2848.264,121.33317,
2845.353,124.16373,
2842.443,118.25348,
2839.532,115.25,
2836.622,114.67123,
2833.711,111.81987,
2830.801,119.55221,
2827.890,136.01745,
2824.979,121.17599,
2822.069,124.50019,
2819.158,136.74864,
2816.248,120.50289,
2813.337,143.50733,
2810.427,121.41942,
2807.516,130.09172,
2804.605,138.86298,
2801.695,133.89472,
2798.784,128.25,
2795.874,131.81463,
2792.963,136.96426,
2790.052,125.25236,
2787.142,132.13173,
2784.231,131.92859,
2781.321,134.43858,
2778.410,138.49492,
2775.500,134.88897,
2772.589,116.4824,
2769.678,147.2841,
2766.768,136.39366,
2763.857,131.98796,
2760.947,135.21217,
2758.036,144.4985,
2755.126,132.53205,
2752.215,139.05905,
2749.304,144.97301,
2746.394,139.9214,
2743.483,132.89999,
2740.573,130.70131,
2737.662,142.56953,
2734.751,141.62366,
2731.841,140.22252,
2728.930,146.27114,
2726.020,153.80613,
2723.109,143.611,
2720.199,147.11248,
2717.288,155.68796,
2714.377,139.35032,
2711.467,164.92252,
2708.556,156.63274,
2705.646,146.6584,
2702.735,163.89947,
2699.825,155.56458,
2696.914,150.48771,
2694.003,174.837,
2691.093,156.76746,
2688.182,156.17815,
2685.272,146.9399,
2682.361,134.04367,
2679.450,160.20471,
2676.540,158.10773,
2673.629,147.5998,
2670.719,151.1696,
2667.808,161.05546,
2664.898,161.83463,
2661.987,154.91678,
2659.076,167.97844,
2656.166,155.36257,
2653.255,164.2449,
2650.345,153.16107,
2647.434,182.96392,
2644.524,164.61689,
2641.613,167.53598,
2638.702,155.51828,
2635.792,163.84422,
2632.881,164.2916,
2629.971,166.37751,
2627.060,178.74969,
2624.149,179.4125,
2621.239,169.73518,
2618.328,160.26729,
2615.418,183.25,
2612.507,178.90614,
2609.597,171.70908,
2606.686,164.41868,
2603.775,170.21032,
2600.865,171.25,
2597.954,163.29791,
2595.044,173.17029,
2592.133,182.6894,
2589.223,179.03316,
2586.312,193.95852,
2583.401,190.12952,
2580.491,180.33172,
2577.580,179.27641,
2574.670,194.41979,
2571.759,189.49743,
2568.848,187.25,
2565.938,195.86922,
2563.027,179.83632,
2560.117,189.34345,
2557.206,199.09871,
2554.296,196.53375,
2551.385,179.92792,
2548.474,183.32435,
2545.564,188.28166,
2542.653,197.01846,
2539.743,184.89171,
2536.832,181.55655,
2533.922,185.32885,
2531.011,196.02451,
2528.100,199.52174,
2525.190,208.22377,
2522.279,193.37555,
2519.369,209.91076,
2516.458,196.91785,
2513.548,193.39552,
2510.637,202.63517,
2507.726,194.81134,
2504.816,196.56229,
2501.905,192.81524,
2498.995,195.96663,
2496.084,204.4904,
2493.173,209.30298,
2490.263,207.87936,
2487.352,199.79253,
2484.442,216.80673,
2481.531,219.82455,
2478.621,216.85665,
2475.710,205.21933,
2472.799,205.68941,
2469.889,225.06719,
2466.978,217.53879,
2464.068,225.65745,
2461.157,223.86501,
2458.247,220.5441,
2455.336,223.52594,
2452.425,220.00943,
2449.515,232.77806,
2446.604,221.89747,
2443.694,224.7385,
2440.783,232.10811,
2437.872,232.57818,
2434.962,241.25,
2432.051,233.93505,
2429.141,225.53824,
2426.230,228.98924,
2423.320,236.19274,
2420.409,235.57703,
2417.498,238.21631,
2414.588,230.71775,
2411.677,240.8197,
2408.767,230.51476,
2405.856,231.90477,
2402.946,240.20264,
2400.035,220.97533,
2397.124,243.26069,
2394.214,246.05961,
2391.303,226.67548,
2388.393,233.43375,
2385.482,215.30748,
2382.571,216.78202,
2379.661,219.87763,
2376.750,248.56526,
2373.840,244.7594,
2370.929,263.03341,
2368.019,246.12994,
2365.108,245.94634,
2362.197,250.88832,
2359.287,254.82995,
2356.376,256.25176,
2353.466,257.05309,
2350.555,248.34972,
2347.645,263.4844,
2344.734,275.94584,
2341.823,272.28317,
2338.913,278.40819,
2336.002,271.18296,
2333.092,269.42262,
2330.181,273.83053,
2327.270,270.69004,
2324.360,266.19103,
2321.449,271.60374,
2318.539,273.82493,
2315.628,277.25,
2312.718,257.81827,
2309.807,253.88952,
2306.896,277.00587,
2303.986,277.07466,
2301.075,278.56913,
2298.165,282.84618,
2295.254,279.33617,
2292.344,280.24579,
2289.433,298.93727,
2286.522,309.38389,
2283.612,294.23849,
2280.701,282.65359,
2277.791,288.01142,
2274.880,306.464,
2271.969,296.41872,
2269.059,289.30451,
2266.148,306.00459,
2263.238,295.7558,
2260.327,309.35333,
2257.417,296.53833,
2254.506,297.89104,
2251.595,314.66811,
2248.685,323.25,
2245.774,330.45867,
2242.864,330.24006,
2239.953,307.84988,
2237.043,318.95037,
2234.132,307.30711,
2231.221,337.12092,
2228.311,320.28483,
2225.400,328.5596,
2222.490,333.86552,
2219.579,323.24235,
2216.669,332.82393,
2213.758,321.81602,
2210.847,329.89231,
2207.937,324.53503,
2205.026,332.24883,
2202.116,363.46338,
2199.205,355.47541,
2196.294,347.25,
2193.384,346.5395,
2190.473,341.96009,
2187.563,359.27417,
2184.652,366.20796,
2181.742,382.56884,
2178.831,386.45619,
2175.920,378.74727,
2173.010,365.29875,
2170.099,412.9772,
2167.189,409.47962,
2164.278,440.22286,
2161.368,442.53471,
2158.457,462.82637,
2155.546,477.94618,
2152.636,493.03723,
2149.725,502.57214,
2146.815,540.01535,
