,PLBCE1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.75,
3011.256,1.7498926,
3008.346,85.465853,
3005.435,93.674029,
3002.525,96.664989,
2999.614,114.39804,
2996.704,110.70154,
2993.793,109.87846,
2990.882,99.341645,
2987.972,106.32567,
2985.061,111.05294,
2982.151,122.02817,
2979.240,110.11309,
2976.329,133.00683,
2973.419,126.88081,
2970.508,127.71665,
2967.598,124.3492,
2964.687,134.78804,
2961.777,145.8058,
2958.866,141.25445,
2955.955,133.7323,
2953.045,147.35068,
2950.134,161.34623,
2947.224,145.87631,
2944.313,159.60969,
2941.403,148.51186,
2938.492,166.55895,
2935.581,165.27702,
2932.671,159.17277,
2929.760,158.81536,
2926.850,171.8391,
2923.939,170.84812,
2921.028,164.14987,
2918.118,170.77141,
2915.207,178.71831,
2912.297,180.23307,
2909.386,181.43249,
2906.476,180.69943,
2903.565,168.94408,
2900.654,162.69691,
2897.744,164.23743,
2894.833,152.52855,
2891.923,138.0609,
2889.012,144.62572,
2886.102,138.62568,
2883.191,120.2651,
2880.280,42.938968,
2877.370,-92.59277,
2874.459,-166.7562,
2871.549,-72.406902,
2868.638,78.986008,
2865.727,129.82694,
2862.817,131.99331,
2859.906,157.21295,
2856.996,172.78397,
2854.085,184.61558,
2851.175,172.87046,
2848.264,175.11267,
2845.353,206.64612,
2842.443,178.05209,
2839.532,184.78726,
2836.622,187.78907,
2833.711,175.65662,
2830.801,186.85441,
2827.890,190.83039,
2824.979,196.15186,
2822.069,195.40921,
2819.158,198.98853,
2816.248,197.93921,
2813.337,199.02317,
2810.427,194.38223,
2807.516,193.77516,
2804.605,203.22836,
2801.695,199.81579,
2798.784,192.84138,
2795.874,204.54024,
2792.963,204.75011,
2790.052,186.2545,
2787.142,188.72354,
2784.231,190.28103,
2781.321,205.36996,
2778.410,187.27031,
2775.500,198.63068,
2772.589,192.51987,
2769.678,205.03497,
2766.768,205.81505,
2763.857,191.56985,
2760.947,214.68381,
2758.036,218.65136,
2755.126,208.15171,
2752.215,205.61351,
2749.304,223.29134,
2746.394,210.49802,
2743.483,199.15,
2740.573,197.36283,
2737.662,213.15384,
2734.751,212.64336,
2731.841,209.60165,
2728.930,216.06373,
2726.020,210.15857,
2723.109,231.45608,
2720.199,226.38752,
2717.288,220.53102,
2714.377,208.67098,
2711.467,235.69285,
2708.556,232.02642,
2705.646,221.34855,
2702.735,237.07732,
2699.825,234.18456,
2696.914,232.39272,
2694.003,245.14918,
2691.093,238.30296,
2688.182,236.76037,
2685.272,235.25854,
2682.361,217.37336,
2679.450,230.20471,
2676.540,223.22968,
2673.629,224.90469,
2670.719,231.53466,
2667.808,232.25,
2664.898,237.09436,
2661.987,239.98362,
2659.076,239.03018,
2656.166,233.78246,
2653.255,243.46939,
2650.345,231.64927,
2647.434,239.27887,
2644.524,247.54735,
2641.613,252.85025,
2638.702,252.32891,
2635.792,252.84422,
2632.881,249.82737,
2629.971,248.50502,
2627.060,248.58188,
2624.149,252.44064,
2621.239,259.03113,
2618.328,254.01297,
2615.418,267.93181,
2612.507,245.73622,
2609.597,266.22006,
2606.686,261.15962,
2603.775,250.97223,
2600.865,256.72098,
2597.954,252.34583,
2595.044,263.83105,
2592.133,266.12881,
2589.223,262.38264,
2586.312,267.27511,
2583.401,272.25,
2580.491,276.60576,
2577.580,279.21699,
2574.670,263.40106,
2571.759,268.19435,
2568.848,267.36604,
2565.938,281.39292,
2563.027,273.98181,
2560.117,277.79206,
2557.206,284.67435,
2554.296,277.39188,
2551.385,280.25807,
2548.474,285.02769,
2545.564,271.62987,
2542.653,298.38759,
2539.743,279.28697,
2536.832,280.78084,
2533.922,275.64423,
2531.011,298.05019,
2528.100,299.71344,
2525.190,302.29713,
2522.279,295.25,
2519.369,287.70329,
2516.458,276.92139,
2513.548,288.72264,
2510.637,309.58997,
2507.726,287.37268,
2504.816,291.99972,
2501.905,294.30793,
2498.995,297.59309,
2496.084,287.25,
2493.173,300.51358,
2490.263,309.65452,
2487.352,316.58227,
2484.442,309.79387,
2481.531,322.82455,
2478.621,325.23108,
2475.710,296.50304,
2472.799,327.27693,
2469.889,328.52148,
2466.978,318.20893,
2464.068,319.86908,
2461.157,333.71004,
2458.247,316.58811,
2455.336,327.3107,
2452.425,317.07073,
2449.515,330.88201,
2446.604,327.1924,
2443.694,326.41283,
2440.783,340.20496,
2437.872,329.76051,
2434.962,342.46198,
2432.051,339.27467,
2429.141,342.52053,
2426.230,347.05443,
2423.320,345.89316,
2420.409,330.60261,
2417.498,341.8062,
2414.588,352.25,
2411.677,354.03485,
2408.767,342.93799,
2405.856,330.53332,
2402.946,334.93454,
2400.035,321.76407,
2397.124,348.92379,
2394.214,351.3304,
2391.303,352.2168,
2388.393,337.34762,
2385.482,305.39561,
2382.571,325.14951,
2379.661,319.34266,
2376.750,354.98644,
2373.840,348.40629,
2370.929,356.1417,
2368.019,361.79186,
2365.108,366.27356,
2362.197,359.66642,
2359.287,340.48509,
2356.376,375.18132,
2353.466,372.21915,
2350.555,375.50983,
2347.645,378.31489,
2344.734,388.40208,
2341.823,388.26658,
2338.913,392.45445,
2336.002,380.26187,
2333.092,395.56037,
2330.181,407.07605,
2327.270,392.35011,
2324.360,409.6793,
2321.449,381.54252,
2318.539,390.88916,
2315.628,408.40908,
2312.718,403.53414,
2309.807,400.65988,
2306.896,407.00587,
2303.986,398.80835,
2301.075,395.12231,
2298.165,405.24046,
2295.254,427.77605,
2292.344,413.51559,
2289.433,405.59364,
2286.522,416.46422,
2283.612,406.9987,
2280.701,407.90469,
2277.791,403.2118,
2274.880,427.53398,
2271.969,428.38169,
2269.059,423.36717,
2266.148,430.08639,
2263.238,439.44691,
2260.327,427.28435,
2257.417,417.80833,
2254.506,440.98224,
2251.595,451.97004,
2248.685,461.24418,
2245.774,462.64567,
2242.864,433.02804,
2239.953,449.2568,
2237.043,455.34001,
2234.132,449.81358,
2231.221,457.8288,
2228.311,443.33249,
2225.400,480.49008,
2222.490,456.10672,
2219.579,467.32714,
2216.669,470.26431,
2213.758,463.33627,
2210.847,458.02582,
2207.937,480.27277,
2205.026,496.58382,
2202.116,483.77442,
2199.205,486.48741,
2196.294,488.812,
2193.384,496.35501,
2190.473,489.8122,
2187.563,536.134,
2184.652,514.96102,
2181.742,535.86433,
2178.831,544.85309,
2175.920,551.49044,
2173.010,552.99943,
2170.099,569.31449,
2167.189,596.40786,
2164.278,622.65201,
2161.368,654.82063,
2158.457,675.9099,
2155.546,696.26445,
2152.636,756.02646,
2149.725,792.22985,
2146.815,818.44915,
2143.904,862.04926,
2140.993,858.85319,
2138.083,866.28641,
2135.172,871.38435,
2132.262,875.27817,
2129.351,854.02222,
2126.441,870.63843,
2123.530,830.25,
2120.619,824.0576,
2117.709,781.031,
2114.798,759.92682,
2111.888,694.51473,
2108.977,648.15729,
2106.067,651.52513,
2103.156,626.73478,
2100.245,589.2431,
2097.335,576.9254,
2094.424,573.47309,
2091.514,575.73103,
2088.603,541.40209,
2085.692,541.20537,
2082.782,539.71589,
2079.871,540.71441,
2076.961,538.44373,
2074.050,536.39545,
2071.140,536.19277,
2068.229,526.78124,
2065.318,545.39825,
2062.408,541.83321,
2059.497,531.44047,
2056.587,521.86638,
2053.676,520.06662,
2050.766,529.48019,
2047.855,519.16456,
2044.944,517.71314,
2042.034,526.06501,
2039.123,529.05135,
2036.213,531.63662,
2033.302,511.18489,
2030.391,509.1143,
2027.481,530.59128,
2024.570,536.40717,
2021.660,551.30393,
2018.749,548.8321,
2015.839,538.92257,
2012.928,538.88255,
2010.017,531.0676,
2007.107,543.99392,
2004.196,546.85716,
2001.286,557.29239,
1998.375,544.54921,
1995.465,541.96964,
1992.554,545.87939,
1989.643,542.38825,
1986.733,547.23333,
1983.822,534.46935,
1980.912,563.51711,
1978.001,545.47077,
1975.090,529.03932,
1972.180,541.93882,
1969.269,548.98562,
1966.359,533.6282,
1963.448,534.28567,
1960.538,550.23415,
1957.627,525.60911,
1954.716,516.42236,
1951.806,548.3926,
1948.895,565.78651,
1945.985,532.79902,
1943.074,533.62622,
1940.164,546.37469,
1937.253,518.66745,
1934.342,514.24144,
1931.432,504.01341,
1928.521,521.27764,
1925.611,506.1399,
1922.700,501.58149,
1919.790,520.47524,
1916.879,512.08699,
1913.968,545.20819,
1911.058,478.62839,
1908.147,516.23544,
1905.237,538.47792,
1902.326,513.75669,
1899.415,481.01706,
1896.505,489.00326,
1893.594,505.35055,
1890.684,503.2891,
1887.773,535.99958,
1884.863,542.50968,
1881.952,543.43496,
1879.041,526.33774,
1876.131,509.66308,
1873.220,495.04641,
1870.310,522.02573,
1867.399,529.17003,
1864.489,549.61437,
1861.578,510.93119,
1858.667,527.39671,
1855.757,528.44928,
1852.846,528.49616,
1849.936,532.29604,
1847.025,546.9556,
1844.114,547.04294,
1841.204,544.3479,
1838.293,545.24667,
1835.383,565.28448,
1832.472,566.61,
1829.562,552.13958,
1826.651,557.45533,
1823.740,563.43391,
1820.830,576.59657,
1817.919,576.17812,
1815.009,558.98156,
1812.098,546.37599,
1809.188,565.88561,
1806.277,571.16147,
1803.366,577.16682,
1800.456,571.4806,
1797.545,558.15781,
1794.635,560.08804,
1791.724,579.41505,
1788.813,583.45411,
1785.903,582.41482,
1782.992,520.08154,
1780.082,452.76415,
1777.171,384.57226,
1774.261,378.65571,
1771.350,494.86352,
1768.439,579.95237,
1765.529,590.43336,
1762.618,603.63188,
1759.708,619.51099,
1756.797,632.86364,
1753.887,617.88994,
1750.976,605.25,
1748.065,625.52649,
1745.155,634.41777,
1742.244,639.5335,
1739.334,612.43824,
1736.423,618.73969,
1733.512,643.25818,
1730.602,690.39093,
1727.691,684.29083,
1724.781,647.57351,
1721.870,663.393,
1718.960,665.13884,
1716.049,688.58027,
1713.138,671.02011,
1710.228,671.60148,
1707.317,682.86486,
1704.407,685.1484,
1701.496,677.04607,
1698.586,680.86992,
1695.675,680.31429,
1692.764,695.39755,
1689.854,743.12798,
1686.943,732.68843,
1684.033,702.99509,
1681.122,716.99511,
1678.211,737.05965,
1675.301,750.20992,
1672.390,792.10644,
1669.480,744.74736,
1666.569,805.88182,
1663.659,778.03395,
1660.748,825.26928,
1657.837,826.16252,
1654.927,823.16374,
1652.016,861.85748,
1649.106,885.68694,
1646.195,864.83244,
1643.285,928.7487,
1640.374,907.87717,
