,PLC42E~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.875,
3011.256,1.3749463,
3008.346,63.461164,
3005.435,76.969521,
3002.525,75.465045,
2999.614,89.125,
2996.704,89.806443,
2993.793,79.354264,
2990.882,89.476175,
2987.972,91.140135,
2985.061,89.248146,
2982.151,97.215768,
2979.240,107.92347,
2976.329,111.61681,
2973.419,112.90985,
2970.508,106.20832,
2967.598,118.5993,
2964.687,117.19905,
2961.777,125.31302,
2958.866,124.45932,
2955.955,119.33076,
2953.045,130.77601,
2950.134,139.94425,
2947.224,118.69438,
2944.313,133.6307,
2941.403,148.98266,
2938.492,134.26321,
2935.581,130.71641,
2932.671,134.36968,
2929.760,139.41343,
2926.850,130.70695,
2923.939,147.16236,
2921.028,142.25427,
2918.118,148.04439,
2915.207,144.89084,
2912.297,150.10807,
2909.386,142.1177,
2906.476,153.63622,
2903.565,139.77093,
2900.654,146.08857,
2897.744,143.22558,
2894.833,136.69228,
2891.923,129.09941,
2889.012,136.62789,
2886.102,131.35337,
2883.191,116.14199,
2880.280,44.837899,
2877.370,-43.752757,
2874.459,-59.182987,
2871.549,13.993939,
2868.638,99.584749,
2865.727,117.01733,
2862.817,123.69718,
2859.906,136.22755,
2856.996,158.17029,
2854.085,159.5683,
2851.175,159.10387,
2848.264,153.21784,
2845.353,163.71523,
2842.443,147.92013,
2839.532,149.02054,
2836.622,158.27669,
2833.711,167.53945,
2830.801,171.52794,
2827.890,165.68618,
2824.979,164.26096,
2822.069,164.23872,
2819.158,168.42419,
2816.248,162.11342,
2813.337,173.21769,
2810.427,168.03684,
2807.516,178.54219,
2804.605,166.30769,
2801.695,158.59867,
2798.784,178.27692,
2795.874,173.55508,
2792.963,178.55372,
2790.052,167.12822,
2787.142,158.7435,
2784.231,163.57687,
2781.321,166.67921,
2778.410,146.36992,
2775.500,163.44224,
2772.589,149.47285,
2769.678,177.90997,
2766.768,176.25509,
2763.857,165.49494,
2760.947,176.11239,
2758.036,179.20783,
2755.126,179.59722,
2752.215,182.67945,
2749.304,182.23111,
2746.394,180.18346,
2743.483,181.92501,
2740.573,166.81742,
2737.662,173.56139,
2734.751,169.79973,
2731.841,188.07189,
2728.930,206.85815,
2726.020,185.45139,
2723.109,192.53717,
2720.199,176.86863,
2717.288,188.68704,
2714.377,184.99582,
2711.467,194.53489,
2708.556,194.73132,
2705.646,194.58978,
2702.735,205.59663,
2699.825,192.30869,
2696.914,191.74362,
2694.003,213.45509,
2691.093,199.4463,
2688.182,184.66944,
2685.272,212.09798,
2682.361,182.64247,
2679.450,197.49535,
2676.540,193.26727,
2673.629,194.48378,
2670.719,186.97898,
2667.808,206.24956,
2664.898,210.74854,
2661.987,207.35846,
2659.076,206.88793,
2656.166,195.83494,
2653.255,212.6012,
2650.345,203.60413,
2647.434,198.75404,
2644.524,217.66937,
2641.613,215.32487,
2638.702,206.23547,
2635.792,213.25261,
2632.881,198.32134,
2629.971,209.10491,
2627.060,215.62344,
2624.149,224.90938,
