,PLCE2F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.625,
3011.256,3.0749356,
3008.346,43.235345,
3005.435,53.219521,
3002.525,54.092562,
2999.614,48.612664,
2996.704,59.596646,
2993.793,52.489632,
2990.882,59.245235,
2987.972,66.34473,
2985.061,52.838044,
2982.151,54.823749,
2979.240,66.490008,
2976.329,63.353159,
2973.419,71.113382,
2970.508,76.22499,
2967.598,79.992671,
2964.687,70.464674,
2961.777,76.528929,
2958.866,70.385393,
2955.955,58.651546,
2953.045,78.227368,
2950.134,88.704432,
2947.224,75.944376,
2944.313,86.835825,
2941.403,90.280108,
2938.492,83.982063,
2935.581,89.810604,
2932.671,85.297772,
2929.760,92.424989,
2926.850,81.636279,
2923.939,82.53387,
2921.028,92.539768,
2918.118,93.194899,
2915.207,94.140845,
2912.297,95.375,
2909.386,104.74727,
2906.476,108.6924,
2903.565,100.97279,
2900.654,89.880553,
2897.744,92.689305,
2894.833,100.88046,
2891.923,84.673103,
2889.012,96.831648,
2886.102,112.03985,
2883.191,123.37028,
2880.280,79.882173,
2877.370,81.578456,
2874.459,69.727211,
2871.549,78.730354,
2868.638,91.057469,
2865.727,106.00578,
2862.817,98.274737,
2859.906,113.60292,
2856.996,105.91802,
2854.085,120.14185,
2851.175,104.04364,
2848.264,107.95334,
2845.353,127.96523,
2842.443,104.58336,
2839.532,101.25557,
2836.622,104.83008,
2833.711,115.26355,
2830.801,107.98676,
2827.890,107.81382,
2824.979,113.09101,
2822.069,88.727535,
2819.158,114.81435,
2816.248,106.62789,
2813.337,121.01403,
2810.427,108.94112,
2807.516,109.90016,
2804.605,113.14904,
2801.695,118.55923,
2798.784,118.96638,
2795.874,121.66524,
2792.963,122.51798,
2790.052,118.3765,
2787.142,116.24338,
2784.231,113.08463,
2781.321,118.62068,
2778.410,109.0349,
2775.500,112.90672,
2772.589,118.25956,
2769.678,120.15997,
2766.768,127.43326,
2763.857,109.95689,
2760.947,129.84663,
2758.036,122.83358,
2755.126,117.17842,
2752.215,123.80215,
2749.304,124.09801,
2746.394,125.31654,
2743.483,126.87498,
2740.573,112.74439,
2737.662,121.03477,
2734.751,120.84095,
2731.841,135.97024,
2728.930,133.90472,
2726.020,128.71181,
2723.109,123.39575,
2720.199,134.66872,
2717.288,138.8312,
2714.377,122.70024,
2711.467,131.76841,
2708.556,136.50258,
2705.646,135.14964,
2702.735,150.52189,
2699.825,135.77684,
2696.914,134.70817,
2694.003,145.63191,
2691.093,135.32086,
2688.182,136.41278,
2685.272,145.02081,
2682.361,135.28657,
2679.450,141.54374,
2676.540,141.90755,
2673.629,124.68439,
2670.719,132.80568,
2667.808,131.375,
2664.898,142.03745,
2661.987,148.97527,
2659.076,148.90087,
2656.166,145.90746,
2653.255,147.89371,
2650.345,140.31874,
2647.434,148.14665,
2644.524,156.375,
2641.613,155.68927,
2638.702,163.24875,
2635.792,148.78078,
2632.881,150.64289,
2629.971,147.63002,
2627.060,139.87406,
2624.149,145.5375,
2621.239,141.12055,
2618.328,145.92603,
2615.418,161.69319,
2612.507,147.27626,
2609.597,151.63049,
2606.686,160.81676,
2603.775,152.93452,
2600.865,152.13951,
2597.954,143.61457,
2595.044,158.9472,
2592.133,165.08822,
2589.223,158.94132,
2586.312,157.81716,
2583.401,169.49905,
2580.491,163.90864,
2577.580,158.39645,
2574.670,173.5889,
2571.759,166.16268,
2568.848,175.95522,
2565.938,177.66083,
2563.027,164.30225,
2560.117,173.82361,
2557.206,185.41559,
2554.296,164.09125,
2551.385,171.06099,
2548.474,184.85679,
2545.564,180.72321,
2542.653,185.76426,
2539.743,172.10297,
2536.832,171.49837,
2533.922,176.65885,
2531.011,186.95063,
2528.100,180.70257,
2525.190,199.49016,
2522.279,193.14051,
2519.369,187.77126,
2516.458,183.03931,
2513.548,175.52052,
2510.637,198.08386,
2507.726,180.24861,
2504.816,176.49901,
2501.905,181.7372,
2498.995,179.375,
2496.084,179.68162,
2493.173,182.03295,
2490.263,180.18403,
2487.352,194.41673,
2484.442,197.65337,
2481.531,189.68365,
2478.621,205.01491,
2475.710,177.56669,
2472.799,203.8548,
2469.889,201.58828,
2466.978,191.48843,
2464.068,222.93596,
2461.157,200.375,
2458.247,210.61041,
2455.336,212.50414,
