,PLD19A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6.125,
3011.256,2.5749356,
3008.346,167.7009,
3005.435,175.14709,
3002.525,190.46001,
2999.614,200.02304,
2996.704,196.32654,
2993.793,213.75115,
2990.882,207.79106,
2987.972,226.84978,
2985.061,221.43165,
2982.151,227.92038,
2979.240,235.47194,
2976.329,244.36135,
2973.419,250.27474,
2970.508,270.74161,
2967.598,266.78303,
2964.687,278.18886,
2961.777,283.55889,
2958.866,291.88242,
2955.955,284.91039,
2953.045,279.01149,
2950.134,314.60972,
2947.224,304.09916,
2944.313,334.18981,
2941.403,337.25638,
2938.492,326.31132,
2935.581,343.25657,
2932.671,344.91794,
2929.760,340.0942,
2926.850,346.56861,
2923.939,347.47312,
2921.028,359.26917,
2918.118,363.31581,
2915.207,375.17253,
2912.297,368.91731,
2909.386,361.47354,
2906.476,372.96768,
2903.565,385.22907,
2900.654,396.03982,
2897.744,369.16416,
2894.833,377.85464,
2891.923,370.84941,
2889.012,385.53974,
2886.102,392.47905,
2883.191,416.85234,
2880.280,409.49224,
2877.370,450.86334,
2874.459,457.40952,
2871.549,421.54575,
2868.638,400.01108,
2865.727,408.02888,
2862.817,382.48865,
2859.906,406.24252,
2856.996,413.88859,
2854.085,402.07246,
2851.175,407.66114,
2848.264,411.15933,
2845.353,408.83187,
2842.443,395.6945,
2839.532,390.51672,
2836.622,377.35807,
2833.711,383.07439,
2830.801,401.27059,
2827.890,398.68794,
2824.979,406.65296,
2822.069,411.06833,
2819.158,420.27391,
2816.248,399.65684,
2813.337,414.4628,
2810.427,424.48519,
2807.516,440.39281,
2804.605,425.30529,
2801.695,428.04605,
2798.784,416.61423,
2795.874,406.86443,
2792.963,425.87521,
2790.052,407.87993,
2787.142,420.36188,
2784.231,409.97284,
2781.321,408.12644,
2778.410,413.94987,
2775.500,419.17259,
2772.589,418.02943,
2769.678,430.58829,
2766.768,429.19344,
2763.857,426.92895,
2760.947,431.33402,
2758.036,438.42922,
2755.126,434.86859,
2752.215,437.51573,
2749.304,448.42713,
2746.394,429.10882,
2743.483,439.37502,
2740.573,445.52106,
2737.662,456.75814,
2734.751,445.61783,
2731.841,454.14607,
2728.930,446.12071,
2726.020,452.2066,
2723.109,446.44208,
2720.199,466.44376,
2717.288,458.34945,
2714.377,467.67894,
2711.467,475.20248,
2708.556,497.0451,
2705.646,478.05804,
2702.735,468.71263,
2699.825,478.74411,
2696.914,475.16044,
2694.003,493.48964,
2691.093,485.07116,
2688.182,488.56685,
2685.272,476.31739,
2682.361,480.90994,
2679.450,496.45937,
2676.540,484.67176,
2673.629,476.20235,
2670.719,490.43693,
2667.808,499.72909,
2664.898,507.60263,
2661.987,496.50852,
2659.076,507.36638,
2656.166,490.53729,
2653.255,504.80017,
2650.345,506.875,
2647.434,523.84613,
2644.524,514.80546,
2641.613,530.90391,
2638.702,514.23796,
2635.792,497.43731,
2632.881,513.88665,
2629.971,517.0226,
2627.060,505.37157,
2624.149,524.60626,
2621.239,531.40761,
2618.328,535.95977,
2615.418,538.53864,
2612.507,540.49555,
2609.597,550.86502,
2606.686,541.09588,
2603.775,543.15675,
2600.865,551.93303,
2597.954,549.11457,
2595.044,558.16995,
2592.133,555.25705,
2589.223,565.7066,
2586.312,568.04585,
2583.401,567.07937,
2580.491,587.37974,
2577.580,552.91791,
2574.670,582.19585,
2571.759,583.71833,
2568.848,588.57671,
2565.938,571.63699,
2563.027,571.94992,
2560.117,590.33294,
2557.206,592.49124,
2554.296,585.76287,
2551.385,595.313,
2548.474,606.43076,
2545.564,593.4448,
2542.653,612.80117,
2539.743,590.19539,
2536.832,597.85632,
2533.922,600.15885,
2531.011,617.875,
2528.100,613.07708,
2525.190,619.94303,
2522.279,609.90676,
2519.369,626.34697,
2516.458,620.32259,
2513.548,608.50249,
2510.637,607.93648,
2507.726,610.12407,
2504.816,607.81186,
2501.905,622.54146,
2498.995,632.11388,
2496.084,634.34189,
2493.173,625.34851,
2490.263,634.4366,
2487.352,643.4994,
2484.442,643.41887,
2481.531,665.40159,
2478.621,676.62385,
2475.710,622.06669,
2472.799,657.23363,
2469.889,673.3625,
2466.978,672.75114,
2464.068,683.66338,
2461.157,664.21759,
2458.247,659.53689,
2455.336,677.17246,
2452.425,665.50234,
2449.515,687.85629,
2446.604,692.40728,
2443.694,684.96792,
2440.783,673.15878,
2437.872,679.04188,
2434.962,711.18836,
2432.051,707.07239,
2429.141,703.85729,
2426.230,704.00538,
2423.320,718.40363,
2420.409,703.01627,
2417.498,704.01267,
2414.588,704.16024,
2411.677,726.87097,
2408.767,702.91043,
2405.856,708.59168,
2402.946,719.25033,
2400.035,705.19658,
2397.124,749.11029,
2394.214,743.95262,
2391.303,721.44952,
2388.393,740.0727,
2385.482,719.97655,
2382.571,727.17845,
2379.661,733.29371,
2376.750,734.87247,
2373.840,763.26866,
2370.929,769.86417,
2368.019,741.10407,
2365.108,751.31479,
