,PLD587~1,
Wavenumbers [1/cm],Intensity,
3014.167,-6.375,
3011.256,1.3249356,
3008.346,39.687279,
3005.435,47.31758,
3002.525,47.832494,
2999.614,51.773037,
2996.704,38.536342,
2993.793,40.996544,
2990.882,37.976175,
2987.972,60.619955,
2985.061,52.531395,
2982.151,49.789711,
2979.240,68.373086,
2976.329,69.608619,
2973.419,76.040662,
2970.508,76.958267,
2967.598,79.911747,
2964.687,77.983696,
2961.777,81.402898,
2958.866,86.635393,
2955.955,71.866151,
2953.045,78.725677,
2950.134,93.93406,
2947.224,82.10897,
2944.313,88.737535,
2941.403,92.268246,
2938.492,85.519327,
2935.581,99.103535,
2932.671,87.946906,
2929.760,87.467292,
2926.850,94.736653,
2923.939,93.662363,
2921.028,95.689636,
2918.118,102.32651,
2915.207,109.91608,
2912.297,108.61654,
2909.386,100.42062,
2906.476,119.58565,
2903.565,107.91686,
2900.654,107.09412,
2897.744,121.61243,
2894.833,113.61482,
2891.923,104.4359,
2889.012,124.3302,
2886.102,141.87364,
2883.191,139.63161,
2880.280,149.5341,
2877.370,236.98526,
2874.459,273.17813,
2871.549,180.01925,
2868.638,134.35079,
2865.727,109.91347,
2862.817,109.53944,
2859.906,129.25748,
2856.996,126.58877,
2854.085,120.54094,
2851.175,115.01047,
2848.264,120.00217,
2845.353,121.58187,
2842.443,114.03475,
2839.532,111.83392,
2836.622,113.32161,
2833.711,110.57319,
2830.801,115.91985,
2827.890,113.08304,
2824.979,125.10691,
2822.069,118.625,
2819.158,115.96462,
2816.248,125.82,
2813.337,126.26403,
2810.427,112.27927,
2807.516,122.0925,
2804.605,114.28126,
2801.695,131.98028,
2798.784,124.65992,
2795.874,119.91524,
2792.963,125.26809,
2790.052,132.62457,
2787.142,115.33554,
2784.231,123.01164,
2781.321,123.92777,
2778.410,100.69987,
2775.500,118.94224,
2772.589,101.93386,
2769.678,128.44407,
2766.768,112.65215,
2763.857,119.73097,
2760.947,120.09033,
2758.036,128.17922,
2755.126,121.33013,
2752.215,127.01113,
2749.304,121.09261,
2746.394,120.83669,
2743.483,118.32501,
2740.573,114.73783,
2737.662,117.29512,
2734.751,112.92607,
2731.841,121.89607,
2728.930,143.25644,
2726.020,133.2934,
2723.109,127.53233,
2720.199,129.58425,
2717.288,142.18704,
2714.377,127.17516,
2711.467,142.10082,
2708.556,132.48647,
2705.646,132.17427,
2702.735,138.44716,
2699.825,127.13591,
2696.914,125.81545,
2694.003,159.98273,
2691.093,145.35666,
2688.182,138.73463,
2685.272,132.90807,
2682.361,134.47762,
2679.450,151.04063,
2676.540,135.86889,
2673.629,146.62949,
2670.719,137.55938,
2667.808,145.99274,
2664.898,145.28745,
2661.987,149.95855,
2659.076,151.64225,
2656.166,139.97997,
2653.255,147.88181,
2650.345,146.00068,
2647.434,151.39665,
2644.524,154.2197,
2641.613,147.6822,
2638.702,147.64078,
2635.792,139.28302,
2632.881,141.79139,
2629.971,152.75251,
2627.060,149.62562,
2624.149,149.67812,
2621.239,154.87352,
2618.328,145.34558,
2615.418,168.59319,
2612.507,152.83855,
2609.597,163.68688,
2606.686,148.625,
2603.775,149.10516,
2600.865,159.5636,
2597.954,149.9604,
2595.044,156.625,
2592.133,151.73323,
2589.223,158.43238,
2586.312,150.87119,
2583.401,166.625,
2580.491,167.35096,
2577.580,162.6382,
2574.670,172.8389,
2571.759,167.06422,
2568.848,160.91783,
2565.938,172.00593,
2563.027,176.72272,
2560.117,167.18572,
2557.206,165.14529,
2554.296,167.51287,
2551.385,173.12096,
2548.474,172.84731,
2545.564,170.75162,
2542.653,172.70889,
2539.743,173.69894,
2536.832,170.64556,
2533.922,167.87731,
2531.011,183.625,
2528.100,185.75741,
2525.190,191.57787,
2522.279,179.04708,
2519.369,184.90818,
2516.458,180.29285,
2513.548,169.48881,
2510.637,174.50203,
2507.726,173.24954,
2504.816,174.625,
2501.905,178.68293,
2498.995,175.74444,
2496.084,173.94554,
2493.173,178.88858,
2490.263,180.0521,
2487.352,182.95887,
2484.442,190.3402,
2481.531,193.31113,
2478.621,203.53498,
2475.710,183.70168,
2472.799,195.1048,
2469.889,202.04883,
2466.978,206.06829,
2464.068,212.37105,
2461.157,199.20249,
2458.247,197.36024,
2455.336,204.81484,
2452.425,190.22875,
2449.515,204.60629,
2446.604,207.74715,
2443.694,211.09049,
2440.783,204.05067,
2437.872,193.17197,
2434.962,208.93836,
2432.051,206.77304,
2429.141,204.89553,
2426.230,206.625,
2423.320,214.83939,
2420.409,210.2468,
2417.498,212.61658,
2414.588,207.26762,
2411.677,228.26238,
2408.767,196.17815,
2405.856,204.4655,
2402.946,207.52402,
2400.035,205.33157,
2397.124,210.9619,
2394.214,211.3542,
2391.303,213.05589,
2388.393,220.11803,
2385.482,223.49281,
2382.571,225.65062,
2379.661,220.83421,
2376.750,224.41567,
2373.840,213.56566,
2370.929,238.3326,
2368.019,213.28693,
2365.108,226.25327,
2362.197,222.625,
2359.287,198.67513,
2356.376,221.57393,
2353.466,221.86819,
2350.555,213.78511,
2347.645,228.09783,
2344.734,231.47292,
2341.823,218.824,
2338.913,236.73693,
2336.002,236.3331,
2333.092,227.41837,
2330.181,212.60711,
2327.270,227.68991,
2324.360,239.53306,
2321.449,220.59439,
2318.539,229.77486,
2315.628,238.01988,
2312.718,248.34086,
2309.807,222.74272,
2306.896,250.36522,
2303.986,236.18335,
2301.075,223.24202,
2298.165,228.41355,
2295.254,251.15105,
2292.344,237.99431,
2289.433,237.31227,
2286.522,246.73211,
2283.612,243.03443,
2280.701,242.22141,
2277.791,222.90739,
2274.880,253.411,
2271.969,256.49331,
2269.059,250.33616,
2266.148,255.21598,
2263.238,256.12693,
2260.327,247.86655,
2257.417,263.67611,
2254.506,261.83868,
2251.595,261.91228,
2248.685,279.0384,
2245.774,280.2185,
2242.864,268.68984,
2239.953,265.52852,
2237.043,250.84572,
2234.132,257.33405,
2231.221,270.73098,
2228.311,264.05671,
2225.400,265.10347,
2222.490,277.54022,
2219.579,261.67642,
2216.669,262.14169,
2213.758,272.97534,
2210.847,280.625,
2207.937,271.03218,
2205.026,302.84745,
2202.116,293.47851,
2199.205,290.81206,
2196.294,294.00502,
2193.384,294.59851,
2190.473,292.33509,
2187.563,274.6685,
2184.652,283.92622,
2181.742,293.89875,
2178.831,318.4616,
2175.920,321.12773,
2173.010,316.44983,
2170.099,339.02233,
2167.189,344.70393,
2164.278,356.0652,
