,PLD74F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.875,
3011.256,2.2749248,
3008.346,82.542787,
3005.435,88.81758,
3002.525,94.880034,
2999.614,106.46135,
2996.704,104.53222,
2993.793,88.611176,
2990.882,103.64406,
2987.972,105.13509,
2985.061,103.5782,
2982.151,105.28971,
2979.240,111.39116,
2976.329,125.39548,
2973.419,125.9404,
2970.508,134.99161,
2967.598,125.50733,
2964.687,130.73709,
2961.777,132.65496,
2958.866,128.12203,
2955.955,119.22457,
2953.045,131.69325,
2950.134,157.67897,
2947.224,145.036,
2944.313,161.74323,
2941.403,150.20848,
2938.492,155.25236,
2935.581,148.82929,
2932.671,155.2495,
2929.760,163.15575,
2926.850,163.39342,
2923.939,156.04556,
2921.028,165.68394,
2918.118,159.00662,
2915.207,175.65669,
2912.297,169.16308,
2909.386,153.71624,
2906.476,174.31036,
2903.565,172.07685,
2900.654,171.18364,
2897.744,159.52731,
2894.833,163.90901,
2891.923,148.64111,
2889.012,169.96315,
2886.102,163.1858,
2883.191,153.1401,
2880.280,116.86183,
2877.370,83.84595,
2874.459,18.647112,
2871.549,76.428142,
2868.638,129.12704,
2865.727,154.52114,
2862.817,156.93917,
2859.906,170.15064,
2856.996,176.13406,
2854.085,170.60399,
2851.175,185.81477,
2848.264,194.32616,
2845.353,202.1897,
2842.443,190.35076,
2839.532,184.42341,
2836.622,177.97331,
2833.711,176.5991,
2830.801,192.31177,
2827.890,184.125,
2824.979,183.483,
2822.069,185.34107,
2819.158,198.42419,
2816.248,189.125,
2813.337,202.9189,
2810.427,197.17597,
2807.516,194.22562,
2804.605,206.10336,
2801.695,202.69079,
2798.784,201.27285,
2795.874,191.83476,
2792.963,203.83947,
2790.052,200.12672,
2787.142,196.34865,
2784.231,200.22126,
2781.321,204.8107,
2778.410,201.7849,
2775.500,203.35914,
2772.589,184.78019,
2769.678,211.62326,
2766.768,205.32692,
2763.857,198.65294,
2760.947,208.60294,
2758.036,211.05497,
2755.126,211.83654,
2752.215,214.33858,
2749.304,224.08182,
2746.394,214.33669,
2743.483,216.77499,
2740.573,200.38156,
2737.662,206.47559,
2734.751,209.19309,
2731.841,207.47665,
2728.930,219.40901,
2726.020,214.24769,
2723.109,205.39334,
2720.199,214.84996,
2717.288,216.77463,
2714.377,213.125,
2711.467,226.38763,
2708.556,227.80542,
2705.646,225.37847,
2702.735,221.45489,
2699.825,231.8196,
2696.914,237.21999,
2694.003,231.43719,
2691.093,233.73152,
2688.182,233.16278,
2685.272,240.13354,
2682.361,222.24836,
2679.450,243.57351,
2676.540,227.06403,
2673.629,223.79316,
2670.719,233.40227,
2667.808,244.83319,
2664.898,249.74854,
2661.987,244.65842,
2659.076,245.50647,
2656.166,233.96477,
2653.255,253.8631,
2650.345,247.7965,
2647.434,238.83978,
2644.524,255.19454,
2641.613,259.66806,
2638.702,247.3775,
2635.792,248.09608,
2632.881,242.2498,
2629.971,258.9774,
2627.060,254.29281,
2624.149,251.09687,
2621.239,258.87648,
2618.328,256.63365,
2615.418,270.77955,
2612.507,261.85233,
2609.597,265.83957,
2606.686,262.95632,
2603.775,256.20436,
2600.865,257.18303,
2597.954,258.4604,
2595.044,269.75034,
2592.133,279.125,
2589.223,274.6671,
2586.312,261.66267,
2583.401,267.32937,
2580.491,276.74035,
2577.580,270.11675,
2574.670,270.93648,
2571.759,269.05909,
2568.848,286.40693,
2565.938,271.50593,
2563.027,277.32044,
2560.117,279.85397,
2557.206,279.125,
2554.296,291.4385,
2551.385,289.00101,
2548.474,281.68039,
2545.564,295.5552,
2542.653,290.04111,
2539.743,281.14965,
2536.832,285.16612,
2533.922,297.17231,
2531.011,301.22491,
2528.100,292.39674,
2525.190,298.72705,
2522.279,304.31259,
2519.369,298.76708,
2516.458,281.57259,
2513.548,296.45211,
2510.637,294.61686,
2507.726,300.87593,
2504.816,301.50042,
2501.905,299.25549,
2498.995,310.64725,
2496.084,303.125,
2493.173,310.30944,
2490.263,308.94533,
2487.352,301.16673,
2484.442,310.66887,
2481.531,326.8591,
2478.621,337.48051,
2475.710,293.33203,
2472.799,324.31778,
2469.889,340.51836,
2466.978,333.30036,
2464.068,331.04035,
2461.157,328.125,
2458.247,336.22803,
2455.336,324.70227,
2452.425,320.25708,
2449.515,352.51169,
2446.604,348.47753,
2443.694,337.49668,
2440.783,342.07996,
2437.872,350.86975,
2434.962,342.02362,
2432.051,342.95229,
2429.141,356.5308,
2426.230,343.23325,
2423.320,357.45391,
2420.409,349.55436,
2417.498,361.32163,
2414.588,353.95013,
2411.677,363.94571,
2408.767,356.34252,
2405.856,345.31073,
2402.946,366.76843,
2400.035,341.26347,
2397.124,368.79879,
2394.214,365.04181,
2391.303,354.16362,
2388.393,350.67381,
2385.482,348.08094,
2382.571,328.58017,
2379.661,349.47378,
2376.750,362.07077,
2373.840,374.18434,
2370.929,379.09251,
2368.019,367.78693,
2365.108,380.75327,
2362.197,381.9031,
2359.287,367.56176,
2356.376,387.08273,
2353.466,391.41447,
2350.555,369.31004,
2347.645,382.96604,
