,PLDADE~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.625,
3011.256,0.52492484,
3008.346,49.32664,
3005.435,58.375,
3002.525,72.640101,
2999.614,62.186682,
2996.704,59.737886,
2993.793,55.375,
2990.882,71.19171,
2987.972,68.420405,
2985.061,83.581905,
2982.151,73.76154,
2979.240,78.806547,
2976.329,88.375,
2973.419,95.529044,
2970.508,98.47494,
2967.598,86.852912,
2964.687,100.67323,
2961.777,91.785118,
2958.866,83.375,
2955.955,92.481183,
2953.045,99.475677,
2950.134,111.65198,
2947.224,101.28959,
2944.313,110.50962,
2941.403,113.20803,
2938.492,117.08774,
2935.581,117.07929,
2932.671,124.29344,
2929.760,126.53271,
2926.850,136.32274,
2923.939,127.89368,
2921.028,118.50427,
2918.118,126.23773,
2915.207,141.31162,
2912.297,112.47655,
2909.386,127.18522,
2906.476,135.40589,
2903.565,142.10018,
2900.654,150.53982,
2897.744,125.71445,
2894.833,142.06591,
2891.923,150.89111,
2889.012,151.00506,
2886.102,128.33447,
2883.191,131.36839,
2880.280,163.88217,
2877.370,179.70632,
2874.459,201.59533,
2871.549,179.36115,
2868.638,155.46777,
2865.727,150.52888,
2862.817,157.04744,
2859.906,147.57728,
2856.996,154.81386,
2854.085,148.12917,
2851.175,161.70636,
2848.264,145.5955,
2845.353,145.6338,
2842.443,162.56595,
2839.532,159.50939,
2836.622,147.76823,
2833.711,156.99668,
2830.801,159.38235,
2827.890,163.7299,
2824.979,154.53509,
2822.069,157.375,
2819.158,150.53402,
2816.248,144.60474,
2813.337,145.07621,
2810.427,160.28684,
2807.516,172.47562,
2804.605,159.1274,
2801.695,154.90133,
2798.784,147.26208,
2795.874,153.52012,
2792.963,160.37521,
2790.052,150.37822,
2787.142,159.40123,
2784.231,155.34239,
2781.321,160.75216,
2778.410,158.4905,
2775.500,157.3312,
2772.589,164.48892,
2769.678,147.94494,
2766.768,170.60803,
2763.857,179.16305,
2760.947,174.41913,
2758.036,164.43222,
2755.126,162.98825,
2752.215,171.46128,
2749.304,176.71492,
2746.394,171.28022,
2743.483,177.825,
2740.573,166.72894,
2737.662,163.25814,
2734.751,167.19042,
2731.841,165.34752,
2728.930,179.68015,
2726.020,168.7066,
2723.109,168.26158,
2720.199,163.86566,
2717.288,168.16333,
2714.377,172.0209,
2711.467,178.80137,
2708.556,175.50258,
2705.646,166.54398,
2702.735,188.375,
2699.825,182.99498,
2696.914,171.70817,
2694.003,180.73273,
2691.093,183.07174,
2688.182,189.08389,
2685.272,178.25978,
2682.361,168.13373,
2679.450,175.91408,
2676.540,176.27338,
2673.629,179.67092,
2670.719,185.4554,
2667.808,196.49956,
2664.898,186.71255,
2661.987,192.80832,
2659.076,202.84913,
2656.166,178.14986,
2653.255,193.1131,
2650.345,209.78335,
2647.434,203.88857,
2644.524,185.09686,
2641.613,201.48939,
2638.702,203.375,
2635.792,203.84459,
2632.881,210.07717,
2629.971,221.11998,
2627.060,200.70937,
2624.149,194.67187,
2621.239,214.65909,
2618.328,192.01081,
2615.418,204.38409,
2612.507,207.82161,
2609.597,198.75224,
2606.686,213.01154,
2603.775,201.61309,
2600.865,206.84261,
2597.954,207.85414,
2595.044,219.02691,
2592.133,214.42588,
