,PLE80A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.75,
3011.256,1.3999248,
3008.346,80.768755,
3005.435,68.86484,
3002.525,58.324944,
2999.614,78.824018,
2996.704,79.020101,
2993.793,77.63076,
2990.882,76.639295,
2987.972,81.265135,
2985.061,78.929796,
2982.151,84.579422,
2979.240,91.883078,
2976.329,103.01775,
2973.419,91.619191,
2970.508,101.26662,
2967.598,102.15442,
2964.687,97.384511,
2961.777,122.33576,
2958.866,102.25,
2955.955,93.902666,
2953.045,109.26791,
2950.134,117.03717,
2947.224,121.25,
2944.313,119.45228,
2941.403,116.38093,
2938.492,110.55895,
2935.581,119.13712,
2932.671,112.69208,
2929.760,114.16152,
2926.850,126.15263,
2923.939,123.32944,
2921.028,132.18536,
2918.118,128.5296,
2915.207,126.42723,
2912.297,138.20346,
2909.386,128.81206,
2906.476,130.98593,
2903.565,121.83074,
2900.654,122.69691,
2897.744,119.14942,
2894.833,106.714,
2891.923,95.384598,
2889.012,112.29624,
2886.102,93.625679,
2883.191,68.271712,
2880.280,5.4461413,
2877.370,-111.90681,
2874.459,-151.82525,
2871.549,-42.328052,
2868.638,52.390174,
2865.727,93.753816,
2862.817,95.320865,
2859.906,113.70584,
2856.996,120.73415,
2854.085,133.05254,
2851.175,135.08432,
2848.264,134.4705,
2845.353,140.14216,
2842.443,132.05557,
2839.532,130.35446,
2836.622,130.85677,
2833.711,132.67229,
2830.801,133.04853,
2827.890,139.16608,
2824.979,140.74397,
2822.069,144.38647,
2819.158,152.44946,
2816.248,146.25,
2813.337,154.8683,
2810.427,139.11777,
2807.516,150.66719,
2804.605,147.68029,
2801.695,146.46051,
2798.784,142.17608,
2795.874,154.83049,
2792.963,155.89309,
2790.052,137.25515,
2787.142,146.43408,
2784.231,137.21739,
2781.321,155.18138,
2778.410,142.15482,
2775.500,147.01586,
2772.589,132.94266,
2769.678,145.21242,
2766.768,145.94514,
2763.857,145.03998,
2760.947,155.28783,
2758.036,156.16717,
2755.126,157.29274,
2752.215,160.14533,
2749.304,156.48381,
2746.394,155.76816,
2743.483,150.25,
2740.573,144.0398,
2737.662,150.59023,
2734.751,142.41039,
2731.841,152.76466,
2728.930,158.59742,
2726.020,164.9184,
2723.109,168.02317,
2720.199,164.97496,
2717.288,172.88139,
2714.377,159.44606,
2711.467,169.06978,
2708.556,167.89884,
2705.646,170.40493,
2702.735,171.57474,
2699.825,168.63002,
2696.914,154.82088,
2694.003,170.53455,
2691.093,176.5713,
2688.182,170.95889,
2685.272,180.34674,
2682.361,152.19651,
2679.450,175.41874,
2676.540,157.41259,
2673.629,168.23653,
2670.719,161.40341,
2667.808,178.03411,
2664.898,177.393,
2661.987,169.25,
2659.076,166.63147,
2656.166,162.66989,
2653.255,173.10034,
2650.345,174.11388,
2647.434,179.19313,
2644.524,183.07251,
2641.613,184.22172,
2638.702,172.51828,
2635.792,174.40653,
2632.881,173.98211,
2629.971,193.57226,
2627.060,176.5825,
2624.149,178.19688,
2621.239,179.01334,
2618.328,173.60639,
2615.418,199.60454,
2612.507,188.38835,
2609.597,193.60729,
2606.686,195.18572,
2603.775,184.8135,
2600.865,184.01788,
2597.954,177.48337,
2595.044,172.49181,
2592.133,179.79763,
2589.223,201.56371,
2586.312,197.5917,
2583.401,197.00547,
2580.491,200.05768,
2577.580,198.26485,
2574.670,206.69653,
2571.759,196.44179,
2568.848,194.18925,
2565.938,204.77384,
2563.027,199.51819,
2560.117,200.79206,
2557.206,219.42712,
2554.296,204.90675,
2551.385,202.812,
2548.474,195.91654,
2545.564,205.83848,
2542.653,218.33389,
2539.743,207.96565,
2536.832,200.82197,
2533.922,204.43923,
2531.011,212.40033,
2528.100,212.91205,
2525.190,227.78402,
2522.279,210.71898,
2519.369,217.23131,
2516.458,215.25354,
2513.548,200.64117,
2510.637,213.6189,
2507.726,214.87824,
2504.816,213.12599,
2501.905,212.75732,
2498.995,196.38466,
2496.084,215.78311,
2493.173,231.40828,
2490.263,233.27259,
2487.352,216.16653,
2484.442,225.64183,
2481.531,235.29274,
2478.621,244.35436,
2475.710,199.38035,
2472.799,216.9899,
2469.889,231.36914,
2466.978,238.47686,
2464.068,247.7421,
2461.157,224.94493,
2458.247,228.99992,
2455.336,244.3107,
2452.425,231.3962,
2449.515,248.37266,
2446.604,248.1924,
2443.694,239.85442,
2440.783,236.86937,
2437.872,244.70303,
2434.962,235.50345,
2432.051,258.05261,
2429.141,244.89733,
2426.230,237.18481,
2423.320,260.42179,
2420.409,248.65378,
2417.498,256.04495,
2414.588,260.51995,
2411.677,248.74798,
2408.767,233.22638,
2405.856,239.44517,
2402.946,253.25,
2400.035,231.67252,
2397.124,264.68851,
2394.214,255.38401,
2391.303,247.39363,
2388.393,231.33368,
2385.482,223.33812,
2382.571,214.61749,
2379.661,219.85432,
2376.750,262.82628,
2373.840,259.48443,
2370.929,270.09838,
2368.019,251.80292,
2365.108,275.29712,
2362.197,270.44453,
2359.287,259.27507,
2356.376,264.23591,
2353.466,272.49319,
2350.555,268.75527,
2347.645,282.02616,
2344.734,287.97812,
2341.823,282.36608,
2338.913,276.76342,
2336.002,277.48673,
2333.092,272.90562,
2330.181,263.81263,
2327.270,278.58994,
2324.360,291.88919,
2321.449,274.77382,
2318.539,282.20718,
2315.628,291.40908,
2312.718,297.13326,
2309.807,283.38663,
2306.896,286.76174,
2303.986,282.11355,
2301.075,273.3351,
2298.165,292.80802,
2295.254,311.92685,
2292.344,294.98861,
2289.433,289.25773,
2286.522,295.8705,
2283.612,299.55995,
2280.701,294.92265,
2277.791,313.16985,
2274.880,314.03195,
2271.969,314.57921,
2269.059,304.83584,
2266.148,315.08639,
2263.238,308.25387,
2260.327,298.87077,
2257.417,311.75722,
2254.506,329.89104,
2251.595,332.39547,
2248.685,342.03457,
2245.774,328.22833,
2242.864,310.7313,
2239.953,307.80164,
2237.043,324.41893,
2234.132,324.04741,
2231.221,320.11821,
2228.311,328.81829,
2225.400,345.39073,
2222.490,345.05119,
2219.579,331.48141,
2216.669,342.28339,
2213.758,343.07746,
2210.847,348.05604,
2207.937,355.92426,
2205.026,347.13834,
2202.116,363.03662,
2199.205,369.78718,
2196.294,364.44803,
2193.384,368.74952,
2190.473,358.80634,
2187.563,381.18716,
2184.652,371.56346,
2181.742,389.36353,
2178.831,389.00876,
2175.920,398.24454,
2173.010,403.97506,
2170.099,436.31301,
2167.189,439.25,
2164.278,440.86407,
2161.368,467.96215,
2158.457,510.13186,
2155.546,521.26445,
2152.636,564.3031,
2149.725,573.25672,
2146.815,591.58262,
2143.904,596.0641,
2140.993,624.66277,
2138.083,627.04017,
2135.172,651.35076,
2132.262,648.6382,
2129.351,631.59469,
2126.441,646.33745,
2123.530,630.09286,
2120.619,607.85586,
2117.709,547.07569,
2114.798,525.4154,
2111.888,510.85072,
2108.977,487.62086,
2106.067,460.49867,
2103.156,441.81214,
2100.245,427.24435,
2097.335,417.88874,
2094.424,412.61716,
2091.514,403.89247,
2088.603,389.95973,
2085.692,382.3429,
2082.782,397.85234,
2079.871,395.67824,
2076.961,404.53964,
2074.050,415.73485,
2071.140,420.90552,
2068.229,396.88933,
2065.318,389.03974,
2062.408,396.03819,
2059.497,394.61902,
2056.587,377.15709,
2053.676,379.1497,
2050.766,372.86585,
2047.855,364.04741,
2044.944,394.84134,
2042.034,414.69504,
2039.123,401.54966,
2036.213,392.05886,
2033.302,382.61959,
2030.391,381.89405,
2027.481,397.87181,
2024.570,374.59361,
2021.660,398.41699,
2018.749,405.18627,
2015.839,380.40223,
2012.928,396.77853,
2010.017,401.02958,
2007.107,396.01823,
2004.196,396.13093,
2001.286,394.87544,
1998.375,386.11614,
1995.465,401.70178,
1992.554,404.62061,
1989.643,394.59564,
1986.733,381.71491,
