,PLE9A8~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.5,
3011.256,3.7499463,
3008.346,72.129394,
3005.435,75.57774,
3002.525,79.5,
2999.614,87.123364,
2996.704,89.040203,
2993.793,88.385368,
2990.882,88.973237,
2987.972,115.40415,
2985.061,92.953197,
2982.151,109.63615,
2979.240,105.5,
2976.329,110.75956,
2973.419,114.23838,
2970.508,119.96665,
2967.598,113.64337,
2964.687,117.93274,
2961.777,135.80786,
2958.866,132.50445,
2955.955,128.77655,
2953.045,135.58277,
2950.134,149.69246,
2947.224,138.01244,
2944.313,146.5114,
2941.403,169.3937,
2938.492,153.94716,
2935.581,152.6399,
2932.671,151.58156,
2929.760,152.54999,
2926.850,166.40263,
2923.939,161.5,
2921.028,166.12358,
2918.118,179.5995,
2915.207,170.20247,
2912.297,189.40268,
2909.386,172.27373,
2906.476,182.46065,
2903.565,187.30741,
2900.654,180.06419,
2897.744,174.75144,
2894.833,179.65491,
2891.923,173.90711,
2889.012,181.45376,
2886.102,200.12432,
2883.191,199.50283,
2880.280,231.94021,
2877.370,295.03478,
2874.459,313.88323,
2871.549,246.0658,
2868.638,205.45055,
2865.727,196.28465,
2862.817,181.95722,
2859.906,195.09544,
2856.996,209.49094,
2854.085,192.13442,
2851.175,197.47887,
2848.264,199.941,
2845.353,193.34903,
2842.443,186.8993,
2839.532,195.26115,
2836.622,185.01693,
2833.711,189.29277,
2830.801,189.99632,
2827.890,184.77098,
2824.979,204.11787,
2822.069,189.84116,
2819.158,208.85848,
2816.248,190.75289,
2813.337,198.15976,
2810.427,189.76447,
2807.516,191.07547,
2804.605,200.13462,
2801.695,200.84209,
2798.784,209.46508,
2795.874,205.22032,
2792.963,207.21447,
2790.052,197.503,
2787.142,206.05269,
2784.231,203.98448,
2781.321,204.11707,
2778.410,187.23476,
2775.500,205.51965,
2772.589,196.84633,
2769.678,204.60578,
2766.768,214.55826,
2763.857,203.342,
2760.947,211.55674,
2758.036,226.42997,
2755.126,212.5,
2752.215,213.56365,
2749.304,217.9892,
2746.394,209.92338,
2743.483,209.85001,
2740.573,214.7102,
2737.662,206.19082,
2734.751,214.12634,
2731.841,228.01466,
2728.930,220.25429,
2726.020,219.72975,
2723.109,229.04633,
2720.199,218.00934,
2717.288,219.14963,
2714.377,232.9164,
2711.467,245.36922,
2708.556,232.14884,
2705.646,232.96478,
2702.735,235.64689,
2699.825,224.32549,
2696.914,220.3568,
2694.003,261.34391,
2691.093,241.89231,
2688.182,226.7363,
2685.272,249.50854,
2682.361,233.98799,
2679.450,239.12965,
2676.540,237.56097,
2673.629,237.84531,
2670.719,226.71904,
2667.808,238.72183,
2664.898,257.60409,
2661.987,245.36664,
2659.076,246.24569,
2656.166,244.20994,
2653.255,254.2381,
2650.345,245.81942,
2647.434,257.01443,
2644.524,261.34172,
2641.613,251.27121,
2638.702,260.29485,
2635.792,246.90578,
2632.881,259.73794,
2629.971,256.03014,
2627.060,246.99844,
2624.149,266.84999,
2621.239,269.48814,
2618.328,241.39013,
2615.418,260.50454,
2612.507,267.18771,
2609.597,281.58184,
2606.686,264.4217,
2603.775,277.46032,
2600.865,275.44197,
2597.954,278.5,
2595.044,278.16962,
2592.133,269.55088,
2589.223,281.44002,
2586.312,281.67085,
2583.401,290.13141,
2580.491,286.43273,
2577.580,301.47855,
2574.670,285.73263,
2571.759,281.80308,
2568.848,297.67134,
2565.938,290.26199,
2563.027,285.08632,
2560.117,301.58412,
2557.206,297.26753,
2554.296,285.27574,
2551.385,304.81401,
2548.474,298.75911,
2545.564,302.27841,
2542.653,301.35235,
2539.743,294.16636,
2536.832,303.15422,
2533.922,302.54731,
2531.011,303.30019,
2528.100,304.96344,
2525.190,305.17541,
2522.279,320.15657,
2519.369,326.55702,
2516.458,307.16431,
2513.548,302.88184,
2510.637,318.1311,
2507.726,312.18773,
2504.816,312.06257,
2501.905,312.5,
2498.995,297.15691,
2496.084,309.33973,
2493.173,328.42153,
2490.263,329.33162,
2487.352,316.16773,
2484.442,334.34796,
2481.531,336.76069,
2478.621,364.74656,
2475.710,311.65336,
2472.799,340.37883,
2469.889,364.10664,
2466.978,351.84029,
2464.068,361.90745,
2461.157,338.57992,
2458.247,350.22057,
2455.336,352.45695,
2452.425,336.66979,
2449.515,355.5,
2446.604,353.03228,
2443.694,341.52301,
2440.783,359.98086,
2437.872,373.09889,
2434.962,355.40784,
2432.051,350.1299,
2429.141,374.04107,
2426.230,353.19497,
2423.320,368.24302,
2420.409,367.92936,
2417.498,379.69663,
2414.588,370.69016,
2411.677,365.89041,
2408.767,351.27067,
2405.856,363.06663,
2402.946,376.66086,
2400.035,364.21595,
2397.124,368.17379,
2394.214,367.01201,
2391.303,364.75406,
2388.393,377.48605,
2385.482,375.63219,
2382.571,374.82906,
2379.661,381.33712,
2376.750,383.71186,
2373.840,384.20623,
2370.929,374.61913,
2368.019,393.57267,
2365.108,388.26702,
2362.197,390.70821,
2359.287,387.90334,
2356.376,388.49824,
2353.466,408.53085,
2350.555,403.66011,
2347.645,413.82847,
2344.734,422.22812,
2341.823,419.56633,
2338.913,406.0791,
2336.002,403.94972,
2333.092,410.37358,
2330.181,401.20079,
2327.270,407.94995,
2324.360,427.61795,
2321.449,414.20748,
2318.539,416.60704,
2315.628,438.93606,
2312.718,419.11893,
2309.807,413.59301,
2306.896,431.77543,
2303.986,426.70766,
2301.075,413.05317,
2298.165,422.08664,
2295.254,448.93988,
2292.344,437.45025,
2289.433,433.89,
2286.522,444.39289,
2283.612,428.76912,
2280.701,413.11437,
2277.791,430.82247,
2274.880,462.286,
2271.969,452.60288,
2269.059,452.4646,
2266.148,463.5,
2263.238,457.20271,
2260.327,464.77563,
2257.417,448.85388,
2254.506,474.11824,
2251.595,470.79094,
2248.685,475.33843,
2245.774,480.30217,
2242.864,463.53739,
2239.953,475.9966,
2237.043,464.7725,
2234.132,462.15194,
2231.221,486.94973,
2228.311,487.80156,
2225.400,481.1192,
2222.490,501.38597,
2219.579,498.55142,
2216.669,500.50954,
2213.758,501.10915,
2210.847,493.63351,
2207.937,512.60421,
2205.026,514.27726,
