,PLEB9E~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5,
3011.256,1.1499248,
3008.346,90.408115,
3005.435,85.65371,
3002.525,92.925056,
2999.614,107.52467,
2996.704,109.40722,
2993.793,103.23848,
2990.882,100.70235,
2987.972,113.04036,
2985.061,107.69949,
2982.151,114.77817,
2979.240,125.84885,
2976.329,138.01092,
2973.419,125.03055,
2970.508,130.91668,
2967.598,137.90442,
2964.687,141.2534,
2961.777,154.24794,
2958.866,139,
2955.955,151.90043,
2953.045,149.28412,
2950.134,164.09623,
2947.224,155.39856,
2944.313,162.25855,
2941.403,164.42883,
2938.492,180,
2935.581,177.88712,
2932.671,167.88416,
2929.760,183.11922,
2926.850,183.68647,
2923.939,184.39718,
2921.028,197.85298,
2918.118,183.83879,
2915.207,182.82922,
2912.297,200.94922,
2909.386,177.78832,
2906.476,199.6039,
2903.565,196.4363,
2900.654,186.67037,
2897.744,191.07543,
2894.833,190.40218,
2891.923,165.59289,
2889.012,193.9133,
2886.102,203.18784,
2883.191,226.9764,
2880.280,200.30145,
2877.370,256.18013,
2874.459,218.52211,
2871.549,220.85509,
2868.638,186.13404,
2865.727,204.83849,
2862.817,182.07086,
2859.906,209.7094,
2856.996,212.04982,
2854.085,210.68279,
2851.175,209.52409,
2848.264,202.00967,
2845.353,210.97843,
2842.443,200.81602,
2839.532,197.86561,
2836.622,205.17969,
2833.711,197.10361,
2830.801,211.58971,
2827.890,193.60667,
2824.979,209.20998,
2822.069,214.95451,
2819.158,211,
2816.248,208.01158,
2813.337,214.4122,
2810.427,204.38981,
2807.516,203.63313,
2804.605,203.88222,
2801.695,218.43421,
2798.784,209.66531,
2795.874,208.13455,
2792.963,223.71447,
2790.052,220.00172,
2787.142,216.02623,
2784.231,194.93635,
2781.321,218.43426,
2778.410,210.82995,
2775.500,217.36103,
2772.589,198.80962,
2769.678,223.82255,
2766.768,222.24661,
2763.857,227.158,
2760.947,222.46533,
2758.036,217,
2755.126,204.98719,
2752.215,236.34088,
2749.304,231.3831,
2746.394,219.57662,
2743.483,219.1,
2740.573,227.09738,
2737.662,232.77663,
