,PLF08E~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.5,
3011.256,1.0999141,
3008.346,99.898443,
3005.435,123.80742,
3002.525,132.01007,
2999.614,147.12336,
2996.704,140.18144,
2993.793,142.23387,
2990.882,147.15653,
2987.972,163.46469,
2985.061,148.96304,
2982.151,153.59077,
2979.240,169.1977,
2976.329,178.49454,
2973.419,184.97676,
2970.508,193.34999,
2967.598,178.21687,
2964.687,198.23098,
2961.777,202.68802,
2958.866,215.50594,
2955.955,202.18806,
2953.045,217.8848,
2950.134,226.07434,
2947.224,231.92703,
2944.313,233.01709,
2941.403,240.83394,
2938.492,231.80895,
2935.581,241.09141,
2932.671,233.02364,
2929.760,242.41152,
2926.850,241.13421,
2923.939,252.93925,
2921.028,243.17046,
2918.118,253.1398,
2915.207,252.67723,
2912.297,257.48307,
2909.386,250.28103,
2906.476,267.49154,
2903.565,266.30741,
2900.654,257.22901,
2897.744,256.58801,
2894.833,249.06728,
2891.923,230.1218,
2889.012,247.58093,
2886.102,256.10405,
2883.191,222.5321,
2880.280,152.94497,
2877.370,91.901293,
2874.459,15.129175,
2871.549,113.21124,
2868.638,225.27932,
2865.727,233.58075,
2862.817,255.5294,
2859.906,257.37463,
2856.996,274.55887,
2854.085,287.90761,
2851.175,276.5,
2848.264,269.43617,
2845.353,276.39216,
2842.443,273.89582,
2839.532,286.81338,
2836.622,285.83138,
2833.711,275.44819,
2830.801,282.59338,
2827.890,289.60314,
2824.979,282.57401,
2822.069,286.61372,
2819.158,296.11995,
2816.248,292.51158,
2813.337,302.25244,
2810.427,285.80855,
2807.516,297.85953,
2804.605,287.97357,
2801.695,307.7237,
2798.784,282.86554,
2795.874,286.62399,
2792.963,309.00011,
2790.052,307.50086,
2787.142,292.94731,
2784.231,276.56523,
2781.321,285.74568,
2778.410,288.19414,
2775.500,303.67069,
2772.589,278.07873,
2769.678,306.42832,
2766.768,297.76018,
2763.857,289.7659,
2760.947,302.94011,
2758.036,301.97139,
2755.126,324.8312,
2752.215,322.52263,
2749.304,320.73381,
2746.394,324.22985,
2743.483,322.79999,
2740.573,320.17697,
2737.662,318.84023,
2734.751,326.29122,
2731.841,307.0934,
2728.930,329.47886,
2726.020,329.72975,
2723.109,315.10859,
2720.199,337.91256,
2717.288,327.9562,
2714.377,324.01672,
2711.467,342.10659,
2708.556,339.45747,
2705.646,350.33102,
2702.735,343.65721,
2699.825,341.83639,
2696.914,344.64272,
2694.003,349.45446,
2691.093,349.85622,
2688.182,324.7363,
2685.272,346.6323,
2682.361,335.96398,
2679.450,359.17494,
2676.540,357.4187,
2673.629,347.1951,
2670.719,338.99631,
2667.808,353.86774,
2664.898,349.01945,
2661.987,362.96691,
2659.076,359.40734,
2656.166,353.67749,
2653.255,359.31293,
2650.345,361.36388,
2647.434,376.89983,
2644.524,366.63907,
2641.613,384.50063,
2638.702,376.79984,
2635.792,368.97257,
2632.881,357.39851,
2629.971,370.5,
2627.060,368.33406,
2624.149,359.74375,
2621.239,364.7663,
2618.328,372.89878,
2615.418,399.52272,
2612.507,376.46843,
2609.597,388.48004,
2606.686,381.85138,
2603.775,374.34525,
2600.865,376.20985,
2597.954,391.45209,
2595.044,398.75953,
2592.133,402.65911,
2589.223,404.30738,
2586.312,416.52511,
2583.401,419.25547,
2580.491,412.8702,
2577.580,415.48515,
2574.670,408.99064,
2571.759,409.99487,
2568.848,414.5553,
2565.938,417.30954,
2563.027,409.64549,
2560.117,407.7617,
2557.206,419.73247,
2554.296,406.5595,
2551.385,416.938,
2548.474,423.83346,
2545.564,427.46834,
2542.653,439.10068,
2539.743,422.52465,
2536.832,416.7243,
2533.922,434.57885,
2531.011,440.87488,
2528.100,449.83103,
2525.190,441.85082,
2522.279,415.00074,
2519.369,439.46263,
2516.458,426.05595,
2513.548,435.39988,
2510.637,441.23779,
2507.726,447.19144,
2504.816,442.25085,
2501.905,453.1811,
2498.995,444.91803,
2496.084,448.43378,
2493.173,452.55298,
2490.263,458.30903,
2487.352,465.70867,
2484.442,472.49357,
2481.531,470.12773,
2478.621,485.76548,
2475.710,437.85272,
2472.799,481.77356,
2469.889,478.92383,
2466.978,487.99478,
2464.068,506.78048,
2461.157,475.84747,
2458.247,478.94115,
2455.336,488.03035,
2452.425,502.52359,
2449.515,477.83057,
2446.604,489.56455,
2443.694,464.80177,
2440.783,483.45834,
2437.872,493.75525,
2434.962,504.70276,
2432.051,498.45646,
2429.141,510.81725,
2426.230,494.52093,
2423.320,500.74231,
2420.409,516.31424,
2417.498,502.10674,
2414.588,517.66723,
2411.677,513.85455,
2408.767,501.55905,
2405.856,505.24292,
2402.946,517.14343,
2400.035,512.31689,
2397.124,522.39839,
2394.214,527.2292,
2391.303,530.00271,
2388.393,525.3023,
2385.482,503.33717,
2382.571,520.0064,
2379.661,519.73252,
2376.750,538.54917,
2373.840,544.0094,
2370.929,545.46751,
2368.019,541.64534,
2365.108,531.82461,
2362.197,550.45894,
2359.287,548.51671,
2356.376,553.48767,
2353.466,572.01724,
2350.555,542.29003,
2347.645,565.40593,
2344.734,582.07604,
