,PLF7F4~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.125,
3011.256,2.6749571,
3008.346,142.42702,
3005.435,167.26016,
3002.525,188.10263,
2999.614,184.01397,
2996.704,192.23789,
2993.793,176.7235,
2990.882,188.96665,
2987.972,214.84978,
2985.061,203.22475,
2982.151,209.84644,
2979.240,218.47194,
2976.329,246.89684,
2973.419,244.50581,
2970.508,248.42497,
2967.598,254.01476,
2964.687,248.33696,
2961.777,268.12294,
2958.866,257.87203,
2955.955,261.875,
2953.045,273.69155,
2950.134,281.36481,
2947.224,278.07069,
2944.313,309.8864,
2941.403,311.04197,
2938.492,310.875,
2935.581,304.53636,
2932.671,300.75916,
2929.760,311.71729,
2926.850,318.03891,
2923.939,328.47312,
2921.028,331.79262,
2918.118,340.3347,
2915.207,341.40669,
2912.297,339.89193,
2909.386,336.66332,
2906.476,337.51825,
2903.565,346.53798,
2900.654,331.10956,
2897.744,338.02587,
2894.833,343.68955,
2891.923,330.8205,
2889.012,323.82876,
2886.102,336.45879,
2883.191,359.8514,
2880.280,316.63576,
2877.370,284.25297,
2874.459,309.31487,
2871.549,284.91496,
2868.638,339.6956,
2865.727,358.65965,
2862.817,340.68917,
2859.906,361.1542,
2856.996,370.91123,
2854.085,360.23424,
2851.175,355.26047,
2848.264,363.46301,
2845.353,359.76716,
2842.443,358.46873,
2839.532,361.54666,
2836.622,363.903,
2833.711,353.4009,
2830.801,370.96103,
2827.890,365.875,
2824.979,358.17105,
2822.069,357.96598,
2819.158,369.67554,
2816.248,365.41553,
2813.337,391.72013,
2810.427,381.56645,
2807.516,366.1486,
2804.605,368.18751,
2801.695,374.73023,
2798.784,387.02692,
2795.874,387.31565,
2792.963,386.16096,
2790.052,393.87457,
2787.142,376.03285,
2784.231,364.48836,
2781.321,383.12068,
2778.410,370.63008,
2775.500,381.12879,
2772.589,367.95297,
2769.678,380.62587,
2766.768,380.12161,
2763.857,374.82298,
2760.947,384.90652,
2758.036,394.95783,
2755.126,388.38996,
2752.215,398.57938,
2749.304,395.59801,
2746.394,400.875,
2743.483,392.62503,
2740.573,397.40824,
2737.662,410.86465,
2734.751,407.22446,
2731.841,399.1717,
2728.930,404.875,
2726.020,415.99769,
2723.109,396.50434,
2720.199,418.75615,
2717.288,417.10491,
2714.377,422.16222,
2711.467,436.31785,
2708.556,430.56637,
2705.646,435.72007,
2702.735,441.34663,
2699.825,427.08051,
2696.914,427.92226,
2694.003,456.14981,
2691.093,433.10725,
2688.182,433.58389,
2685.272,435.52081,
2682.361,432.88046,
2679.450,448.6281,
2676.540,435.97662,
2673.629,448.17541,
2670.719,436.53949,
2667.808,452.31866,
2664.898,469.161,
2661.987,462.50852,
2659.076,475.98491,
2656.166,461.47237,
2653.255,465.98724,
2650.345,464.44306,
2647.434,463.79012,
2644.524,485.99486,
2641.613,473.24646,
2638.702,483.71719,
2635.792,471.00261,
2632.881,462.42242,
2629.971,469.13002,
2627.060,466.70719,
2624.149,477.25312,
2621.239,475.86907,
2618.328,479.63797,
2615.418,493.225,
2612.507,486.49555,
2609.597,498.68139,
2606.686,474.8228,
2603.775,488.63691,
2600.865,482.64288,
2597.954,502.5458,
2595.044,516.20538,
2592.133,511.98323,
2589.223,548.10451,
2586.312,515.67903,
2583.401,513.91516,
2580.491,512.34136,
2577.580,515.85685,
2574.670,516.22123,
2571.759,522.20293,
2568.848,543.21222,
2565.938,541.25593,
2563.027,539.3864,
2560.117,515.25815,
2557.206,528.57241,
2554.296,541.129,
2551.385,529.18901,
2548.474,540.72705,
2545.564,549.71672,
2542.653,567.10654,
2539.743,555.52903,
2536.832,548.91612,
2533.922,561.65423,
2531.011,551.99965,
2528.100,567.13982,
2525.190,557.43525,
2522.279,560.64051,
2519.369,558.59182,
2516.458,562.09526,
2513.548,542.88433,
2510.637,570.38314,
2507.726,564.74861,
2504.816,564.37443,
2501.905,556.81707,
