,PLFBFD~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.875,
3011.256,1.3749463,
3008.346,85.936984,
3005.435,96.623231,
3002.525,97.635067,
2999.614,111.74836,
2996.704,111.62087,
2993.793,101.86809,
2990.882,102.60594,
2987.972,87.261214,
2985.061,106.58804,
2982.151,123.54519,
2979.240,119.30463,
2976.329,122.59497,
2973.419,133.72526,
2970.508,126.20832,
2967.598,141.02942,
2964.687,140.08016,
2961.777,152.9029,
2958.866,146.13391,
2955.955,137.16039,
2953.045,139.40912,
2950.134,159.67897,
2947.224,146.89366,
2944.313,159.19266,
2941.403,162.98266,
2938.492,154.72122,
2935.581,173.16793,
2932.671,158.16794,
2929.760,167.24422,
2926.850,157.38628,
2923.939,185.36801,
2921.028,163.56606,
2918.118,170.00662,
2915.207,180.18193,
2912.297,179.12077,
2909.386,184.74543,
2906.476,181.03232,
2903.565,174.23834,
2900.654,173.85401,
2897.744,161.23815,
2894.833,156.517,
2891.923,145.234,
2889.012,165.96315,
2886.102,154.95743,
2883.191,158.125,
2880.280,57.684795,
2877.370,-50.148007,
2874.459,-124.96266,
2871.549,-1.5979638,
2868.638,104.22186,
2865.727,135.28651,
2862.817,145.66778,
2859.906,175.03668,
2856.996,174.65897,
2854.085,175.04728,
2851.175,187.17318,
2848.264,178.566,
2845.353,200.9956,
2842.443,190.73266,
2839.532,203.52787,
2836.622,203.93946,
2833.711,187.70271,
2830.801,192.72206,
2827.890,193.7701,
2824.979,194.61897,
2822.069,206.19323,
2819.158,204.14386,
2816.248,203.82579,
2813.337,217.62989,
2810.427,204.33849,
2807.516,212.80844,
2804.605,206.18991,
2801.695,216.42763,
2798.784,215.125,
2795.874,211.98516,
2792.963,216.83947,
2790.052,201.12929,
2787.142,201.94092,
2784.231,213.99612,
2781.321,213.23919,
2778.410,193.42448,
2775.500,208.95431,
2772.589,191.62576,
2769.678,212.87239,
2766.768,213.57353,
2763.857,208.49301,
2760.947,211.16283,
2758.036,217.125,
2755.126,217.21048,
2752.215,226.10661,
2749.304,229.44332,
2746.394,220.125,
2743.483,213.52503,
2740.573,223.20692,
2737.662,216.45488,
2734.751,214.68324,
2731.841,217.80083,
2728.930,235.45129,
2726.020,233.68113,
2723.109,222.59942,
2720.199,227.71244,
2717.288,226.24908,
2714.377,232.79976,
2711.467,235.10852,
2708.556,240.68879,
2705.646,235.36442,
2702.735,233.44974,
2699.825,235.39595,
2696.914,246.125,
2694.003,250.86809,
2691.093,240.64246,
2688.182,235.47093,
2685.272,248.13354,
2682.361,238.13046,
2679.450,246.79994,
2676.540,230.36889,
2673.629,245.11153,
2670.719,249.84034,
2667.808,245.31954,
2664.898,247.90418,
2661.987,253.52507,
2659.076,247.39656,
2656.166,240.125,
2653.255,249.26956,
2650.345,248.93262,
2647.434,249.72517,
2644.524,256.125,
2641.613,262.29659,
2638.702,257.25125,
2635.792,252.2207,
2632.881,248.09505,
2629.971,266.59486,
2627.060,255.125,
2624.149,246.85626,
2621.239,261.17243,
2618.328,246.14229,
2615.418,271.77955,
2612.507,272.16059,
2609.597,276.39047,
2606.686,268.2294,
2603.775,256.44643,
2600.865,252.71542,
2597.954,259.31666,
2595.044,268.4111,
2592.133,277.90206,
2589.223,285.14922,
2586.312,290.58733,
2583.401,284.92063,
2580.491,290.02884,
2577.580,300.09694,
2574.670,288.93648,
2571.759,285.95806,
2568.848,271.125,
2565.938,293.07745,
2563.027,284.58863,
2560.117,287.125,
2557.206,307.91836,
2554.296,288.72912,
2551.385,302.62096,
2548.474,292.49526,
2545.564,302.71348,
2542.653,318.65185,
2539.743,287.86529,
2536.832,287.75865,
2533.922,318.93577,
2531.011,303.5503,
2528.100,297.32362,
2525.190,308.82131,
2522.279,287.68778,
2519.369,293.99324,
2516.458,302.69511,
2513.548,294.85261,
2510.637,311.87907,
2507.726,309.37407,
2504.816,308.18701,
2501.905,286.45854,
2498.995,323.00556,
2496.084,316.52567,
2493.173,329.33626,
2490.263,317.01309,
2487.352,325.125,
2484.442,327.68816,
2481.531,334.65159,
2478.621,342.80275,
2475.710,322.19401,
2472.799,336.05768,
2469.889,343.36875,
2466.978,346.67128,
2464.068,352.08268,
2461.157,324.125,
2458.247,332.22803,
2455.336,355.65535,
2452.425,342.51177,
2449.515,366.05846,
2446.604,349.76551,
2443.694,351.40376,
2440.783,379.13176,
2437.872,356.125,
2434.962,356.125,
2432.051,356.125,
2429.141,360.39553,
2426.230,349.97249,
2423.320,384.35405,
2420.409,369.41977,
2417.498,377.52668,
2414.588,365.68018,
2411.677,360.05328,
2408.767,354.83662,
2405.856,351.22259,
2402.946,362.91678,
2400.035,345.34564,
2397.124,354.88971,
2394.214,353.55939,
2391.303,366.30183,
2388.393,365.11105,
2385.482,349.87405,
2382.571,351.83436,
2379.661,351.86888,
2376.750,373.75804,
2373.840,363.6344,
2370.929,388.8326,
2368.019,392.9686,
2365.108,390.89202,
2362.197,396.31953,
2359.287,379.56176,
2356.376,384.10915,
2353.466,414.7466,
2350.555,414.26018,
2347.645,402.58728,
