,PLFE11~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.25,
3011.256,2.0999678,
3008.346,42.40841,
3005.435,46.71113,
3002.525,47.127517,
2999.614,51.561682,
2996.704,55.927317,
2993.793,49.864632,
2990.882,53.23094,
2987.972,71.70964,
2985.061,52.666242,
2982.151,50.198749,
2979.240,62.080782,
2976.329,67.484984,
2973.419,66.827022,
2970.508,68.29997,
2967.598,67.084538,
2964.687,72.317256,
2961.777,89.775834,
2958.866,74.414192,
2955.955,70.920363,
2953.045,89.016216,
2950.134,92.420568,
2947.224,83.490189,
2944.313,93.019941,
2941.403,84.178831,
2938.492,91.9099,
2935.581,96.228535,
2932.671,96.591213,
2929.760,90.988443,
2926.850,92.122931,
2923.939,102.70793,
2921.028,100.50285,
2918.118,90.190808,
2915.207,100.28169,
2912.297,107.72884,
2909.386,90.122271,
2906.476,102.93536,
2903.565,112.76704,
2900.654,104.47901,
2897.744,109.73743,
2894.833,91.843097,
2891.923,77.480804,
2889.012,103.70376,
2886.102,114.52163,
2883.191,140.72262,
2880.280,113.06579,
2877.370,142.51156,
2874.459,198.71198,
2871.549,123.46018,
2868.638,114.1603,
2865.727,111.2269,
2862.817,107.17782,
2859.906,113.77564,
2856.996,109.30661,
2854.085,115.23533,
2851.175,112.30115,
2848.264,115.98017,
2845.353,121.6853,
2842.443,116.75348,
2839.532,110.64554,
2836.622,108.99154,
2833.711,105.2759,
2830.801,111.14559,
2827.890,105.4598,
2824.979,110.18202,
2822.069,113.86372,
2819.158,115.76886,
2816.248,108.72684,
2813.337,122.97683,
2810.427,120.44835,
2807.516,115.75,
2804.605,109.97596,
2801.695,116.44737,
2798.784,128.86292,
2795.874,121.3252,
2792.963,118.39287,
2790.052,122.74914,
2787.142,110.68419,
2784.231,112.29813,
2781.321,114.87572,
2778.410,117.16497,
2775.500,123.11103,
2772.589,100.09785,
2769.678,125.75,
2766.768,131.43156,
2763.857,116.48796,
2760.947,121.72478,
2758.036,121.98569,
2755.126,114.88462,
2752.215,131.96358,
2749.304,120.77159,
2746.394,122.65522,
2743.483,122.05003,
2740.573,113.08848,
2737.662,116.2071,
2734.751,129.21595,
2731.841,123.83058,
2728.930,138.62715,
2726.020,129.18866,
2723.109,129.18292,
2720.199,127.06239,
2717.288,136.76824,
2714.377,136.97492,
2711.467,136.99615,
2708.556,137.73905,
2705.646,144.52464,
2702.735,142.74484,
2699.825,138.72819,
2696.914,133.27363,
2694.003,153.97927,
2691.093,142.94616,
2688.182,131.93148,
2685.272,132.75,
2682.361,135.50873,
2679.450,139.04218,
2676.540,133.77032,
2673.629,141.0549,
2670.719,137.04943,
2667.808,142.97183,
2664.898,133.49027,
2661.987,136.15007,
2659.076,144.85991,
2656.166,121.4772,
2653.255,138.26871,
2650.345,144.80626,
2647.434,137.37904,
2644.524,147.41424,
2641.613,149.46465,
2638.702,140.0025,
2635.792,146.93843,
2632.881,147.25583,
2629.971,159.72991,
2627.060,146.75125,
2624.149,146.39686,
2621.239,156.99852,
2618.328,142.85207,
2615.418,162.4409,
2612.507,149.2678,
2609.597,155.01547,
2606.686,164.65962,
2603.775,142.94841,
2600.865,142.33705,
2597.954,155.84583,
2595.044,161.05381,
2592.133,150.62881,
2589.223,159.36475,
2586.312,159.02131,
2583.401,175.26093,
2580.491,168.29808,
2577.580,170.70049,
2574.670,150.4358,
2571.759,169.69435,
2568.848,164.75,
2565.938,171.94046,
2563.027,170.45684,
