,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
3014.167,2.125,
3011.256,-2.5250322,
3008.346,65.653427,
3005.435,74.050798,
3002.525,75.237416,
2999.614,69.887336,
2996.704,74.576544,
2993.793,76.36348,
2990.882,89.079177,
2987.972,79.256169,
2985.061,107.7851,
2982.151,113.76702,
2979.240,101.50616,
2976.329,105.61135,
2973.419,114.57121,
2970.508,117.05831,
2967.598,113.79046,
2964.687,114.28872,
2961.777,110.3471,
2958.866,114.46526,
2955.955,112.71349,
2953.045,130.32635,
2950.134,129.81594,
2947.224,112.5805,
2944.313,135.76531,
2941.403,136.43431,
2938.492,146.69953,
2935.581,146.71641,
2932.671,150.16794,
2929.760,162.98654,
2926.850,160.17726,
2923.939,158.32123,
2921.028,145.69533,
2918.118,141.18672,
2915.207,162.77699,
2912.297,149.20539,
2909.386,155.75273,
2906.476,159.86939,
2903.565,164.20425,
2900.654,173.66698,
2897.744,146.18786,
2894.833,144.93955,
2891.923,157.20841,
2889.012,126.71459,
2886.102,104.91689,
2883.191,103.12594,
2880.280,55.952727,
2877.370,-83.351464,
2874.459,-160.13876,
2871.549,-24.018849,
2868.638,86.494026,
2865.727,127.86345,
2862.817,138.95387,
2859.906,139.8344,
2856.996,165.07066,
2854.085,148.95688,
2851.175,179.7184,
2848.264,176.54666,
2845.353,156.64261,
2842.443,177.72918,
2839.532,172.57277,
2836.622,166.27669,
2833.711,177.64307,
2830.801,184.42721,
2827.890,180.70539,
2824.979,166.767,
2822.069,177.39793,
2819.158,192.38375,
2816.248,184.10184,
2813.337,175.25914,
2810.427,187.94869,
2807.516,189.59984,
2804.605,184.92067,
2801.695,188.08553,
2798.784,197.60754,
2795.874,179.96403,
2792.963,190.69628,
2790.052,184.12564,
2787.142,185.34865,
2784.231,185.67313,
2781.321,185.50216,
2778.410,184.48542,
2775.500,181.25189,
2772.589,181.7412,
2769.678,192.73252,
2766.768,184.63179,
2763.857,201.59899,
2760.947,207.14391,
2758.036,193.18222,
2755.126,184.73185,
2752.215,220.84777,
2749.304,199.70057,
2746.394,209.18346,
2743.483,210.92501,
2740.573,199.36611,
2737.662,208.22116,
2734.751,204.82393,
2731.841,194.96199,
2728.930,219.32843,
2726.020,199.77778,
2723.109,197.10425,
2720.199,206.9688,
2717.288,203.47537,
2714.377,203.64172,
2711.467,214.125,
2708.556,215.16753,
2705.646,208.51935,
2702.735,230.78995,
2699.825,221.78861,
2696.914,210.07727,
2694.003,209.125,
2691.093,222.07204,
2688.182,222.85092,
2685.272,215.40807,
2682.361,209.88373,
2679.450,210.58592,
2676.540,202.14532,
2673.629,209.09806,
2670.719,221.125,
2667.808,217.31954,
2664.898,232.64445,
2661.987,234.125,
2659.076,223.65087,
2656.166,233.6098,
2653.255,242.71854,
2650.345,239.34097,
2647.434,224.21074,
2644.524,224.35281,
2641.613,227.23939,
2638.702,229.125,
2635.792,226.93657,
2632.881,234.70237,
2629.971,247.33984,
2627.060,223.95719,
2624.149,227.61251,
2621.239,256.44467,
2618.328,225.35423,
2615.418,251.46591,
2612.507,241.29894,
2609.597,253.47231,
2606.686,237.0467,
2603.775,248.64484,
2600.865,260.35712,
2597.954,255.50212,
2595.044,249.40224,
2592.133,261.51353,
2589.223,247.7513,
2586.312,267.95415,
2583.401,266.67609,
2580.491,258.13945,
2577.580,250.12665,
2574.670,256.38301,
2571.759,260.76627,
2568.848,253.94821,
2565.938,246.93454,
2563.027,250.6136,
2560.117,265.20912,
2557.206,262.70065,
2554.296,280.31951,
2551.385,259.31502,
2548.474,274.79192,
2545.564,289.80844,
2542.653,257.08136,
2539.743,286.66813,
2536.832,274.06331,
2533.922,269.44038,
2531.011,283.90044,
2528.100,277.05533,
2525.190,280.75328,
2522.279,274.98431,
2519.369,267.2951,
2516.458,256.68095,
2513.548,257.93408,
2510.637,266.4939,
2507.726,269.62685,
2504.816,269.75071,
2501.905,278.99451,
2498.995,287.34865,
2496.084,276.04487,
2493.173,276.46705,
2490.263,280.70919,
2487.352,294.0014,
2484.442,310.99225,
2481.531,299.43887,
2478.621,283.84059,
2475.710,298.02532,
2472.799,286.35817,
2469.889,300.30508,
2466.978,304.63022,
2464.068,288.71755,
2461.157,294.58991,
2458.247,311.68385,
2455.336,307.2111,
2452.425,301.34198,
2449.515,292.26637,
2446.604,295.9959,
2443.694,300.17102,
2440.783,312.79617,
2437.872,319.79682,
2434.962,314.0144,
2432.051,312.37173,
2429.141,307.10729,
2426.230,328.75599,
2423.320,314.13967,
2420.409,303.04157,
2417.498,314.71489,
2414.588,320.39495,
2411.677,317.30429,
2408.767,322.88386,
2405.856,325.125,
2402.946,338.13125,
2400.035,311.75878,
2397.124,303.0127,
2394.214,305.369,
2391.303,317.48408,
2388.393,281.81328,
2385.482,232.75529,
2382.571,199.82155,
2379.661,208.21766,
2376.750,283.79962,
2373.840,318.83123,
2370.929,341.88675,
2368.019,338.46307,
2365.108,327.07788,
2362.197,342.68121,
2359.287,348.32667,
2356.376,325.1655,
2353.466,360.33734,
2350.555,361.07514,
2347.645,357.65217,
2344.734,357.42916,
2341.823,357.15817,
2338.913,366.5459,
2336.002,370.90014,
2333.092,363.74575,
2330.181,368.66974,
2327.270,373.95998,
2324.360,359.15797,
2321.449,380.60118,
2318.539,364.48584,
2315.628,366.49431,
2312.718,378.07434,
2309.807,377.82705,
2306.896,364.40826,
2303.986,380.60555,
2301.075,377.72077,
2298.165,380.30783,
2295.254,369.40506,
