,PL037C~1,
Raman shift [1/cm],Intensity,
3014.167,1,
3011.256,3.4499893,
3008.346,616.24133,
3005.435,722.57951,
3002.525,754.81264,
2999.614,751.13897,
2996.704,773.67319,
2993.793,796.20162,
2990.882,823.96188,
2987.972,812.19171,
2985.061,866.40396,
2982.151,877.3126,
2979.240,919.5827,
2976.329,937.27594,
2973.419,979.47676,
2970.508,995.24995,
2967.598,993.14699,
2964.687,1002.6277,
2961.777,1029.6756,
2958.866,1068.9837,
2955.955,1091.7588,
2953.045,1108.1723,
2950.134,1156.8834,
2947.224,1163.6548,
2944.313,1203.0783,
2941.403,1231.8216,
2938.492,1229.0325,
2935.581,1234.8442,
2932.671,1255,
2929.760,1274.2462,
2926.850,1272.9929,
2923.939,1300.3177,
2921.028,1304.9176,
2918.118,1337.2796,
2915.207,1336.9431,
2912.297,1348.9577,
2909.386,1375.5985,
2906.476,1357.2641,
2903.565,1336.677,
2900.654,1352.1759,
2897.744,1363.56,
2894.833,1328.1753,
2891.923,1316.4583,
2889.012,1336.7457,
2886.102,1334.6906,
2883.191,1357.9679,
2880.280,1339.4976,
2877.370,1326.686,
2874.459,1318.6478,
2871.549,1333.9739,
2868.638,1395.6866,
2865.727,1407.7115,
2862.817,1428.4866,
2859.906,1423.7094,
2856.996,1442.4751,
2854.085,1438.3172,
2851.175,1431.8284,
2848.264,1414.9903,
2845.353,1402.0863,
2842.443,1415.9826,
2839.532,1414.7016,
2836.622,1399.4492,
2833.711,1396.0879,
2830.801,1407.0074,
2827.890,1386.8322,
2824.979,1429.7917,
2822.069,1457.8635,
2819.158,1448.6604,
2816.248,1459.7239,
2813.337,1453.1756,
2810.427,1483.2576,
2807.516,1499.9423,
2804.605,1476.7091,
2801.695,1460.5658,
2798.784,1461.9261,
2795.874,1463.2744,
2792.963,1460.4997,
2790.052,1481.9938,
2787.142,1470.4869,
2784.231,1453.7112,
2781.321,1485.3085,
2778.410,1473.7551,
2775.500,1460.5121,
2772.589,1484.3448,
2769.678,1482.5665,
2766.768,1514.5515,
2763.857,1557.4721,
2760.947,1538.4653,
2758.036,1531.3057,
2755.126,1550.0427,
2752.215,1551.2999,
2749.304,1549.723,
2746.394,1544.2338,
2743.483,1566.6,
2740.573,1557.8052,
2737.662,1547.1169,
2734.751,1568.8638,
