,PL4AB2~1,
Raman shift [1/cm],Intensity,
3014.167,-2.25,
3011.256,-2.7501074,
3008.346,217.61884,
3005.435,247.63693,
3002.525,265.09004,
2999.614,272.70065,
2996.704,279.83866,
2993.793,273.46544,
2990.882,294.10118,
2987.972,285.86099,
2985.061,305.0899,
2982.151,325.52817,
2979.240,338.63499,
2976.329,335.00956,
2973.419,354.27324,
2970.508,373.64986,
2967.598,373.46325,
2964.687,369.66033,
2961.777,367.22004,
2958.866,395.41419,
2955.955,401.02655,
2953.045,399.19966,
2950.134,404.6334,
2947.224,428.26244,
2944.313,440.80627,
2941.403,464.29835,
2938.492,439.31368,
2935.581,447.72298,
2932.671,460.9474,
2929.760,455.76924,
2926.850,454.2203,
2923.939,475.26868,
2921.028,465.10868,
2918.118,473.2097,
2915.207,486.05399,
2912.297,494.75846,
2909.386,510.56022,
2906.476,488.95228,
2903.565,501.16926,
2900.654,501.52654,
2897.744,507.44827,
2894.833,486.63654,
2891.923,489.9391,
2889.012,483.46098,
2886.102,487.43512,
2883.191,493.75189,
2880.280,458.01793,
2877.370,417.91285,
2874.459,396.38538,
2871.549,451.60562,
2868.638,504.29843,
2865.727,520.98463,
2862.817,504.27808,
2859.906,519.23148,
2856.996,530.25226,
2854.085,550.87609,
2851.175,541.10841,
2848.264,536.191,
2845.353,522.98724,
2842.443,529.35766,
2839.532,521.97389,
2836.622,517.11523,
2833.711,523.17229,
2830.801,520.85074,
2827.890,527.64686,
2824.979,525.68805,
2822.069,543.79549,
2819.158,545.46967,
2816.248,538.76158,
2813.337,556.29634,
2810.427,543.19078,
2807.516,556.31812,
2804.605,555.83655,
2801.695,554.77628,
2798.784,550.08469,
2795.874,546.45976,
2792.963,544.96415,
2790.052,554.74721,
2787.142,557.35515,
2784.231,542.91149,
2781.321,548.56142,
2778.410,547.4099,
2775.500,562.00379,
2772.589,555.13683,
2769.678,585.96503,
2766.768,561.64706,
2763.857,585.22399,
2760.947,578.19011,
2758.036,565.36144,
2755.126,576.55342,
2752.215,578.39073,
2749.304,592.79134,
2746.394,600.47985,
2743.483,594.10001,
2740.573,605.17041,
2737.662,597.21745,
2734.751,612.75,
2731.841,596.69505,
2728.930,611.75,
2726.020,605.63252,
2723.109,609.61583,
2720.199,597.14049,
2717.288,605.87408,
2714.377,632.45363,
2711.467,618.14341,
2708.556,623.39884,
2705.646,622.52464,
2702.735,626.59795,
2699.825,651.02095,
2696.914,637.4636,
2694.003,634.29146,
2691.093,649.66094,
2688.182,644.29444,
2685.272,631.86522,
2682.361,638.83843,
2679.450,641.78288,
2676.540,667.50611,
2673.629,650.10878,
2670.719,643.88864,
2667.808,662.9232,
2664.898,648.45136,
2661.987,666.28375,
2659.076,670.53018,
2656.166,689.08771,
2653.255,674.82483,
2650.345,667.2618,
2647.434,693.32217,
2644.524,699.51489,
2641.613,689.75063,
2638.702,695.82891,
2635.792,688.28041,
2632.881,690.7084,
2629.971,711.30719,
2627.060,699.75062,
2624.149,695.20937,
2621.239,691.99259,
2618.328,701.51297,
2615.418,716.75909,
2612.507,703.44173,
2609.597,722.27096,
2606.686,718.60742,
2603.775,716.95239,
2600.865,752.27227,
2597.954,744.55834,
2595.044,742.07152,
2592.133,742.30412,
2589.223,748.77422,
2586.312,753.69977,
2583.401,742.40328,
2580.491,749.46151,
2577.580,790.72194,
2574.670,775.68716,
2571.759,774.14384,
2568.848,780.27492,
2565.938,763.32139,
2563.027,774.2386,
2560.117,781.20794,
2557.206,772.51753,
2554.296,782.01087,
2551.385,791.61794,
2548.474,771.7868,
2545.564,791.92696,
2542.653,782.62247,
2539.743,803.81161,
2536.832,798.75,
2533.922,803.14423,
2531.011,831.87465,
2528.100,835.81967,
2525.190,815.51967,
2522.279,817.51551,
2519.369,811.84439,
2516.458,801.41077,
2513.548,800.41356,
2510.637,827.64331,
2507.726,816.6831,
2504.816,823.56172,
2501.905,829.30061,
2498.995,820.36241,
2496.084,847.58973,
2493.173,837.93377,
2490.263,836.3229,
2487.352,821.3776,
2484.442,852.4845,
2481.531,847.28181,
2478.621,875.94438,
2475.710,860.78834,
2472.799,867.47644,
2469.889,876.14336,
2466.978,886.96643,
2464.068,866.76579,
2461.157,872.28996,
2458.247,874.48524,
2455.336,880.62086,
2452.425,894.77359,
2449.515,915.21152,
2446.604,883.8076,
2443.694,911.91372,
2440.783,911.31757,
2437.872,931.07818,
2434.962,936.33526,
2432.051,917.4844,
2429.141,921.98511,
2426.230,923.07596,
2423.320,922.67807,
2420.409,946.39739,
2417.498,935.1938,
2414.588,941.91723,
2411.677,955.89343,
2408.767,957.47343,
2405.856,949.34286,
2402.946,967.60165,
2400.035,989.33686,
2397.124,965.99598,
2394.214,980.8304,
2391.303,980.10908,
2388.393,988.48257,
2385.482,995.48563,
2382.571,992.23079,
2379.661,999.37791,
2376.750,1002.8017,
2373.840,1014.3781,
2370.929,1025.6525,
2368.019,1024.2919,
2365.108,1032.7264,
2362.197,1020.8184,
2359.287,1030.7082,
2356.376,1052.7201,
2353.466,1020.3407,
2350.555,1029.0702,
2347.645,1023.3566,
2344.734,1058.4552,
2341.823,1067.7997,
2338.913,1049.6112,
