,PL925A~1,
Raman shift [1/cm],Intensity,
3014.167,-2.75,
3011.256,0.39992484,
3008.346,234.4024,
3005.435,251.90725,
3002.525,267.45749,
2999.614,282.77467,
2996.704,276.4799,
2993.793,299.63076,
2990.882,296.94465,
2987.972,306.31558,
2985.061,313.48645,
2982.151,336.19288,
2979.240,333.68155,
2976.329,344.75273,
2973.419,345.83434,
2970.508,369.58327,
2967.598,376.58454,
2964.687,380.38451,
2961.777,382.68595,
2958.866,393.24852,
2955.955,387.66151,
2953.045,412.61689,
2950.134,420.92057,
2947.224,436.96172,
2944.313,457.20513,
2941.403,469.63138,
2938.492,465.51557,
2935.581,469.63157,
2932.671,484.76931,
2929.760,473.76537,
2926.850,457.77256,
2923.939,497.49301,
2921.028,487.25,
2918.118,497.69081,
2915.207,511.90199,
2912.297,521.23307,
2909.386,514.62227,
2906.476,498.41293,
2903.565,503.8137,
2900.654,527.64938,
2897.744,504.89798,
2894.833,491.68272,
2891.923,517.9263,
2889.012,503.12283,
2886.102,498.77298,
2883.191,510.23206,
2880.280,463.22607,
2877.370,424.1338,
2874.459,437.83495,
2871.549,471.27664,
2868.638,519.88915,
2865.727,535.74618,
2862.817,521.79278,
2859.906,538.25,
2856.996,521.82472,
2854.085,552.7837,
2851.175,549.67772,
2848.264,533.691,
2845.353,511.87544,
2842.443,526.27437,
2839.532,522.32452,
2836.622,512.1263,
2833.711,520.76023,
2830.801,533.85441,
2827.890,522.29549,
2824.979,541.25,
2822.069,540.20451,
2819.158,537.39016,
2816.248,551.95079,
2813.337,564.77562,
2810.427,548.94835,
2807.516,558.55922,
2804.605,562.36778,
2801.695,552.34212,
2798.784,547.91531,
2795.874,544.25,
2792.963,530.10681,
2790.052,563.24121,
2787.142,556.80269,
2784.231,554.02486,
2781.321,568.86707,
2778.410,556.1345,
2775.500,566.48414,
2772.589,572.17354,
2769.678,578.78584,
2766.768,566.88688,
2763.857,580.93208,
2760.947,565.26261,
2758.036,575.72139,
2755.126,592.96154,
2752.215,602.3773,
2749.304,594.65469,
2746.394,594.61493,
2743.483,601.04996,
2740.573,585.18353,
2737.662,588.13314,
2734.751,583.69176,
2731.841,575.22252,
2728.930,613.25,
2726.020,623.26042,
2723.109,617.06467,
2720.199,625.46562,
2717.288,621.35584,
2714.377,623.34574,
2711.467,622.59396,
2708.556,644.06895,
2705.646,641.9542,
2702.735,631.78869,
2699.825,658.97905,
2696.914,649.86909,
2694.003,655.8191,
