,PLA1DB~1,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,0.57504295,
3008.346,452.38656,
3005.435,531.41741,
3002.525,568.60263,
2999.614,574.93995,
2996.704,591.82654,
2993.793,601.76498,
2990.882,607.88636,
2987.972,632.5213,
2985.061,653.83804,
2982.151,661.98846,
2979.240,690.82079,
2976.329,706.61271,
2973.419,740.97526,
2970.508,739.00829,
2967.598,743.52199,
2964.687,764.46467,
2961.777,793.17873,
2958.866,795.69448,
2955.955,814.375,
2953.045,825.28109,
2950.134,868.16217,
2947.224,863.05466,
2944.313,926.21759,
2941.403,921.20803,
2938.492,936.39669,
2935.581,944.26212,
2932.671,955.41794,
2929.760,955.40575,
2926.850,955.64342,
2923.939,975.92634,
2921.028,990.73368,
2918.118,994.99591,
2915.207,1002.375,
2912.297,1017.3115,
2909.386,1027.2071,
2906.476,1035.5379,
2903.565,1036.0039,
2900.654,1027.3639,
2897.744,1003.2619,
2894.833,1003.8594,
2891.923,1027.1058,
2889.012,1026.1727,
2886.102,1005.1669,
2883.191,1010.3693,
2880.280,1018.2889,
2877.370,992.59012,
2874.459,951.47586,
2871.549,1004.6515,
2868.638,1096.5646,
2865.727,1068.2404,
2862.817,1080.2333,
2859.906,1053.0331,
2856.996,1070.7822,
2854.085,1080.812,
2851.175,1081.0166,
2848.264,1062.1738,
2845.353,1084.5986,
2842.443,1053.368,
2839.532,1063.2556,
2836.622,1068.0996,
2833.711,1067.9967,
2830.801,1052.3971,
2827.890,1081.2264,
2824.979,1060.313,
2822.069,1074.4546,
2819.158,1076.8143,
2816.248,1093.2824,
2813.337,1094.5713,
2810.427,1115.426,
2807.516,1089.7492,
2804.605,1115.2668,
2801.695,1095.9408,
2798.784,1089.8925,
2795.874,1105.6547,
2792.963,1105.5891,
2790.052,1112.3729,
2787.142,1097.8619,
2784.231,1093.8595,
2781.321,1112.1864,
2778.410,1094.8509,
2775.500,1103.4777,
2772.589,1105.1066,
2769.678,1139.2623,
2766.768,1134.9672,
2763.857,1154.637,
2760.947,1159.4633,
2758.036,1183.5407,
2755.126,1151.0374,
2752.215,1165.5659,
2749.304,1195.4163,
2746.394,1182.4335,
2743.483,1190.775,
2740.573,1188.1648,
2737.662,1195.2374,
2734.751,1182.3992,
2731.841,1196.1864,
2728.930,1188.1293,
2726.020,1192.0538,
2723.109,1182.7568,
2720.199,1216.8249,
2717.288,1232.6378,
2714.377,1224.9252,
2711.467,1245.9167,
2708.556,1233.7893,
2705.646,1234.0933,
2702.735,1261.5632,
2699.825,1285.3096,
2696.914,1288.375,
2694.003,1265.1002,
2691.093,1295.2859,
2688.182,1273.8817,
2685.272,1288.3835,
2682.361,1275.6217,
2679.450,1267.3092,
2676.540,1267.0254,
2673.629,1297.3795,
2670.719,1285.7401,
2667.808,1296.5482,
2664.898,1283.4139,
2661.987,1299.9753,
2659.076,1315.6121,
2656.166,1330.9247,
2653.255,1348.8189,
2650.345,1338.6146,
2647.434,1354.1458,
2644.524,1341.5717,
2641.613,1365.5466,
2638.702,1366.4066,
2635.792,1358.8446,
2632.881,1350.0655,
2629.971,1391.9994,
2627.060,1390.0437,
2624.149,1372.9156,
2621.239,1377.6354,
2618.328,1386.2478,
2615.418,1385.6977,
2612.507,1402.1655,
2609.597,1416.6405,
2606.686,1435.4011,
2603.775,1436.6567,
2600.865,1432.4364,
2597.954,1479.1354,
2595.044,1474.7054,
2592.133,1474.1521,
2589.223,1470.7003,
2586.312,1445.3598,
2583.401,1506.5794,
2580.491,1500.0192,
2577.580,1462.4625,
2574.670,1507.9031,
2571.759,1485.0719,
2568.848,1508.7177,
2565.938,1480.7084,
2563.027,1479.8636,
2560.117,1515.4311,
2557.206,1546.6481,
2554.296,1487.9265,
2551.385,1530.0691,
2548.474,1530.3378,
2545.564,1527.375,
2542.653,1558.2911,
2539.743,1555.3257,
2536.832,1571.4572,
2533.922,1564.6746,
2531.011,1589.1495,
2528.100,1608.6398,
2525.190,1602.0975,
2522.279,1588.5777,
2519.369,1579.6198,
2516.458,1609.7178,
2513.548,1590.4391,
2510.637,1573.7113,
2507.726,1602.8174,
2504.816,1610.8778,
2501.905,1595.1,
2498.995,1604.5694,
2496.084,1628.5876,
2493.173,1633.7432,
2490.263,1633.1614,
2487.352,1651.5018,
2484.442,1686.4885,
2481.531,1700.9496,
2478.621,1675.7162,
2475.710,1685.3137,
2472.799,1684.5274,
2469.889,1697.6492,
2466.978,1707.8594,
2464.068,1697.1792,
2461.157,1700.8024,
2458.247,1715.1102,
2455.336,1731.1382,
2452.425,1709.3891,
2449.515,1717.479,
2446.604,1729.6054,
2443.694,1754.2361,
2440.783,1755.0394,
2437.872,1776.5728,
2434.962,1766.1446,
2432.051,1787.5971,
2429.141,1787.6278,
2426.230,1792.3098,
2423.320,1788.9036,
2420.409,1806.0413,
2417.498,1821.0239,
2414.588,1827.3597,
2411.677,1820.4109,
2408.767,1815.81,
2405.856,1833.1463,
2402.946,1869.3214,
2400.035,1836.9078,
2397.124,1842.4071,
2394.214,1873.8362,
2391.303,1878.1209,
2388.393,1885.5448,
2385.482,1882.7716,
2382.571,1892.3878,
2379.661,1900.398,
2376.750,1940.8971,
2373.840,1927.7064,
2370.929,1944.1151,
2368.019,1964.9532,
2365.108,1958.2834,
2362.197,1943.7777,
2359.287,1964.1316,
2356.376,1951.4067,
2353.466,1965.6454,
2350.555,1996.2149,
2347.645,2006.1763,
2344.734,2000.6146,
2341.823,2028.8278,
2338.913,1997.7108,
2336.002,1997.6117,
2333.092,2026.2599,
2330.181,2044.4466,
2327.270,2069.1649,
2324.360,2075.8962,
2321.449,2066.0519,
2318.539,2079.6747,
2315.628,2092.6776,
2312.718,2112.69,
2309.807,2110.1264,
2306.896,2122.3907,
2303.986,2118.3684,
2301.075,2122.0345,
2298.165,2113.2208,
2295.254,2130.8795,
2292.344,2156.9601,
2289.433,2130.0159,
2286.522,2139.8034,
2283.612,2153.3048,
2280.701,2170.5499,
2277.791,2191.9761,
2274.880,2220.9267,
2271.969,2261.2227,
2269.059,2237.0235,
2266.148,2235.8341,
